seasonType,eventId,commentaryOrder,playId,clockDisplayValue,commentaryText,updateDateTime
12572,702665,0,44361363,35',Stuart Wilkin (Malaysia) Goal at 35',2024-12-09 12:54:59
12572,702665,1,44361478,45',Darren Lok (Malaysia) Substitution at 45',2024-12-09 12:54:59
12572,702665,2,44361504,52',Coulibaly Abdel (Cambodia) Goal at 52',2024-12-09 12:54:59
12572,702665,3,44361515,55',Jimmy Raymond (Malaysia) Yellow Card at 55',2024-12-09 12:54:59
12572,702665,4,44361533,57',Ty Sa (Cambodia) Substitution at 57',2024-12-09 12:54:59
12572,702665,5,44361541,60',Ty Sa (Cambodia) Goal at 60',2024-12-09 12:54:59
12572,702665,6,44361558,61',Muhammad Adib Bin Abdul Ra'Op (Malaysia) Substitution at 61',2024-12-09 12:54:59
12572,702665,7,44361560,61',Sergio Agüero (Malaysia) Substitution at 61',2024-12-09 12:54:59
12572,702665,8,44361586,70',Rotana Sor (Cambodia) Substitution at 70',2024-12-09 12:54:59
12572,702665,9,44361587,70',Min Ratanak (Cambodia) Substitution at 70',2024-12-09 12:54:59
12572,702665,10,44361588,70',Fergus Tierney (Malaysia) Substitution at 70',2024-12-09 12:54:59
12572,702665,11,44361595,74',Fergus Tierney (Malaysia) Goal at 74',2024-12-09 12:54:59
12572,702665,12,44361659,90',G. Pavithran (Malaysia) Substitution at 90',2024-12-09 12:54:59
12572,702665,13,44361665,90'+2',Pisoth Lim (Cambodia) Substitution at 92',2024-12-09 12:54:59
12572,702666,0,44361852,4',Benjamin Davis (Thailand) Goal at 4',2024-12-09 12:54:59
12572,702666,1,44361935,17',Patrik Gustavsson (Thailand) Goal at 17',2024-12-09 12:54:59
12572,702666,2,44362014,28',Suphanat Mueanta (Thailand) Goal at 28',2024-12-09 12:54:59
12572,702666,3,44362028,32',Benjamin Davis (Thailand) Goal at 32',2024-12-09 12:54:59
12572,702666,4,44362108,42',Seksan Ratree (Thailand) Substitution at 42',2024-12-09 12:54:59
12572,702666,5,44362473,54',Suphanat Mueanta (Thailand) Goal at 54',2024-12-09 12:54:59
12572,702666,6,44362520,56',Seksan Ratree (Thailand) Goal at 56',2024-12-09 12:54:59
12572,702666,7,44362605,61',Georgino Mendonca (Timor-Leste) Substitution at 61',2024-12-09 12:54:59
12572,702666,8,44362606,61',Francisco da Costa (Timor-Leste) Substitution at 61',2024-12-09 12:54:59
12572,702666,9,44362607,61',Seksan Ratree (Thailand) Goal at 61',2024-12-09 12:54:59
12572,702666,10,44362723,68',Olagar Xavier (Timor-Leste) Yellow Card at 68',2024-12-09 12:54:59
12572,702666,11,44362724,69',Elias Mesquita (Timor-Leste) Substitution at 69',2024-12-09 12:54:59
12572,702666,12,44362792,73',Avigmas (Timor-Leste) Substitution at 73',2024-12-09 12:54:59
12572,702666,13,44362793,73',Freteliano dos Santos (Timor-Leste) Substitution at 73',2024-12-09 12:54:59
12572,702666,14,44362840,76',Teerasak Poeiphimai (Thailand) Substitution at 76',2024-12-09 12:54:59
12572,702666,15,44362841,76',Weerathep Pomphan (Thailand) Substitution at 76',2024-12-09 12:54:59
12572,702666,16,44362899,79',Teerasak Poeiphimai (Thailand) Goal at 79',2024-12-09 12:54:59
12572,702666,17,44363098,88',Suphanan Bureerat (Thailand) Substitution at 88',2024-12-09 12:54:59
12572,702666,18,44363099,88',Worachit Kanitsribumphen (Thailand) Substitution at 88',2024-12-09 12:54:59
12572,702666,19,44363134,90'+2',Teerasak Poeiphimai (Thailand) Goal at 92',2024-12-09 12:54:59
12572,702666,20,44363168,90'+3',Nicholas Mickelson (Thailand) Goal at 93',2024-12-09 12:54:59
12572,702667,0,44371355,45',Phatthana Phommathep (Laos) Substitution at 45',2024-12-10 05:58:50
12572,702667,1,44371356,45',Van Vi Nguyen (Vietnam) Substitution at 45',2024-12-10 05:58:50
12572,702667,2,44371360,55',Phetdavanh Somsanid (Laos) Yellow Card at 55',2024-12-10 05:58:50
12572,702667,3,44371361,58',Nguyen Hai Long (Vietnam) Goal at 58',2024-12-10 05:58:50
12572,702667,4,44371362,60',Van Toán Nguyen (Vietnam) Substitution at 60',2024-12-10 05:58:50
12572,702667,5,44371363,60',Pham Tuan Hai (Vietnam) Substitution at 60',2024-12-10 05:58:50
12572,702667,6,44371364,60',Quang Hai Nguyen (Vietnam) Substitution at 60',2024-12-10 05:58:50
12572,702667,7,44371367,63',Tien Linh Nguyen (Vietnam) Goal at 63',2024-12-10 05:58:50
12572,702667,8,44371369,69',Van Toán Nguyen (Vietnam) Goal at 69',2024-12-10 05:58:50
12572,702667,9,44371370,72',Anousone Xaypanya (Laos) Substitution at 72',2024-12-10 05:58:50
12572,702667,10,44371371,72',Peter Phanthavong (Laos) Substitution at 72',2024-12-10 05:58:50
12572,702667,11,44371372,80',Phouttasay Khochalern (Laos) Substitution at 80',2024-12-10 05:58:50
12572,702667,12,44371373,82',Van Vi Nguyen (Vietnam) Goal at 82',2024-12-10 05:58:50
12572,702667,13,44371374,84',Anousone Xaypanya (Laos) Yellow Card at 84',2024-12-10 05:58:50
12572,702667,14,44371375,86',Ho Tan Tài (Vietnam) Substitution at 86',2024-12-10 05:58:50
12572,702667,15,44371376,88',Phousomboun Panyavong (Laos) Substitution at 88',2024-12-10 05:58:50
12572,702667,16,44371377,90'+5',Bounphachan Bounkong (Laos) Penalty - Scored at 95',2024-12-10 05:58:50
