seasonType,eventId,commentaryOrder,playId,clockDisplayValue,commentaryText,updateDateTime
12338,702058,0,-1,,Lineups are announced and players are warming up.,2024-05-22 04:49:41
12338,702058,1,43200261,,First Half begins.,2024-05-22 04:49:41
12338,702058,2,43200283,2',Foul by David Martínez (River Plate).,2024-05-22 04:49:41
12338,702058,3,43200283,2',Marcos Arturia (Temperley) wins a free kick on the right wing.,2024-05-22 04:49:41
12338,702058,4,43200308,3',Attempt saved. Rodrigo Mazur (Temperley) header from the centre of the box is saved in the bottom left corner. Assisted by Julián Mavilla.,2024-05-22 04:49:41
12338,702058,5,43200309,4',Foul by Claudio Echeverri (River Plate).,2024-05-22 04:49:41
12338,702058,6,43200309,4',Lucas Baldunciel (Temperley) wins a free kick in the attacking half.,2024-05-22 04:49:41
12338,702058,7,43200310,5',Attempt missed. Julián Mavilla (Temperley) left footed shot from outside the box is too high from a direct free kick.,2024-05-22 04:49:41
12338,702058,8,43200326,6',Foul by Marcos Arturia (Temperley).,2024-05-22 04:49:41
12338,702058,9,43200326,6',Rodrigo Villagra (River Plate) wins a free kick on the right wing.,2024-05-22 04:49:41
12338,702058,10,43200362,7',Attempt missed. David Martínez (River Plate) left footed shot from very close range is high and wide to the left following a set piece situation.,2024-05-23 04:53:38
12338,702058,11,43200349,7',Attempt saved. Marcos Arturia (Temperley) right footed shot from the centre of the box is saved in the centre of the goal. Assisted by Rodrigo Mazur.,2024-05-22 04:49:41
12338,702058,12,43200377,8',Attempt blocked. Jorge Scolari (Temperley) right footed shot from more than 35 yards is blocked.,2024-05-22 04:49:41
12338,702058,13,43200381,10',"Corner, Temperley. Conceded by David Martínez.",2024-05-22 04:49:41
12338,702058,14,43200382,10',Attempt missed. Jorge Scolari (Temperley) header from the left side of the box is too high. Assisted by Lucas Baldunciel with a cross following a corner.,2024-05-22 04:49:41
12338,702058,15,43200428,15',Attempt blocked. Rodrigo Aliendro (River Plate) right footed shot from outside the box is blocked. Assisted by Claudio Echeverri.,2024-05-22 04:49:41
12338,702058,16,43200442,16',Foul by Rodrigo Aliendro (River Plate).,2024-05-22 04:49:41
12338,702058,17,43200442,16',Marcos Arturia (Temperley) wins a free kick in the attacking half.,2024-05-22 04:49:41
12338,702058,18,43200458,19',Attempt missed. Leandro González Pírez (River Plate) right footed shot from more than 35 yards is high and wide to the right. Assisted by Rodrigo Aliendro.,2024-05-22 04:49:41
12338,702058,19,43200480,20',Hand ball by Rodrigo Mazur (Temperley).,2024-05-22 04:49:41
12338,702058,20,43200503,23',Claudio Echeverri (River Plate) hits the bar with a right footed shot from outside the box. Assisted by Facundo Colidio.,2024-05-22 04:49:41
12338,702058,21,43200523,24',Agustín Sosa (Temperley) wins a free kick in the defensive half.,2024-05-22 04:49:41
12338,702058,22,43200523,24',Foul by Facundo Colidio (River Plate).,2024-05-22 04:49:41
12338,702058,23,43200525,24',Foul by Marcos Arturia (Temperley).,2024-05-22 04:49:41
12338,702058,24,43200525,24',Rodrigo Villagra (River Plate) wins a free kick in the defensive half.,2024-05-22 04:49:41
12338,702058,25,43200555,26',Attempt blocked. Nacho Fernández (River Plate) left footed shot from outside the box is blocked. Assisted by Miguel Borja.,2024-05-22 04:49:41
12338,702058,26,43200840,27',Foul by Juan Segovia (Temperley).,2024-05-22 04:49:41
12338,702058,27,43200840,27',Miguel Borja (River Plate) wins a free kick in the attacking half.,2024-05-22 04:49:41
12338,702058,28,43200556,27',Juan Segovia (Temperley) is shown the yellow card for a bad foul.,2024-05-22 04:49:41
12338,702058,29,43200583,29',Attempt blocked. Claudio Echeverri (River Plate) right footed shot from outside the box is blocked.,2024-05-22 04:49:41
12338,702058,30,-1,29',"Corner, River Plate. Conceded by Marcos Arturia.",2024-05-22 04:49:41
12338,702058,31,43200632,33',"Corner, River Plate. Conceded by Juan Segovia.",2024-05-22 04:49:41
12338,702058,32,43200638,34',Attempt missed. Nacho Fernández (River Plate) left footed shot from outside the box is high and wide to the left. Assisted by Facundo Colidio.,2024-05-22 04:49:41
12338,702058,33,43200665,35',"Offside, Temperley. Emanuel Ibáñez is caught offside.",2024-05-22 04:49:41
12338,702058,34,43200680,36',"Attempt missed. Marcos Arturia (Temperley) right footed shot from the right side of the box is close, but misses to the right. Assisted by Lucas Baldunciel.",2024-05-22 04:49:41
12338,702058,35,43200702,39',Foul by Leandro González Pírez (River Plate).,2024-05-22 04:49:41
12338,702058,36,43200702,39',Julián Mavilla (Temperley) wins a free kick in the defensive half.,2024-05-22 04:49:41
12338,702058,37,43200744,41',Foul by Agustín Sosa (Temperley).,2024-05-22 04:49:41
12338,702058,38,43200744,41',Milton Casco (River Plate) wins a free kick on the left wing.,2024-05-22 04:49:41
12338,702058,39,43200745,41',Agustín Sosa (Temperley) is shown the yellow card for a bad foul.,2024-05-22 04:49:41
12338,702058,40,43200765,43',Attempt missed. Julián Mavilla (Temperley) right footed shot from the centre of the box is high and wide to the right. Assisted by Lucas Baldunciel with a cross.,2024-05-22 04:49:41
12338,702058,41,43200800,44',Attempt missed. Nacho Fernández (River Plate) right footed shot from outside the box is too high. Assisted by Milton Casco.,2024-05-22 04:49:41
12338,702058,42,-1,45'+1',Delay in match  because of an injury Nacho Fernández (River Plate).,2024-05-22 04:49:41
12338,702058,43,43200812,45'+2',Hernán Da Campo (Temperley) is shown the yellow card for a bad foul.,2024-05-22 04:49:41
12338,702058,44,-1,45'+3',Delay over. They are ready to continue.,2024-05-22 04:49:41
12338,702058,45,-1,45'+4',"First Half ends, Temperley 0, River Plate 0.",2024-05-22 04:49:41
12338,702058,46,43200957,45',"Second Half begins Temperley 0, River Plate 0.",2024-05-22 04:49:41
12338,702058,47,43200951,45',"Substitution, River Plate. Esequiel Barco replaces Nacho Fernández.",2024-05-22 04:49:41
12338,702058,48,43200961,46',"Corner, River Plate. Conceded by Julián Mavilla.",2024-05-22 04:49:41
12338,702058,49,43200990,47',Foul by Esequiel Barco (River Plate).,2024-05-22 04:49:41
12338,702058,50,43200990,47',Marcos Arturia (Temperley) wins a free kick on the left wing.,2024-05-22 04:49:41
12338,702058,51,43200984,48',Attempt missed. Juan Segovia (Temperley) header from the centre of the box is just a bit too high. Assisted by Julián Mavilla following a set piece situation.,2024-05-22 04:49:41
12338,702058,52,43200991,50',Foul by Marcos Arturia (Temperley).,2024-05-22 04:49:41
12338,702058,53,43200991,50',Rodrigo Villagra (River Plate) wins a free kick in the defensive half.,2024-05-22 04:49:41
12338,702058,54,43200993,50',Claudio Echeverri (River Plate) wins a free kick in the attacking half.,2024-05-22 04:49:41
12338,702058,55,43200993,50',Foul by Lucas Richarte (Temperley).,2024-05-22 04:49:41
12338,702058,56,43200996,51',"Goal!  Temperley 0, River Plate 1. Esequiel Barco (River Plate) from a free kick with a right footed shot to the top left corner.",2024-05-22 04:49:41
12338,702058,57,43201005,54',Attempt saved. Milton Casco (River Plate) right footed shot from the left side of the box is saved in the top left corner. Assisted by Esequiel Barco.,2024-05-22 04:49:41
12338,702058,58,-1,58',"Corner, Temperley. Conceded by Leandro González Pírez.",2024-05-22 04:49:41
12338,702058,59,43201371,59',Esequiel Barco (River Plate) wins a free kick in the defensive half.,2024-05-22 04:49:41
12338,702058,60,43201371,59',Foul by Marcos Arturia (Temperley).,2024-05-22 04:49:41
12338,702058,61,43201036,60',Foul by Andrés Herrera (River Plate).,2024-05-22 04:49:41
12338,702058,62,43201036,60',Lucas Richarte (Temperley) wins a free kick in the attacking half.,2024-05-22 04:49:41
12338,702058,63,43201048,60',Andrés Herrera (River Plate) is shown the yellow card for a bad foul.,2024-05-22 04:49:41
12338,702058,64,43201055,61',Foul by Emanuel Ibáñez (Temperley).,2024-05-22 04:49:41
12338,702058,65,43201055,61',Leandro González Pírez (River Plate) wins a free kick in the defensive half.,2024-05-22 04:49:41
12338,702058,66,43201061,63',"Attempt missed. Claudio Echeverri (River Plate) right footed shot from the left side of the six yard box is close, but misses to the left. Assisted by Milton Casco.",2024-05-22 04:49:41
12338,702058,67,43201110,65',Attempt saved. Rodrigo Aliendro (River Plate) right footed shot from the right side of the box is saved in the centre of the goal. Assisted by Facundo Colidio.,2024-05-23 04:53:38
12338,702058,68,43201112,65',Attempt saved. Miguel Borja (River Plate) right footed shot from very close range is saved in the centre of the goal.,2024-05-22 04:49:41
12338,702058,69,43201075,65',Foul by Miguel Borja (River Plate).,2024-05-22 04:49:41
12338,702058,70,43201075,65',Francisco Rago (Temperley) wins a free kick in the defensive half.,2024-05-22 04:49:41
12338,702058,71,43201114,67',"Substitution, River Plate. Pablo Solari replaces Miguel Borja.",2024-05-22 04:49:41
12338,702058,72,43201115,67',"Substitution, River Plate. Agustín Sant'Anna replaces Andrés Herrera.",2024-05-22 04:49:41
12338,702058,73,43201143,71',Foul by Leandro González Pírez (River Plate).,2024-05-22 04:49:41
12338,702058,74,43201143,71',Marcos Arturia (Temperley) wins a free kick in the defensive half.,2024-05-22 04:49:41
12338,702058,75,43201154,71',"Substitution, Temperley. Francisco Ilarregui replaces Julián Mavilla.",2024-05-22 04:49:41
12338,702058,76,43201152,71',"Substitution, Temperley. Fernando Martínez replaces Lucas Baldunciel.",2024-05-22 04:49:41
12338,702058,77,43201153,72',"Offside, River Plate. Pablo Solari is caught offside.",2024-05-22 04:49:41
12338,702058,78,43201175,73',"Substitution, River Plate. Santiago Simón replaces Claudio Echeverri.",2024-05-22 04:49:41
12338,702058,79,43201186,75',Foul by Fernando Martínez (Temperley).,2024-05-22 04:49:41
12338,702058,80,43201186,75',Rodrigo Aliendro (River Plate) wins a free kick in the attacking half.,2024-05-22 04:49:41
12338,702058,81,43201206,76',"Substitution, Temperley. Luis López replaces Hernán Da Campo.",2024-05-22 04:49:41
12338,702058,82,43201228,79',Emanuel Ibáñez (Temperley) wins a free kick in the defensive half.,2024-05-22 04:49:41
12338,702058,83,43201228,79',Foul by Santiago Simón (River Plate).,2024-05-22 04:49:41
12338,702058,84,43201236,80',Attempt blocked. Pablo Solari (River Plate) left footed shot from the centre of the box is blocked. Assisted by Santiago Simón.,2024-05-22 04:49:41
12338,702058,85,43201239,80',"Corner, River Plate. Conceded by Emanuel Ibáñez.",2024-05-22 04:49:41
12338,702058,86,43201258,81',Attempt missed. Rodrigo Aliendro (River Plate) right footed shot from outside the box is too high. Assisted by Milton Casco.,2024-05-22 04:49:41
12338,702058,87,43201278,84',"Corner, River Plate. Conceded by Jorge Scolari.",2024-05-22 04:49:41
12338,702058,88,43201281,86',Attempt missed. Santiago Simón (River Plate) right footed shot from outside the box is too high. Assisted by Facundo Colidio.,2024-05-22 04:49:41
12338,702058,89,43201296,86',"Substitution, River Plate. Nicolás Fonseca replaces Rodrigo Aliendro.",2024-05-22 04:49:41
12338,702058,90,43201282,87',"Offside, River Plate. Pablo Solari is caught offside.",2024-05-22 04:49:41
12338,702058,91,43201299,87',"Attempt missed. Francisco Ilarregui (Temperley) left footed shot from outside the box is close, but misses to the right. Assisted by Marcos Arturia.",2024-05-22 04:49:41
12338,702058,92,43201301,88',"Substitution, Temperley. Franco Camejo replaces Marcos Arturia.",2024-05-22 04:49:41
12338,702058,93,43201300,88',"Substitution, Temperley. Pedro Souto replaces Rodrigo Mazur.",2024-05-22 04:49:41
12338,702058,94,43201305,90',Esequiel Barco (River Plate) wins a free kick in the attacking half.,2024-05-22 04:49:41
12338,702058,95,43201305,90',Foul by Emanuel Ibáñez (Temperley).,2024-05-22 04:49:41
12338,702058,96,43201307,90',Emanuel Ibáñez (Temperley) is shown the yellow card for a bad foul.,2024-05-22 04:49:41
12338,702058,97,43201316,90'+1',Foul by David Martínez (River Plate).,2024-05-22 04:49:41
12338,702058,98,43201316,90'+1',Luis López (Temperley) wins a free kick in the defensive half.,2024-05-22 04:49:41
12338,702058,99,43201331,90'+2',"Goal!  Temperley 1, River Plate 1. Fernando Martínez (Temperley) right footed shot from the centre of the box to the high centre of the goal. Assisted by Luis López with a headed pass.",2024-05-22 04:49:41
12338,702058,100,43201343,90'+4',"Second Half ends, Temperley 1, River Plate 1.",2024-05-22 04:49:41
12338,702058,101,-1,90',"Penalty Shootout begins Temperley 1, River Plate 1.",2024-05-22 04:49:41
12338,702058,102,43201389,91',"Goal!  Temperley 1(1), River Plate 1. Francisco Ilarregui (Temperley) converts the penalty with a right footed shot to the bottom right corner.",2024-05-22 04:49:41
12338,702058,103,43201393,92',"Goal!  Temperley 1(1), River Plate 1(1). Facundo Colidio (River Plate) converts the penalty with a right footed shot to the high centre of the goal.",2024-05-22 04:49:41
12338,702058,104,43201399,93',"Goal!  Temperley 1(2), River Plate 1(1). Pedro Souto (Temperley) converts the penalty with a left footed shot to the bottom right corner.",2024-05-22 04:49:41
12338,702058,105,43201406,94',Penalty saved. Esequiel Barco (River Plate)  right footed shot saved  in the bottom right corner.,2024-05-22 04:49:41
12338,702058,106,43201411,95',"Goal!  Temperley 1(3), River Plate 1(1). Jorge Scolari (Temperley) converts the penalty with a right footed shot to the bottom left corner.",2024-05-22 04:49:41
12338,702058,107,43201417,95',"Goal!  Temperley 1(3), River Plate 1(2). Santiago Simón (River Plate) converts the penalty with a right footed shot to the bottom right corner.",2024-05-22 04:49:41
12338,702058,108,43201421,96',Penalty missed. Emanuel Ibáñez (Temperley)  right footed shot  is just a bit too high.,2024-05-22 04:49:41
12338,702058,109,43201438,97',"Goal!  Temperley 1(3), River Plate 1(3). Nicolás Fonseca (River Plate) converts the penalty with a right footed shot to the bottom left corner.",2024-05-22 04:49:41
12338,702058,110,43201444,98',"Goal!  Temperley 1(4), River Plate 1(3). Luis López (Temperley) converts the penalty with a left footed shot to the high centre of the goal.",2024-05-22 04:49:41
12338,702058,111,43201447,98',"Goal!  Temperley 1(4), River Plate 1(4). Agustín Sant'Anna (River Plate) converts the penalty with a right footed shot to the bottom left corner.",2024-05-22 04:49:41
12338,702058,112,43201454,99',"Goal!  Temperley 1(5), River Plate 1(4). Juan Segovia (Temperley) converts the penalty with a left footed shot to the centre of the goal.",2024-05-22 04:49:41
12338,702058,113,43201460,100',Penalty saved. David Martínez (River Plate)  left footed shot saved  in the bottom right corner.,2024-05-22 04:49:41
12338,702058,114,-1,100',"Penalty Shootout ends, Temperley 1(5), River Plate 1(4).",2024-05-22 04:49:41
12338,702058,115,-1,,"Match ends, Temperley 1(5), River Plate 1(4).",2024-05-22 04:49:41
12338,702059,0,-1,,Lineups are announced and players are warming up.,2024-05-30 04:59:00
12338,702059,1,-1,,First Half begins.,2024-05-30 04:59:00
12338,702059,2,43236914,1',Hand ball by Gabriel Urruchúa (El Porvenir).,2024-05-30 04:59:00
12338,702059,3,43236921,3',Attempt saved. Martín Pino (Godoy Cruz) right footed shot from outside the box is saved in the bottom left corner. Assisted by Tomás Badaloni.,2024-05-30 04:59:00
12338,702059,4,43236922,3',"Corner, Godoy Cruz. Conceded by Franco Carretero.",2024-05-30 04:59:00
12338,702059,5,43236929,4',Attempt missed. Vicente Poggi (Godoy Cruz) right footed shot from outside the box misses to the left following a corner.,2024-05-30 04:59:00
12338,702059,6,43236923,4',Foul by Felipe Ruiz (El Porvenir).,2024-05-30 04:59:00
12338,702059,7,43236923,4',Pier Barrios (Godoy Cruz) wins a free kick in the attacking half.,2024-05-30 04:59:00
12338,702059,8,43236926,5',Attempt saved. Thomas Galdames (Godoy Cruz) left footed shot from outside the box is saved in the bottom left corner.,2024-05-30 04:59:00
12338,702059,9,43236928,5',"Corner, Godoy Cruz. Conceded by Franco Carretero.",2024-05-30 04:59:00
12338,702059,10,43236930,6',"Goal!  El Porvenir 0, Godoy Cruz 1. Martín Pino (Godoy Cruz) header from very close range to the bottom right corner. Assisted by Juan Cejas with a cross   following a corner.",2024-05-30 04:59:00
