seasonType,eventId,commentaryOrder,playId,clockDisplayValue,commentaryText,updateDateTime
12337,702842,0,43644337,14',Adrián Sporle (Independiente) Substitution at 14',2024-10-14 07:06:39
12337,702842,1,43644664,57',Santiago Montiel (Independiente) Goal at 57',2024-10-14 07:06:39
12337,702842,2,43644669,59',Facundo Altamira (Godoy Cruz Antonio Tomba) Substitution at 59',2024-10-14 07:06:39
12337,702842,3,43644670,59',Luciano Pascual (Godoy Cruz Antonio Tomba) Substitution at 59',2024-10-14 07:06:39
12337,702842,4,43644721,70',Santiago Montiel (Independiente) Yellow Card at 70',2024-10-14 07:06:39
12337,702842,5,43644752,70',Gaston Moreyra (Godoy Cruz Antonio Tomba) Substitution at 70',2024-10-14 07:06:39
12337,702842,6,43644753,70',Martín Pino (Godoy Cruz Antonio Tomba) Substitution at 70',2024-10-14 07:06:39
12337,702842,7,43644745,74',Santiago López (Independiente) Goal at 74',2024-10-14 07:06:39
12337,702842,8,43644765,76',Ruben Martinez (Independiente) Substitution at 76',2024-10-14 07:06:39
12337,702842,9,43644766,76',Diego Tarzia (Independiente) Substitution at 76',2024-10-14 07:06:39
12337,702842,10,43644805,83',Facundo Ardiles (Godoy Cruz Antonio Tomba) Substitution at 83',2024-10-14 07:06:39
12337,702842,11,43644815,84',Federico Mancuello (Independiente) Substitution at 84',2024-10-14 07:06:39
12337,702842,12,43644816,85',Pedro Canelo (Independiente) Substitution at 85',2024-10-14 07:06:39
12337,702842,13,43644834,88',Diego Tarzia (Independiente) Goal at 88',2024-10-14 07:06:39
12337,704277,0,43506056,10',Christian Ordoñez (Vélez Sarsfield) Goal at 10',2024-10-14 07:06:39
12337,704277,1,43506117,22',Matías Reali (San Lorenzo) Yellow Card at 22',2024-10-14 07:06:39
12337,704277,2,43506142,29',Francisco Pizzini (Vélez Sarsfield) Yellow Card at 29',2024-10-14 07:06:39
12337,704277,3,43506155,35',Santiago Sosa (San Lorenzo) Substitution at 35',2024-10-14 07:06:39
12337,704277,4,43506220,42',Christian Ordoñez (Vélez Sarsfield) Yellow Card at 42',2024-10-14 07:06:39
12337,704277,5,43506403,45',Elías Baez (San Lorenzo) Substitution at 45',2024-10-14 07:06:39
12337,704277,6,43506455,53',Agustín Bouzat (Vélez Sarsfield) Yellow Card at 53',2024-10-14 07:06:39
12337,704277,7,43506528,58',Alexis Cuello (San Lorenzo) Yellow Card at 58',2024-10-14 07:06:39
12337,704277,8,43506529,59',Nahuel Barrios (San Lorenzo) Substitution at 59',2024-10-14 07:06:39
12337,704277,9,43506558,62',Alexis Cuello (San Lorenzo) Goal at 62',2024-10-14 07:06:39
12337,704277,10,43506597,65',Elian Mateo Irala (San Lorenzo) Yellow Card at 65',2024-10-14 07:06:39
12337,704277,11,43506606,67',Michael Santos (Vélez Sarsfield) Substitution at 67',2024-10-14 07:06:39
