seasonType,eventId,commentaryOrder,playId,clockDisplayValue,commentaryText,updateDateTime
12915,720908,0,44110526,15',Sasha Grove (Western United) Own Goal at 15',2024-11-02 14:41:56
12915,720908,1,44110527,17',Chloe Logarzo (Western United) Goal at 17',2024-11-02 14:41:56
12915,720908,2,44110528,19',Aimee Medwin (Western United) Goal at 19',2024-11-02 14:41:56
12915,720908,3,44110529,39',Kahli Johnson (Western United) Goal at 39',2024-11-02 14:41:56
12915,720908,4,44110530,40',Chloe Logarzo (Western United) Goal at 40',2024-11-05 22:55:55
12915,720908,5,44110532,45',Zoe Mcmeeken (Wellington Phoenix) Substitution at 45',2024-11-02 14:41:56
12915,720908,6,44110533,45',Daisy Brazendale (Wellington Phoenix) Substitution at 45',2024-11-02 14:41:56
12915,720908,7,44110534,45',Lara Will (Wellington Phoenix) Substitution at 45',2024-11-02 14:41:56
12915,720908,8,44110535,56',Melissa Taranto (Western United) Substitution at 56',2024-11-02 14:41:56
12915,720908,9,44110536,56',Sandra Ibarguen (Western United) Substitution at 56',2024-11-02 14:41:56
12915,720908,10,44110538,75',Olivia Ingham (Wellington Phoenix) Substitution at 75',2024-11-02 14:41:56
12915,720908,11,44110540,82',Emma Main (Wellington Phoenix) Penalty - Scored at 82',2024-11-02 14:41:56
12915,720908,12,44110541,83',Julia Sardo (Western United) Substitution at 83',2024-11-02 14:41:56
12915,720908,13,44110542,84',Olivia Ingham (Wellington Phoenix) Yellow Card at 84',2024-11-02 14:41:56
12915,720908,14,44110544,90'+2',Avaani Prakash (Western United) Substitution at 92',2024-11-02 14:41:56
12915,720909,0,44115001,41',Jade Pennock (Central Coast Mariners) Penalty - Scored at 41',2024-11-02 14:41:56
12915,720909,1,44115087,45',Bianca Galic (Central Coast Mariners) Substitution at 45',2024-11-02 14:41:56
12915,720909,2,44115153,60',Caley Tallon-Henniker (Sydney FC ) Substitution at 60',2024-11-02 14:41:56
12915,720909,3,44115154,60',Madeleine Caspers (Sydney FC ) Substitution at 60',2024-11-02 14:41:56
12915,720909,4,44115161,62',Isabel Gomez (Central Coast Mariners) Goal at 62',2024-11-03 13:43:13
12915,720909,5,44115175,64',Annalise Rasmussen (Central Coast Mariners) Substitution at 64',2024-11-03 13:43:13
12915,720909,6,44115213,72',Princess Ibani (Sydney FC ) Substitution at 72',2024-11-03 13:43:13
12915,720909,7,44115241,78',Tess Quilligan (Central Coast Mariners) Substitution at 78',2024-11-03 13:43:13
12915,720909,8,44115255,83',Princess Ibani (Sydney FC ) Goal at 83',2024-11-03 13:43:13
12915,720909,9,44115275,83',Margaux Chauvet (Sydney FC ) Substitution at 83',2024-11-03 13:43:13
12915,720909,10,44115276,87',Bianca Galic (Central Coast Mariners) Goal at 87',2024-11-03 13:43:13
12915,720909,11,44115289,90'+2',Leia Puxty (Central Coast Mariners) Substitution at 92',2024-11-03 13:43:13
12915,720910,0,44115307,15',Maja Markovski (Canberra United ) Goal at 15',2024-11-02 14:41:56
12915,720910,1,44115310,31',Mary Stanic-Floody (Canberra United ) Goal at 31',2024-11-02 14:41:56
12915,720910,2,44115322,50',Evdokiya Popadinova (Brisbane Roar) Goal at 50',2024-11-02 14:41:56
12915,720910,3,44115323,56',Maja Markovski (Canberra United ) Goal at 56',2024-11-02 14:41:56
12915,720910,4,44115324,59',Chelsea Blissett (Brisbane Roar) Yellow Card at 59',2024-11-02 14:41:56
12915,720910,5,44115325,63',Ruby Nathan (Canberra United ) Substitution at 63',2024-11-02 14:41:56
12915,720910,6,44115326,69',Emily Pringle (Brisbane Roar) Substitution at 69',2024-11-02 14:41:56
12915,720910,7,44115327,71',Holly Murray (Canberra United ) Substitution at 71',2024-11-02 14:41:56
12915,720910,8,44115328,71',Jynaya Dos Santos (Canberra United ) Substitution at 71',2024-11-02 14:41:56
12915,720910,9,44115329,77',Grace Kuilamu (Brisbane Roar) Substitution at 77',2024-11-02 14:41:56
12915,720910,10,44115330,78',Isabela Hoyos (Brisbane Roar) Substitution at 78',2024-11-02 14:41:56
12915,720910,11,44115331,81',Maja Markovski (Canberra United ) Yellow Card at 81',2024-11-02 14:41:56
12915,720910,12,44115333,84',Jaya Bowman (Canberra United ) Substitution at 84',2024-11-02 14:41:56
12915,720910,13,44115334,85',Zara Kruger (Brisbane Roar) Substitution at 85',2024-11-02 14:41:56
12915,720910,14,44115335,89',Deborah De La Harpe (Brisbane Roar) Goal at 89',2024-11-02 14:41:56
12915,720910,15,44115337,90'+7',Holly Murray (Canberra United ) Yellow Card at 97',2024-11-02 14:41:56
12915,720911,0,44115320,4',Emily Gielnik (Melbourne Victory ) Goal at 4',2024-11-02 14:41:56
12915,720911,1,44115321,6',Fiona Worts (Adelaide United ) Goal at 6',2024-11-02 14:41:56
12915,720911,2,44115336,45'+3',Emily Gielnik (Melbourne Victory ) Goal at 48',2024-11-02 14:41:56
12915,720911,3,44115339,57',Meleri Mullan (Adelaide United ) Substitution at 57',2024-11-02 14:41:56
12915,720911,4,44115340,57',Tiarna Karambasis (Adelaide United ) Substitution at 57',2024-11-02 14:41:56
12915,720911,5,44115343,62',Ella O'Grady (Melbourne Victory ) Substitution at 62',2024-11-02 14:41:56
12915,720911,6,44115346,71',Fiona Worts (Adelaide United ) Goal at 71',2024-11-02 14:41:56
12915,720911,7,44115351,74',Sofia Sakalis (Melbourne Victory ) Substitution at 74',2024-11-02 14:41:56
12915,720911,8,44115352,74',Rosie Curtis (Melbourne Victory ) Substitution at 74',2024-11-02 14:41:56
12915,720911,9,44115353,83',Ava Briedis (Melbourne Victory ) Substitution at 83',2024-11-02 14:41:56
12915,720911,10,44115354,83',Abby Middleton (Adelaide United ) Substitution at 83',2024-11-02 14:41:56
12915,720911,11,44115355,84',Miley Grigg (Adelaide United ) Substitution at 84',2024-11-02 14:41:56
12915,720911,12,44115361,90'+2',Ava Briedis (Melbourne Victory ) Goal at 92',2024-11-02 14:41:56
12915,720911,13,44115365,90'+7',Ella O'Grady (Melbourne Victory ) Yellow Card at 97',2024-11-02 14:41:56
12915,720912,0,44130518,7',Kelli Brown (Perth Glory) Goal at 7',2024-11-03 13:43:13
12915,720912,1,44130758,45',Morgan Roberts (Perth Glory) Substitution at 45',2024-11-03 13:43:13
12915,720912,2,44130769,51',Miku Sunaga (Perth Glory) Goal at 51',2024-11-03 13:43:13
12915,720912,3,44130778,53',Rhianna Pollicina (Melbourne City) Goal at 53',2024-11-03 13:43:13
12915,720912,4,44130782,61',Kathryn Harvey (Melbourne City) Substitution at 61',2024-11-03 13:43:13
12915,720912,5,44130783,62',Tyla-Jay Vlajnic (Melbourne City) Substitution at 62',2024-11-03 13:43:13
12915,720912,6,44130784,63',Kathryn Harvey (Melbourne City) Goal at 63',2024-11-03 13:43:13
12915,720912,7,44130792,69',Rhianna Pollicina (Melbourne City) Goal at 69',2024-11-03 13:43:13
12915,720912,8,44130797,70',Sarah O'Donoghue (Perth Glory) Substitution at 70',2024-11-03 13:43:13
12915,720912,9,44130798,73',Kathryn Harvey (Melbourne City) Goal at 73',2024-11-03 13:43:13
12915,720912,10,44130799,74',Mischa Anderson (Perth Glory) Substitution at 74',2024-11-03 13:43:13
12915,720912,11,44130809,85',Ischia Brooking (Perth Glory) Substitution at 85',2024-11-03 13:43:13
12915,720912,12,44130818,90'+5',Laura Hughes (Melbourne City) Goal at 95',2024-11-03 13:43:13
12915,720912,13,44130819,90'+6',Kiera Meyers (Melbourne City) Substitution at 96',2024-11-03 13:43:13
12915,720913,0,44130761,4',Sophie Harding (Western Sydney ) Goal at 4',2024-11-03 13:43:13
12915,720913,1,44130793,27',Sienna Saveska (Western Sydney ) Goal at 27',2024-11-03 13:43:13
12915,720913,2,44130815,45'+2',Sienna Saveska (Western Sydney ) Yellow Card at 47',2024-11-03 13:43:13
12915,720913,3,44130817,45'+4',Deven Jackson (Newcastle Jets ) Goal at 49',2024-11-03 13:43:13
12915,720913,4,44130827,51',Talia Younis (Western Sydney ) Substitution at 51',2024-11-03 13:43:13
12915,720913,5,44130833,59',Lara Gooch (Newcastle Jets ) Substitution at 59',2024-11-03 13:43:13
12915,720913,6,44130835,61',Lauren Allan (Newcastle Jets ) Goal at 61',2024-11-03 13:43:13
12915,720913,7,44130843,68',Libby Copus-Brown (Newcastle Jets ) Yellow Card at 68',2024-11-03 13:43:13
12915,720913,8,44130850,74',Sheridan Gallagher (Newcastle Jets ) Substitution at 74',2024-11-03 13:43:13
12915,720913,9,44130851,77',Bronte Trew (Western Sydney ) Substitution at 77',2024-11-03 13:43:13
12915,720913,10,44130856,77',Amelia Cassar (Western Sydney ) Substitution at 77',2024-11-03 13:43:13
12915,720913,11,44130868,86',Talia Kapetanellis (Western Sydney ) Substitution at 86',2024-11-03 13:43:13
12915,720913,12,44130869,86',Emma Dundas (Newcastle Jets ) Substitution at 86',2024-11-03 13:43:13
12915,720914,0,44170235,56',Sara Eggesvik (Western United) Substitution at 56',2024-11-09 06:18:45
12915,720914,1,44170236,56',Sandra Ibarguen (Western United) Substitution at 56',2024-11-09 06:18:45
12915,720914,2,44170239,60',Annalise Rasmussen (Central Coast Mariners) Substitution at 60',2024-11-09 06:18:45
12915,720914,3,44170243,67',Isabel Gomez (Central Coast Mariners) Yellow Card at 67',2024-11-09 06:18:45
12915,720914,4,44170441,78',Shadeene Evans (Central Coast Mariners) Substitution at 78',2024-11-09 06:18:45
12915,720914,5,44170445,89',Lily Mcmahon (Central Coast Mariners) Substitution at 89',2024-11-09 06:18:45
12915,720915,0,44174905,6',Mariana Speckmaier (Melbourne City) Goal at 6',2024-11-09 06:18:45
12915,720915,1,44174922,20',Emily Gielnik (Melbourne Victory ) Penalty - Scored at 20',2024-11-09 06:18:45
12915,720915,2,44174936,29',Alana Jancevski (Melbourne Victory ) Yellow Card at 29',2024-11-09 06:18:45
12915,720915,3,44174962,36',Claudia Bunge (Melbourne Victory ) Yellow Card at 36',2024-11-09 06:18:45
12915,720915,4,44174972,42',Alana Jancevski (Melbourne Victory ) Goal at 42',2024-11-09 06:18:45
12915,720915,5,44174986,45'+4',Kayla Ann Morrison (Melbourne Victory ) Yellow Card at 49',2024-11-09 06:18:45
12915,720915,6,44175074,59',Sara D'Appolonia (Melbourne Victory ) Substitution at 59',2024-11-09 06:18:45
12915,720915,7,44175084,64',Lourdes Bosch (Melbourne City) Goal at 64',2024-11-09 06:18:45
12915,720915,8,44175091,65',Alexia Apostolakis (Melbourne City) Yellow Card at 65',2024-11-09 06:18:45
12915,720915,9,44175112,70',Tyla-Jay Vlajnic (Melbourne City) Substitution at 70',2024-11-09 06:18:45
12915,720915,10,44175113,70',Ella O'Grady (Melbourne Victory ) Substitution at 70',2024-11-09 06:18:45
12915,720915,11,44175114,70',Leticia Mckenna (Melbourne City) Substitution at 70',2024-11-09 06:18:45
12915,720915,12,44175115,72',Beatrice Goad (Melbourne Victory ) Yellow Card at 72',2024-11-09 06:18:45
12915,720915,13,44175151,79',Sofia Sakalis (Melbourne Victory ) Substitution at 79',2024-11-09 06:18:45
12915,720915,14,44175152,80',Emilia Murray (Melbourne City) Substitution at 80',2024-11-09 06:18:45
12915,720915,15,44175169,85',Mariana Speckmaier (Melbourne City) Goal at 85',2024-11-09 06:18:45
12915,720915,16,44175191,89',Laura Hughes (Melbourne City) Yellow Card at 89',2024-11-09 06:18:45
12915,720915,17,44175200,90'+3',Kiera Meyers (Melbourne City) Substitution at 93',2024-11-09 06:18:45
