seasonType,eventId,commentaryOrder,playId,clockDisplayValue,commentaryText,updateDateTime
12743,710523,0,43487213,4',Benjamin Rosenberger (Grazer AK) Own Goal at 4',2024-08-03 09:27:46
12743,710523,1,43487224,6',Nene Dorgeles (RB Salzburg) Goal at 6',2024-08-03 09:27:46
12743,710523,2,43487244,10',Michael Lang (Grazer AK) Goal at 10',2024-08-03 09:27:46
12743,710523,3,43487279,18',Romeo Vucic (Grazer AK) Goal at 18',2024-08-03 09:27:46
12743,710523,4,43487405,45'+2',Karim Konaté (RB Salzburg) Penalty - Scored at 47',2024-08-03 09:27:46
12743,710523,5,43487581,65',Dennis Dressel (Grazer AK) Substitution at 65',2024-08-03 09:27:46
12743,710523,6,43487582,65',Jacob Italiano (Grazer AK) Substitution at 65',2024-08-03 09:27:46
12743,710523,7,43487583,66',Petar Ratkov (RB Salzburg) Substitution at 66',2024-08-03 09:27:46
12743,710523,8,43487584,66',Mads Bidstrup (RB Salzburg) Substitution at 66',2024-08-03 09:27:46
12743,710523,9,43487594,73',Marco Gantschnig (Grazer AK) Substitution at 73',2024-08-03 09:27:46
12743,710523,10,43487595,74',Michael Cheukoua (Grazer AK) Substitution at 74',2024-08-04 09:28:48
12743,710523,11,43487607,78',Jacob Italiano (Grazer AK) Yellow Card at 78',2024-08-03 09:27:46
12743,710523,12,43487612,79',Kamil Piatkowski (RB Salzburg) Substitution at 79',2024-08-03 09:27:46
12743,710523,13,43487613,79',Lucas Gourna Douath (RB Salzburg) Substitution at 79',2024-08-03 09:27:46
12743,710523,14,43487639,83',Atsushi Zaizen (Grazer AK) Substitution at 83',2024-08-03 09:27:46
12743,710523,15,43487640,85',Moussa Yeo (RB Salzburg) Substitution at 85',2024-08-03 09:27:46
12743,710523,16,43487641,86',Lucas Gourna Douath (RB Salzburg) Yellow Card at 86',2024-08-03 09:27:46
12743,710523,17,43487661,90'+2',Atsushi Zaizen (Grazer AK) Yellow Card at 92',2024-08-03 09:27:46
12743,710524,0,43489295,8',Jamie Lawrence (WSG Swarovski Tirol) Goal at 8',2024-08-04 09:28:48
12743,710524,1,43489475,28',Oliver Strunz (SC Rheindorf Altach) Yellow Card at 28',2024-08-04 09:28:48
12743,710524,2,43489714,51',Matthäus Taferner (WSG Swarovski Tirol) Yellow Card at 51',2024-08-04 09:28:48
12743,710524,3,43489773,62',Luca Kronberger (SC Rheindorf Altach) Substitution at 62',2024-08-04 09:28:48
12743,710524,4,43489774,62',Gustavo Balotelli (SC Rheindorf Altach) Substitution at 62',2024-08-04 09:28:48
12743,710524,5,43489775,63',Quincy Butler (WSG Swarovski Tirol) Substitution at 63',2024-08-04 09:28:48
12743,710524,6,43489776,64',Tobias Anselm (WSG Swarovski Tirol) Substitution at 64',2024-08-04 09:28:48
12743,710524,7,43489786,67',Sofian Bahloul (SC Rheindorf Altach) Substitution at 67',2024-08-04 09:28:48
12743,710524,8,43489803,70',Sandro Ingolitsch (SC Rheindorf Altach) Yellow Card at 70',2024-08-04 09:28:48
12743,710524,9,43489814,73',Gustavo Balotelli (SC Rheindorf Altach) Goal at 73',2024-08-04 09:28:48
12743,710524,10,43489848,78',Filip Milojevic (SC Rheindorf Altach) Substitution at 78',2024-08-04 09:28:48
12743,710524,11,43489860,81',Bror Blume (WSG Swarovski Tirol) Goal at 81',2024-08-04 09:28:48
12743,710524,12,43489871,83',Osarenren Okungbowa (WSG Swarovski Tirol) Substitution at 83',2024-08-04 09:28:48
12743,710524,13,43489890,88',Lukas Sulzbacher (WSG Swarovski Tirol) Yellow Card at 88',2024-08-04 09:28:48
12743,710524,14,43489906,89',Cem Üstündag (WSG Swarovski Tirol) Substitution at 89',2024-08-04 09:28:48
12743,710524,15,43489925,90'+2',Tobias Anselm (WSG Swarovski Tirol) Yellow Card at 92',2024-08-05 09:30:51
12743,710524,16,43489930,90'+3',Cem Üstündag (WSG Swarovski Tirol) Red Card at 93',2024-08-04 09:28:48
12743,710525,0,43489468,29',Philipp Ziereis (LASK Linz) Goal at 29',2024-08-04 09:28:48
12743,710525,1,43489539,34',Tobias Kainz (TSV Hartberg) Yellow Card at 34',2024-08-04 09:28:48
12743,710525,2,43489566,39',Marin Ljubicic (LASK Linz) Yellow Card at 39',2024-08-04 09:28:48
12743,710525,3,43489732,57',Melayro Bogarde (LASK Linz) Goal at 57',2024-08-04 09:28:48
12743,710525,4,43489748,59',Youba Diarra (TSV Hartberg) Substitution at 59',2024-08-04 09:28:48
12743,710525,5,43489749,59',Elias Havel (TSV Hartberg) Substitution at 59',2024-08-04 09:28:48
12743,710525,6,43489750,59',Maximilian Fillafer (TSV Hartberg) Substitution at 59',2024-08-04 09:28:48
12743,710525,7,43489751,60',Dominik Prokop (TSV Hartberg) Goal at 60',2024-08-04 09:28:48
12743,710525,8,43489787,68',Benjamin Markus (TSV Hartberg) Substitution at 68',2024-08-04 09:28:48
12743,710525,9,43489809,71',Adil Taoui (LASK Linz) Substitution at 71',2024-08-04 09:28:48
12743,710525,10,43489817,76',Maximilian Fillafer (TSV Hartberg) Yellow Card at 76',2024-08-04 09:28:48
12743,710525,11,43489839,78',Alexis Tibidi (LASK Linz) Substitution at 78',2024-08-04 09:28:48
12743,710525,12,43489855,80',Aaron Sky Schwarz (TSV Hartberg) Substitution at 80',2024-08-04 09:28:48
12743,710525,13,43489891,88',Kevin Lebersorger (LASK Linz) Substitution at 88',2024-08-04 09:28:48
12743,710526,0,43490085,3',Jonathan Scherzer (Wolfsberger) Yellow Card at 3',2024-08-05 09:30:51
12743,710526,1,43490111,10',Thierno Ballo (Wolfsberger) Penalty - Scored at 10',2024-08-04 09:28:48
12743,710526,2,43490158,21',Simon Piesinger (Wolfsberger) Goal at 21',2024-08-04 09:28:48
12743,710526,3,43490164,23',Dejan Zukic (Wolfsberger) Goal at 23',2024-08-04 09:28:48
12743,710526,4,43490165,25',Jannik Thomas Robatsch (SK Austria Klagenfurt) Substitution at 25',2024-08-04 09:28:48
12743,710526,5,43490365,45',David Tosevski (SK Austria Klagenfurt) Substitution at 45',2024-08-04 09:28:48
12743,710526,6,43490485,61',David Atanga (Wolfsberger) Substitution at 61',2024-08-04 09:28:48
12743,710526,7,43490486,61',Erik Kojzek (Wolfsberger) Substitution at 61',2024-08-04 09:28:48
12743,710526,8,43490505,67',Christopher Wernitznig (SK Austria Klagenfurt) Substitution at 67',2024-08-04 09:28:48
12743,710526,9,43490506,67',Simon Straudi (SK Austria Klagenfurt) Substitution at 67',2024-08-04 09:28:48
12743,710526,10,43490507,68',Jannik Thomas Robatsch (SK Austria Klagenfurt) Yellow Card at 68',2024-08-04 09:28:48
12743,710526,11,43490549,73',Adis Jasic (Wolfsberger) Yellow Card at 73',2024-08-04 09:28:48
