seasonType,eventId,commentaryOrder,playId,clockDisplayValue,commentaryText,updateDateTime
12252,700581,0,-1,,Lineups are announced and players are warming up.,2024-03-18 05:05:04
12252,700581,1,-1,,First Half begins.,2024-03-18 05:05:04
12252,700581,2,-1,2',Delay in match  because of an injury Hayner (Santos).,2024-03-18 05:05:04
12252,700581,3,-1,2',Delay in match  because of an injury Henrique Dourado (Portuguesa).,2024-03-18 05:05:04
12252,700581,4,-1,2',Delay over. They are ready to continue.,2024-03-18 05:05:04
12252,700581,5,42711383,3',"Corner, Santos. Conceded by Tauã Belo.",2024-03-18 05:05:04
12252,700581,6,42711420,4',Attempt missed. Gil (Santos) left footed shot from the centre of the box misses to the left. Assisted by Rómulo Otero with a cross following a corner.,2024-03-18 05:05:04
12252,700581,7,42711400,4',Attempt missed. Gil (Santos) header from the left side of the box is just a bit too high following a corner.,2024-03-18 05:05:04
12252,700581,8,42711402,5',Foul by Tauã Belo (Portuguesa).,2024-03-18 05:05:04
12252,700581,9,42711402,5',Rómulo Otero (Santos) wins a free kick on the right wing.,2024-03-18 05:05:04
12252,700581,10,42711422,7',"Corner, Portuguesa. Conceded by Gil.",2024-03-18 05:05:04
12252,700581,11,42711434,8',"Corner, Portuguesa. Conceded by Felipe Jonatan.",2024-03-18 05:05:04
12252,700581,12,42711435,8',Attempt saved. Yeferson Quintana (Portuguesa) header from the centre of the box is saved in the centre of the goal. Assisted by Eduardo Diniz with a cross.,2024-03-18 05:05:04
12252,700581,13,42711448,10',Hand ball by Henrique Dourado (Portuguesa).,2024-03-18 05:05:04
12252,700581,14,42711473,12',Foul by Diego Pituca (Santos).,2024-03-18 05:05:04
12252,700581,15,42711473,12',Ricardinho (Portuguesa) wins a free kick in the attacking half.,2024-03-18 05:05:04
12252,700581,16,42711475,12',"Offside, Portuguesa. Henrique Dourado is caught offside.",2024-03-18 05:05:04
12252,700581,17,-1,16',Attempt missed. Juan Cazares (Santos) right footed shot from the left side of the six yard box misses to the right. Assisted by Guilherme with a cross.,2024-03-20 05:18:41
12252,700581,18,42711522,18',Foul by Diego Pituca (Santos).,2024-03-18 05:05:04
12252,700581,19,42711522,18',Maceió (Portuguesa) wins a free kick on the left wing.,2024-03-18 05:05:04
12252,700581,20,42711543,19',Attempt saved. Robson (Portuguesa) header from the centre of the box is saved in the top centre of the goal.,2024-03-18 05:05:04
12252,700581,21,-1,20',Delay in match  because of an injury Maceió (Portuguesa).,2024-03-18 05:05:04
12252,700581,22,-1,20',Delay over. They are ready to continue.,2024-03-18 05:05:04
12252,700581,23,42711550,21',"Corner, Portuguesa. Conceded by Hayner.",2024-03-18 05:05:04
12252,700581,24,42711551,22',Yeferson Quintana (Portuguesa) hits the left post with a header from the centre of the box following a corner.,2024-03-18 05:05:04
12252,700581,25,42711574,23',Foul by João Schmidt (Santos).,2024-03-18 05:05:04
12252,700581,26,42711574,23',Maceió (Portuguesa) wins a free kick in the defensive half.,2024-03-18 05:05:04
12252,700581,27,-1,25',Delay in match  because of an injury Hayner (Santos).,2024-03-18 05:05:04
12252,700581,28,-1,26',Delay over. They are ready to continue.,2024-03-18 05:05:04
12252,700581,29,42711614,27',Hand ball by Henrique Dourado (Portuguesa).,2024-03-18 05:05:04
12252,700581,30,42711653,28',Rómulo Otero (Santos) hits the bar with a right footed shot from outside the box from a direct free kick.,2024-03-18 05:05:04
12252,700581,31,42711647,29',Attempt blocked. Guilherme (Santos) right footed shot from the centre of the box is blocked. Assisted by Hayner.,2024-03-18 05:05:04
12252,700581,32,42711629,29',"Corner, Santos. Conceded by Maceió.",2024-03-18 05:05:04
12252,700581,33,42711649,30',Attempt missed. Juan Cazares (Santos) right footed shot from the left side of the box is just a bit too high following a corner.,2024-03-18 05:05:04
12252,700581,34,42711680,34',Attempt missed. Guilherme (Santos) right footed shot from outside the box is just a bit too high. Assisted by Rómulo Otero with a cross.,2024-03-18 05:05:04
12252,700581,35,42711701,35',"Corner, Santos. Conceded by Eduardo Diniz.",2024-03-18 05:05:04
12252,700581,36,-1,36',Delay in match  because of an injury Joaquim (Santos).,2024-03-18 05:05:04
12252,700581,37,-1,36',Delay in match  because of an injury Robson (Portuguesa).,2024-03-18 05:05:04
12252,700581,38,-1,38',Delay over. They are ready to continue.,2024-03-18 05:05:04
12252,700581,39,42711719,39',Attempt missed. Ricardinho (Portuguesa) right footed shot from outside the box is high and wide to the right. Assisted by Tauã Belo.,2024-03-18 05:05:04
12252,700581,40,42711729,40',"Offside, Santos. Guilherme is caught offside.",2024-03-18 05:05:04
12252,700581,41,42711761,42',Hand ball by Henrique Dourado (Portuguesa).,2024-03-18 05:05:04
12252,700581,42,42711748,43',Maceió (Portuguesa) hits the left post with a right footed shot from outside the box. Assisted by Gustavo Talles.,2024-03-18 05:05:04
12252,700581,43,42711763,44',Attempt saved. Ricardinho (Portuguesa) right footed shot from more than 35 yards is saved in the bottom left corner. Assisted by Robson.,2024-03-18 05:05:04
12252,700581,44,42711777,45'+1',Attempt saved. Juan Cazares (Santos) right footed shot from outside the box is saved in the bottom left corner. Assisted by Guilherme.,2024-03-18 05:05:04
12252,700581,45,42711779,45'+1',"Corner, Santos. Conceded by Thomazella.",2024-03-18 05:05:04
