seasonType,eventId,commentaryOrder,playId,clockDisplayValue,commentaryText,updateDateTime
12444,702024,0,-1,,Lineups are announced and players are warming up.,2024-05-04 05:09:56
12444,702024,1,43051410,,First Half begins.,2024-05-04 05:09:56
12444,702024,2,43051423,3',Foul by Welliton (Goiás).,2024-05-04 05:09:56
12444,702024,3,43051423,3',Ramon (Cuiabá) wins a free kick in the defensive half.,2024-05-04 05:09:56
12444,702024,4,43051446,6',Derik Lacerda (Cuiabá) wins a free kick in the defensive half.,2024-05-04 05:09:56
12444,702024,5,43051446,6',Foul by Rafael Gava (Goiás).,2024-05-04 05:09:56
12444,702024,6,43051470,8',"Corner, Goiás. Conceded by Fernando Sobral.",2024-05-04 05:09:56
12444,702024,7,43051474,9',Attempt missed. Derik Lacerda (Cuiabá) right footed shot from the right side of the box is too high. Assisted by Alan Empereur.,2024-05-04 05:09:56
12444,702024,8,43051490,12',Foul by Fernando Sobral (Cuiabá).,2024-05-04 05:09:56
12444,702024,9,43051490,12',Thiago Galhardo (Goiás) wins a free kick in the defensive half.,2024-05-04 05:09:56
12444,702024,10,43051499,13',Edson Felipe (Goiás) wins a free kick in the defensive half.,2024-05-04 05:09:56
12444,702024,11,43051499,13',Foul by Clayson (Cuiabá).,2024-05-04 05:09:56
12444,702024,12,43051501,13',Attempt missed. Sander (Goiás) left footed shot from more than 40 yards on the left wing is high and wide to the left.,2024-05-04 05:09:56
12444,702024,13,43051507,14',Foul by Matheus Alexandre (Cuiabá).,2024-05-04 05:09:56
12444,702024,14,43051507,14',Sander (Goiás) wins a free kick in the defensive half.,2024-05-04 05:09:56
12444,702024,15,43051509,15',Foul by David Braz (Goiás).,2024-05-04 05:09:56
12444,702024,16,43051509,15',Isidro Pitta (Cuiabá) wins a free kick on the right wing.,2024-05-04 05:09:56
12444,702024,17,43051516,16',"Corner, Cuiabá. Conceded by Lucas Ribeiro.",2024-05-04 05:09:56
12444,702024,18,43051537,20',Foul by Matheus Alexandre (Cuiabá).,2024-05-04 05:09:56
12444,702024,19,43051537,20',Sander (Goiás) wins a free kick in the defensive half.,2024-05-04 05:09:56
12444,702024,20,43051543,23',"Offside, Cuiabá. Clayson is caught offside.",2024-05-04 05:09:56
12444,702024,21,43051549,24',Attempt missed. Sander (Goiás) left footed shot from outside the box misses to the right.,2024-05-04 05:09:56
12444,702024,22,43051561,25',Bruno Alves (Cuiabá) wins a free kick in the defensive half.,2024-05-04 05:09:56
12444,702024,23,43051561,25',Foul by Marcão (Goiás).,2024-05-04 05:09:56
12444,702024,24,43051572,26',Denilson (Cuiabá) wins a free kick in the attacking half.,2024-05-04 05:09:56
12444,702024,25,43051572,26',Foul by Thiago Galhardo (Goiás).,2024-05-04 05:09:56
12444,702024,26,43051573,26',Thiago Galhardo (Goiás) is shown the yellow card for a bad foul.,2024-05-04 05:09:56
12444,702024,27,-1,27',Delay in match  because of an injury Sander (Goiás).,2024-05-04 05:09:56
12444,702024,28,-1,28',Delay over. They are ready to continue.,2024-05-04 05:09:56
12444,702024,29,-1,31',"Corner, Goiás. Conceded by Bruno Alves.",2024-05-04 05:09:56
12444,702024,30,43051625,32',Attempt blocked. Marcão (Goiás) right footed shot from outside the box is blocked. Assisted by Welliton.,2024-05-04 05:09:56
12444,702024,31,43051621,36',Attempt missed. Fernando Sobral (Cuiabá) right footed shot from outside the box is too high. Assisted by Denilson.,2024-05-04 05:09:56
12444,702024,32,43051627,37',"Attempt missed. Thiago Galhardo (Goiás) right footed shot from outside the box is close, but misses to the left. Assisted by Sander.",2024-05-04 05:09:56
12444,702024,33,-1,37',Delay in match  because of an injury Clayson (Cuiabá).,2024-05-04 05:09:56
12444,702024,34,-1,40',Delay over. They are ready to continue.,2024-05-04 05:09:56
12444,702024,35,43051659,40',Foul by Ramon (Cuiabá).,2024-05-04 05:09:56
12444,702024,36,43051659,40',Welliton (Goiás) wins a free kick in the defensive half.,2024-05-04 05:09:56
12444,702024,37,43051663,41',Derik Lacerda (Cuiabá) wins a free kick on the right wing.,2024-05-04 05:09:56
12444,702024,38,43051663,41',Foul by Edson Felipe (Goiás).,2024-05-04 05:09:56
12444,702024,39,43051683,42',Attempt blocked. Marcão (Goiás) right footed shot from the centre of the box is blocked. Assisted by Thiago Galhardo.,2024-05-04 05:09:56
12444,702024,40,43051697,43',Foul by Dieguinho (Goiás).,2024-05-04 05:09:56
12444,702024,41,43051697,43',Ramon (Cuiabá) wins a free kick in the defensive half.,2024-05-04 05:09:56
12444,702024,42,43051699,44',Foul by Fernando Sobral (Cuiabá).,2024-05-04 05:09:56
12444,702024,43,43051699,44',Marcão (Goiás) wins a free kick in the defensive half.,2024-05-04 05:09:56
12444,702024,44,43051701,45',Bruno Alves (Cuiabá) wins a free kick in the defensive half.,2024-05-04 05:09:56
12444,702024,45,43051701,45',Foul by Rafael Gava (Goiás).,2024-05-04 05:09:56
12444,702024,46,43051717,45'+2',"Corner, Goiás. Conceded by Alan Empereur.",2024-05-04 05:09:56
12444,702024,47,43051727,45'+2',"Goal!  Goiás 1, Cuiabá 0. Thiago Galhardo (Goiás) right footed shot from the centre of the box to the bottom left corner. Assisted by Edson Felipe with a headed pass   following a corner.",2024-05-04 05:09:56
12444,702024,48,-1,45'+4',"First Half ends, Goiás 1, Cuiabá 0.",2024-05-04 05:09:56
12444,702024,49,43051839,45',"Second Half begins Goiás 1, Cuiabá 0.",2024-05-04 05:09:56
12444,702024,50,43051845,49',Foul by Lucas Ribeiro (Goiás).,2024-05-04 05:09:56
12444,702024,51,43051845,49',Isidro Pitta (Cuiabá) wins a free kick in the defensive half.,2024-05-04 05:09:56
12444,702024,52,43051846,50',Isidro Pitta (Cuiabá) is shown the yellow card.,2024-05-04 05:09:56
12444,702024,53,43051863,50',"Attempt missed. Fernando Sobral (Cuiabá) right footed shot from outside the box is close, but misses to the left.",2024-05-04 05:09:56
12444,702024,54,43051877,54',Clayson (Cuiabá) wins a free kick on the left wing.,2024-05-04 05:09:56
12444,702024,55,43051877,54',Foul by Welliton (Goiás).,2024-05-04 05:09:56
12444,702024,56,43051885,55',Attempt missed. Isidro Pitta (Cuiabá) left footed shot from the left side of the box misses to the right. Assisted by Denilson.,2024-05-04 05:09:56
12444,702024,57,43051896,57',"Corner, Cuiabá. Conceded by Lucas Ribeiro.",2024-05-04 05:09:56
12444,702024,58,43051914,58',Attempt missed. Denilson (Cuiabá) right footed shot from outside the box is high and wide to the right. Assisted by Clayson.,2024-05-04 05:09:56
12444,702024,59,43051916,58',"Corner, Goiás. Conceded by Bruno Alves.",2024-05-04 05:09:56
12444,702024,60,43051942,59',Attempt missed. David Braz (Goiás) header from the centre of the box is just a bit too high. Assisted by Paulo Baya with a cross following a corner.,2024-05-04 05:09:56
12444,702024,61,43051935,61',"Substitution, Goiás. Luiz Henrique replaces Welliton.",2024-05-04 05:09:56
12444,702024,62,43051936,61',"Substitution, Goiás. Wellington replaces Rafael Gava.",2024-05-04 05:09:56
12444,702024,63,43051937,61',"Substitution, Cuiabá. Lucas Fernandes replaces Bruno Alves.",2024-05-04 05:09:56
12444,702024,64,43051939,62',Dieguinho (Goiás) wins a free kick in the defensive half.,2024-05-04 05:09:56
12444,702024,65,43051939,62',Foul by Clayson (Cuiabá).,2024-05-04 05:09:56
12444,702024,66,43051943,63',"Offside, Goiás. Luiz Henrique is caught offside.",2024-05-04 05:09:56
12444,702024,67,43051952,64',Foul by Derik Lacerda (Cuiabá).,2024-05-04 05:09:56
12444,702024,68,43051952,64',Sander (Goiás) wins a free kick in the attacking half.,2024-05-04 05:09:56
12444,702024,69,43051953,64',Derik Lacerda (Cuiabá) is shown the yellow card for a bad foul.,2024-05-04 05:09:56
12444,702024,70,43051955,65',Foul by Dieguinho (Goiás).,2024-05-04 05:09:56
12444,702024,71,43051955,65',Ramon (Cuiabá) wins a free kick in the defensive half.,2024-05-04 05:09:56
12444,702024,72,43051993,66',Fernando Sobral (Cuiabá) wins a free kick in the attacking half.,2024-05-04 05:09:56
12444,702024,73,43051993,66',Foul by Wellington (Goiás).,2024-05-04 05:09:56
12444,702024,74,43051956,66',Wellington (Goiás) is shown the yellow card for a bad foul.,2024-05-04 05:09:56
12444,702024,75,43051963,67',Clayson (Cuiabá) wins a free kick in the attacking half.,2024-05-04 05:09:56
12444,702024,76,43051963,67',Foul by Dieguinho (Goiás).,2024-05-04 05:09:56
12444,702024,77,43051977,70',"Substitution, Goiás. Breno Herculano replaces Sander.",2024-05-04 05:09:56
12444,702024,78,43051980,72',Attempt missed. Lucas Fernandes (Cuiabá) right footed shot from the centre of the box is too high. Assisted by Clayson.,2024-05-04 05:09:56
12444,702024,79,-1,74',Delay in match  because of an injury Matheus Alexandre (Cuiabá).,2024-05-04 05:09:56
12444,702024,80,-1,75',Delay over. They are ready to continue.,2024-05-04 05:09:56
12444,702024,81,43051996,77',Clayson (Cuiabá) wins a free kick in the defensive half.,2024-05-04 05:09:56
12444,702024,82,43051996,77',Foul by Dieguinho (Goiás).,2024-05-04 05:09:56
12444,702024,83,43052003,78',"Substitution, Cuiabá. Jonathan Cafú replaces Clayson.",2024-05-04 05:09:56
12444,702024,84,43052004,78',"Substitution, Cuiabá. André Luís replaces Derik Lacerda.",2024-05-04 05:09:56
12444,702024,85,43052010,80',Attempt saved. Fernando Sobral (Cuiabá) right footed shot from outside the box is saved in the top right corner. Assisted by André Luís.,2024-05-04 05:09:56
12444,702024,86,43052017,81',"Offside, Cuiabá. Isidro Pitta is caught offside.",2024-05-04 05:09:56
12444,702024,87,43052027,83',Fernando Sobral (Cuiabá) wins a free kick in the defensive half.,2024-05-04 05:09:56
12444,702024,88,43052027,83',Foul by Breno Herculano (Goiás).,2024-05-04 05:09:56
12444,702024,89,43052046,83',"Attempt missed. Isidro Pitta (Cuiabá) left footed shot from the centre of the box is close, but misses to the left. Assisted by André Luís.",2024-05-04 05:09:56
12444,702024,90,43052047,85',"Substitution, Cuiabá. Eliel replaces Isidro Pitta.",2024-05-04 05:09:56
12444,702024,91,43052048,85',"Substitution, Cuiabá. Juan Pablo replaces Ramon.",2024-05-04 05:09:56
12444,702024,92,43052049,86',"Substitution, Goiás. Pedrinho replaces Paulo Baya.",2024-05-04 05:09:56
12444,702024,93,43052050,86',"Substitution, Goiás. Nathan Melo replaces Thiago Galhardo.",2024-05-04 05:09:56
12444,702024,94,43052059,87',Dieguinho (Goiás) wins a free kick in the defensive half.,2024-05-04 05:09:56
12444,702024,95,43052059,87',Foul by Denilson (Cuiabá).,2024-05-04 05:09:56
12444,702024,96,43052068,89',Attempt missed. Lucas Fernandes (Cuiabá) right footed shot from outside the box is too high. Assisted by Denilson.,2024-05-04 05:09:56
12444,702024,97,43052080,90',Fernando Sobral (Cuiabá) wins a free kick in the defensive half.,2024-05-04 05:09:56
12444,702024,98,43052080,90',Foul by Luiz Henrique (Goiás).,2024-05-04 05:09:56
12444,702024,99,43052083,90',"Corner, Cuiabá. Conceded by Dieguinho.",2024-05-04 05:09:56
12444,702024,100,-1,90'+2',Delay in match  because of an injury Edson Felipe (Goiás).,2024-05-04 05:09:56
12444,702024,101,-1,90'+2',Delay over. They are ready to continue.,2024-05-04 05:09:56
12444,702024,102,43052097,90'+3',Attempt missed. Marcão (Goiás) header from the centre of the box is high and wide to the right. Assisted by Nathan Melo with a cross.,2024-05-04 05:09:56
12444,702024,103,43052111,90'+5',"Corner, Cuiabá. Conceded by Dieguinho.",2024-05-04 05:09:56
12444,702024,104,43052129,90'+5',Attempt blocked. Matheus Alexandre (Cuiabá) header from the centre of the box is blocked. Assisted by Gabriel.,2024-05-04 05:09:56
