seasonType,eventId,commentaryOrder,playId,clockDisplayValue,commentaryText,updateDateTime
12845,717322,0,43841818,32',Sean Zawadzki (Columbus Crew) Yellow Card at 32',2024-09-27 05:39:21
12845,717322,1,43841936,61',Víctor Dávila (América) Substitution at 61',2024-09-27 05:39:21
12845,717322,2,43841937,61',Diego Valdés (América) Substitution at 61',2024-09-27 05:39:21
12845,717322,3,43841938,61',Rodrigo Aguirre (América) Substitution at 61',2024-09-27 05:39:21
12845,717322,4,43841953,68',Víctor Dávila (América) Goal at 68',2024-09-27 05:39:21
12845,717322,5,43842000,77',Malte Amundsen (Columbus Crew) Goal at 77',2024-09-27 05:39:21
12845,717322,6,43842004,78',Alexandru Matan (Columbus Crew) Substitution at 78',2024-09-27 05:39:21
12845,717322,7,43842005,78',Jacen Russell-Rowe (Columbus Crew) Substitution at 78',2024-09-27 05:39:21
12845,717322,8,43842015,81',Richard Sánchez (América) Substitution at 81',2024-09-27 05:39:21
12845,717322,9,43842016,81',Javairo Dilrosun (América) Substitution at 81',2024-09-27 05:39:21
12845,717322,10,43842017,86',Aziel Jackson (Columbus Crew) Substitution at 86',2024-09-27 05:39:21
12845,717322,11,43842018,87',DeJuan Jones (Columbus Crew) Substitution at 87',2024-09-27 05:39:21
12845,717322,12,43842020,88',Marcelo Herrera (Columbus Crew) Substitution at 88',2024-09-27 05:39:21
