seasonType,eventId,commentaryOrder,playId,clockDisplayValue,commentaryText,updateDateTime
12282,691203,0,-1,,Lineups are announced and players are warming up.,2024-01-08 00:25:10
12282,691203,1,-1,,First Half begins.,2024-01-08 00:25:10
12282,691203,2,42168848,2',"Corner,  FC Bayern München. Conceded by Marwin Hitz.",2024-01-08 00:25:10
12282,691203,3,42168900,4',Foul by Leon Avdullahu (Basel).,2024-01-08 00:25:10
12282,691203,4,42168900,4',Jamal Musiala (FC Bayern München) wins a free kick in the attacking half.,2024-01-08 00:25:10
12282,691203,5,42168936,7',"Corner,  FC Bayern München. Conceded by Dominik Schmid.",2024-01-08 00:25:10
12282,691203,6,42168967,9',Foul by Dominik Schmid (Basel).,2024-01-08 00:25:10
12282,691203,7,42168967,9',Leroy Sané (FC Bayern München) wins a free kick on the right wing.,2024-01-08 00:25:10
12282,691203,8,42168991,9',"Corner,  FC Bayern München. Conceded by Benjamin Kololli.",2024-01-08 00:25:10
12282,691203,9,42169015,12',Benjamin Kololli (Basel) wins a free kick in the defensive half.,2024-01-08 00:25:10
12282,691203,10,42169015,12',Foul by Aleksandar Pavlovic (FC Bayern München).,2024-01-08 00:25:10
12282,691203,11,42169048,13',Foul by Alphonso Davies (FC Bayern München).,2024-01-08 00:25:10
12282,691203,12,42169048,13',Michael Lang (Basel) wins a free kick on the right wing.,2024-01-08 00:25:10
12282,691203,13,42169073,13',Foul by Renato Veiga (Basel).,2024-01-08 00:25:10
12282,691203,14,42169073,13',Thomas Müller (FC Bayern München) wins a free kick in the defensive half.,2024-01-08 00:25:10
12282,691203,15,42169094,15',Aleksandar Pavlovic (FC Bayern München) wins a free kick in the defensive half.,2024-01-08 00:25:10
12282,691203,16,42169094,15',Foul by Michael Lang (Basel).,2024-01-08 00:25:10
12282,691203,17,42169156,16',Attempt saved. Thomas Müller (FC Bayern München) right footed shot from the right side of the box is saved in the centre of the goal. Assisted by Raphaël Guerreiro.,2024-01-08 00:25:10
12282,691203,18,42169159,17',Foul by Renato Veiga (Basel).,2024-01-08 00:25:10
12282,691203,19,42169159,17',Matthijs de Ligt (FC Bayern München) wins a free kick on the right wing.,2024-01-08 00:25:10
12282,691203,20,-1,17',Delay in match   (FC Bayern München).,2024-01-08 00:25:10
12282,691203,21,-1,17',Delay over. They are ready to continue.,2024-01-08 00:25:10
12282,691203,22,42169183,18',"Attempt missed. Harry Kane (FC Bayern München) right footed shot from the centre of the box is close, but misses to the left. Assisted by Alphonso Davies.",2024-01-08 00:25:10
12282,691203,23,42169207,19',"Corner,  FC Bayern München. Conceded by Fabian Frei.",2024-01-08 00:25:10
12282,691203,24,42169235,22',Attempt missed. Harry Kane (FC Bayern München) left footed shot from the left side of the box is high and wide to the left. Assisted by Raphaël Guerreiro.,2024-01-08 00:25:10
12282,691203,25,42169276,24',Aleksandar Pavlovic (FC Bayern München) wins a free kick in the defensive half.,2024-01-08 00:25:10
12282,691203,26,42169276,24',Foul by Roméo Beney (Basel).,2024-01-08 00:25:10
12282,691203,27,42169298,25',Foul by Adrian Barisic (Basel).,2024-01-08 00:25:10
12282,691203,28,42169298,25',Jamal Musiala (FC Bayern München) wins a free kick in the attacking half.,2024-01-08 00:25:10
12282,691203,29,42169318,26',Attempt blocked. Harry Kane (FC Bayern München) right footed shot from outside the box is blocked.,2024-01-08 00:25:10
12282,691203,30,42169320,26',"Corner,  FC Bayern München. Conceded by Anton Kade.",2024-01-08 00:25:10
12282,691203,31,42169336,28',Foul by Renato Veiga (Basel).,2024-01-08 00:25:10
12282,691203,32,42169336,28',Matthijs de Ligt (FC Bayern München) wins a free kick in the attacking half.,2024-01-08 00:25:10
12282,691203,33,42169399,32',Anton Kade (Basel) wins a free kick in the defensive half.,2024-01-08 00:25:10
12282,691203,34,42169399,32',Foul by Leroy Sané (FC Bayern München).,2024-01-08 00:25:10
12282,691203,35,42169415,33',Foul by Jamal Musiala (FC Bayern München).,2024-01-08 00:25:10
12282,691203,36,42169415,33',Leon Avdullahu (Basel) wins a free kick in the defensive half.,2024-01-08 00:25:10
12282,691203,37,42169454,34',Foul by Renato Veiga (Basel).,2024-01-08 00:25:10
12282,691203,38,42169454,34',Raphaël Guerreiro (FC Bayern München) wins a free kick in the defensive half.,2024-01-08 00:25:10
12282,691203,39,42169499,36',Attempt blocked. Raphaël Guerreiro (FC Bayern München) left footed shot from outside the box is blocked. Assisted by Matthijs de Ligt.,2024-01-08 00:25:10
12282,691203,40,42169501,37',Attempt saved. Benjamin Kololli (Basel) right footed shot from the centre of the box is saved in the bottom right corner. Assisted by Djordje Jovanovic.,2024-01-08 00:25:10
12282,691203,41,42169694,38',Attempt missed. Thomas Müller (FC Bayern München) left footed shot from outside the box misses to the left.,2024-01-08 00:25:10
12282,691203,42,42169577,40',Attempt blocked. Harry Kane (FC Bayern München) right footed shot from the right side of the box is blocked. Assisted by Thomas Müller.,2024-01-08 00:25:10
12282,691203,43,-1,40',"Corner,  FC Bayern München. Conceded by Dominik Schmid.",2024-01-08 00:25:10
