seasonType,eventId,commentaryOrder,playId,clockDisplayValue,commentaryText,updateDateTime
12584,702732,0,-1,,Lineups are announced and players are warming up.,2024-09-06 05:49:26
12584,702732,1,43693956,,First Half begins.,2024-09-06 05:49:26
12584,702732,2,43693957,1',Penalty Bahamas. Peter Julmis draws a foul in the penalty area.,2024-09-06 05:49:26
12584,702732,3,43693957,1',Penalty conceded by Carmelo Rodríguez (US Virgin Islands) after a foul in the penalty area.,2024-09-06 05:49:26
12584,702732,4,43693958,2',"Goal! US Virgin Islands 0, Bahamas 1. Lesly St. Fleur (Bahamas) converts the penalty with a right footed shot to the top right corner.",2024-09-06 05:49:26
12584,702732,5,43693960,4',Foul by Jordan Cheetham (Bahamas).,2024-09-06 05:49:26
12584,702732,6,43693960,4',Naqwan Henry (US Virgin Islands) wins a free kick in the attacking half.,2024-09-06 05:49:26
12584,702732,7,43693998,4',Attempt blocked. Matthew Roth (US Virgin Islands) right footed shot from the centre of the box is blocked.,2024-09-06 05:49:26
12584,702732,8,43693984,6',Foul by Jimson St. Louis (US Virgin Islands).,2024-09-06 05:49:26
12584,702732,9,43693984,6',Rashaan Bain (Bahamas) wins a free kick on the left wing.,2024-09-06 05:49:26
12584,702732,10,43693970,6',"Corner, Bahamas. Conceded by Deve Barbour.",2024-09-06 05:49:26
12584,702732,11,43693978,7',Attempt blocked. Michael Massey (Bahamas) right footed shot from outside the box is blocked.,2024-09-06 05:49:26
12584,702732,12,43693979,7',Foul by Rakeem Joseph (US Virgin Islands).,2024-09-06 05:49:26
12584,702732,13,43693979,7',Jonathan Miller (Bahamas) wins a free kick on the left wing.,2024-09-06 05:49:26
12584,702732,14,43693991,10',"Corner, Bahamas. Conceded by Carmelo Rodríguez.",2024-09-06 05:49:26
12584,702732,15,-1,11',"Corner, Bahamas. Conceded by Carmelo Rodríguez.",2024-09-06 05:49:26
12584,702732,16,43694005,12',"Attempt missed. Brandon Adderley (Bahamas) right footed shot from outside the box is close, but misses the top left corner. Assisted by William Bayles.",2024-09-06 05:49:26
12584,702732,17,43694006,13',Foul by Christopher Rahming (Bahamas).,2024-09-06 05:49:26
12584,702732,18,43694006,13',Jimson St. Louis (US Virgin Islands) wins a free kick in the defensive half.,2024-09-06 05:49:26
12584,702732,19,43694008,14',Foul by Naqwan Henry (US Virgin Islands).,2024-09-06 05:49:26
12584,702732,20,43694008,14',Lesly St. Fleur (Bahamas) wins a free kick in the defensive half.,2024-09-06 05:49:26
12584,702732,21,43694015,15',Attempt blocked. Brandon Adderley (Bahamas) right footed shot from the centre of the box is blocked. Assisted by Peter Julmis.,2024-09-06 05:49:26
12584,702732,22,-1,17',Delay in match because of an injury Lesly St. Fleur (Bahamas).,2024-09-06 05:49:26
12584,702732,23,-1,18',Delay over. They are ready to continue.,2024-09-06 05:49:26
12584,702732,24,43694034,21',Hand ball by Rakeem Joseph (US Virgin Islands).,2024-09-06 05:49:26
12584,702732,25,43694032,21',"Substitution, US Virgin Islands. Kidaniel Pérez replaces Hasani Edgar.",2024-09-06 05:49:26
12584,702732,26,43694042,22',Foul by Brandon Adderley (Bahamas).,2024-09-06 05:49:26
12584,702732,27,43694042,22',Kidaniel Pérez (US Virgin Islands) wins a free kick in the defensive half.,2024-09-06 05:49:26
12584,702732,28,43694043,26',Foul by Jimson St. Louis (US Virgin Islands).,2024-09-06 05:49:26
12584,702732,29,43694043,26',William Bayles (Bahamas) wins a free kick in the attacking half.,2024-09-06 05:49:26
12584,702732,30,43694046,26',"Corner, Bahamas. Conceded by Carmelo Rodríguez.",2024-09-06 05:49:26
12584,702732,31,43694053,27',Attempt missed. Jordan Cheetham (Bahamas) header from the right side of the box is too high. Assisted by Michael Massey with a cross.,2024-09-06 05:49:26
12584,702732,32,43694054,27',"Goal! US Virgin Islands 1, Bahamas 1. Naqwan Henry (US Virgin Islands) right footed shot from the centre of the box to the bottom left corner. Assisted by Rakeem Joseph.",2024-09-06 05:49:26
12584,702732,33,43694061,28',"Offside, Bahamas. Peter Julmis is caught offside.",2024-09-06 05:49:26
12584,702732,34,43694063,30',"Corner, Bahamas. Conceded by Deve Barbour.",2024-09-06 05:49:26
12584,702732,35,43694069,32',Foul by Rashaan Bain (Bahamas).,2024-09-06 05:49:26
12584,702732,36,43694069,32',Joshua Ramos (US Virgin Islands) wins a free kick in the defensive half.,2024-09-06 05:49:26
12584,702732,37,43694084,34',Hand ball by Zahmyre Harris (US Virgin Islands).,2024-09-06 05:49:26
12584,702732,38,43694137,34',Zahmyre Harris (US Virgin Islands) is shown the yellow card.,2024-09-06 05:49:26
12584,702732,39,43694087,35',Attempt blocked. Jordan Cheetham (Bahamas) left footed shot from outside the box is blocked. Assisted by Michael Massey.,2024-09-06 05:49:26
12584,702732,40,43694089,37',"Goal! US Virgin Islands 1, Bahamas 2. Peter Julmis (Bahamas) header from the centre of the box to the bottom left corner. Assisted by Quinton Carey with a cross.",2024-09-06 05:49:26
12584,702732,41,43694102,38',Foul by Naqwan Henry (US Virgin Islands).,2024-09-06 05:49:26
12584,702732,42,43694102,38',Jordan Cheetham (Bahamas) wins a free kick in the defensive half.,2024-09-06 05:49:26
12584,702732,43,43694146,40',Brandon Adderley (Bahamas) wins a free kick in the attacking half.,2024-09-06 05:49:26
12584,702732,44,43694146,40',Foul by Joshua Ramos (US Virgin Islands).,2024-09-06 05:49:26
12584,702732,45,43694113,40',Joshua Ramos (US Virgin Islands) is shown the yellow card for a bad foul.,2024-09-06 05:49:26
12584,702732,46,43694165,41',Attempt blocked. Michael Massey (Bahamas) right footed shot from outside the box is blocked.,2024-09-06 05:49:26
12584,702732,47,43694123,42',Attempt saved. Naqwan Henry (US Virgin Islands) left footed shot from outside the box is saved in the centre of the goal. Assisted by Rakeem Joseph.,2024-09-06 05:49:26
12584,702732,48,43694141,43',Attempt blocked. William Bayles (Bahamas) right footed shot from outside the box is blocked. Assisted by Rashaan Bain.,2024-09-06 05:49:26
12584,702732,49,43694139,43',"Corner, Bahamas. Conceded by Carmelo Rodríguez.",2024-09-06 05:49:26
12584,702732,50,43694147,44',Foul by Joshua Ramos (US Virgin Islands).,2024-09-06 05:49:26
12584,702732,51,43694147,44',William Bayles (Bahamas) wins a free kick in the attacking half.,2024-09-06 05:49:26
12584,702732,52,43694149,45'+1',"Corner, Bahamas. Conceded by Joshua Ramos.",2024-09-06 05:49:26
12584,702732,53,-1,45'+1',Fourth official has announced 2 minutes of added time.,2024-09-06 05:49:26
12584,702732,54,43694170,45'+2',Attempt missed. Brandon Adderley (Bahamas) right footed shot from outside the box is high and wide to the right.,2024-09-06 05:49:26
12584,702732,55,-1,45'+3',"First Half ends, US Virgin Islands 1, Bahamas 2.",2024-09-06 05:49:26
12584,702732,56,43694231,45',"Second Half begins US Virgin Islands 1, Bahamas 2.",2024-09-06 05:49:26
12584,702732,57,43694232,46',"Offside, Bahamas. Peter Julmis is caught offside.",2024-09-06 05:49:26
