seasonType,eventId,commentaryOrder,playId,clockDisplayValue,commentaryText,updateDateTime
12245,690705,0,-1,,Lineups are announced and players are warming up.,2024-06-22 04:33:31
12245,690705,1,43328146,,First Half begins.,2024-06-22 04:33:31
12245,690705,2,43328195,2',Attempt blocked. Cyle Larin (Canada) right footed shot from outside the box is blocked. Assisted by Alphonso Davies.,2024-06-22 04:33:31
12245,690705,3,43328152,2',Hand ball by Julián Álvarez (Argentina).,2024-06-22 04:33:31
12245,690705,4,43328161,5',Attempt blocked. Marcos Acuña (Argentina) left footed shot from the left side of the box is blocked. Assisted by Ángel Di María.,2024-06-22 04:33:31
12245,690705,5,43328157,5',Attempt missed. Leandro Paredes (Argentina) right footed shot from outside the box is just a bit too high. Assisted by Alexis Mac Allister.,2024-06-22 04:33:31
12245,690705,6,43328167,7',Foul by Leandro Paredes (Argentina).,2024-06-22 04:33:31
12245,690705,7,43328167,7',Ismaël Koné (Canada) wins a free kick in the attacking half.,2024-06-22 04:33:31
12245,690705,8,43328170,8',"Corner, Canada. Conceded by Lisandro Martínez.",2024-06-22 04:33:31
12245,690705,9,43328173,8',Attempt blocked. Stephen Eustaquio (Canada) right footed shot from the centre of the box is blocked. Assisted by Tajon Buchanan.,2024-06-22 04:33:31
12245,690705,10,43328182,8',Attempt saved. Ángel Di María (Argentina) left footed shot from the centre of the box is saved in the bottom left corner.,2024-06-22 04:33:31
12245,690705,11,43328183,10',"Offside, Argentina. Lionel Messi is caught offside.",2024-06-22 04:33:31
12245,690705,12,43328205,17',Foul by Nahuel Molina (Argentina).,2024-06-22 04:33:31
12245,690705,13,43328205,17',Liam Millar (Canada) wins a free kick in the defensive half.,2024-06-22 04:33:31
12245,690705,14,43328207,18',Attempt blocked. Lionel Messi (Argentina) left footed shot from the right side of the box is blocked. Assisted by Rodrigo De Paul.,2024-06-22 04:33:31
12245,690705,15,43328217,19',Foul by Cyle Larin (Canada).,2024-06-22 04:33:31
12245,690705,16,43328217,19',Leandro Paredes (Argentina) wins a free kick in the defensive half.,2024-06-22 04:33:31
12245,690705,17,43328223,21',Foul by Rodrigo De Paul (Argentina).,2024-06-22 04:33:31
12245,690705,18,43328223,21',Jonathan David (Canada) wins a free kick in the defensive half.,2024-06-22 04:33:31
12245,690705,19,43328227,22',Cyle Larin (Canada) wins a free kick in the attacking half.,2024-06-22 04:33:31
12245,690705,20,43328227,22',Foul by Marcos Acuña (Argentina).,2024-06-22 04:33:31
12245,690705,21,43328233,23',Attempt blocked. Alphonso Davies (Canada) left footed shot from outside the box is blocked.,2024-06-22 04:33:31
12245,690705,22,43328235,24',Attempt blocked. Liam Millar (Canada) left footed shot from outside the box is blocked.,2024-06-22 04:33:31
12245,690705,23,43328260,27',Foul by Lisandro Martínez (Argentina).,2024-06-22 04:33:31
12245,690705,24,43328260,27',Jonathan David (Canada) wins a free kick in the defensive half.,2024-06-22 04:33:31
12245,690705,25,43328281,30',"Attempt missed. Tajon Buchanan (Canada) left footed shot from the centre of the box is close, but misses to the right.",2024-06-22 04:33:31
12245,690705,26,43328288,31',Alphonso Davies (Canada) wins a free kick in the defensive half.,2024-06-22 04:33:31
12245,690705,27,43328288,31',Foul by Julián Álvarez (Argentina).,2024-06-22 04:33:31
12245,690705,28,43328304,32',"Offside, Canada. Cyle Larin is caught offside.",2024-06-22 04:33:31
12245,690705,29,43328313,35',"Corner, Argentina. Conceded by Tajon Buchanan.",2024-06-22 04:33:31
12245,690705,30,43328317,36',"Corner, Argentina. Conceded by Derek Cornelius.",2024-06-22 04:33:31
12245,690705,31,43328353,39',Attempt saved. Alexis Mac Allister (Argentina) header from the centre of the box is saved in the centre of the goal. Assisted by Rodrigo De Paul with a cross.,2024-06-22 04:33:31
12245,690705,32,43328358,42',Foul by Tajon Buchanan (Canada).,2024-06-22 04:33:31
12245,690705,33,43328358,42',Marcos Acuña (Argentina) wins a free kick on the left wing.,2024-06-22 04:33:31
12245,690705,34,43328375,43',Attempt saved. Stephen Eustaquio (Canada) header from the centre of the box is saved in the centre of the goal. Assisted by Cyle Larin with a cross.,2024-06-22 04:33:31
12245,690705,35,43328377,43',"Attempt missed. Alphonso Davies (Canada) right footed shot from the centre of the box is close, but misses the top right corner.",2024-06-22 04:33:31
12245,690705,36,43328399,45',Attempt missed. Lionel Messi (Argentina) left footed shot from outside the box is too high. Assisted by Ángel Di María.,2024-06-22 04:33:31
12245,690705,37,43328400,45',Foul by Cyle Larin (Canada).,2024-06-22 04:33:31
12245,690705,38,43328400,45',Leandro Paredes (Argentina) wins a free kick in the defensive half.,2024-06-22 04:33:31
12245,690705,39,43328404,45'+1',"Attempt missed. Julián Álvarez (Argentina) left footed shot from the left side of the box is close, but misses to the left. Assisted by Lionel Messi.",2024-06-22 04:33:31
12245,690705,40,43328406,45'+2',"First Half ends, Argentina 0, Canada 0.",2024-06-22 04:33:31
12245,690705,41,-1,45',"Second Half begins Argentina 0, Canada 0.",2024-06-22 04:33:31
12245,690705,42,43328529,47',Foul by Leandro Paredes (Argentina).,2024-06-22 04:33:31
12245,690705,43,43328529,47',Jonathan David (Canada) wins a free kick in the defensive half.,2024-06-22 04:33:31
12245,690705,44,43328553,49',"Goal!  Argentina 1, Canada 0. Julián Álvarez (Argentina) right footed shot from the right side of the six yard box to the bottom right corner. Assisted by Alexis Mac Allister.",2024-06-22 04:33:31
12245,690705,45,43328565,50',Attempt saved. Julián Álvarez (Argentina) right footed shot from the centre of the box is saved in the bottom right corner.,2024-06-22 04:33:31
12245,690705,46,43328568,50',"Corner, Argentina. Conceded by Maxime Crépeau.",2024-06-22 04:33:31
12245,690705,47,43328577,55',Attempt missed. Ángel Di María (Argentina) left footed shot from outside the box is too high. Assisted by Rodrigo De Paul.,2024-06-22 04:33:31
12245,690705,48,43328579,57',"Corner, Argentina. Conceded by Alistair Johnston.",2024-06-22 04:33:31
12245,690705,49,43328585,59',"Substitution, Canada. Jacob Shaffelburg replaces Tajon Buchanan.",2024-06-22 04:33:31
12245,690705,50,43328589,61',Hand ball by Rodrigo De Paul (Argentina).,2024-06-22 04:33:31
12245,690705,51,43328591,61',Rodrigo De Paul (Argentina) is shown the yellow card for hand ball.,2024-06-22 04:33:31
12245,690705,52,-1,62',"Corner, Canada. Conceded by Nahuel Molina.",2024-06-22 04:33:31
12245,690705,53,43328595,64',Foul by Liam Millar (Canada).,2024-06-22 04:33:31
12245,690705,54,43328595,64',Ángel Di María (Argentina) wins a free kick in the defensive half.,2024-06-22 04:33:31
12245,690705,55,43328599,65',Attempt saved. Lionel Messi (Argentina) left footed shot from the left side of the box is saved in the bottom right corner. Assisted by Emiliano Martínez.,2024-06-22 04:33:31
12245,690705,56,43328601,65',Attempt blocked. Lionel Messi (Argentina) left footed shot from the centre of the box is blocked.,2024-06-22 04:33:31
12245,690705,57,43328603,65',Foul by Julián Álvarez (Argentina).,2024-06-22 04:33:31
12245,690705,58,43328603,65',Moïse Bombito (Canada) wins a free kick in the defensive half.,2024-06-22 04:33:31
12245,690705,59,43328614,66',"Corner, Canada. Conceded by Rodrigo De Paul.",2024-06-22 04:33:31
12245,690705,60,43328617,67',Attempt missed. Jonathan David (Canada) header from the centre of the box is just a bit too high. Assisted by Jacob Shaffelburg with a cross following a corner.,2024-06-22 04:33:31
12245,690705,61,43328621,68',"Substitution, Argentina. Giovani Lo Celso replaces Ángel Di María.",2024-06-22 04:33:31
12245,690705,62,43328628,70',Alexis Mac Allister (Argentina) wins a free kick in the defensive half.,2024-06-22 04:33:31
12245,690705,63,43328628,70',Foul by Alistair Johnston (Canada).,2024-06-22 04:33:31
12245,690705,64,43328649,73',Foul by Stephen Eustaquio (Canada).,2024-06-22 04:33:31
12245,690705,65,43328649,73',Giovani Lo Celso (Argentina) wins a free kick in the defensive half.,2024-06-22 04:33:31
12245,690705,66,43328656,74',Attempt missed. Alphonso Davies (Canada) right footed shot from the left side of the box is high and wide to the right. Assisted by Jonathan David.,2024-06-22 04:33:31
12245,690705,67,-1,75',Delay in match  because of an injury Emiliano Martínez (Argentina).,2024-06-22 04:33:31
12245,690705,68,43328668,76',"Substitution, Argentina. Lautaro Martínez replaces Julián Álvarez.",2024-06-22 04:33:31
12245,690705,69,43328669,77',"Substitution, Argentina. Nicolás Otamendi replaces Leandro Paredes.",2024-06-22 04:33:31
12245,690705,70,-1,77',Delay over. They are ready to continue.,2024-06-22 04:33:31
12245,690705,71,43328672,77',Attempt blocked. Giovani Lo Celso (Argentina) left footed shot from the centre of the box is blocked. Assisted by Nahuel Molina.,2024-06-22 04:33:31
12245,690705,72,43328673,77',"Corner, Argentina. Conceded by Moïse Bombito.",2024-06-22 04:33:31
12245,690705,73,43328679,78',Foul by Marcos Acuña (Argentina).,2024-06-22 04:33:31
12245,690705,74,43328679,78',Jonathan David (Canada) wins a free kick on the right wing.,2024-06-22 04:33:31
12245,690705,75,43328702,79',Derek Cornelius (Canada) wins a free kick on the left wing.,2024-06-22 04:33:31
12245,690705,76,43328702,79',Foul by Lionel Messi (Argentina).,2024-06-22 04:33:31
12245,690705,77,43328705,79',"Attempt missed. Lionel Messi (Argentina) left footed shot from the centre of the box is close, but misses to the left. Assisted by Lisandro Martínez following a fast break.",2024-06-22 04:33:31
12245,690705,78,43328706,80',"Substitution, Canada. Richie Laryea replaces Cyle Larin.",2024-06-22 04:33:31
12245,690705,79,43328707,81',Foul by Alexis Mac Allister (Argentina).,2024-06-22 04:33:31
12245,690705,80,43328707,81',Ismaël Koné (Canada) wins a free kick in the attacking half.,2024-06-22 04:33:31
12245,690705,81,43328709,81',Foul by Ismaël Koné (Canada).,2024-06-22 04:33:31
12245,690705,82,43328709,81',Rodrigo De Paul (Argentina) wins a free kick in the attacking half.,2024-06-22 04:33:31
12245,690705,83,43328710,81',Ismaël Koné (Canada) is shown the yellow card for a bad foul.,2024-06-22 04:33:31
12245,690705,84,43328713,82',Attempt missed. Nicolás Otamendi (Argentina) header from the centre of the box misses to the right. Assisted by Lionel Messi with a cross following a set piece situation.,2024-06-22 04:33:31
12245,690705,85,43328721,82',Attempt saved. Lautaro Martínez (Argentina) right footed shot from the centre of the box is saved in the centre of the goal. Assisted by Lionel Messi.,2024-06-22 04:33:31
12245,690705,86,-1,83',Delay in match  because of an injury Lionel Messi (Argentina).,2024-06-22 04:33:31
12245,690705,87,-1,84',Delay over. They are ready to continue.,2024-06-22 04:33:31
12245,690705,88,43328744,85',Alexis Mac Allister (Argentina) wins a free kick in the attacking half.,2024-06-22 04:33:31
12245,690705,89,43328744,85',Foul by Ismaël Koné (Canada).,2024-06-22 04:33:31
12245,690705,90,43328745,85',"Substitution, Canada. Jonathan Osorio replaces Ismaël Koné.",2024-06-22 04:33:31
12245,690705,91,43328746,85',"Substitution, Canada. Jacen Russell-Rowe replaces Liam Millar.",2024-06-22 04:33:31
12245,690705,92,43328749,86',Attempt missed. Nicolás Otamendi (Argentina) left footed shot from very close range is too high. Assisted by Lionel Messi following a set piece situation.,2024-06-22 04:33:31
12245,690705,93,43328758,88',"Goal!  Argentina 2, Canada 0. Lautaro Martínez (Argentina) right footed shot from the centre of the box to the centre of the goal. Assisted by Lionel Messi with a through ball.",2024-06-22 04:33:31
12245,690705,94,43328765,89',"Substitution, Argentina. Nicolás Tagliafico replaces Marcos Acuña.",2024-06-22 04:33:31
12245,690705,95,43328766,89',"Substitution, Argentina. Gonzalo Montiel replaces Nahuel Molina.",2024-06-22 04:33:31
12245,690705,96,43328773,90',Hand ball by Rodrigo De Paul (Argentina).,2024-06-22 04:33:31
12245,690705,97,43328776,90',"Corner, Canada. Conceded by Gonzalo Montiel.",2024-06-22 04:33:31
12245,690705,98,43328777,90'+1',Alphonso Davies (Canada) wins a free kick on the left wing.,2024-06-22 04:33:31
12245,690705,99,43328777,90'+1',Foul by Giovani Lo Celso (Argentina).,2024-06-22 04:33:31
12245,690705,100,43328778,90'+1',Giovani Lo Celso (Argentina) is shown the yellow card for a bad foul.,2024-06-22 04:33:31
12245,690705,101,43328781,90'+2',Attempt saved. Jacob Shaffelburg (Canada) left footed shot from outside the box is saved in the centre of the goal. Assisted by Moïse Bombito.,2024-06-22 04:33:31
12245,690705,102,-1,90'+2',"Corner, Argentina. Conceded by Derek Cornelius.",2024-06-22 04:33:31
12245,690705,103,43328800,90'+3',"Corner, Argentina. Conceded by Derek Cornelius.",2024-06-22 04:33:31
12245,690705,104,43328805,90'+4',Foul by Derek Cornelius (Canada).,2024-06-22 04:33:31
12245,690705,105,43328805,90'+4',Lionel Messi (Argentina) wins a free kick in the attacking half.,2024-06-22 04:33:31
12245,690705,106,43328806,90'+4',Derek Cornelius (Canada) is shown the yellow card for a bad foul.,2024-06-22 04:33:31
12245,690705,107,43328808,90'+6',Attempt saved. Lionel Messi (Argentina) left footed shot from outside the box is saved in the top right corner.,2024-06-22 04:33:31
12245,690705,108,-1,90'+6',"Second Half ends, Argentina 2, Canada 0.",2024-06-22 04:33:31
12245,690705,109,-1,,"Match ends, Argentina 2, Canada 0.",2024-06-22 04:33:31
12245,690706,0,-1,,Lineups are announced and players are warming up.,2024-06-23 04:34:47
12245,690706,1,-1,,First Half begins.,2024-06-23 04:34:47
12245,690706,2,43329570,2',"Offside, Peru. Luis Advíncula is caught offside.",2024-06-23 04:34:47
12245,690706,3,43329576,3',Alexis Sánchez (Chile) wins a free kick on the left wing.,2024-06-23 04:34:47
12245,690706,4,43329576,3',Foul by Sergio Peña (Peru).,2024-06-23 04:34:47
12245,690706,5,43329584,4',Foul by Marcelino Núñez (Chile).,2024-06-23 04:34:47
12245,690706,6,43329584,4',Gianluca Lapadula (Peru) wins a free kick in the defensive half.,2024-06-23 04:34:47
12245,690706,7,43329586,5',Foul by Andy Polo (Peru).,2024-06-23 04:34:47
12245,690706,8,43329586,5',Gabriel Suazo (Chile) wins a free kick in the defensive half.,2024-06-23 04:34:47
12245,690706,9,43329597,7',Foul by Víctor Dávila (Chile).,2024-06-23 04:34:47
12245,690706,10,43329597,7',Piero Quispe (Peru) wins a free kick in the defensive half.,2024-06-23 04:34:47
12245,690706,11,43329603,8',Hand ball by Eduardo Vargas (Chile).,2024-06-23 04:34:47
12245,690706,12,43329605,9',Edison Flores (Peru) wins a free kick in the attacking half.,2024-06-23 04:34:47
12245,690706,13,43329605,9',Foul by Marcelino Núñez (Chile).,2024-06-23 04:34:47
12245,690706,14,43329621,14',Erick Pulgar (Chile) wins a free kick on the right wing.,2024-06-23 04:34:47
12245,690706,15,43329621,14',Foul by Edison Flores (Peru).,2024-06-23 04:34:47
12245,690706,16,43329627,16',Attempt missed. Alexis Sánchez (Chile) left footed shot from the centre of the box is just a bit too high. Assisted by Víctor Dávila with a cross.,2024-06-23 04:34:47
12245,690706,17,43329633,17',Foul by Gabriel Suazo (Chile).,2024-06-23 04:34:47
12245,690706,18,43329633,17',Gianluca Lapadula (Peru) wins a free kick in the defensive half.,2024-06-23 04:34:47
12245,690706,19,43329682,18',Alexis Sánchez (Chile) wins a free kick in the defensive half.,2024-06-23 04:34:47
12245,690706,20,43329682,18',Foul by Carlos Zambrano (Peru).,2024-06-23 04:34:47
12245,690706,21,43329635,18',Carlos Zambrano (Peru) is shown the yellow card for a bad foul.,2024-06-23 04:34:47
12245,690706,22,43329640,20',Attempt missed. Edison Flores (Peru) left footed shot from outside the box misses to the left. Assisted by Andy Polo.,2024-06-23 04:34:47
12245,690706,23,43329647,21',Erick Pulgar (Chile) wins a free kick in the attacking half.,2024-06-23 04:34:47
12245,690706,24,43329647,21',Foul by Edison Flores (Peru).,2024-06-23 04:34:47
12245,690706,25,43329652,22',Foul by Erick Pulgar (Chile).,2024-06-23 04:34:47
12245,690706,26,43329652,22',Gianluca Lapadula (Peru) wins a free kick in the defensive half.,2024-06-23 04:34:47
12245,690706,27,43329653,22',Erick Pulgar (Chile) is shown the yellow card for a bad foul.,2024-06-23 04:34:47
12245,690706,28,43329662,24',Attempt blocked. Víctor Dávila (Chile) left footed shot from the centre of the box is blocked. Assisted by Alexis Sánchez.,2024-06-23 04:34:47
12245,690706,29,43329664,25',Attempt missed. Víctor Dávila (Chile) header from the centre of the box is just a bit too high. Assisted by Gabriel Suazo.,2024-06-23 04:34:47
12245,690706,30,43329666,26',Foul by Wilder Cartagena (Peru).,2024-06-23 04:34:47
12245,690706,31,43329666,26',Víctor Dávila (Chile) wins a free kick on the right wing.,2024-06-23 04:34:47
12245,690706,32,43329673,29',Attempt missed. Alexis Sánchez (Chile) right footed shot from the right side of the box is too high. Assisted by Eduardo Vargas.,2024-06-23 04:34:47
12245,690706,33,43329675,31',"Offside, Peru. Piero Quispe is caught offside.",2024-06-23 04:34:47
12245,690706,34,43329678,32',Attempt blocked. Gianluca Lapadula (Peru) right footed shot from outside the box is blocked. Assisted by Piero Quispe.,2024-06-23 04:34:47
12245,690706,35,43329680,33',Carlos Zambrano (Peru) wins a free kick in the attacking half.,2024-06-23 04:34:47
12245,690706,36,43329680,33',Foul by Diego Valdés (Chile).,2024-06-23 04:34:47
12245,690706,37,-1,34',Delay in match  because of an injury Luis Advíncula (Peru).,2024-06-23 04:34:47
12245,690706,38,-1,35',Delay over. They are ready to continue.,2024-06-23 04:34:47
12245,690706,39,43329683,35',"Substitution, Peru. Marcos López replaces Luis Advíncula because of an injury.",2024-06-23 04:34:47
12245,690706,40,43329694,38',Foul by Eduardo Vargas (Chile).,2024-06-23 04:34:47
12245,690706,41,43329694,38',Sergio Peña (Peru) wins a free kick in the defensive half.,2024-06-23 04:34:47
12245,690706,42,43329707,42',Carlos Zambrano (Peru) wins a free kick on the left wing.,2024-06-23 04:34:47
12245,690706,43,43329707,42',Foul by Eduardo Vargas (Chile).,2024-06-23 04:34:47
12245,690706,44,43329710,43',Attempt saved. Miguel Araujo (Peru) header from the centre of the box is saved in the top centre of the goal. Assisted by Sergio Peña with a cross.,2024-06-23 04:34:47
12245,690706,45,-1,45',Delay in match  because of an injury Diego Valdés (Chile).,2024-06-23 04:34:47
12245,690706,46,-1,45'+1',Delay over. They are ready to continue.,2024-06-23 04:34:47
12245,690706,47,-1,45'+2',Delay in match   (Chile).,2024-06-23 04:34:47
12245,690706,48,-1,45'+2',Delay over. They are ready to continue.,2024-06-23 04:34:47
12245,690706,49,43329722,45'+2',Foul by Marcos López (Peru).,2024-06-23 04:34:47
12245,690706,50,43329722,45'+2',Mauricio Isla (Chile) wins a free kick on the right wing.,2024-06-23 04:34:47
