seasonType,eventId,commentaryOrder,playId,clockDisplayValue,commentaryText,updateDateTime
12813,715386,0,43536114,45',Ilkay Gündogan (Barcelona) Substitution at 45',2024-08-13 09:21:55
12813,715386,1,43536115,45',Sergi Domínguez (Barcelona) Substitution at 45',2024-08-13 09:21:55
12813,715386,2,43536136,50',Lamine Camara (AS Monaco) Goal at 50',2024-08-13 09:21:55
12813,715386,3,43536190,57',Breel Embolo (AS Monaco) Goal at 57',2024-08-13 09:21:55
12813,715386,4,43536289,67',Ferran Torres (Barcelona) Substitution at 67',2024-08-13 09:21:55
12813,715386,5,43536290,68',Lamine Yamal (Barcelona) Substitution at 68',2024-08-13 09:21:55
12813,715386,6,43536291,68',Hector Fort (Barcelona) Substitution at 68',2024-08-13 09:21:55
12813,715386,7,43536292,68',Gerard (Barcelona) Substitution at 68',2024-08-13 09:21:55
12813,715386,8,43536345,76',George Ilenikhena (AS Monaco) Substitution at 76',2024-08-13 09:21:55
12813,715386,9,43536346,77',Iñaki Peña (Barcelona) Substitution at 77',2024-08-13 09:21:55
12813,715386,10,43536347,77',Caio Henrique (AS Monaco) Substitution at 77',2024-08-13 09:21:55
12813,715386,11,43536373,81',Edan Diop (AS Monaco) Substitution at 81',2024-08-13 09:21:55
12813,715386,12,43536387,81',Christian Mawissa (AS Monaco) Substitution at 81',2024-08-13 09:21:55
12813,715386,13,43536388,81',Saïmon Bouabré (AS Monaco) Substitution at 81',2024-08-13 09:21:55
12813,715386,14,43536417,86',Christian Mawissa (AS Monaco) Goal at 86',2024-08-13 09:21:55
12813,715386,15,43536435,88',Toni Fernández (Barcelona) Substitution at 88',2024-08-13 09:21:55
12813,715386,16,43536447,88',Quim Junyent (Barcelona) Substitution at 88',2024-08-13 09:21:55
12813,715386,17,43536486,88',Eliot Matazo (AS Monaco) Substitution at 88',2024-08-13 09:21:55
12813,715386,18,43536496,90'+3',Kassoum Ouattara (AS Monaco) Substitution at 93',2024-08-13 09:21:55
12813,715386,19,43536497,90'+3',Lucas Michel (AS Monaco) Substitution at 93',2024-08-13 09:21:55
12813,715386,20,43536498,90'+4',Mohammed Salisu (AS Monaco) Yellow Card at 94',2024-08-13 09:21:55
