seasonType,eventId,commentaryOrder,playId,clockDisplayValue,commentaryText,updateDateTime
12752,712534,0,44507866,5',Kylian Mbappé (Real Madrid) Goal at 5',2025-01-13 05:36:14
12752,712534,1,44507927,22',Lamine Yamal (Barcelona) Goal at 22',2025-01-13 05:36:14
12752,712534,2,44507972,28',Ronald Araújo (Barcelona) Substitution at 28',2025-01-13 05:36:14
12752,712534,3,44507982,35',Eduardo Camavinga (Real Madrid) Yellow Card at 35',2025-01-13 05:36:14
12752,712534,4,44507983,36',Robert Lewandowski (Barcelona) Penalty - Scored at 36',2025-01-13 05:36:14
12752,712534,5,44507988,39',Raphinha (Barcelona) Goal at 39',2025-01-14 05:35:40
12752,712534,6,44508070,45'+8',Iñigo Martínez (Barcelona) Yellow Card at 53',2025-01-13 05:36:14
12752,712534,7,44508086,45'+10',Alejandro Balde (Barcelona) Goal at 55',2025-01-13 05:36:14
12752,712534,8,44508162,45',Dani Ceballos (Real Madrid) Substitution at 45',2025-01-13 05:36:14
12752,712534,9,44508165,48',Raphinha (Barcelona) Goal at 48',2025-01-14 05:35:40
12752,712534,10,44508180,52',Raúl Asencio (Real Madrid) Substitution at 52',2025-01-13 05:36:14
12752,712534,11,44508192,53',Antonio Rüdiger (Real Madrid) Yellow Card at 53',2025-01-13 05:36:14
12752,712534,12,44508201,55',Vinícius Júnior (Real Madrid) Yellow Card at 55',2025-01-14 05:35:40
12752,712534,13,44508215,56',Wojciech Szczesny (Barcelona) Red Card at 56',2025-01-13 05:36:14
12752,712534,14,44508224,59',Iñaki Peña (Barcelona) Substitution at 59',2025-01-13 05:36:14
12752,712534,15,44508225,59',Dani Olmo (Barcelona) Substitution at 59',2025-01-13 05:36:14
12752,712534,16,44508226,60',Rodrygo (Real Madrid) Goal at 60',2025-01-14 05:35:40
12752,712534,17,44508238,62',Aurélien Tchouaméni (Real Madrid) Yellow Card at 62',2025-01-13 05:36:14
12752,712534,18,44508245,64',Luka Modric (Real Madrid) Substitution at 64',2025-01-13 05:36:14
12752,712534,19,44508289,75',Fran García (Real Madrid) Substitution at 75',2025-01-13 05:36:14
