seasonType,eventId,commentaryOrder,playId,clockDisplayValue,commentaryText,updateDateTime
12876,719565,0,43725903,13',Giovana  (Atlético Madrid) Goal at 13',2024-09-12 05:43:34
12876,719565,1,43725904,45'+2',Cristina Postigo (Granada) Yellow Card at 47',2024-09-12 05:43:34
12876,719565,2,43725906,62',Leles (Granada) Substitution at 62',2024-09-12 05:43:34
12876,719565,3,43725907,64',Ariadna Mingueza (Granada) Yellow Card at 64',2024-09-12 05:43:34
12876,719565,4,43725908,71',Ana Vitória  (Atlético Madrid) Substitution at 71',2024-09-12 05:43:34
12876,719565,5,43725909,71',Tatiana Pinto (Atlético Madrid) Substitution at 71',2024-09-12 05:43:34
12876,719565,6,43725910,75',Isabel Álvarez (Granada) Red Card at 75',2024-09-12 05:43:34
12876,719565,7,43725911,76',Laura Pérez (Granada) Yellow Card at 76',2024-09-12 05:43:34
12876,719565,8,43725912,78',Alba Pérez (Granada) Substitution at 78',2024-09-12 05:43:34
12876,719565,9,43725913,78',Lucía Ramos (Granada) Substitution at 78',2024-09-12 05:43:34
12876,719565,10,43725914,84',Sheila Guijarro (Atlético Madrid) Substitution at 84',2024-09-12 05:43:34
12876,719565,11,43725915,87',Miku Ito (Granada) Substitution at 87',2024-09-12 05:43:34
12876,719565,12,43725916,87',Rosa Otermín (Atlético Madrid) Substitution at 87',2024-09-12 05:43:34
12876,719565,13,43725917,87',Naroa Uriarte (Granada) Substitution at 87',2024-09-12 05:43:34
12876,719565,14,43725918,90'+2',Sheila Guijarro (Atlético Madrid) Goal at 92',2024-09-12 05:43:34
12876,719566,0,43711600,31',Alba Caño (Barcelona) Yellow Card at 31',2024-09-09 05:47:03
12876,719566,1,43711646,33',Inês Pereira (Deportivo de La Coruña) Yellow Card at 33',2024-09-09 05:47:03
12876,719566,2,43711805,45',Aitana Bonmatí (Barcelona) Substitution at 45',2024-09-09 05:47:03
12876,719566,3,43711806,45',Alexia Putellas (Barcelona) Substitution at 45',2024-09-09 05:47:03
12876,719566,4,43711864,52',Esmee Brugts (Barcelona) Yellow Card at 52',2024-09-09 05:47:03
12876,719566,5,43711931,58',Ewa Pajor (Barcelona) Goal at 58',2024-09-09 05:47:03
12876,719566,6,43712012,64',Carlota Sánchez (Deportivo de La Coruña) Substitution at 64',2024-09-09 05:47:03
12876,719566,7,43712083,69',Patri Guijarro (Barcelona) Substitution at 69',2024-09-09 05:47:03
12876,719566,8,43712084,69',Ona Batlle (Barcelona) Substitution at 69',2024-09-09 05:47:03
12876,719566,9,43712111,71',Esmee Brugts (Barcelona) Goal at 71',2024-09-09 05:47:03
12876,719566,10,43712235,81',Marta Torrejón (Barcelona) Substitution at 81',2024-09-09 05:47:03
12876,719566,11,43712236,81',Ewa Pajor (Barcelona) Yellow Card at 81',2024-09-09 05:47:03
12876,719566,12,43712273,84',Cristina Martínez (Deportivo de La Coruña) Substitution at 84',2024-09-09 05:47:03
