seasonType,eventId,commentaryOrder,playId,clockDisplayValue,commentaryText,updateDateTime
12136,688265,0,-1,,Lineups are announced and players are warming up.,2024-01-08 00:25:10
12136,688265,1,42168599,,First Half begins.,2024-01-08 00:25:10
12136,688265,2,42168634,5',"Offside, Australia. Gethin Jones is caught offside.",2024-01-11 03:09:00
12136,688265,3,42168682,10',Amine Benaddi (Bahrain) wins a free kick in the defensive half.,2024-01-11 03:09:00
12136,688265,4,42168682,10',Foul by Sam Silvera (Australia).,2024-01-11 03:09:00
12136,688265,5,42168806,13',Foul by Amine Benaddi (Bahrain).,2024-01-11 03:09:00
12136,688265,6,42168806,13',Mitch Duke (Australia) wins a free kick on the left wing.,2024-01-11 03:09:00
12136,688265,7,42168726,16',Foul by Jordan Bos (Australia).,2024-01-11 03:09:00
12136,688265,8,42168726,16',Mohamed Adel (Bahrain) wins a free kick on the right wing.,2024-01-11 03:09:00
12136,688265,9,42168735,17',Foul by Craig Goodwin (Australia).,2024-01-11 03:09:00
12136,688265,10,42168735,17',Mohamed Adel (Bahrain) wins a free kick on the right wing.,2024-01-11 03:09:00
12136,688265,11,42168750,18',Attempt missed. Abdullah Al Hashash (Bahrain) right footed shot from the left side of the six yard box is high and wide to the left. Assisted by Abdulla Al Khalassy.,2024-01-11 03:09:00
12136,688265,12,42168775,20',Attempt saved. Connor Metcalfe (Australia) left footed shot from outside the box is saved in the bottom right corner.,2024-01-08 00:25:10
12136,688265,13,42168777,20',Hand ball by Connor Metcalfe (Australia).,2024-01-11 03:09:00
12136,688265,14,42168809,26',Foul by Abdulla Al Khalassy (Bahrain).,2024-01-11 03:09:00
12136,688265,15,42168809,26',Sam Silvera (Australia) wins a free kick on the right wing.,2024-01-11 03:09:00
12136,688265,16,42168882,30',Attempt missed. Craig Goodwin (Australia) right footed shot from the centre of the box misses to the right. Assisted by Sam Silvera with a cross.,2024-01-11 03:09:00
12136,688265,17,42168947,35',"Own Goal by Amine Benaddi, Bahrain.  Bahrain 0, Australia 1.",2024-01-08 00:25:10
12136,688265,18,42168992,36',Foul by Mitch Duke (Australia).,2024-01-11 03:09:00
12136,688265,19,42168992,36',Mohammed Al Hardan (Bahrain) wins a free kick in the defensive half.,2024-01-11 03:09:00
12136,688265,20,42168995,37',Foul by Craig Goodwin (Australia).,2024-01-11 03:09:00
12136,688265,21,42168995,37',Moses Atede (Bahrain) wins a free kick in the defensive half.,2024-01-11 03:09:00
12136,688265,22,42169029,39',Attempt missed. Moses Atede (Bahrain) right footed shot from outside the box is high and wide to the right. Assisted by Ali Madan.,2024-01-11 03:09:00
12136,688265,23,42169210,41',Ali Madan (Bahrain) wins a free kick in the defensive half.,2024-01-11 03:09:00
12136,688265,24,42169210,41',Foul by Sam Silvera (Australia).,2024-01-11 03:09:00
12136,688265,25,42169108,43',Foul by Jordan Bos (Australia).,2024-01-11 03:09:00
12136,688265,26,42169108,43',Mohamed Adel (Bahrain) wins a free kick in the defensive half.,2024-01-11 03:09:00
12136,688265,27,42169122,43',Foul by Abdullah Al Hashash (Bahrain).,2024-01-11 03:09:00
12136,688265,28,42169122,43',Gethin Jones (Australia) wins a free kick in the defensive half.,2024-01-11 03:09:00
12136,688265,29,42169143,44',Attempt missed. Mitch Duke (Australia) right footed shot from the centre of the box is just a bit too high. Assisted by Craig Goodwin.,2024-01-11 03:09:00
12136,688265,30,42169190,45',Foul by Craig Goodwin (Australia).,2024-01-11 03:09:00
12136,688265,31,42169190,45',Moses Atede (Bahrain) wins a free kick in the defensive half.,2024-01-11 03:09:00
12136,688265,32,42169203,45'+1',"First Half ends, Bahrain 0, Australia 1.",2024-01-08 00:25:10
12136,688265,33,-1,45',"Second Half begins Bahrain 0, Australia 1.",2024-01-08 00:25:10
12136,688265,34,42169649,48',"Corner,  Australia. Conceded by Amine Benaddi.",2024-01-11 03:09:00
12136,688265,35,42169684,48',Attempt blocked. Jackson Irvine (Australia) left footed shot from the centre of the box is blocked. Assisted by Craig Goodwin with a cross.,2024-01-11 03:09:00
12136,688265,36,42169774,53',"Corner,  Australia. Conceded by Mohammed Al Hardan.",2024-01-11 03:09:00
12136,688265,37,42169801,54',Foul by Komail Al Aswad (Bahrain).,2024-01-11 03:09:00
12136,688265,38,42169801,54',Sam Silvera (Australia) wins a free kick on the right wing.,2024-01-11 03:09:00
12136,688265,39,42169830,55',Foul by Aiden O'Neill (Australia).,2024-01-11 03:09:00
12136,688265,40,42169830,55',Moses Atede (Bahrain) wins a free kick in the defensive half.,2024-01-11 03:09:00
12136,688265,41,42169868,56',"Substitution, Bahrain. Abdulla Yusuf Helal replaces Jasim Khelaif.",2024-01-11 03:09:00
12136,688265,42,42169920,56',"Substitution, Bahrain. Mohamed Marhoon replaces Abdullah Al Hashash.",2024-01-11 03:09:00
12136,688265,43,42169929,61',"Goal!  Bahrain 0, Australia 2. Mitch Duke (Australia) header from very close range to the bottom right corner. Assisted by Craig Goodwin with a headed pass.",2024-01-11 03:09:00
12136,688265,44,42169953,62',Ali Madan (Bahrain) wins a free kick on the right wing.,2024-01-11 03:09:00
12136,688265,45,42169953,62',Foul by Craig Goodwin (Australia).,2024-01-11 03:09:00
12136,688265,46,42169954,63',Craig Goodwin (Australia) is shown the yellow card.,2024-01-11 03:09:00
12136,688265,47,42170000,63',"Substitution, Australia. Aziz Behich replaces Craig Goodwin.",2024-01-11 03:09:00
12136,688265,48,42169998,63',"Substitution, Australia. Riley McGree replaces Connor Metcalfe.",2024-01-11 03:09:00
12136,688265,49,42169999,63',"Substitution, Australia. Kusini Yengi replaces Mitch Duke.",2024-01-11 03:09:00
12136,688265,50,42169997,63',"Substitution, Australia. Kye Rowles replaces Cameron Burgess.",2024-01-11 03:09:00
12136,688265,51,42170383,64',Foul by Aiden O'Neill (Australia).,2024-01-11 03:09:00
12136,688265,52,42170383,64',Mohamed Marhoon (Bahrain) wins a free kick in the attacking half.,2024-01-11 03:09:00
12136,688265,53,-1,65',"Corner,  Australia. Conceded by Amine Benaddi.",2024-01-08 00:25:10
12136,688265,54,42170005,65',Attempt missed. Kye Rowles (Australia) header from the centre of the box is too high. Assisted by Riley McGree with a cross following a corner.,2024-01-11 03:09:00
12136,688265,55,42170017,66',"Offside, Australia. Sam Silvera is caught offside.",2024-01-11 03:09:00
12136,688265,56,42170052,67',"Substitution, Bahrain. Ibrahim Al Khatal replaces Komail Al Aswad.",2024-01-08 00:25:10
12136,688265,57,42170053,67',"Substitution, Bahrain. Ali Hasan Isa replaces Ali Madan.",2024-01-11 03:09:00
