seasonType,eventId,commentaryOrder,playId,clockDisplayValue,commentaryText,updateDateTime
12473,716794,0,43716701,1',Liam Delap (England U21) Yellow Card at 1',2024-10-14 07:06:39
12473,716794,1,43716999,25',Morgan Rogers (England U21) Penalty - Scored at 25',2024-10-14 07:06:39
12473,716794,2,43717122,35',Thierno Ballo (Austria U21) Goal at 35',2024-10-14 07:06:39
12473,716794,3,43717202,41',Florian Micheler (Austria U21) Yellow Card at 41',2024-10-14 07:06:39
12473,716794,4,43717342,45',Charlie Cresswell (England U21) Substitution at 45',2024-10-14 07:06:39
12473,716794,5,43717343,45',Paul-Friedrich Koller (Austria U21) Substitution at 45',2024-10-14 07:06:39
12473,716794,6,43717344,45',Matthias Braunöder (Austria U21) Substitution at 45',2024-10-14 07:06:39
12473,716794,7,43717382,49',Morgan Rogers (England U21) Goal at 49',2024-10-14 07:06:39
12473,716794,8,43717479,54',Nikolas Sattlberger (Austria U21) Substitution at 54',2024-10-14 07:06:39
12473,716794,9,43717533,59',James McAtee (England U21) Goal at 59',2024-10-14 07:06:39
12473,716794,10,43717553,60',Jamie Bynoe-Gittens (England U21) Substitution at 60',2024-10-14 07:06:39
12473,716794,11,43717554,60',Hayden Hackney (England U21) Substitution at 60',2024-10-14 07:06:39
12473,716794,12,43717628,64',Oluwaseun Adewumi (Austria U21) Substitution at 64',2024-10-14 07:06:39
12473,716794,13,43717629,64',Angelo Gattermayer (Austria U21) Substitution at 64',2024-10-14 07:06:39
12473,716794,14,43717630,64',Moritz Oswald (Austria U21) Substitution at 64',2024-10-14 07:06:39
12473,716794,15,43717808,72',Elliot Anderson (England U21) Substitution at 72',2024-10-14 07:06:39
12473,716794,16,43717809,72',Tom Fellows (England U21) Substitution at 72',2024-10-14 07:06:39
12473,716794,17,43717810,72',Archie Gray (England U21) Substitution at 72',2024-10-14 07:06:39
12473,716794,18,43717811,72',Jon Rowe (England U21) Substitution at 72',2024-10-14 07:06:39
12473,716794,19,43717915,78',Jarell Quansah (England U21) Yellow Card at 78',2024-10-14 07:06:39
12473,716794,20,43717956,81',Tom Fellows (England U21) Goal at 81',2024-10-14 07:06:39
12473,716794,21,43717983,82',Nathan Wood (England U21) Substitution at 82',2024-10-14 07:06:39
12473,716794,22,43717984,82',Luka Reischl (Austria U21) Substitution at 82',2024-10-14 07:06:39
12473,716794,23,43717985,82',Justin Omoregie (Austria U21) Substitution at 82',2024-10-14 07:06:39
12473,716794,24,43718044,82',Lukas Jungwirth (Austria U21) Substitution at 82',2024-10-14 07:06:39
12473,720284,0,43693816,7',Maiwulang Mijiti (China PR U21) Yellow Card at 7',2024-10-14 07:06:39
12473,720284,1,43693817,14',Aifeierding Aisikaer (China PR U21) Goal at 14',2024-10-14 07:06:39
12473,720284,2,43693823,44',Hu Hetao (China PR U21) Yellow Card at 44',2024-10-14 07:06:39
12473,720284,3,43693824,45',Nguyen Quoc Viet (Vietnam U21) Goal at 45',2024-10-14 07:06:39
12473,720284,4,43693828,45',Nguyen Phi Hoàng (Vietnam U21) Substitution at 45',2024-10-14 07:06:39
12473,720284,5,43693829,45',Langzhou Liu (China PR U21) Substitution at 45',2024-10-14 07:06:39
12473,720284,6,43693830,48',Nguyen Duc Viet (Vietnam U21) Yellow Card at 48',2024-10-14 07:06:39
12473,720284,7,43693831,53',Nguyen Thai Son (Vietnam U21) Yellow Card at 53',2024-10-14 07:06:39
