seasonType,eventId,commentaryOrder,playId,clockDisplayValue,commentaryText,updateDateTime
12488,699832,0,-1,,Lineups are announced and players are warming up.,2024-08-10 09:36:01
12488,699832,1,43512855,,First Half begins.,2024-08-10 09:36:01
12488,699832,2,-1,1',Delay in match because of an injury Sergio Gómez (Spain U23).,2024-08-10 09:36:01
12488,699832,3,-1,1',Delay over. They are ready to continue.,2024-08-10 09:36:01
12488,699832,4,-1,3',Delay in match because of an injury Fermín López (Spain U23).,2024-08-10 09:36:01
12488,699832,5,-1,3',Delay over. They are ready to continue.,2024-08-10 09:36:01
12488,699832,6,43512863,5',Aimar Oroz (Spain U23) wins a free kick in the defensive half.,2024-08-10 09:36:01
12488,699832,7,43512863,5',Foul by Adrien Truffert (France U23).,2024-08-10 09:36:01
12488,699832,8,43512878,9',"Offside, Spain U23. Aimar Oroz is caught offside.",2024-08-10 09:36:01
12488,699832,9,43512887,11',"Goal! France U23 1, Spain U23 0. Enzo Millot (France U23) left footed shot from the right side of the box to the bottom left corner.",2024-08-10 09:36:01
12488,699832,10,43512902,18',"Goal! France U23 1, Spain U23 1. Fermín López (Spain U23) right footed shot from the centre of the box to the bottom left corner. Assisted by Álex Baena with a through ball.",2024-08-11 09:18:25
12488,699832,11,43512915,21',"Corner, France U23. Conceded by Pau Cubarsí.",2024-08-10 09:36:01
12488,699832,12,-1,21',"Corner, France U23. Conceded by Abel Ruiz.",2024-08-10 09:36:01
12488,699832,13,43512918,22',Attempt saved. Jean-Philippe Mateta (France U23) header from the centre of the box is saved in the centre of the goal. Assisted by Michael Olise with a cross.,2024-08-10 09:36:01
12488,699832,14,-1,22',Delay in match because of an injury Eric García (Spain U23).,2024-08-10 09:36:01
12488,699832,15,-1,22',Delay in match because of an injury Jean-Philippe Mateta (France U23).,2024-08-10 09:36:01
12488,699832,16,-1,23',Delay over. They are ready to continue.,2024-08-10 09:36:01
12488,699832,17,43512931,24',Foul by Fermín López (Spain U23).,2024-08-11 09:18:25
12488,699832,18,43512931,24',Manu Koné (France U23) wins a free kick in the defensive half.,2024-08-11 09:18:25
12488,699832,19,43512937,25',Attempt saved. Abel Ruiz (Spain U23) right footed shot from the centre of the box is saved in the centre of the goal. Assisted by Juan Miranda with a cross.,2024-08-10 09:36:01
12488,699832,20,43512938,25',"Goal! France U23 1, Spain U23 2. Fermín López (Spain U23) left footed shot from very close range to the centre of the goal.",2024-08-10 09:36:01
12488,699832,21,43512946,27',Foul by Loïc Badé (France U23).,2024-08-10 09:36:01
12488,699832,22,43512946,27',Juan Miranda (Spain U23) wins a free kick in the attacking half.,2024-08-10 09:36:01
12488,699832,23,43512947,28',"Goal! France U23 1, Spain U23 3. Álex Baena (Spain U23) from a free kick with a right footed shot to the high centre of the goal.",2024-08-11 09:18:25
12488,699832,24,43512952,31',Foul by Alexandre Lacazette (France U23).,2024-08-10 09:36:01
12488,699832,25,43512952,31',Pablo Barrios (Spain U23) wins a free kick in the defensive half.,2024-08-10 09:36:01
12488,699832,26,43512957,32',Foul by Enzo Millot (France U23).,2024-08-10 09:36:01
12488,699832,27,43512957,32',Juan Miranda (Spain U23) wins a free kick in the defensive half.,2024-08-10 09:36:01
12488,699832,28,43512972,35',Hand ball by Kiliann Sildillia (France U23).,2024-08-10 09:36:01
12488,699832,29,43512985,36',Aimar Oroz (Spain U23) wins a free kick in the attacking half.,2024-08-10 09:36:01
12488,699832,30,43512985,36',Foul by Manu Koné (France U23).,2024-08-10 09:36:01
12488,699832,31,43512986,36',Manu Koné (France U23) is shown the yellow card.,2024-08-10 09:36:01
12488,699832,32,-1,37',Delay in match because of an injury Aimar Oroz (Spain U23).,2024-08-10 09:36:01
12488,699832,33,-1,38',Delay over. They are ready to continue.,2024-08-10 09:36:01
12488,699832,34,43512997,38',Attempt blocked. Fermín López (Spain U23) left footed shot from outside the box is blocked. Assisted by Juan Miranda.,2024-08-10 09:36:01
12488,699832,35,43513008,41',Attempt blocked. Aimar Oroz (Spain U23) right footed shot from outside the box is blocked. Assisted by Fermín López.,2024-08-10 09:36:01
12488,699832,36,43513022,41',Attempt saved. Juan Miranda (Spain U23) left footed shot from the left side of the box is saved in the centre of the goal. Assisted by Aimar Oroz with a through ball.,2024-08-10 09:36:01
12488,699832,37,43513011,41',Foul by Eric García (Spain U23).,2024-08-10 09:36:01
12488,699832,38,43513011,41',Jean-Philippe Mateta (France U23) wins a free kick on the left wing.,2024-08-10 09:36:01
12488,699832,39,43513031,42',Attempt missed. Joris Chotard (France U23) left footed shot from outside the box is high and wide to the left. Assisted by Loïc Badé.,2024-08-10 09:36:01
12488,699832,40,43513040,44',Enzo Millot (France U23) wins a free kick in the attacking half.,2024-08-10 09:36:01
12488,699832,41,43513040,44',Foul by Fermín López (Spain U23).,2024-08-10 09:36:01
12488,699832,42,43513045,45',Hand ball by Enzo Millot (France U23).,2024-08-10 09:36:01
12488,699832,43,43513055,45'+2',Attempt saved. Jean-Philippe Mateta (France U23) header from very close range is saved in the top left corner.,2024-08-10 09:36:01
12488,699832,44,43513058,45'+2',"Corner, France U23. Conceded by Arnau Tenas.",2024-08-10 09:36:01
12488,699832,45,43513065,45'+3',Attempt blocked. Michael Olise (France U23) left footed shot from outside the box is blocked.,2024-08-10 09:36:01
12488,699832,46,43513070,45'+4',"Attempt missed. Michael Olise (France U23) left footed shot from the centre of the box is close, but misses to the left. Assisted by Adrien Truffert.",2024-08-10 09:36:01
12488,699832,47,43513066,45'+4',"Offside, France U23. Jean-Philippe Mateta is caught offside.",2024-08-10 09:36:01
12488,699832,48,43513075,45'+5',Loïc Badé (France U23) is shown the yellow card for a bad foul.,2024-08-10 09:36:01
12488,699832,49,43513083,45'+8',"First Half ends, France U23 1, Spain U23 3.",2024-08-10 09:36:01
12488,699832,50,-1,45',"Second Half begins France U23 1, Spain U23 3.",2024-08-10 09:36:01
12488,699832,51,43513117,48',Attempt missed. Abel Ruiz (Spain U23) right footed shot from outside the box is high and wide to the right. Assisted by Pablo Barrios.,2024-08-10 09:36:01
12488,699832,52,43513129,50',Attempt missed. Fermín López (Spain U23) left footed shot from outside the box is high and wide to the left. Assisted by Álex Baena.,2024-08-10 09:36:01
12488,699832,53,43513149,52',"Substitution, France U23. Maghnes Akliouche replaces Joris Chotard.",2024-08-11 09:18:25
12488,699832,54,43513150,52',"Substitution, France U23. Arnaud Kalimuendo replaces Alexandre Lacazette.",2024-08-10 09:36:01
12488,699832,55,43513152,53',Foul by Álex Baena (Spain U23).,2024-08-10 09:36:01
12488,699832,56,43513152,53',Michael Olise (France U23) wins a free kick on the right wing.,2024-08-10 09:36:01
12488,699832,57,43513174,53',Attempt blocked. Loïc Badé (France U23) header from the centre of the box is blocked. Assisted by Michael Olise with a cross.,2024-08-10 09:36:01
12488,699832,58,43513165,53',Attempt blocked. Castello Lukeba (France U23) left footed shot from the centre of the box is blocked.,2024-08-10 09:36:01
12488,699832,59,-1,53',"Corner, France U23. Conceded by Pau Cubarsí.",2024-08-10 09:36:01
12488,699832,60,43513172,54',Attempt missed. Enzo Millot (France U23) left footed shot from outside the box is too high following a corner.,2024-08-10 09:36:01
12488,699832,61,43513175,55',Foul by Manu Koné (France U23).,2024-08-10 09:36:01
12488,699832,62,43513175,55',Pablo Barrios (Spain U23) wins a free kick in the defensive half.,2024-08-10 09:36:01
12488,699832,63,43513182,56',Foul by Pablo Barrios (Spain U23).,2024-08-10 09:36:01
12488,699832,64,43513182,56',Manu Koné (France U23) wins a free kick on the left wing.,2024-08-10 09:36:01
12488,699832,65,43513184,57',Attempt blocked. Arnaud Kalimuendo (France U23) right footed shot from outside the box is blocked. Assisted by Michael Olise.,2024-08-10 09:36:01
12488,699832,66,43513187,57',Manu Koné (France U23) hits the bar with a header from very close range. Assisted by Adrien Truffert with a cross.,2024-08-10 09:36:01
12488,699832,67,43513196,60',Aimar Oroz (Spain U23) wins a free kick in the defensive half.,2024-08-10 09:36:01
12488,699832,68,43513196,60',Foul by Enzo Millot (France U23).,2024-08-10 09:36:01
12488,699832,69,43513204,60',Attempt missed. Juan Miranda (Spain U23) left footed shot from the left side of the box is too high. Assisted by Marc Pubill with a cross.,2024-08-10 09:36:01
12488,699832,70,43513206,62',Attempt saved. Michael Olise (France U23) left footed shot from outside the box is saved in the centre of the goal. Assisted by Enzo Millot.,2024-08-10 09:36:01
12488,699832,71,43513221,64',Aimar Oroz (Spain U23) wins a free kick in the attacking half.,2024-08-11 09:18:25
12488,699832,72,43513221,64',Foul by Loïc Badé (France U23).,2024-08-11 09:18:25
12488,699832,73,43513223,65',Attempt missed. Abel Ruiz (Spain U23) left footed shot from the left side of the box is too high. Assisted by Fermín López.,2024-08-10 09:36:01
12488,699832,74,43513224,66',Aimar Oroz (Spain U23) wins a free kick in the defensive half.,2024-08-10 09:36:01
12488,699832,75,43513224,66',Foul by Kiliann Sildillia (France U23).,2024-08-10 09:36:01
12488,699832,76,43513231,67',Foul by Álex Baena (Spain U23).,2024-08-10 09:36:01
12488,699832,77,43513231,67',Manu Koné (France U23) wins a free kick in the attacking half.,2024-08-10 09:36:01
12488,699832,78,43513234,67',Attempt saved. Jean-Philippe Mateta (France U23) right footed shot from the centre of the box is saved in the bottom left corner. Assisted by Maghnes Akliouche with a through ball.,2024-08-11 09:18:25
12488,699832,79,-1,67',Delay in match because of an injury Eric García (Spain U23).,2024-08-10 09:36:01
12488,699832,80,-1,68',Delay over. They are ready to continue.,2024-08-10 09:36:01
12488,699832,81,43513238,69',Foul by Álex Baena (Spain U23).,2024-08-11 09:18:25
12488,699832,82,43513238,69',Manu Koné (France U23) wins a free kick in the defensive half.,2024-08-11 09:18:25
12488,699832,83,43513241,70',"Corner, France U23. Conceded by Marc Pubill.",2024-08-10 09:36:01
12488,699832,84,43517253,70',Attempt blocked. Maghnes Akliouche (France U23) left footed shot from the centre of the box is blocked. Assisted by Michael Olise with a cross.,2024-08-11 09:18:25
12488,699832,85,43513251,72',Attempt saved. Manu Koné (France U23) right footed shot from the centre of the box is saved in the bottom left corner. Assisted by Arnaud Kalimuendo.,2024-08-11 09:18:25
12488,699832,86,43513254,72',"Corner, France U23. Conceded by Arnau Tenas.",2024-08-11 09:18:25
12488,699832,87,43513273,72',Attempt missed. Enzo Millot (France U23) left footed shot from a difficult angle on the right is high and wide to the left following a corner.,2024-08-11 09:18:25
12488,699832,88,43513275,73',"Substitution, Spain U23. Juanlu Sánchez replaces Marc Pubill.",2024-08-11 09:18:25
12488,699832,89,43513274,73',"Substitution, Spain U23. Adrián Bernabé replaces Fermín López.",2024-08-11 09:18:25
12488,699832,90,43513277,74',Attempt missed. Pablo Barrios (Spain U23) right footed shot from the right side of the box misses to the right. Assisted by Abel Ruiz following a fast break.,2024-08-11 09:18:25
12488,699832,91,43513279,75',Aimar Oroz (Spain U23) wins a free kick in the defensive half.,2024-08-11 09:18:25
12488,699832,92,43513279,75',Foul by Kiliann Sildillia (France U23).,2024-08-11 09:18:25
12488,699832,93,43513282,76',Foul by Adrián Bernabé (Spain U23).,2024-08-11 09:18:25
12488,699832,94,43513282,76',Manu Koné (France U23) wins a free kick in the attacking half.,2024-08-11 09:18:25
12488,699832,95,43513283,76',Adrián Bernabé (Spain U23) is shown the yellow card for a bad foul.,2024-08-11 09:18:25
12488,699832,96,43513285,77',Attempt missed. Jean-Philippe Mateta (France U23) header from the centre of the box is just a bit too high. Assisted by Michael Olise with a cross following a set piece situation.,2024-08-11 09:18:25
12488,699832,97,43513296,78',"Substitution, France U23. Désiré Doué replaces Enzo Millot.",2024-08-11 09:18:25
12488,699832,98,43513298,78',Foul by Álex Baena (Spain U23).,2024-08-11 09:18:25
12488,699832,99,43513298,78',Michael Olise (France U23) wins a free kick on the right wing.,2024-08-11 09:18:25
12488,699832,100,43513299,78',Álex Baena (Spain U23) is shown the yellow card for a bad foul.,2024-08-11 09:18:25
12488,699832,101,43513301,79',"Goal! France U23 2, Spain U23 3. Maghnes Akliouche (France U23) left footed shot from the centre of the box to the top left corner. Assisted by Michael Olise with a cross following a set piece situation.",2024-08-11 09:18:25
12488,699832,102,43513306,80',Attempt missed. Sergio Gómez (Spain U23) left footed shot from outside the box is high and wide to the left. Assisted by Abel Ruiz.,2024-08-11 09:18:25
12488,699832,103,43513310,81',Attempt blocked. Adrien Truffert (France U23) left footed shot from outside the box is blocked. Assisted by Manu Koné.,2024-08-11 09:18:25
12488,699832,104,43513311,81',"Corner, France U23. Conceded by Adrián Bernabé.",2024-08-11 09:18:25
12488,699832,105,43513312,81',Attempt missed. Manu Koné (France U23) right footed shot from outside the box misses to the left following a corner.,2024-08-11 09:18:25
12488,699832,106,43513318,83',"Substitution, Spain U23. Beñat Turrientes replaces Álex Baena.",2024-08-11 09:18:25
12488,699832,107,43513319,83',"Substitution, Spain U23. Sergio Camello replaces Abel Ruiz.",2024-08-11 09:18:25
12488,699832,108,43513321,83',Adrián Bernabé (Spain U23) wins a free kick in the defensive half.,2024-08-11 09:18:25
12488,699832,109,43513321,83',Foul by Adrien Truffert (France U23).,2024-08-11 09:18:25
12488,699832,110,43513338,85',"Offside, France U23. Arnaud Kalimuendo is caught offside.",2024-08-11 09:18:25
12488,699832,111,-1,87',"Corner, France U23. Conceded by Beñat Turrientes.",2024-08-11 09:18:25
12488,699832,112,43513348,88',"Attempt missed. Sergio Gómez (Spain U23) left footed shot from the left side of the box is close, but misses to the right. Assisted by Eric García following a fast break.",2024-08-11 09:18:25
