seasonType,eventId,commentaryOrder,playId,clockDisplayValue,commentaryText,updateDateTime
12653,707092,0,43994674,3',Jocelyn Travers (United States U17) Own Goal at 3',2024-10-21 05:15:20
12653,707092,1,43994760,22',Melanie Barcenas (United States U17) Goal at 22',2024-10-21 05:15:20
12653,707092,2,43994804,36',Irune Dorado (Spain U17) Yellow Card at 36',2024-10-21 05:15:20
12653,707092,3,43994886,63',Maddie Padelski (United States U17) Substitution at 63',2024-10-21 05:15:20
12653,707092,4,43994887,65',Claudia De La Cuerda (Spain U17) Substitution at 65',2024-10-21 05:15:20
12653,707092,5,43994889,65',Noa Ortega (Spain U17) Substitution at 65',2024-10-21 05:15:20
12653,707092,6,43994891,70',Noa Ortega (Spain U17) Goal at 70',2024-10-21 05:15:20
12653,707092,7,43994892,72',Emma Moreno (Spain U17) Substitution at 72',2024-10-21 05:15:20
12653,707092,8,43994893,72',Mary Long (United States U17) Substitution at 72',2024-10-21 05:15:20
12653,707092,9,43994894,72',Micayla Johnson (United States U17) Substitution at 72',2024-10-21 05:15:20
12653,707092,10,43994919,83',Alba Cerrato (Spain U17) Goal at 83',2024-10-21 05:15:20
12653,707092,11,43994922,84',Katie Scott (United States U17) Substitution at 84',2024-10-21 05:15:20
12653,707092,12,43994923,85',Jaiden Rodriguez (United States U17) Substitution at 85',2024-10-21 05:15:20
12653,707092,13,43994924,86',Iris Santiago (Spain U17) Substitution at 86',2024-10-21 05:15:20
12653,707092,14,43994925,86',Lorena Cubo (Spain U17) Substitution at 86',2024-10-21 05:15:20
12653,707093,0,43995012,28',Ella Martínez (Colombia U17) Goal at 28',2024-10-20 11:07:54
12653,707093,1,43995052,36',Casey Phair (South Korea U17) Penalty - Scored at 36',2024-10-20 11:07:54
12653,707093,2,43995106,45',Isabella Díaz (Colombia U17) Substitution at 45',2024-10-20 11:07:54
12653,707093,3,43995107,45',Laura Acevedo (Colombia U17) Substitution at 45',2024-10-20 11:07:54
12653,707093,4,43995162,59',Kim Yee-Un (South Korea U17) Yellow Card at 59',2024-10-20 11:07:54
12653,707093,5,43995173,63',Seo Min-Jeong (South Korea U17) Substitution at 63',2024-10-20 11:07:54
12653,707093,6,43995174,63',Nam Sarang (South Korea U17) Substitution at 63',2024-10-20 11:07:54
12653,707093,7,43995251,76',Reina Torres (Colombia U17) Substitution at 76',2024-10-20 11:07:54
12653,707093,8,43995288,83',Eliesther Santos (Colombia U17) Substitution at 83',2024-10-20 11:07:54
12653,707093,9,43995307,87',Nikol Rojas (Colombia U17) Substitution at 87',2024-10-20 11:07:54
12653,707093,10,43995321,88',Casey Phair (South Korea U17) Yellow Card at 88',2024-10-20 11:07:54
12653,707093,11,43995325,89',Baek Ji-Eun (South Korea U17) Substitution at 89',2024-10-20 11:07:54
12653,707093,12,43995347,90'+2',Zarhay González (Colombia U17) Yellow Card at 92',2024-10-20 11:07:54
12653,707093,13,43995396,90'+9',Lim Ye-Ji (South Korea U17) Substitution at 99',2024-10-20 11:07:54
12653,707094,0,43994972,14',Jaslym Valverde (Ecuador U17) Goal at 14',2024-10-20 11:07:54
12653,707094,1,43995017,29',Jaslym Valverde (Ecuador U17) Goal at 29',2024-10-20 11:07:54
