seasonType,eventId,commentaryOrder,playId,clockDisplayValue,commentaryText,updateDateTime
13016,724033,0,-1,,Lineups are announced and players are warming up.,2024-12-22 05:56:47
13016,724033,1,44447885,,First Half begins.,2024-12-22 05:56:47
13016,724033,2,44447920,5',Hand ball by Sékou Mara (Strasbourg).,2024-12-22 05:56:47
13016,724033,3,44447923,6',Claudio Beauvue (RC Calais) wins a free kick in the attacking half.,2024-12-22 05:56:47
13016,724033,4,44447923,6',Foul by Mamadou Sarr (Strasbourg).,2024-12-22 05:56:47
13016,724033,5,44447941,9',Foul by Guéla Doué (Strasbourg).,2024-12-22 05:56:47
13016,724033,6,44447941,9',Sam Alexander (RC Calais) wins a free kick in the defensive half.,2024-12-22 05:56:47
13016,724033,7,44447953,10',Attempt missed. Claudio Beauvue (RC Calais) right footed shot from outside the box is high and wide to the right. Assisted by Luca Pélissier.,2024-12-22 05:56:47
13016,724033,8,44447968,11',Foul by Romain Merlen (RC Calais).,2024-12-22 05:56:47
13016,724033,9,44447968,11',Sékou Mara (Strasbourg) wins a free kick in the attacking half.,2024-12-22 05:56:47
13016,724033,10,44447983,13',"Corner, RC Calais. Conceded by Guéla Doué.",2024-12-22 05:56:47
13016,724033,11,44447994,14',Attempt missed. Robin Denquin (RC Calais) left footed shot from outside the box misses to the right.,2024-12-22 05:56:47
13016,724033,12,44447985,14',"Offside, RC Calais. Sam Alexander is caught offside.",2024-12-22 05:56:47
13016,724033,13,44448050,20',Attempt missed. Claudio Beauvue (RC Calais) header from the centre of the box is high and wide to the left.,2024-12-24 06:00:00
13016,724033,14,44448068,21',Attempt missed. Luca Pélissier (RC Calais) left footed shot from outside the box misses to the left. Assisted by Robin Denquin following a fast break.,2024-12-24 06:00:00
13016,724033,15,44448069,22',Foul by Alexandre Gobert (RC Calais).,2024-12-24 06:00:00
13016,724033,16,44448069,22',Jérémy Sebas (Strasbourg) wins a free kick on the right wing.,2024-12-24 06:00:00
13016,724033,17,44448070,22',Alexandre Gobert (RC Calais) is shown the yellow card for a bad foul.,2024-12-24 06:00:00
13016,724033,18,44448085,23',Foul by Sékou Mara (Strasbourg).,2024-12-24 06:00:00
13016,724033,19,44448085,23',Sam Alexander (RC Calais) wins a free kick in the defensive half.,2024-12-24 06:00:00
13016,724033,20,44448096,26',Emanuel Emegha (Strasbourg) wins a free kick on the left wing.,2024-12-24 06:00:00
13016,724033,21,44448096,26',Foul by Théo Loridan (RC Calais).,2024-12-24 06:00:00
13016,724033,22,-1,26',Attempt blocked. Emanuel Emegha (Strasbourg) left footed shot from the centre of the box is blocked. Assisted by Jérémy Sebas with a cross.,2024-12-24 06:00:00
13016,724033,23,44448112,26',"Corner, Strasbourg. Conceded by Robin Knockaert.",2024-12-24 06:00:00
13016,724033,24,44448124,27',Attempt missed. Sékou Mara (Strasbourg) header from the centre of the box misses to the left. Assisted by Guéla Doué with a cross following a corner.,2024-12-24 06:00:00
13016,724033,25,44448125,27',Foul by Eduard Sobol (Strasbourg).,2024-12-24 06:00:00
13016,724033,26,44448125,27',Sam Alexander (RC Calais) wins a free kick in the defensive half.,2024-12-24 06:00:00
13016,724033,27,44448126,27',Eduard Sobol (Strasbourg) is shown the yellow card for a bad foul.,2024-12-24 06:00:00
13016,724033,28,44448140,30',Attempt missed. Luca Pélissier (RC Calais) left footed shot from outside the box is just a bit too high. Assisted by Romain Merlen.,2024-12-24 06:00:00
13016,724033,29,44448148,31',Foul by Sam Alexander (RC Calais).,2024-12-24 06:00:00
13016,724033,30,44448148,31',Mamadou Sarr (Strasbourg) wins a free kick in the defensive half.,2024-12-24 06:00:00
13016,724033,31,44448177,34',Attempt missed. Eduard Sobol (Strasbourg) left footed shot from the left side of the box is high and wide to the left. Assisted by Emanuel Emegha.,2024-12-24 06:00:00
13016,724033,32,44448188,35',Attempt missed. Claudio Beauvue (RC Calais) right footed shot from outside the box is just a bit too high.,2024-12-24 06:00:00
13016,724033,33,44448200,37',Attempt saved. Sékou Mara (Strasbourg) left footed shot from the centre of the box is saved in the bottom left corner.,2024-12-24 06:00:00
13016,724033,34,44448208,37',Attempt blocked. Sékou Mara (Strasbourg) right footed shot from the centre of the box is blocked.,2024-12-24 06:00:00
13016,724033,35,44448218,38',Penalty RC Calais. Sam Alexander draws a foul in the penalty area.,2024-12-24 06:00:00
13016,724033,36,44448218,38',Penalty conceded by Guéla Doué (Strasbourg) after a foul in the penalty area.,2024-12-24 06:00:00
13016,724033,37,44448229,39',Penalty saved. Luca Pélissier (RC Calais) left footed shot saved in the bottom right corner.,2024-12-24 06:00:00
13016,724033,38,44448220,39',"Corner, RC Calais. Conceded by Karl-Johan Johnsson.",2024-12-24 06:00:00
13016,724033,39,44448238,41',"Corner, Strasbourg. Conceded by Alain Moges.",2024-12-24 06:00:00
13016,724033,40,44448244,42',Attempt missed. Mamadou Sarr (Strasbourg) header from the centre of the box misses to the right. Assisted by Guéla Doué with a cross following a corner.,2024-12-24 06:00:00
13016,724033,41,44448268,45',Foul by Sam Alexander (RC Calais).,2024-12-24 06:00:00
13016,724033,42,44448268,45',Mamadou Sarr (Strasbourg) wins a free kick in the attacking half.,2024-12-24 06:00:00
13016,724033,43,44448283,45',Attempt saved. Pape Diong (Strasbourg) right footed shot from outside the box is saved in the top left corner. Assisted by Abakar Sylla.,2024-12-24 06:00:00
13016,724033,44,-1,45',Fourth official has announced 1 minutes of added time.,2024-12-24 06:00:00
13016,724033,45,44448284,45'+1',Foul by Pape Diong (Strasbourg).,2024-12-24 06:00:00
13016,724033,46,44448284,45'+1',Giorgi Jobava (RC Calais) wins a free kick on the left wing.,2024-12-24 06:00:00
13016,724033,47,44448289,45'+2',"First Half ends, RC Calais 0, Strasbourg 0.",2024-12-24 06:00:00
13016,724033,48,-1,45',"Second Half begins RC Calais 0, Strasbourg 0.",2024-12-24 06:00:00
13016,724033,49,44448385,46',Attempt missed. Sam Alexander (RC Calais) right footed shot from more than 35 yards is high and wide to the left. Assisted by Claudio Beauvue.,2024-12-24 06:00:00
13016,724033,50,44448408,48',"Corner, Strasbourg. Conceded by Giorgi Jobava.",2024-12-24 06:00:00
13016,724033,51,44448417,49',"Corner, Strasbourg. Conceded by Alexandre Gobert.",2024-12-24 06:00:00
13016,724033,52,44448432,50',Attempt missed. Andrey Santos (Strasbourg) right footed shot from the centre of the box is too high. Assisted by Abakar Sylla with a headed pass.,2024-12-24 06:00:00
13016,724033,53,44448476,55',Emanuel Emegha (Strasbourg) wins a free kick in the defensive half.,2024-12-24 06:00:00
13016,724033,54,44448476,55',Foul by Théo Loridan (RC Calais).,2024-12-24 06:00:00
13016,724033,55,44448488,56',"Corner, Strasbourg. Conceded by Alain Moges.",2024-12-24 06:00:00
13016,724033,56,44448489,57',"Goal! RC Calais 0, Strasbourg 1. Andrey Santos (Strasbourg) header from the centre of the box to the bottom right corner. Assisted by Eduard Sobol with a cross following a corner.",2024-12-24 06:00:00
13016,724033,57,44448531,60',Attempt saved. Sam Alexander (RC Calais) right footed shot from the left side of the box is saved in the top centre of the goal. Assisted by Robin Knockaert.,2024-12-24 06:00:00
13016,724033,58,44448542,61',Attempt saved. Claudio Beauvue (RC Calais) header from the centre of the box is saved in the bottom left corner. Assisted by Luca Pélissier.,2024-12-24 06:00:00
13016,724033,59,44457239,63',Attempt saved. Luca Pélissier (RC Calais) left footed shot from outside the box is saved in the bottom right corner. Assisted by Robin Knockaert.,2024-12-24 06:00:00
13016,724033,60,44448564,65',Attempt saved. Jérémy Sebas (Strasbourg) header from the left side of the box is saved in the top left corner. Assisted by Guéla Doué with a cross.,2024-12-24 06:00:00
13016,724033,61,44448588,66',Attempt blocked. Pape Diong (Strasbourg) right footed shot from outside the box is blocked. Assisted by Abdoul Ouattara with a headed pass.,2024-12-22 05:56:47
13016,724033,62,44448610,68',Emanuel Emegha (Strasbourg) wins a free kick in the attacking half.,2024-12-22 05:56:47
13016,724033,63,44448610,68',Foul by Robin Knockaert (RC Calais).,2024-12-22 05:56:47
13016,724033,64,44448611,68',"Substitution, RC Calais. Erwan Le Sech replaces Robin Knockaert.",2024-12-22 05:56:47
13016,724033,65,44448612,68',"Substitution, RC Calais. Thibaut Lemaitre replaces Giorgi Jobava.",2024-12-22 05:56:47
13016,724033,66,44448614,69',"Substitution, Strasbourg. Marvin Senaya replaces Eduard Sobol.",2024-12-24 06:00:00
13016,724033,67,44448616,70',"Substitution, Strasbourg. Diego Moreira replaces Jérémy Sebas.",2024-12-24 06:00:00
13016,724033,68,44448615,70',"Substitution, Strasbourg. Habib Diarra replaces Pape Diong.",2024-12-24 06:00:00
13016,724033,69,44448617,71',Foul by Claudio Beauvue (RC Calais).,2024-12-24 06:00:00
13016,724033,70,44448617,71',Marvin Senaya (Strasbourg) wins a free kick in the defensive half.,2024-12-22 05:56:47
13016,724033,71,44448630,72',Attempt blocked. Sékou Mara (Strasbourg) right footed shot from outside the box is blocked. Assisted by Mamadou Sarr.,2024-12-22 05:56:47
13016,724033,72,44448632,73',"Goal! RC Calais 0, Strasbourg 2. Sékou Mara (Strasbourg) left footed shot from the centre of the box to the bottom right corner.",2024-12-22 05:56:47
13016,724033,73,44448661,74',Andrey Santos (Strasbourg) wins a free kick in the defensive half.,2024-12-22 05:56:47
13016,724033,74,44448661,74',Foul by Théo Loridan (RC Calais).,2024-12-22 05:56:47
13016,724033,75,44448663,75',Andrey Santos (Strasbourg) wins a free kick in the defensive half.,2024-12-22 05:56:47
13016,724033,76,44448663,75',Foul by Sam Alexander (RC Calais).,2024-12-22 05:56:47
13016,724033,77,44448667,76',Attempt missed. Sékou Mara (Strasbourg) right footed shot from outside the box misses to the right. Assisted by Diego Moreira.,2024-12-24 06:00:00
13016,724033,78,44448679,76',Foul by Abdoul Ouattara (Strasbourg).,2024-12-22 05:56:47
13016,724033,79,44448679,76',Robin Denquin (RC Calais) wins a free kick in the defensive half.,2024-12-22 05:56:47
13016,724033,80,44448668,77',"Substitution, RC Calais. Tristan Schille replaces Romain Merlen.",2024-12-22 05:56:47
13016,724033,81,44448669,77',"Substitution, Strasbourg. Junior Mwanga replaces Andrey Santos.",2024-12-22 05:56:47
13016,724033,82,44448670,77',Foul by Sam Alexander (RC Calais).,2024-12-22 05:56:47
13016,724033,83,44448670,77',Marvin Senaya (Strasbourg) wins a free kick in the defensive half.,2024-12-22 05:56:47
13016,724033,84,44448682,78',Foul by Abakar Sylla (Strasbourg).,2024-12-22 05:56:47
13016,724033,85,44448682,78',Tristan Schille (RC Calais) wins a free kick on the right wing.,2024-12-22 05:56:47
13016,724033,86,-1,79',Attempt blocked. Erwan Le Sech (RC Calais) left footed shot from the centre of the box is blocked. Assisted by Thibaut Lemaitre.,2024-12-24 06:00:00
13016,724033,87,44448693,79',Attempt blocked. Thibaut Lemaitre (RC Calais) right footed shot from outside the box is blocked. Assisted by Luca Pélissier.,2024-12-24 06:00:00
13016,724033,88,44448695,79',Foul by Junior Mwanga (Strasbourg).,2024-12-24 06:00:00
13016,724033,89,44448695,79',Sam Alexander (RC Calais) wins a free kick in the attacking half.,2024-12-24 06:00:00
13016,724033,90,-1,80',"Offside, RC Calais. Claudio Beauvue is caught offside.",2024-12-24 06:00:00
13016,724033,91,44448712,81',Diego Moreira (Strasbourg) wins a free kick on the left wing.,2024-12-24 06:00:00
13016,724033,92,44448712,81',Foul by Théo Loridan (RC Calais).,2024-12-24 06:00:00
13016,724033,93,44448713,81',Théo Loridan (RC Calais) is shown the yellow card for a bad foul.,2024-12-24 06:00:00
13016,724033,94,44448745,83',Foul by Sam Alexander (RC Calais).,2024-12-24 06:00:00
13016,724033,95,44448745,83',Mamadou Sarr (Strasbourg) wins a free kick in the defensive half.,2024-12-24 06:00:00
13016,724033,96,44448747,84',"Substitution, Strasbourg. Félix Lemaréchal replaces Emanuel Emegha.",2024-12-24 06:00:00
13016,724033,97,44448751,85',Attempt saved. Erwan Le Sech (RC Calais) left footed shot from outside the box is saved in the bottom left corner. Assisted by Tristan Schille.,2024-12-24 06:00:00
13016,724033,98,44448753,86',"Substitution, RC Calais. Alexis Seize replaces Claudio Beauvue.",2024-12-24 06:00:00
13016,724033,99,44448754,86',"Substitution, RC Calais. Rayane Pamart replaces Théo Loridan.",2024-12-24 06:00:00
13016,724033,100,44448758,87',Attempt blocked. Félix Lemaréchal (Strasbourg) right footed shot from the centre of the box is blocked. Assisted by Junior Mwanga.,2024-12-24 06:00:00
13016,724033,101,44448759,87',Hand ball by Félix Lemaréchal (Strasbourg).,2024-12-24 06:00:00
13016,724033,102,44448770,89',Foul by Abakar Sylla (Strasbourg).,2024-12-24 06:00:00
13016,724033,103,44448770,89',Sam Alexander (RC Calais) wins a free kick in the defensive half.,2024-12-24 06:00:00
13016,724033,104,44448782,89',"Goal! RC Calais 0, Strasbourg 3. Sékou Mara (Strasbourg) right footed shot from the right side of the box to the bottom right corner. Assisted by Junior Mwanga following a fast break.",2024-12-24 06:00:00
13016,724033,105,44448786,90',Attempt missed. Sam Alexander (RC Calais) right footed shot from more than 35 yards misses to the right.,2024-12-24 06:00:00
13016,724033,106,-1,90',Fourth official has announced 3 minutes of added time.,2024-12-24 06:00:00
13016,724033,107,44448793,90'+1',Foul by Abdoul Ouattara (Strasbourg).,2024-12-24 06:00:00
13016,724033,108,44448793,90'+1',Robin Denquin (RC Calais) wins a free kick on the left wing.,2024-12-24 06:00:00
13016,724033,109,-1,90'+4',"Second Half ends, RC Calais 0, Strasbourg 3.",2024-12-24 06:00:00
13016,724033,110,-1,,"Match ends, RC Calais 0, Strasbourg 3.",2024-12-24 06:00:00
13016,724034,0,-1,,Lineups are announced and players are warming up.,2024-12-23 05:56:13
13016,724034,1,-1,,First Half begins.,2024-12-23 05:56:13
