seasonType,eventId,commentaryOrder,playId,clockDisplayValue,commentaryText,updateDateTime
12747,711433,0,-1,,Lineups are announced and players are warming up.,2024-08-25 05:40:01
12747,711433,1,43604263,,First Half begins.,2024-08-25 05:40:01
12747,711433,2,43604280,3',Diogo Leite (1. FC Union Berlin) wins a free kick on the left wing.,2024-08-26 05:34:12
12747,711433,3,43604280,3',Foul by Jonathan Burkardt (1. FSV Mainz 05).,2024-08-26 05:34:12
12747,711433,4,43604286,4',Foul by Rani Khedira (1. FC Union Berlin).,2024-08-26 05:34:12
12747,711433,5,43604286,4',Karim Onisiwo (1. FSV Mainz 05) wins a free kick in the defensive half.,2024-08-26 05:34:12
12747,711433,6,43604295,5',Anthony Caci (1. FSV Mainz 05) wins a free kick in the attacking half.,2024-08-26 05:34:12
12747,711433,7,43604295,5',Foul by Robin Gosens (1. FC Union Berlin).,2024-08-26 05:34:12
12747,711433,8,43604298,5',"Corner, 1. FSV Mainz 05. Conceded by Robin Gosens.",2024-08-26 05:34:12
12747,711433,9,43604306,7',András Schäfer (1. FC Union Berlin) wins a free kick in the attacking half.,2024-08-26 05:34:12
12747,711433,10,43604306,7',Foul by Dominik Kohr (1. FSV Mainz 05).,2024-08-26 05:34:12
12747,711433,11,43604329,7',Dominik Kohr (1. FSV Mainz 05) is shown the yellow card for a bad foul.,2024-08-26 05:34:12
12747,711433,12,43604342,10',Attempt blocked. Phillipp Mwene (1. FSV Mainz 05) right footed shot from outside the box is blocked.,2024-08-26 05:34:12
12747,711433,13,43604347,10',Attempt blocked. Kaishu Sano (1. FSV Mainz 05) right footed shot from the right side of the box is blocked. Assisted by Jonathan Burkardt.,2024-08-25 05:40:01
12747,711433,14,43604348,10',"Corner, 1. FSV Mainz 05. Conceded by Danilho Doekhi.",2024-08-25 05:40:01
12747,711433,15,43604358,11',Danilho Doekhi (1. FC Union Berlin) wins a free kick in the defensive half.,2024-08-26 05:34:12
12747,711433,16,43604358,11',Foul by Maxim Leitsch (1. FSV Mainz 05).,2024-08-26 05:34:12
12747,711433,17,43604360,11',Dominik Kohr (1. FSV Mainz 05) wins a free kick in the defensive half.,2024-08-26 05:34:12
12747,711433,18,43604360,11',Foul by Robin Gosens (1. FC Union Berlin).,2024-08-26 05:34:12
12747,711433,19,43604396,15',Attempt blocked. András Schäfer (1. FC Union Berlin) right footed shot from outside the box is blocked. Assisted by Jordan Siebatcheu.,2024-08-25 05:40:01
12747,711433,20,43604398,15',Attempt blocked. Diogo Leite (1. FC Union Berlin) left footed shot from outside the box is blocked.,2024-08-26 05:34:12
12747,711433,21,-1,18',Attempt blocked. Christopher Trimmel (1. FC Union Berlin) left footed shot from outside the box is blocked.,2024-08-26 05:34:12
12747,711433,22,43604422,19',Attempt saved. Benedict Hollerbach (1. FC Union Berlin) left footed shot from the centre of the box is saved in the bottom right corner.,2024-08-26 05:34:12
12747,711433,23,43604432,19',Attempt missed. Lee Jae-Sung (1. FSV Mainz 05) header from the centre of the box is high and wide to the left. Assisted by Karim Onisiwo with a cross.,2024-08-26 05:34:12
12747,711433,24,43604451,21',Andreas Hanche-Olsen (1. FSV Mainz 05) wins a free kick in the defensive half.,2024-08-26 05:34:12
12747,711433,25,43604451,21',Foul by Jordan Siebatcheu (1. FC Union Berlin).,2024-08-26 05:34:12
12747,711433,26,43604453,21',"Corner, 1. FC Union Berlin. Conceded by Maxim Leitsch.",2024-08-26 05:34:12
12747,711433,27,43604470,22',Attempt missed. András Schäfer (1. FC Union Berlin) right footed shot from the centre of the box misses to the right following a corner.,2024-08-26 05:34:12
12747,711433,28,-1,23',Delay in match (1. FSV Mainz 05).,2024-08-25 05:40:01
12747,711433,29,-1,23',Delay over. They are ready to continue.,2024-08-26 05:34:12
12747,711433,30,43604473,25',Foul by Christopher Trimmel (1. FC Union Berlin).,2024-08-26 05:34:12
12747,711433,31,43604473,25',Jonathan Burkardt (1. FSV Mainz 05) wins a free kick in the defensive half.,2024-08-26 05:34:12
12747,711433,32,-1,30',"Corner, 1. FC Union Berlin. Conceded by Maxim Leitsch.",2024-08-26 05:34:12
12747,711433,33,43604561,31',"Substitution, 1. FSV Mainz 05. Stefan Bell replaces Maxim Leitsch because of an injury.",2024-08-26 05:34:12
12747,711433,34,-1,31',Delay in match because of an injury Diogo Leite (1. FC Union Berlin).,2024-08-26 05:34:12
12747,711433,35,-1,32',Delay over. They are ready to continue.,2024-08-26 05:34:12
12747,711433,36,43604647,34',"Corner, 1. FC Union Berlin. Conceded by Dominik Kohr.",2024-08-26 05:34:12
12747,711433,37,43604706,35',Anthony Caci (1. FSV Mainz 05) wins a free kick in the defensive half.,2024-08-26 05:34:12
12747,711433,38,43604706,35',Foul by Robin Gosens (1. FC Union Berlin).,2024-08-26 05:34:12
12747,711433,39,43604780,37',Foul by András Schäfer (1. FC Union Berlin).,2024-08-26 05:34:12
12747,711433,40,43604780,37',Kaishu Sano (1. FSV Mainz 05) wins a free kick in the defensive half.,2024-08-26 05:34:12
12747,711433,41,43604819,39',"Corner, 1. FSV Mainz 05. Conceded by Danilho Doekhi.",2024-08-26 05:34:12
12747,711433,42,43604897,39',Attempt saved. Stefan Bell (1. FSV Mainz 05) header from the centre of the box is saved in the centre of the goal. Assisted by Nadiem Amiri.,2024-08-26 05:34:12
12747,711433,43,43604899,40',"Corner, 1. FSV Mainz 05. Conceded by Frederik Rønnow.",2024-08-26 05:34:12
12747,711433,44,-1,41',"Corner, 1. FC Union Berlin. Conceded by Dominik Kohr.",2024-08-26 05:34:12
12747,711433,45,43604943,42',Attempt saved. Benedict Hollerbach (1. FC Union Berlin) left footed shot from the left side of the box is saved in the top centre of the goal.,2024-08-26 05:34:12
12747,711433,46,43605007,42',"Corner, 1. FC Union Berlin. Conceded by Robin Zentner.",2024-08-26 05:34:12
12747,711433,47,43605008,43',Kaishu Sano (1. FSV Mainz 05) wins a free kick in the defensive half.,2024-08-26 05:34:12
12747,711433,48,43605008,43',Foul by Robin Gosens (1. FC Union Berlin).,2024-08-26 05:34:12
12747,711433,49,43605011,43',Attempt missed. Karim Onisiwo (1. FSV Mainz 05) header from the centre of the box is too high. Assisted by Phillipp Mwene with a cross.,2024-08-26 05:34:12
12747,711433,50,43605055,45',"Corner, 1. FC Union Berlin. Conceded by Dominik Kohr.",2024-08-26 05:34:12
12747,711433,51,43605057,45',Attempt missed. Jordan Siebatcheu (1. FC Union Berlin) header from the left side of the six yard box is high and wide to the left. Assisted by Christopher Trimmel with a cross following a corner.,2024-08-26 05:34:12
12747,711433,52,43605084,45'+1',"Offside, 1. FC Union Berlin. Benedict Hollerbach is caught offside.",2024-08-25 05:40:01
12747,711433,53,43605160,45'+2',Benedict Hollerbach (1. FC Union Berlin) wins a free kick in the defensive half.,2024-08-26 05:34:12
12747,711433,54,43605160,45'+2',Foul by Nadiem Amiri (1. FSV Mainz 05).,2024-08-26 05:34:12
12747,711433,55,43605162,45'+3',Foul by Lucas Tousart (1. FC Union Berlin).,2024-08-25 05:40:01
12747,711433,56,43605162,45'+3',Jonathan Burkardt (1. FSV Mainz 05) wins a free kick in the attacking half.,2024-08-25 05:40:01
12747,711433,57,43605163,45'+3',Lucas Tousart (1. FC Union Berlin) is shown the yellow card for a bad foul.,2024-08-25 05:40:01
12747,711433,58,43605168,45'+4',Attempt missed. Jonathan Burkardt (1. FSV Mainz 05) left footed shot from a difficult angle on the left misses to the left. Assisted by Nadiem Amiri following a set piece situation.,2024-08-26 05:34:12
12747,711433,59,-1,45'+4',"First Half ends, 1. FSV Mainz 05 0, 1. FC Union Berlin 0.",2024-08-25 05:40:01
12747,711433,60,43605577,45',"Second Half begins 1. FSV Mainz 05 0, 1. FC Union Berlin 0.",2024-08-25 05:40:01
12747,711433,61,43605652,46',Hand ball by Jordan Siebatcheu (1. FC Union Berlin).,2024-08-26 05:34:12
12747,711433,62,43605656,46',Attempt missed. Karim Onisiwo (1. FSV Mainz 05) right footed shot from the right side of the box is too high. Assisted by Lee Jae-Sung with a headed pass.,2024-08-26 05:34:12
