seasonType,eventId,commentaryOrder,playId,clockDisplayValue,commentaryText,updateDateTime
12611,720722,0,-1,,Lineups are announced and players are warming up.,2024-10-31 05:23:49
12611,720722,1,-1,,First Half begins.,2024-10-31 05:23:49
12611,720722,2,44102034,1',Foul by Stefanos Tzimas (1. FC Nürnberg).,2024-10-31 05:23:49
12611,720722,3,44102034,1',Pavel Kaderábek (TSG Hoffenheim) wins a free kick in the defensive half.,2024-10-31 05:23:49
12611,720722,4,44102035,1',Stefanos Tzimas (1. FC Nürnberg) is shown the yellow card for a bad foul.,2024-10-31 05:23:49
12611,720722,5,-1,6',Delay in match because of an injury Stefanos Tzimas (1. FC Nürnberg).,2024-10-31 05:23:49
12611,720722,6,-1,7',Delay over. They are ready to continue.,2024-10-31 05:23:49
12611,720722,7,44102244,8',Attempt missed. Florian Grillitsch (TSG Hoffenheim) left footed shot from outside the box misses to the right.,2024-10-31 05:23:49
12611,720722,8,44102257,9',"Corner, 1. FC Nürnberg. Conceded by Umut Tohumcu.",2024-10-31 05:23:49
12611,720722,9,44102296,11',Berkay Yilmaz (1. FC Nürnberg) wins a free kick in the defensive half.,2024-10-31 05:23:49
12611,720722,10,44102296,11',Foul by Marius Bülter (TSG Hoffenheim).,2024-10-31 05:23:49
12611,720722,11,44102406,15',Attempt saved. Adam Hlozek (TSG Hoffenheim) right footed shot from a difficult angle on the right is saved in the centre of the goal. Assisted by Florian Grillitsch.,2024-10-31 05:23:49
12611,720722,12,44102441,18',"Corner, 1. FC Nürnberg. Conceded by Arthur Chaves.",2024-10-31 05:23:49
12611,720722,13,44102449,18',Attempt missed. Stefanos Tzimas (1. FC Nürnberg) header from the centre of the box misses to the right. Assisted by Caspar Jander with a cross following a corner.,2024-10-31 05:23:49
12611,720722,14,44102493,19',Attempt blocked. Haris Tabakovic (TSG Hoffenheim) left footed shot from very close range is blocked. Assisted by Adam Hlozek.,2024-10-31 05:23:49
12611,720722,15,-1,19',"Corner, TSG Hoffenheim. Conceded by Ondrej Karafiát.",2024-10-31 05:23:49
12611,720722,16,-1,20',Attempt blocked. Adam Hlozek (TSG Hoffenheim) right footed shot from the centre of the box is blocked. Assisted by Umut Tohumcu with a cross.,2024-10-31 05:23:49
