seasonType,eventId,commentaryOrder,playId,clockDisplayValue,commentaryText,updateDateTime
12621,703190,0,43567946,11',Victor Boniface (Bayer Leverkusen) Goal at 11',2024-08-18 05:56:17
12621,703190,1,43568028,15',Enzo Millot (VfB Stuttgart) Goal at 15',2024-08-18 05:56:17
12621,703190,2,43568385,37',Martin Terrier (Bayer Leverkusen) Red Card at 37',2024-08-18 05:56:17
12621,703190,3,43568456,41',Jonathan Tah (Bayer Leverkusen) Substitution at 41',2024-08-18 05:56:17
12621,703190,4,43568524,44',Angelo Stiller (VfB Stuttgart) Yellow Card at 44',2024-08-18 05:56:17
12621,703190,5,43569296,60',Granit Xhaka (Bayer Leverkusen) Yellow Card at 60',2024-08-18 05:56:17
12621,703190,6,43569365,62',Deniz Undav (VfB Stuttgart) Substitution at 62',2024-08-18 05:56:17
12621,703190,7,43569366,63',Frans Krätzig (VfB Stuttgart) Substitution at 63',2024-08-18 05:56:17
12621,703190,8,43569367,63',Silas Katompa Mvumpa (VfB Stuttgart) Substitution at 63',2024-08-18 05:56:17
12621,703190,9,43569368,63',Deniz Undav (VfB Stuttgart) Goal at 63',2024-08-18 05:56:17
12621,703190,10,43569533,71',Ermedin Demirovic (VfB Stuttgart) Yellow Card at 71',2024-08-18 05:56:17
12621,703190,11,43569534,71',Edmond Tapsoba (Bayer Leverkusen) Yellow Card at 71',2024-08-18 05:56:17
12621,703190,12,43569603,73',Florian Wirtz (Bayer Leverkusen) Substitution at 73',2024-08-18 05:56:17
12621,703190,13,43569604,73',Patrik Schick (Bayer Leverkusen) Substitution at 73',2024-08-18 05:56:17
12621,703190,14,43569605,73',Jeremie Frimpong (Bayer Leverkusen) Substitution at 73',2024-08-18 05:56:17
12621,703190,15,43569641,77',Justin Diehl (VfB Stuttgart) Substitution at 77',2024-08-18 05:56:17
12621,703190,16,43569671,78',Enzo Millot (VfB Stuttgart) Yellow Card at 78',2024-08-18 05:56:17
12621,703190,17,43569703,80',Victor Boniface (Bayer Leverkusen) Yellow Card at 80',2024-08-18 05:56:17
12621,703190,18,43569750,82',Pascal Stenzel (VfB Stuttgart) Yellow Card at 82',2024-08-18 05:56:17
12621,703190,19,43569806,83',Yannik Keitel (VfB Stuttgart) Substitution at 83',2024-08-18 05:56:17
12621,703190,20,43569807,84',Alejandro Grimaldo (Bayer Leverkusen) Substitution at 84',2024-08-18 05:56:17
12621,703190,21,43569842,85',Florian Wirtz (Bayer Leverkusen) Yellow Card at 85',2024-08-18 05:56:17
12621,703190,22,43569918,86',Julian Chabot (VfB Stuttgart) Yellow Card at 86',2024-08-18 05:56:17
12621,703190,23,43569919,86',Jeremie Frimpong (Bayer Leverkusen) Yellow Card at 86',2024-08-18 05:56:17
12621,703190,24,43569922,88',Patrik Schick (Bayer Leverkusen) Goal at 88',2024-08-18 05:56:17
