seasonType,eventId,commentaryOrder,playId,clockDisplayValue,commentaryText,updateDateTime
12781,713576,0,43894258,6',Michele Besaggio (Brescia) Goal at 6',2024-10-29 05:21:26
12781,713576,1,43894295,13',Andrea Cistana (Brescia) Yellow Card at 13',2024-10-29 05:21:26
12781,713576,2,43894390,34',Gennaro Borrelli (Brescia) Goal at 34',2024-10-29 05:21:26
12781,713576,3,43894419,36',Dennis Johnsen (Cremonese) Yellow Card at 36',2024-10-29 05:21:26
12781,713576,4,43894437,38',Marco Nasti (Cremonese) Yellow Card at 38',2024-10-29 05:21:26
12781,713576,5,43894438,39',Matthias Verreth (Brescia) Goal at 39',2024-10-29 05:21:26
12781,713576,6,43894460,42',Ante Juric (Brescia) Yellow Card at 42',2024-10-29 05:21:26
12781,713576,7,43894654,45',Jari Vandeputte (Cremonese) Substitution at 45',2024-10-29 05:21:26
12781,713576,8,43894655,45',Manuel De Luca (Cremonese) Substitution at 45',2024-10-29 05:21:26
12781,713576,9,43894829,61',Gabriele Moncini (Brescia) Substitution at 61',2024-10-29 05:21:26
12781,713576,10,43894830,61',Massimo Bertagnoli (Brescia) Substitution at 61',2024-10-29 05:21:26
12781,713576,11,43894882,67',Tommaso Barbieri (Cremonese) Substitution at 67',2024-10-29 05:21:26
12781,713576,12,43894896,70',Marco Nasti (Cremonese) Goal at 70',2024-10-29 05:21:26
12781,713576,13,43894904,71',Charles Pickel (Cremonese) Substitution at 71',2024-10-29 05:21:26
12781,713576,14,43894905,71',Cristian Buonaiuto (Cremonese) Substitution at 71',2024-10-29 05:21:26
12781,713576,15,43894912,74',Niccolò Corrado (Brescia) Substitution at 74',2024-10-29 05:21:26
12781,713576,16,43894977,81',Cristian Buonaiuto (Cremonese) Goal at 81',2024-10-29 05:21:26
12781,713576,17,43895018,86',Jari Vandeputte (Cremonese) Yellow Card at 86',2024-10-29 05:21:26
12781,713576,18,43895019,86',Matthias Verreth (Brescia) Yellow Card at 86',2024-10-29 05:21:26
12781,713576,19,43895040,87',Patrick Nuamah (Brescia) Substitution at 87',2024-10-29 05:21:26
