seasonType,eventId,commentaryOrder,playId,clockDisplayValue,commentaryText,updateDateTime
12756,724189,0,-1,,Lineups are announced and players are warming up.,2025-02-06 05:46:37
12756,724189,1,44640823,,First Half begins.,2025-02-06 05:46:37
12756,724189,2,44640841,2',Foul by Tammy Abraham (AC Milan).,2025-02-06 05:46:37
12756,724189,3,44640841,2',Manu Koné (Roma) wins a free kick in the defensive half.,2025-02-06 05:46:37
12756,724189,4,44640852,3',Foul by Theo Hernández (AC Milan).,2025-02-06 05:46:37
12756,724189,5,44640852,3',Paulo Dybala (Roma) wins a free kick in the defensive half.,2025-02-06 05:46:37
12756,724189,6,44640965,8',Attempt blocked. Eldor Shomurodov (Roma) right footed shot from the centre of the box is blocked. Assisted by Niccolò Pisilli with a headed pass.,2025-02-06 05:46:37
12756,724189,7,44640947,8',"Corner, Roma. Conceded by Fikayo Tomori.",2025-02-06 05:46:37
12756,724189,8,44640950,9',Attempt saved. Paulo Dybala (Roma) header from the centre of the box is saved in the bottom right corner. Assisted by Alexis Saelemaekers with a cross.,2025-02-06 05:46:37
12756,724189,9,44640951,9',Christian Pulisic (AC Milan) wins a free kick in the attacking half.,2025-02-06 05:46:37
12756,724189,10,44640951,9',Foul by Manu Koné (Roma).,2025-02-06 05:46:37
12756,724189,11,44641012,11',Attempt blocked. Youssouf Fofana (AC Milan) right footed shot from the right side of the box is blocked.,2025-02-06 05:46:37
12756,724189,12,44641014,11',Attempt blocked. Christian Pulisic (AC Milan) right footed shot from outside the box is blocked. Assisted by Youssouf Fofana.,2025-02-06 05:46:37
12756,724189,13,44641053,13',"Offside, Roma. Niccolò Pisilli is caught offside.",2025-02-06 05:46:37
12756,724189,14,44641172,14',Attempt blocked. Álex Jiménez (AC Milan) right footed shot from the centre of the box is blocked. Assisted by Kyle Walker with a headed pass.,2025-02-06 05:46:37
12756,724189,15,44641113,16',Attempt saved. Tijjani Reijnders (AC Milan) right footed shot from outside the box is saved in the bottom left corner. Assisted by Yunus Musah.,2025-02-06 05:46:37
12756,724189,16,44641083,16',"Goal! AC Milan 1, Roma 0. Tammy Abraham (AC Milan) header from the centre of the box to the bottom left corner. Assisted by Theo Hernández with a cross.",2025-02-06 05:46:37
12756,724189,17,44641136,19',Attempt missed. Eldor Shomurodov (Roma) header from the right side of the six yard box misses to the left. Assisted by Niccolò Pisilli with a cross.,2025-02-06 05:46:37
12756,724189,18,44641196,22',Alexis Saelemaekers (Roma) wins a free kick in the defensive half.,2025-02-06 05:46:37
12756,724189,19,44641196,22',Foul by Christian Pulisic (AC Milan).,2025-02-06 05:46:37
12756,724189,20,44641215,23',Attempt saved. Eldor Shomurodov (Roma) right footed shot from outside the box is saved in the top centre of the goal. Assisted by Paulo Dybala.,2025-02-06 05:46:37
12756,724189,21,44641218,23',"Corner, Roma. Conceded by Mike Maignan.",2025-02-06 05:46:37
