seasonType,eventId,commentaryOrder,playId,clockDisplayValue,commentaryText,updateDateTime
12969,729248,0,44490396,35',Kristjan Asllani (Internazionale) Substitution at 35',2025-01-07 05:44:45
12969,729248,1,44490412,45'+1',Lautaro Martínez (Internazionale) Goal at 46',2025-01-07 05:44:45
12969,729248,2,44490456,47',Mehdi Taremi (Internazionale) Goal at 47',2025-01-07 05:44:45
12969,729248,3,44490468,50',Rafael Leão (AC Milan) Substitution at 50',2025-01-07 05:44:45
12969,729248,4,44490469,51',Henrikh Mkhitaryan (Internazionale) Yellow Card at 51',2025-01-07 05:44:45
12969,729248,5,44490470,52',Theo Hernández (AC Milan) Goal at 52',2025-01-07 05:44:45
12969,729248,6,44490481,54',Denzel Dumfries (Internazionale) Yellow Card at 54',2025-01-07 05:44:45
12969,729248,7,44490502,57',Fikayo Tomori (AC Milan) Yellow Card at 57',2025-01-07 05:44:45
12969,729248,8,44490555,65',Piotr Zielinski (Internazionale) Substitution at 65',2025-01-07 05:44:45
12969,729248,9,44490556,66',Carlos Augusto (Internazionale) Substitution at 66',2025-01-07 05:44:45
12969,729248,10,44490594,72',Nicolò Barella (Internazionale) Yellow Card at 72',2025-01-07 05:44:45
12969,729248,11,44490621,77',Tammy Abraham (AC Milan) Substitution at 77',2025-01-07 05:44:45
12969,729248,12,44490622,77',Ruben Loftus-Cheek (AC Milan) Substitution at 77',2025-01-07 05:44:45
12969,729248,13,44490627,80',Christian Pulisic (AC Milan) Goal at 80',2025-01-07 05:44:45
12969,729248,14,44490662,84',Davide Frattesi (Internazionale) Substitution at 84',2025-01-07 05:44:45
12969,729248,15,44490663,84',Matteo Darmian (Internazionale) Substitution at 84',2025-01-07 05:44:45
12969,729248,16,44490674,87',Davide Calabria (AC Milan) Substitution at 87',2025-01-07 05:44:45
12969,729248,17,44490676,89',Alessandro Bastoni (Internazionale) Yellow Card at 89',2025-01-07 05:44:45
12969,729248,18,44490687,90'+3',Tammy Abraham (AC Milan) Goal at 93',2025-01-07 05:44:45
12970,722180,0,44476828,28',Giorgio Scalvini (Atalanta) Yellow Card at 28',2025-01-03 05:47:44
12970,722180,1,44476830,45',Mehdi Taremi (Internazionale) Substitution at 45',2025-01-03 05:47:44
12970,722180,2,44476831,49',Denzel Dumfries (Internazionale) Goal at 49',2025-01-03 05:47:44
12970,722180,3,44476833,56',Ademola Lookman (Atalanta) Substitution at 56',2025-01-03 05:47:44
12970,722180,4,44476834,56',Charles De Ketelaere (Atalanta) Substitution at 56',2025-01-03 05:47:44
12970,722180,5,44476835,56',Éderson (Atalanta) Substitution at 56',2025-01-04 05:46:27
12970,722180,6,44476836,61',Denzel Dumfries (Internazionale) Goal at 61',2025-01-03 05:47:44
12970,722180,7,44476837,62',Berat Djimsiti (Atalanta) Substitution at 62',2025-01-03 05:47:44
12970,722180,8,44476838,67',Carlos Augusto (Internazionale) Substitution at 67',2025-01-04 05:46:27
12970,722180,9,44476839,67',Kristjan Asllani (Internazionale) Substitution at 67',2025-01-04 05:46:27
12970,722180,10,44476840,68',Marco Palestra (Atalanta) Substitution at 68',2025-01-03 05:47:44
12970,722180,11,44476843,76',Matteo Darmian (Internazionale) Substitution at 76',2025-01-03 05:47:44
12970,722180,12,44476844,81',Davide Frattesi (Internazionale) Substitution at 81',2025-01-03 05:47:44
12970,722180,13,44476846,88',Carlos Augusto (Internazionale) Yellow Card at 88',2025-01-03 05:47:44
12970,722181,0,44477392,21',Kenan Yildiz (Juventus) Goal at 21',2025-01-04 05:46:27
12970,722181,1,44477567,45'+1',Weston McKennie (Juventus) Yellow Card at 46',2025-01-04 05:46:27
12970,722181,2,44477745,54',Yunus Musah (AC Milan) Substitution at 54',2025-01-04 05:46:27
12970,722181,3,44477796,61',Tammy Abraham (AC Milan) Substitution at 61',2025-01-04 05:46:27
12970,722181,4,44477842,65',Andrea Cambiaso (Juventus) Substitution at 65',2025-01-04 05:46:27
12970,722181,5,44477843,65',Nicolás González (Juventus) Substitution at 65',2025-01-04 05:46:27
12970,722181,6,44477886,71',Christian Pulisic (AC Milan) Penalty - Scored at 71',2025-01-04 05:46:27
12970,722181,7,44477920,75',Federico Gatti (Juventus) Own Goal at 75',2025-01-04 05:46:27
12970,722181,8,44477987,79',Douglas Luiz (Juventus) Substitution at 79',2025-01-04 05:46:27
12970,722181,9,44477988,79',Emerson Royal (AC Milan) Yellow Card at 79',2025-01-04 05:46:27
12970,722181,10,44477999,82',Matteo Gabbia (AC Milan) Substitution at 82',2025-01-04 05:46:27
12970,722181,11,44478000,82',Filippo Terracciano (AC Milan) Substitution at 82',2025-01-04 05:46:27
12970,722181,12,44478001,82',Christian Pulisic (AC Milan) Yellow Card at 82',2025-01-04 05:46:27
12970,722181,13,44478033,85',Nicolo Fagioli (Juventus) Substitution at 85',2025-01-04 05:46:27
12970,722181,14,44478034,86',Timothy Weah (Juventus) Substitution at 86',2025-01-04 05:46:27
