seasonType,eventId,commentaryOrder,playId,clockDisplayValue,commentaryText,updateDateTime
12553,702424,0,43456439,9',Yuya Osako (Vissel Kobe) Goal at 9',2024-07-28 11:53:11
12553,702424,1,43456440,16',Pedro Porro (Tottenham Hotspur) Goal at 16',2024-07-28 11:53:11
12553,702424,2,43456441,27',Ryuho Kikuchi (Vissel Kobe) Yellow Card at 27',2024-07-28 11:53:11
12553,702424,3,43456442,45',Brandon Austin (Tottenham Hotspur) Substitution at 45',2024-07-28 11:53:11
12553,702424,4,43456443,45',Powell Obinna Obi (Vissel Kobe) Substitution at 45',2024-07-28 11:53:11
12553,702424,5,43456444,45',Oliver Skipp (Tottenham Hotspur) Substitution at 45',2024-07-28 11:53:11
12553,702424,6,43456445,45',Yuki Honda (Vissel Kobe) Substitution at 45',2024-07-28 11:53:11
12553,702424,7,43456446,45',Takuya Iwanami (Vissel Kobe) Substitution at 45',2024-07-28 11:53:11
12553,702424,8,43456447,45',Tetsushi Yamakawa (Vissel Kobe) Substitution at 45',2024-07-28 11:53:11
12553,702424,9,43456448,45',Daiju Sasaki (Vissel Kobe) Substitution at 45',2024-07-28 11:53:11
12553,702424,10,43456449,45',Jean Patric  (Vissel Kobe) Substitution at 45',2024-07-28 11:53:11
12553,702424,11,43456450,45',Lucas Bergvall (Tottenham Hotspur) Substitution at 45',2024-07-28 11:53:11
12553,702424,12,43456451,45',Jamie Donley (Tottenham Hotspur) Substitution at 45',2024-07-28 11:53:11
12553,702424,13,43456452,48',Son Heung-Min (Tottenham Hotspur) Goal at 48',2024-07-28 11:53:11
12553,702424,14,43456454,60',Mikey Moore (Tottenham Hotspur) Substitution at 60',2024-07-28 11:53:11
12553,702424,15,43456455,61',Manor Solomon (Tottenham Hotspur) Substitution at 61',2024-07-28 11:53:11
12553,702424,16,43456456,64',Jean Patric  (Vissel Kobe) Goal at 64',2024-07-28 11:53:11
12553,702424,17,43456459,64',Niina Tominaga (Vissel Kobe) Substitution at 64',2024-07-28 11:53:11
12553,702424,18,43456457,66',George Abbott (Tottenham Hotspur) Substitution at 66',2024-07-28 11:53:11
12553,702424,19,43456458,66',Will Lankshear (Tottenham Hotspur) Substitution at 66',2024-07-28 11:53:11
12553,702424,20,43456460,66',Djed Spence (Tottenham Hotspur) Substitution at 66',2024-07-28 11:53:11
12553,702424,21,43456461,66',Ashley Phillips (Tottenham Hotspur) Substitution at 66',2024-07-28 11:53:11
12553,702424,22,43456462,66',Alfie Devine (Tottenham Hotspur) Substitution at 66',2024-07-28 11:53:11
12553,702424,23,43456463,73',Mitsuki Hidaka (Vissel Kobe) Substitution at 73',2024-07-28 11:53:11
12553,702424,24,43456464,76',Ashley Phillips (Tottenham Hotspur) Yellow Card at 76',2024-07-28 11:53:11
12553,702424,25,43456465,83',Kento Hamasaki (Vissel Kobe) Substitution at 83',2024-07-28 11:53:11
12553,702424,26,43456467,88',Mikey Moore (Tottenham Hotspur) Goal at 88',2024-07-28 11:53:11
12553,702424,27,43456468,89',Shogo Terasaka (Vissel Kobe) Substitution at 89',2024-07-28 11:53:11
12553,702424,28,43456469,89',Justin Homma (Vissel Kobe) Substitution at 89',2024-07-28 11:53:11
