seasonType,eventId,commentaryOrder,playId,clockDisplayValue,commentaryText,updateDateTime
12647,721594,0,44091294,12',Ayoub Qasmi (Al Raed) Yellow Card at 12',2024-10-31 05:23:49
12647,721594,1,44091295,30',Zakaria Al Hawsawi (Al Raed) Yellow Card at 30',2024-10-31 05:23:49
12647,721594,2,44091296,31',Osama Zaid Abdulaziz Al Bowardi (Al Najma) Red Card at 31',2024-10-31 05:23:49
12647,721594,3,44091297,34',Ziyad Al Qahtani (Al Najma) Yellow Card at 34',2024-10-31 05:23:49
12647,721594,4,44091298,38',Saleh Al-Jamaan (Al Raed) Goal at 38',2024-10-31 05:23:49
12647,721594,5,44091300,45'+1',Mubarak Abdul Rahman Al Rajeh (Al Raed) Yellow Card at 46',2024-10-31 05:23:49
12647,721594,6,44091301,45'+2',Tilica (Al Najma) Shot Off Target at 47',2024-10-31 05:23:49
12647,721594,7,44091303,45'+11',Mathias Normann (Al Raed) Yellow Card at 56',2024-10-31 05:23:49
12647,721594,8,44091308,46',Bilel Aouacheria (Al Najma) Yellow Card at 46',2024-10-31 05:23:49
12647,721594,9,44091316,57',Riyadh Al Asmari (Al Najma) Substitution at 57',2024-10-31 05:23:49
12647,721594,10,44091317,61',Abdullah Hazazi (Al Raed) Substitution at 61',2024-10-31 05:23:49
12647,721594,11,44091318,61',Omar Ahmed Shami (Al Raed) Substitution at 61',2024-10-31 05:23:49
12647,721594,12,44091333,74',Raid Al-Ghamdi (Al Raed) Substitution at 74',2024-10-31 05:23:49
12647,721594,13,44091334,74',Abdullah Al Yousif (Al Raed) Substitution at 74',2024-10-31 05:23:49
12647,721594,14,44091335,76',Abdullah Khattab (Al Najma) Substitution at 76',2024-10-31 05:23:49
12647,721594,15,44091351,90',Ahmed Saeed (Al Najma) Yellow Card at 90',2024-10-31 05:23:49
12647,721594,16,44091399,90'+4',Anas Al Zahrani (Al Raed) Substitution at 94',2024-10-31 05:23:49
12647,721595,0,44088672,4',Abdulaziz Al-Bishi (Al Ittihad) Goal at 4',2024-10-31 05:23:49
12647,721595,1,44088727,45',Abdulrahman Al-Obud (Al Ittihad) Goal at 45',2024-10-31 05:23:49
12647,721595,2,44088836,62',Hassan Abu Shaheen (Al Jandal) Substitution at 62',2024-10-31 05:23:49
12647,721595,3,44088837,63',Chisom Egbuchulam (Al Jandal) Substitution at 63',2024-10-31 05:23:49
12647,721595,4,44088870,71',Awad Al Nashri (Al Ittihad) Substitution at 71',2024-10-31 05:23:49
12647,721595,5,44088871,71',Saad Al Mosa (Al Ittihad) Substitution at 71',2024-10-31 05:23:49
12647,721595,6,44088872,72',Turki Namis (Al Jandal) Substitution at 72',2024-10-31 05:23:49
12647,721595,7,44088880,76',Steven Bergwijn (Al Ittihad) Substitution at 76',2024-10-31 05:23:49
12647,721595,8,44088881,77',Moussa Diaby (Al Ittihad) Substitution at 77',2024-10-31 05:23:49
12647,721595,9,44088892,87',Ahmed Al Ghamdi (Al Ittihad) Substitution at 87',2024-10-31 05:23:49
12647,721595,10,44088898,89',Ibrahim Al Harbi (Al Jandal) Substitution at 89',2024-10-31 05:23:49
12647,721595,11,44088899,90',Sajir-Al-Shammari (Al Jandal) Substitution at 90',2024-10-31 05:23:49
12647,721596,0,44099561,9',Léo Lacroix (Al Jabalain) Goal at 9',2024-10-31 05:23:49
12647,721596,1,44099572,41',Vitinho (Al Ettifaq) Penalty - Scored at 41',2024-10-31 05:23:49
12647,721596,2,44099579,45',Madallah Al-Olayan (Al Ettifaq) Substitution at 45',2024-10-31 05:23:49
12647,721596,3,44099581,57',Kaká (Al Jabalain) Goal at 57',2024-10-31 05:23:49
12647,721596,4,44099582,60',Karl Toko Ekambi (Al Ettifaq) Substitution at 60',2024-10-31 05:23:49
12647,721596,5,44099594,67',Abdulelah Albukhari (Al Jabalain) Yellow Card at 67',2024-10-31 05:23:49
12647,721596,6,44099597,69',Moussa Dembélé (Al Ettifaq) Substitution at 69',2024-10-31 05:23:49
12647,721596,7,44099598,73',Saad Alsaluli (Al Jabalain) Goal at 73',2024-10-31 05:23:49
12647,721596,8,44099600,77',Ahmed Al-Fiqi (Al Jabalain) Substitution at 77',2024-10-31 05:23:49
12647,721596,9,44099603,83',Ibrahim Al Nakhli (Al Jabalain) Substitution at 83',2024-10-31 05:23:49
12647,721596,10,44099604,83',Abdullah Madu (Al Ettifaq) Substitution at 83',2024-10-31 05:23:49
12647,721596,11,44099610,89',Masood Bekheet (Al Jabalain) Yellow Card at 89',2024-11-02 14:41:56
12647,721596,12,44099611,90',Iyad Luay Ali Madani (Al Jabalain) Substitution at 90',2024-10-31 05:23:49
12647,721596,13,44099612,90',Moayed Al Mohammadi (Al Jabalain) Substitution at 90',2024-10-31 05:23:49
12647,721597,0,44091291,3',Ahmed Al-Juwaid (Al Tai) Yellow Card at 3',2024-10-31 05:23:49
12647,721597,1,44091292,5',Abdullah Al-Hamddan (Al Hilal) Goal at 5',2024-10-31 05:23:49
12647,721597,2,44091293,7',Ahmed Al-Juwaid (Al Tai) Goal at 7',2024-10-31 05:23:49
12647,721597,3,44091299,38',Khalid Al-Ghannam (Al Hilal) Goal at 38',2024-10-31 05:23:49
12647,721597,4,44091309,47',Hussain Salem (Al Tai) Yellow Card at 47',2024-10-31 05:23:49
12647,721597,5,44091310,49',Abdullah Al-Hamddan (Al Hilal) Goal at 49',2024-10-31 05:23:49
12647,721597,6,44091311,53',Marcos Leonardo (Al Hilal) Goal at 53',2024-10-31 05:23:49
12647,721597,7,44091313,55',Ibrahima Tandia (Al Tai) Substitution at 55',2024-10-31 05:23:49
12647,721597,8,44091320,63',João Cancelo (Al Hilal) Substitution at 63',2024-10-31 05:23:49
12647,721597,9,44091321,63',Malcom (Al Hilal) Substitution at 63',2024-10-31 05:23:49
12647,721597,10,44091322,63',Sergej Milinkovic-Savic (Al Hilal) Substitution at 63',2024-10-31 05:23:49
12647,721597,11,44091332,70',Hassan Alamri (Al Tai) Substitution at 70',2024-10-31 05:23:49
12647,721597,12,44091336,79',Aleksandar Mitrovic (Al Hilal) Substitution at 79',2024-10-31 05:23:49
12647,721597,13,44091337,79',Hamad Altuhayfan (Al Hilal) Substitution at 79',2024-10-31 05:23:49
12647,721597,14,44091338,81',Rakan Shamlan (Al Tai) Substitution at 81',2024-10-31 05:23:49
12647,721597,15,44091339,81',Mansour Alnakhli (Al Tai) Substitution at 81',2024-10-31 05:23:49
12647,721597,16,44091340,81',Ahmed Alshuwayfie (Al Tai) Substitution at 81',2024-10-31 05:23:49
12647,721598,0,44088301,37',Haroune Camara (Al Shabab) Goal at 37',2024-10-31 05:23:49
12647,721598,1,44088487,45',Marzouq Tambakti (Al Riyadh) Substitution at 45',2024-10-31 05:23:49
12647,721598,2,44088488,45',Bernard Mensah (Al Riyadh) Substitution at 45',2024-10-31 05:23:49
12647,721598,3,44088489,45',Tozé (Al Riyadh) Substitution at 45',2024-10-31 05:23:49
12647,721598,4,44088512,66',Giacomo Bonaventura (Al Shabab) Substitution at 66',2024-10-31 05:23:49
12647,721598,5,44088514,68',Majed Kanabah (Al Shabab) Yellow Card at 68',2024-10-31 05:23:49
12647,721598,6,44088524,74',Mohamed Al Oqil (Al Riyadh) Substitution at 74',2024-10-31 05:23:49
12647,721598,7,44088525,74',Rayan Al Bloushi (Al Riyadh) Substitution at 74',2024-10-31 05:23:49
12647,721598,8,44088538,77',Nawaf Al Saadi (Al Shabab) Substitution at 77',2024-10-31 05:23:49
12647,721598,9,44088539,78',Mohammed Essa Harbush (Al Shabab) Substitution at 78',2024-10-31 05:23:49
12647,721598,10,44088543,81',Yoann Barbet (Al Riyadh) Yellow Card at 81',2024-10-31 05:23:49
12647,721598,11,44088554,88',Abdulelah Al Khaibari (Al Riyadh) Yellow Card at 88',2024-10-31 05:23:49
12647,721598,12,44088563,90'+3',Giacomo Bonaventura (Al Shabab) Goal at 93',2024-10-31 05:23:49
12647,721599,0,44091868,12',Nawaf Al-Harthi (Al Fayha) Substitution at 12',2024-10-31 05:23:49
12647,721599,1,44091979,20',Abdulsalam Al Shamsan (Al Arabi) Substitution at 20',2024-10-31 05:23:49
12647,721599,2,44092225,42',Renzo López (Al Fayha) Goal at 42',2024-10-31 05:23:49
12647,721599,3,44092309,45'+2',Manaf Yabes (Al Arabi) Yellow Card at 47',2024-10-31 05:23:49
12647,721599,4,44092810,45',Reinaldo (Al Arabi) Substitution at 45',2024-10-31 05:23:49
12647,721599,5,44092878,45',Nawaf Al Bakheet (Al Arabi) Substitution at 45',2024-10-31 05:23:49
12647,721599,6,44093099,58',Mansor Faiez Al-Beshe (Al Fayha) Yellow Card at 58',2024-10-31 05:23:49
12647,721599,7,44093164,65',Sulaiman Al Nakhli (Al Arabi) Substitution at 65',2024-10-31 05:23:49
12647,721599,8,44093235,71',Saud bin Zaydan (Al Fayha) Substitution at 71',2024-10-31 05:23:49
12647,721599,9,44093330,78',Malek Al Abdulmonam (Al Fayha) Substitution at 78',2024-10-31 05:23:49
12647,721599,10,44093331,79',Aldry Contreras (Al Fayha) Substitution at 79',2024-10-31 05:23:49
12647,721599,11,44093332,79',Rakan Kaabi (Al Fayha) Substitution at 79',2024-10-31 05:23:49
12647,721599,12,44093372,81',Nawaf Al Bakheet (Al Arabi) Yellow Card at 81',2024-10-31 05:23:49
12647,721599,13,44093373,81',Thamer Al Mousa (Al Arabi) Substitution at 81',2024-10-31 05:23:49
12647,721599,14,44157569,90',Al-Moelw Al-Mohanna (Al Arabi) Yellow Card at 90',2024-11-07 06:22:41
12647,721600,0,44092074,34',Waleed Al-Ahmed (Al Taawoun) Yellow Card at 34',2024-10-31 05:23:49
12647,721600,1,44093065,65',Sultan Al-Ghannam (Al Nassr) Substitution at 65',2024-10-31 05:23:49
12647,721600,2,44093066,65',Abdulrahman Ghareeb (Al Nassr) Substitution at 65',2024-10-31 05:23:49
12647,721600,3,44093067,65',Otávio (Al Nassr) Substitution at 65',2024-10-31 05:23:49
12647,721600,4,44093132,70',Sadio Mané (Al Nassr) Substitution at 70',2024-10-31 05:23:49
12647,721600,5,44093133,71',Waleed Al-Ahmed (Al Taawoun) Goal at 71',2024-10-31 05:23:49
12647,721600,6,44093247,81',Renne Rivas (Al Taawoun) Substitution at 81',2024-10-31 05:23:49
12647,721600,7,44093295,84',Hatan Bahbri (Al Taawoun) Substitution at 84',2024-10-31 05:23:49
