seasonType,eventId,commentaryOrder,playId,clockDisplayValue,commentaryText,updateDateTime
12673,705206,0,-1,,Lineups are announced and players are warming up.,2024-08-10 09:36:01
12673,705206,1,-1,,First Half begins.,2024-08-10 09:36:01
12673,705206,2,43513427,1',Foul by Jan Van den Bergh (NAC Breda).,2024-08-11 09:18:25
12673,705206,3,43513427,1',Rui Mendes (FC Groningen) wins a free kick in the attacking half.,2024-08-11 09:18:25
12673,705206,4,43513438,2',Jan Van den Bergh (NAC Breda) is shown the yellow card for a bad foul.,2024-08-10 09:36:01
12673,705206,5,43513454,3',Attempt blocked. Leandro Bacuna (FC Groningen) right footed shot from outside the box is blocked.,2024-08-10 09:36:01
12673,705206,6,43513463,3',Attempt blocked. Johan Hove (FC Groningen) right footed shot from outside the box is blocked.,2024-08-11 09:18:25
12673,705206,7,43513465,5',Attempt missed. Manel Royo (NAC Breda) left footed shot from outside the box is high and wide to the left.,2024-08-10 09:36:01
12673,705206,8,43513476,6',Penalty FC Groningen. Jorg Schreuders draws a foul in the penalty area.,2024-08-10 09:36:01
12673,705206,9,43513476,6',Penalty conceded by Enes Mahmutovic (NAC Breda) after a foul in the penalty area.,2024-08-10 09:36:01
12673,705206,10,43513477,6',Enes Mahmutovic (NAC Breda) is shown the red card.,2024-08-10 09:36:01
12673,705206,11,43513491,8',"Goal! FC Groningen 1, NAC Breda 0. Leandro Bacuna (FC Groningen) converts the penalty with a right footed shot to the top right corner.",2024-08-10 09:36:01
12673,705206,12,43513505,9',Attempt saved. Kacper Kostorz (NAC Breda) right footed shot from the left side of the box is saved in the bottom left corner. Assisted by Elías Már Ómarsson.,2024-08-10 09:36:01
12673,705206,13,43513537,12',"Offside, FC Groningen. Luciano Valente is caught offside.",2024-08-10 09:36:01
12673,705206,14,43513538,12',"Substitution, NAC Breda. Martin Koscelník replaces Roy Kuijpers.",2024-08-10 09:36:01
12673,705206,15,43513551,14',"Corner, NAC Breda. Conceded by Finn Stam.",2024-08-10 09:36:01
12673,705206,16,-1,15',Delay in match because of an injury Daniel Bielica (NAC Breda).,2024-08-10 09:36:01
