seasonType,eventId,commentaryOrder,playId,clockDisplayValue,commentaryText,updateDateTime
12678,705513,0,43513656,31',Mikulás Bakala (FC Den Bosch) Yellow Card at 31',2024-08-10 09:36:01
12678,705513,1,43513669,33',Farouq Limouri (FC Eindhoven) Yellow Card at 33',2024-08-10 09:36:01
12678,705513,2,43513763,45',Boris Van Schuppen (FC Eindhoven) Goal at 45',2024-08-10 09:36:01
12678,705513,3,43513870,45',Joey Sleegers (FC Eindhoven) Substitution at 45',2024-08-10 09:36:01
12678,705513,4,43513871,45',Tyrese Simons (FC Eindhoven) Substitution at 45',2024-08-10 09:36:01
12678,705513,5,43513902,48',Evan Rottier (FC Eindhoven) Goal at 48',2024-08-10 09:36:01
12678,705513,6,43513950,55',Danzell Gravenberch (FC Den Bosch) Substitution at 55',2024-08-10 09:36:01
12678,705513,7,43514031,61',Mees Laros (FC Den Bosch) Substitution at 61',2024-08-10 09:36:01
12678,705513,8,43514183,70',Teun van Grunsven (FC Den Bosch) Substitution at 70',2024-08-10 09:36:01
12678,705513,9,43514184,70',Ilias Boumassaoudi (FC Den Bosch) Substitution at 70',2024-10-14 07:06:39
12678,705513,10,43514215,73',Achraf El Bouchataoui (FC Eindhoven) Substitution at 73',2024-08-10 09:36:01
12678,705513,11,43514314,80',Luuk Verheij (FC Eindhoven) Substitution at 80',2024-08-10 09:36:01
12678,705513,12,43514463,90'+1',Julian Kwaaitaal (FC Eindhoven) Substitution at 91',2024-08-10 09:36:01
12678,705514,0,43513452,5',Oluwakorede Osundina (FC Dordrecht) Goal at 5',2024-08-10 09:36:01
12678,705514,1,43513568,18',Oluwakorede Osundina (FC Dordrecht) Goal at 18',2024-08-10 09:36:01
12678,705514,2,43513730,41',Mauresmo Hinoke (FC Dordrecht) Yellow Card at 41',2024-08-10 09:36:01
12678,705514,3,43513872,45',Dean Zandbergen (FC Dordrecht) Substitution at 45',2024-08-10 09:36:01
12678,705514,4,43513899,49',Julius Kade (FC Emmen) Goal at 49',2024-08-10 09:36:01
12678,705514,5,43513919,51',Franck Evina (FC Emmen) Substitution at 51',2024-08-10 09:36:01
12678,705514,6,43514149,68',Joseph Amuzu (FC Dordrecht) Substitution at 68',2024-08-10 09:36:01
12678,705514,7,43514150,68',Ben Scholte (FC Dordrecht) Substitution at 68',2024-08-10 09:36:01
12678,705514,8,43514327,81',Dennis Vos (FC Emmen) Substitution at 81',2024-08-10 09:36:01
12678,705514,9,43514328,81',Tim Geypens (FC Emmen) Substitution at 81',2024-08-10 09:36:01
12678,705514,10,43514394,84',John Hilton (FC Dordrecht) Yellow Card at 84',2024-08-10 09:36:01
12678,705514,11,43514395,84',Jop van den Avert (FC Dordrecht) Substitution at 84',2024-08-10 09:36:01
12678,705514,12,43515050,89',Liam Bossin (FC Dordrecht) Yellow Card at 89',2024-08-10 09:36:01
12678,705514,13,43514523,90'+2',Celton Biai (FC Dordrecht) Yellow Card at 92',2024-08-10 09:36:01
12678,705515,0,43513494,8',Rafik El Arguioui (Jong FC Utrecht) Goal at 8',2024-08-10 09:36:01
12678,705515,1,43535825,9',Rafik El Arguioui (Jong FC Utrecht) Yellow Card at 9',2024-08-13 09:21:55
12678,705515,2,43513710,25',Anthony van der Hurk (Helmond Sport) Goal at 25',2024-08-13 09:21:55
12678,705515,3,43513746,28',Neal Viereck (Jong FC Utrecht) Substitution at 28',2024-08-13 09:21:55
12678,705515,4,43514050,45',Jesper Van Rie (Jong FC Utrecht) Substitution at 45',2024-08-13 09:21:55
12678,705515,5,43514140,55',Tijn Den Boggende (Jong FC Utrecht) Yellow Card at 55',2024-08-13 09:21:55
12678,705515,6,43514294,64',Noa Dundas (Jong FC Utrecht) Substitution at 64',2024-08-13 09:21:55
12678,705515,7,43514420,72',Sofiane Dris (Jong FC Utrecht) Substitution at 72',2024-08-13 09:21:55
12678,705515,8,43514421,73',Georgios Charalampoglou (Jong FC Utrecht) Substitution at 73',2024-08-13 09:21:55
12678,705515,9,43514491,78',Tarik Essakkati (Helmond Sport) Substitution at 78',2024-08-13 09:21:55
12678,705515,10,43514574,84',Sil Van Der Wegen (Jong FC Utrecht) Substitution at 84',2024-08-13 09:21:55
12678,705515,11,43514597,87',Amir Absalem (Helmond Sport) Yellow Card at 87',2024-08-13 09:21:55
12678,705515,12,43514620,90',Dario Sits (Helmond Sport) Yellow Card at 90',2024-08-13 09:21:55
12678,705516,0,43513659,32',Bryan Smeets (MVV Maastricht) Yellow Card at 32',2024-08-10 09:36:01
12678,705516,1,43513716,36',Jeremy Van Mullem (SC Cambuur) Substitution at 36',2024-08-10 09:36:01
12678,705516,2,43514068,62',Ilano Silva Timas (MVV Maastricht) Substitution at 62',2024-08-10 09:36:01
12678,705516,3,43514091,63',Tim Zeegers (MVV Maastricht) Yellow Card at 63',2024-08-10 09:36:01
12678,705516,4,43514092,63',Fedde de Jong (SC Cambuur) Substitution at 63',2024-10-14 07:06:39
12678,705516,5,43514093,64',Benjamin Pauwels (SC Cambuur) Substitution at 64',2024-08-10 09:36:01
12678,705516,6,43514168,70',Milan Smit (SC Cambuur) Goal at 70',2024-08-10 09:36:01
12678,705516,7,43514330,78',Jeremy Van Mullem (SC Cambuur) Yellow Card at 78',2024-08-10 09:36:01
12678,705516,8,43514331,78',Camil Mmaee (MVV Maastricht) Substitution at 78',2024-08-10 09:36:01
12678,705516,9,43514332,79',Luca Foubert (MVV Maastricht) Substitution at 79',2024-08-10 09:36:01
12678,705516,10,43514390,83',Saul Penders (MVV Maastricht) Substitution at 83',2024-08-10 09:36:01
12678,705516,11,43514436,86',Tyrique Mercera (SC Cambuur) Substitution at 86',2024-08-10 09:36:01
