seasonType,eventId,commentaryOrder,playId,clockDisplayValue,commentaryText,updateDateTime
12677,705512,0,43496160,9',Noa Lang (PSV Eindhoven) Goal at 9',2024-08-05 09:30:51
12677,705512,1,43496165,9',Timon Wellenreuther (Feyenoord Rotterdam) Yellow Card at 9',2024-08-05 09:30:51
12677,705512,2,43496223,29',Santiago Giménez (Feyenoord Rotterdam) Penalty - Scored at 29',2024-08-05 09:30:51
12677,705512,3,43496240,33',Bart Nieuwkoop (Feyenoord Rotterdam) Goal at 33',2024-08-05 09:30:51
12677,705512,4,43496272,44',Santiago Giménez (Feyenoord Rotterdam) Yellow Card at 44',2024-08-05 09:30:51
12677,705512,5,43496278,45'+1',Ramiz Zerrouki (Feyenoord Rotterdam) Yellow Card at 46',2024-08-05 09:30:51
12677,705512,6,43496283,45'+4',Noa Lang (PSV Eindhoven) Yellow Card at 49',2024-08-05 09:30:51
12677,705512,7,43496308,48',Luuk de Jong (PSV Eindhoven) Goal at 48',2024-08-05 09:30:51
12677,705512,8,43496313,53',Walter Benítez (PSV Eindhoven) Yellow Card at 53',2024-08-05 09:30:51
12677,705512,9,43496314,54',Santiago Giménez (Feyenoord Rotterdam) Penalty - Scored at 54',2024-08-05 09:30:51
12677,705512,10,43496318,58',Igor Paixão (Feyenoord Rotterdam) Yellow Card at 58',2024-08-07 09:40:36
12677,705512,11,43496324,60',Antoni Milambo (Feyenoord Rotterdam) Substitution at 60',2024-08-05 09:30:51
12677,705512,12,43496327,64',Guus Til (PSV Eindhoven) Substitution at 64',2024-08-05 09:30:51
12677,705512,13,43496328,64',Couhaib Driouech (PSV Eindhoven) Substitution at 64',2024-08-05 09:30:51
12677,705512,14,43496330,65',Guus Til (PSV Eindhoven) Goal at 65',2024-08-05 09:30:51
12677,705512,15,43496336,68',Bart Nieuwkoop (Feyenoord Rotterdam) Yellow Card at 68',2024-08-05 09:30:51
12677,705512,16,43496337,69',Ayase Ueda (Feyenoord Rotterdam) Substitution at 69',2024-08-05 09:30:51
12677,705512,17,43496338,69',Ondrej Lingr (Feyenoord Rotterdam) Substitution at 69',2024-08-05 09:30:51
12677,705512,18,43496341,72',Antoni Milambo (Feyenoord Rotterdam) Goal at 72',2024-08-05 09:30:51
12677,705512,19,43496349,77',Givairo Read (Feyenoord Rotterdam) Substitution at 77',2024-08-05 09:30:51
12677,705512,20,43496350,77',Luka Ivanusec (Feyenoord Rotterdam) Substitution at 77',2024-08-05 09:30:51
12677,705512,21,43496352,80',Luuk de Jong (PSV Eindhoven) Penalty - Scored at 80',2024-08-05 09:30:51
12677,705512,22,43496361,81',Matteo Dams (PSV Eindhoven) Substitution at 81',2024-08-05 09:30:51
12677,705512,23,43496362,81',Ayase Ueda (Feyenoord Rotterdam) Yellow Card at 81',2024-08-05 09:30:51
12677,705512,24,43496367,88',Matteo Dams (PSV Eindhoven) Yellow Card at 88',2024-08-05 09:30:51
12677,705512,25,43496373,90'+4',Ricardo Pepi (PSV Eindhoven) Substitution at 94',2024-08-05 09:30:51
