seasonType,eventId,commentaryOrder,playId,clockDisplayValue,commentaryText,updateDateTime
12397,710655,0,43393326,13',Piero Serra (Unión Comercio) Yellow Card at 13',2024-07-13 04:30:59
12397,710655,1,43393340,35',Jeizon Chacón (Los Chankas) Goal at 35',2024-07-13 04:30:59
12397,710655,2,43393343,45'+3',Marlon de Jesús (Unión Comercio) Penalty - Scored at 48',2024-07-13 04:30:59
12397,710655,3,43393348,56',Carlos Gamarra (Los Chankas) Yellow Card at 56',2024-07-13 04:30:59
12397,710655,4,43393349,58',Jorge Tandazo (Unión Comercio) Substitution at 58',2024-07-13 04:30:59
12397,710655,5,43393350,58',Denilson Vargas (Unión Comercio) Substitution at 58',2024-07-13 04:30:59
12397,710655,6,43393351,59',Ademar Robles (Los Chankas) Substitution at 59',2024-07-13 04:30:59
12397,710655,7,43393352,68',Sandro Rengifo (Unión Comercio) Substitution at 68',2024-07-13 04:30:59
12397,710655,8,43393353,73',Oshiro Takeuchi (Los Chankas) Substitution at 73',2024-07-13 04:30:59
12397,710655,9,43393354,73',Ayrthon Quintana (Los Chankas) Substitution at 73',2024-07-13 04:30:59
12397,710655,10,43393355,75',Sebastian Aranda (Unión Comercio) Yellow Card at 75',2024-07-13 04:30:59
12397,710655,11,43393356,80',Ángel Ledesma (Los Chankas) Yellow Card at 80',2024-07-13 04:30:59
12397,710655,12,43393358,84',Hector Zeta (Unión Comercio) Substitution at 84',2024-07-13 04:30:59
12397,710655,13,43393363,89',Gonzalo Sánchez (Los Chankas) Substitution at 89',2024-07-13 04:30:59
12397,710655,14,43393364,89',José Luján (Los Chankas) Substitution at 89',2024-07-13 04:30:59
12397,710655,15,43393368,90'+8',Oshiro Takeuchi (Los Chankas) Goal at 98',2024-07-13 04:30:59
12397,710656,0,43393375,6',Alejandro Duarte (Sporting Cristal) Yellow Card at 6',2024-07-13 04:30:59
12397,710656,1,43393379,9',Victor Cedrón (ADT) Penalty - Scored at 9',2024-07-13 04:30:59
12397,710656,2,43393386,25',Martín Cauteruccio (Sporting Cristal) Goal at 25',2024-07-13 04:30:59
