seasonType,eventId,commentaryOrder,playId,clockDisplayValue,commentaryText,updateDateTime
12565,710985,0,43397699,45',Malcom Sylas Edjomou (FCSB) Substitution at 45',2024-10-14 07:06:39
12565,710985,1,43397700,45',David Raul Miculescu (FCSB) Substitution at 45',2024-10-14 07:06:39
12565,710985,2,43397752,51',Alexandru Marian (FCSB) Goal at 51',2024-10-14 07:06:39
12565,710985,3,43397820,55',Malcom Sylas Edjomou (FCSB) Yellow Card at 55',2024-10-14 07:06:39
12565,710985,4,43397821,57',Dan Nistor (Universitatea Cluj) Penalty - Scored at 57',2024-10-14 07:06:39
12565,710985,5,43397913,63',Baba Alhassan (FCSB) Substitution at 63',2024-10-14 07:06:39
12565,710985,6,43397914,63',Alexandru Baluta (FCSB) Substitution at 63',2024-10-14 07:06:39
12565,710985,7,43397978,69',Valentin Cretu (FCSB) Yellow Card at 69',2024-10-14 07:06:39
12565,710985,8,43398010,71',Vladislav Blanuta (Universitatea Cluj) Substitution at 71',2024-10-14 07:06:39
12565,710985,9,43398011,71',Dorin Marian Codrea (Universitatea Cluj) Substitution at 71',2024-10-14 07:06:39
12565,710985,10,43398012,71',Bogdan Mitrea (Universitatea Cluj) Substitution at 71',2024-10-14 07:06:39
12565,710985,11,43398013,71',Nana Kwame Antwi (FCSB) Substitution at 71',2024-10-14 07:06:39
12565,710985,12,43398014,72',Franck Tchassem (Universitatea Cluj) Substitution at 72',2024-10-14 07:06:39
12565,710985,13,43398027,74',Lucas Masoero (Universitatea Cluj) Yellow Card at 74',2024-10-14 07:06:39
12565,710985,14,43398047,74',Vladislav Blanuta (Universitatea Cluj) Yellow Card at 74',2024-10-14 07:06:39
12565,710985,15,43398155,81',Dorinel Gabriel Oancea (Universitatea Cluj) Substitution at 81',2024-10-14 07:06:39
12565,710985,16,43398277,90'+3',Dorinel Gabriel Oancea (Universitatea Cluj) Yellow Card at 93',2024-10-14 07:06:39
12565,710986,0,43403893,14',Catalin Cirjan (Dinamo Bucuresti) Goal at 14',2024-10-14 07:06:39
12565,710986,1,43403906,34',Hakim Abdallah (Dinamo Bucuresti) Goal at 34',2024-10-14 07:06:39
12565,710986,2,43403907,41',Dennis Politic (Dinamo Bucuresti) Yellow Card at 41',2024-10-14 07:06:39
12565,710986,3,43403908,42',Ciprian Deac (CFR Cluj-Napoca) Penalty - Scored at 42',2024-10-14 07:06:39
12565,710986,4,43403909,45',Daniel Birligea (CFR Cluj-Napoca) Substitution at 45',2024-10-14 07:06:39
12565,710986,5,43403910,45',Vasile Mogos (CFR Cluj-Napoca) Substitution at 45',2024-10-14 07:06:39
12565,710986,6,43403911,52',Daniel Birligea (CFR Cluj-Napoca) Goal at 52',2024-10-14 07:06:39
12565,710986,7,43403912,58',Daniel Birligea (CFR Cluj-Napoca) Yellow Card at 58',2024-10-14 07:06:39
12565,710986,8,43403913,64',Ahmed Bani (Dinamo Bucuresti) Substitution at 64',2024-10-14 07:06:39
12565,710986,9,43403914,66',Mohammed Kesselly Kamara (CFR Cluj-Napoca) Yellow Card at 66',2024-10-14 07:06:39
12565,710986,10,43403916,69',Meriton Korenica (CFR Cluj-Napoca) Substitution at 69',2024-10-14 07:06:39
12565,710986,11,43403917,71',Dragos Irimia (Dinamo Bucuresti) Substitution at 71',2024-10-14 07:06:39
12565,710986,12,43403919,80',Constantin Paun-Alexandru (CFR Cluj-Napoca) Substitution at 80',2024-10-14 07:06:39
12565,710986,13,43403920,81',Costin Amzar (Dinamo Bucuresti) Substitution at 81',2024-10-14 07:06:39
12565,710986,14,43403921,82',Razvan Patriche (Dinamo Bucuresti) Substitution at 82',2024-10-14 07:06:39
12565,710986,15,43403922,82',Adrian Caragea (Dinamo Bucuresti) Substitution at 82',2024-10-14 07:06:39
12565,710986,16,43403924,84',Panagiotis Tachtsidis (CFR Cluj-Napoca) Yellow Card at 84',2024-10-14 07:06:39
12565,710986,17,43403926,87',Kennedy Boateng (Dinamo Bucuresti) Yellow Card at 87',2024-10-14 07:06:39
12565,710986,18,43403927,88',Beni N'Kololo (CFR Cluj-Napoca) Substitution at 88',2024-10-14 07:06:39
12565,710986,19,43403929,90'+3',Panagiotis Tachtsidis (CFR Cluj-Napoca) Goal at 93',2024-10-14 07:06:39
12565,710987,0,43405271,6',Alexandru Pop (Otelul Galati) Goal at 6',2024-07-30 07:58:59
12565,710987,1,43405343,20',Adi Chica-Rosa (FC Botosani) Yellow Card at 20',2024-07-30 07:58:59
12565,710987,2,43405388,29',Diego Zivulic (Otelul Galati) Yellow Card at 29',2024-07-30 07:58:59
12565,710987,3,43405389,33',Adams Friday (FC Botosani) Goal at 33',2024-07-30 07:58:59
12565,710987,4,43405429,41',Aldaír (FC Botosani) Yellow Card at 41',2024-07-30 07:58:59
12565,710987,5,43405460,45'+2',Daniel Celea (FC Botosani) Yellow Card at 47',2024-07-30 07:58:59
12565,710987,6,43405519,45',Zoran Mitrov (FC Botosani) Substitution at 45',2024-07-30 07:58:59
12565,710987,7,43405520,45',Chapi Romano (FC Botosani) Substitution at 45',2024-07-30 07:58:59
12565,710987,8,43405551,56',Sebastian Mailat (FC Botosani) Goal at 56',2024-07-30 07:58:59
12565,710987,9,43405552,60',Milen Zhelev (Otelul Galati) Substitution at 60',2024-07-30 07:58:59
12565,710987,10,43405553,60',Razvan Tanasa (Otelul Galati) Substitution at 60',2024-07-30 07:58:59
12565,710987,11,43405554,63',Enzo Lopez (FC Botosani) Substitution at 63',2024-07-30 07:58:59
12565,710987,12,43405555,63',Eduard Florescu (FC Botosani) Substitution at 63',2024-07-30 07:58:59
12565,710987,13,43405556,65',Diego Zivulic (Otelul Galati) Goal at 65',2024-07-30 07:58:59
12565,710987,14,43405557,67',Diego Zivulic (Otelul Galati) Goal at 67',2024-07-30 07:58:59
12565,710987,15,43405577,75',Stefan Bodistean (FC Botosani) Substitution at 75',2024-07-30 07:58:59
12565,710987,16,43405593,85',Teles (Otelul Galati) Substitution at 85',2024-07-30 07:58:59
12565,710987,17,43405619,90'+6',Cristian Chira (Otelul Galati) Substitution at 96',2024-07-30 07:58:59
12565,710987,18,43405620,90'+6',Nelut Rosu (Otelul Galati) Substitution at 96',2024-07-30 07:58:59
12565,710987,19,43405632,90'+9',Nikola Stevanovic (Otelul Galati) Yellow Card at 99',2024-07-30 07:58:59
12565,710988,0,43393300,17',Rivaldinho (FC Farul Constanta) Yellow Card at 17',2024-07-13 04:30:59
12565,710988,1,43393301,19',Florian Purece (Unirea Slobozia) Goal at 19',2024-07-13 04:30:59
12565,710988,2,43393302,21',Ovidiu Perianu (Unirea Slobozia) Yellow Card at 21',2024-07-13 04:30:59
