seasonType,eventId,commentaryOrder,playId,clockDisplayValue,commentaryText,updateDateTime
12860,718564,0,44491735,39',Sipho Chaine (Orlando Pirates) Yellow Card at 39',2025-01-09 05:44:46
12860,718564,1,44491736,39',Nkosinathi Sibisi (Orlando Pirates) Yellow Card at 39',2025-01-09 05:44:46
12860,718564,2,44491737,40',Idumba Fasika (Cape Town City) Yellow Card at 40',2025-01-09 05:44:46
12860,718564,3,44491743,45'+3',Tshegofatso Nyama (Cape Town City) Yellow Card at 48',2025-01-09 05:44:46
12860,718564,4,44491740,45',Jaeden Rhodes (Cape Town City) Substitution at 45',2025-01-09 05:44:46
12860,718564,5,44491741,45',Thabo Nodada (Cape Town City) Substitution at 45',2025-01-09 05:44:46
12860,718564,6,44491746,57',Patrick Maswanganyi (Orlando Pirates) Yellow Card at 57',2025-01-09 05:44:46
12860,718564,7,44491755,63',James Monyane (Orlando Pirates) Substitution at 63',2025-01-09 05:44:46
12860,718564,8,44491756,63',Boitumelo Radiopane (Orlando Pirates) Substitution at 63',2025-01-09 05:44:46
12860,718564,9,44491758,65',Amadou Soukouna (Cape Town City) Substitution at 65',2025-01-09 05:44:46
12860,718564,10,44491759,71',Patrick Maswanganyi (Orlando Pirates) Penalty - Missed at 71',2025-01-09 05:44:46
12860,718564,11,44491763,74',Darwin González (Cape Town City) Goal at 74',2025-01-09 05:44:46
12860,718564,12,44491770,79',Evidence Makgopa (Orlando Pirates) Substitution at 79',2025-01-09 05:44:46
12860,718564,13,44491771,79',Paseka Mako (Orlando Pirates) Substitution at 79',2025-01-09 05:44:46
12860,718564,14,44491772,80',Prins Tjiueza (Cape Town City) Yellow Card at 80',2025-01-09 05:44:46
12860,718564,15,44491777,86',Gabriel Amato (Cape Town City) Substitution at 86',2025-01-09 05:44:46
12860,718569,0,44491726,20',Khomotjo Lekoloane (Stellenbosch) Goal at 20',2025-01-09 05:44:46
12860,718569,1,44491732,28',Wandile Duba (Kaizer Chiefs) Goal at 28',2025-01-09 05:44:46
12860,718569,2,44491733,30',Tebogo Potsane (Kaizer Chiefs) Substitution at 30',2025-01-09 05:44:46
