seasonType,eventId,commentaryOrder,playId,clockDisplayValue,commentaryText,updateDateTime
12606,702843,0,-1,,Lineups are announced and players are warming up.,2024-07-16 06:18:53
12606,702843,1,-1,,First Half begins.,2024-07-16 06:18:53
12606,702843,2,-1,3',Foul by Graham Carey (St. Johnstone).,2024-07-16 06:18:53
12606,702843,3,-1,3',Marc Scott (Brechin City) wins a free kick in the defensive half.,2024-07-16 06:18:53
12606,702843,4,-1,4',"Corner, Brechin City. Conceded by Sam McClelland.",2024-07-16 06:18:53
12606,702843,5,-1,4',Foul by Josh McPake (St. Johnstone).,2024-07-16 06:18:53
12606,702843,6,-1,4',Fraser Macleod (Brechin City) wins a free kick in the attacking half.,2024-07-16 06:18:53
12606,702843,7,-1,12',Drey Wright (St. Johnstone) wins a free kick on the right wing.,2024-07-16 06:18:53
12606,702843,8,-1,12',Foul by Ewan Loudon (Brechin City).,2024-07-16 06:18:53
12606,702843,9,-1,15',Foul by Lewis Martin (Brechin City).,2024-07-16 06:18:53
12606,702843,10,-1,15',Jack Sanders (St. Johnstone) wins a free kick in the defensive half.,2024-07-16 06:18:53
12606,702843,11,-1,16',Cammy MacPherson (St. Johnstone) wins a free kick in the attacking half.,2024-07-16 06:18:53
12606,702843,12,-1,16',Foul by Sean Hastie (Brechin City).,2024-07-16 06:18:53
12606,702843,13,-1,18',Foul by Ewan Loudon (Brechin City).,2024-07-16 06:18:53
12606,702843,14,-1,18',Jack Sanders (St. Johnstone) wins a free kick in the defensive half.,2024-07-16 06:18:53
12606,702843,15,-1,21',Foul by Kyle Cameron (St. Johnstone).,2024-07-16 06:18:53
12606,702843,16,-1,21',Sean Hastie (Brechin City) wins a free kick in the attacking half.,2024-07-16 06:18:53
12606,702843,17,-1,25',Hand ball by Matt Smith (St. Johnstone).,2024-07-16 06:18:53
12606,702843,18,-1,28',Delay in match because of an injury Lenny Wilson (Brechin City).,2024-07-16 06:18:53
12606,702843,19,-1,29',Delay over. They are ready to continue.,2024-07-16 06:18:53
12606,702843,20,-1,30',Aaron Essel (St. Johnstone) wins a free kick in the defensive half.,2024-07-16 06:18:53
12606,702843,21,-1,30',Foul by Sean Hastie (Brechin City).,2024-07-16 06:18:53
12606,702843,22,-1,34',Foul by Aaron Essel (St. Johnstone).,2024-07-16 06:18:53
12606,702843,23,-1,34',Fraser Macleod (Brechin City) wins a free kick in the attacking half.,2024-07-16 06:18:53
12606,702843,24,-1,36',Foul by Benjamin Mbunga Kimpioka (St. Johnstone).,2024-07-16 06:18:53
12606,702843,25,-1,36',Ryan Ferguson (Brechin City) wins a free kick in the defensive half.,2024-07-16 06:18:53
12606,702843,26,-1,37',Aaron Essel (St. Johnstone) wins a free kick in the attacking half.,2024-07-16 06:18:53
12606,702843,27,-1,37',Foul by Seth Patrick (Brechin City).,2024-07-16 06:18:53
12606,702843,28,43396014,37',Seth Patrick (Brechin City) is shown the yellow card for a bad foul.,2024-07-16 06:18:53
12606,702843,29,-1,38',Attempt blocked. Josh McPake (St. Johnstone) right footed shot from outside the box is blocked.,2024-07-16 06:18:53
12606,702843,30,-1,39',Foul by Matt Smith (St. Johnstone).,2024-07-16 06:18:53
12606,702843,31,-1,39',Lewis Martin (Brechin City) wins a free kick in the defensive half.,2024-07-16 06:18:53
12606,702843,32,-1,41',Delay in match because of an injury Ewan Loudon (Brechin City).,2024-07-16 06:18:53
12606,702843,33,-1,41',Delay over. They are ready to continue.,2024-07-16 06:18:53
12606,702843,34,-1,43',Cammy MacPherson (St. Johnstone) wins a free kick in the attacking half.,2024-07-16 06:18:53
12606,702843,35,-1,43',Foul by Sean Hastie (Brechin City).,2024-07-16 06:18:53
12606,702843,36,-1,45',Attempt missed. Benjamin Mbunga Kimpioka (St. Johnstone) right footed shot from the right side of the box is just a bit too high following a fast break.,2024-07-16 06:18:53
12606,702843,37,-1,45'+1',Penalty St. Johnstone. Benjamin Mbunga Kimpioka draws a foul in the penalty area.,2024-07-16 06:18:53
12606,702843,38,-1,45'+1',Penalty conceded by Lewis Martin (Brechin City) after a foul in the penalty area.,2024-07-16 06:18:53
12606,702843,39,43396077,45'+2',"Goal! Brechin City 0, St. Johnstone 1. Graham Carey (St. Johnstone) converts the penalty with a left footed shot to the high centre of the goal.",2024-07-16 06:18:53
12606,702843,40,-1,45'+3',Foul by Aaron Essel (St. Johnstone).,2024-07-16 06:18:53
12606,702843,41,-1,45'+3',Ryan Ferguson (Brechin City) wins a free kick in the attacking half.,2024-07-16 06:18:53
12606,702843,42,43396090,45'+3',Aaron Essel (St. Johnstone) is shown the yellow card for a bad foul.,2024-07-16 06:18:53
12606,702843,43,-1,45'+4',"First Half ends, Brechin City 0, St. Johnstone 1.",2024-07-16 06:18:53
12606,702843,44,-1,45',"Second Half begins Brechin City 0, St. Johnstone 1.",2024-07-16 06:18:53
