seasonType,eventId,commentaryOrder,playId,clockDisplayValue,commentaryText,updateDateTime
12288,691639,0,43382435,17',Axel Henriksson (GAIS) Yellow Card at 17',2024-10-14 07:06:39
12288,691639,1,43382449,37',Deniz Gül (Hammarby) Yellow Card at 37',2024-10-14 07:06:39
12288,691639,2,43382468,42',Pavle Vagic (Hammarby) Yellow Card at 42',2024-10-14 07:06:39
12288,691639,3,43382469,44',William Milovanovic (GAIS) Yellow Card at 44',2024-10-14 07:06:39
12288,691639,4,43382512,48',Joackim Åberg (GAIS) Yellow Card at 48',2024-10-14 07:06:39
12288,691639,5,43382564,65',Jusef Erabi (Hammarby) Substitution at 65',2024-10-14 07:06:39
12288,691639,6,43382565,66',Alex Ahl-Holmström (GAIS) Substitution at 66',2024-10-14 07:06:39
12288,691639,7,43382583,74',Amin Boudri (GAIS) Substitution at 74',2024-10-14 07:06:39
12288,691639,8,43382584,75',Harun Ibrahim (GAIS) Substitution at 75',2024-10-14 07:06:39
12288,691639,9,43382586,79',Viktor Djukanovic (Hammarby) Substitution at 79',2024-10-14 07:06:39
12288,691639,10,43382587,79',Simon Strand (Hammarby) Substitution at 79',2024-10-14 07:06:39
12288,691639,11,43382596,88',Chovanie Amatkarijo (GAIS) Substitution at 88',2024-10-14 07:06:39
12288,691639,12,43382600,90'+1',Amin Boudri (GAIS) Yellow Card at 91',2024-10-14 07:06:39
12288,691639,13,43382601,90'+2',Robin Frej (GAIS) Yellow Card at 92',2024-10-14 07:06:39
12288,691640,0,43386794,4',Matteo Ahlinvi (Vasteras SK) Goal at 4',2024-10-14 07:06:39
12288,691640,1,43386805,29',Valgeir Lunddal Fridriksson (BK Hacken) Yellow Card at 29',2024-10-14 07:06:39
12288,691640,2,43386806,32',Ali Youssef (BK Hacken) Goal at 32',2024-10-14 07:06:39
12288,691640,3,43386809,32',Adam Lundqvist (BK Hacken) Yellow Card at 32',2024-10-14 07:06:39
12288,691640,4,43386818,61',Ali Youssef (BK Hacken) Yellow Card at 61',2024-10-14 07:06:39
12288,691640,5,43386825,68',Julius Lindberg (BK Hacken) Substitution at 68',2024-10-14 07:06:39
12288,691640,6,43386832,76',Pontus Dahbo (BK Hacken) Substitution at 76',2024-10-14 07:06:39
12288,691640,7,43386837,79',Pedro Ribeiro (Vasteras SK) Substitution at 79',2024-10-14 07:06:39
12288,691640,8,43386840,84',Zeidane Inoussa (BK Hacken) Goal at 84',2024-10-14 07:06:39
12288,691640,9,43386846,86',Johan Hammar (BK Hacken) Substitution at 86',2024-10-14 07:06:39
12288,691640,10,43386847,86',Henry Offia (Vasteras SK) Substitution at 86',2024-10-14 07:06:39
12288,691640,11,43386848,87',Axel Lindahl (BK Hacken) Substitution at 87',2024-10-14 07:06:39
12288,691640,12,43386849,87',Jabir Abdihakim Ali (Vasteras SK) Substitution at 87',2024-10-14 07:06:39
12288,691640,13,43386852,90'+1',Jens Magnusson (Vasteras SK) Substitution at 91',2024-10-14 07:06:39
12288,691640,14,43386853,90'+1',Isak Jonsson (Vasteras SK) Substitution at 91',2024-10-14 07:06:39
12288,691641,0,43382437,20',Blair Turgott (Halmstads BK) Substitution at 20',2024-10-14 07:06:39
12288,691641,1,43382438,22',Anders Christiansen (Malmo FF) Goal at 22',2024-10-14 07:06:39
12288,691641,2,43382439,29',Birnir Snær Ingason (Halmstads BK) Goal at 29',2024-10-14 07:06:39
12288,691641,3,43382444,37',Isaac Kiese Thelin (Malmo FF) Goal at 37',2024-10-14 07:06:39
12288,691641,4,43382571,68',Gabriel Wallentin (Halmstads BK) Yellow Card at 68',2024-10-14 07:06:39
12288,691641,5,43382576,72',Taha Abdi Ali (Malmo FF) Substitution at 72',2024-10-14 07:06:39
12288,691641,6,43382577,72',Niklas Moisander (Malmo FF) Substitution at 72',2024-10-14 07:06:39
12288,691641,7,43382578,72',Thomas Boakye (Halmstads BK) Substitution at 72',2024-10-14 07:06:39
12288,691641,8,43382579,72',Rasmus Wiedesheim-Paul (Halmstads BK) Substitution at 72',2024-10-14 07:06:39
12288,691641,9,43382580,74',Erik Botheim (Malmo FF) Goal at 74',2024-10-14 07:06:39
12288,691641,10,43382588,80',Joseph Baffo (Halmstads BK) Yellow Card at 80',2024-10-14 07:06:39
12288,691641,11,43382589,82',Joel Allansson (Halmstads BK) Substitution at 82',2024-10-14 07:06:39
12288,691641,12,43382590,83',Otto Rosengren (Malmo FF) Substitution at 83',2024-10-14 07:06:39
12288,691641,13,43382591,83',Andreas Johansson (Halmstads BK) Substitution at 83',2024-10-14 07:06:39
12288,691641,14,43382592,83',Hugo Bolin (Malmo FF) Substitution at 83',2024-10-14 07:06:39
12288,691641,15,43382593,85',Hugo Bolin (Malmo FF) Goal at 85',2024-10-14 07:06:39
12288,691641,16,43382594,86',Sebastian Jorgensen (Malmo FF) Substitution at 86',2024-10-14 07:06:39
12288,691641,17,43382602,90'+3',Hugo Bolin (Malmo FF) Goal at 93',2024-10-14 07:06:39
12288,691642,0,43382215,34',Jacob Trenskow (Kalmar FF) Goal at 34',2024-08-01 02:14:40
12288,691642,1,43382241,45',Lamine Dabo (AIK) Substitution at 45',2024-08-01 02:14:40
12288,691642,2,43382249,52',Dino Besirovic (AIK) Yellow Card at 52',2024-08-01 02:14:40
12288,691642,3,43382265,63',Ioannis Pittas (AIK) Goal at 63',2024-08-01 02:14:40
12288,691642,4,43382266,65',Robert Gojani (Kalmar FF) Yellow Card at 65',2024-08-01 02:14:40
12288,691642,5,43382273,68',Rasmus Sjostedt (Kalmar FF) Substitution at 68',2024-08-01 02:14:40
12288,691642,6,43382274,68',Romario (Kalmar FF) Substitution at 68',2024-08-01 02:14:40
12288,691642,7,43382282,73',Victor Andersson (AIK) Substitution at 73',2024-08-01 02:14:40
12288,691642,8,43382287,75',Robert Gojani (Kalmar FF) Goal at 75',2024-08-01 02:14:40
12288,691642,9,43382296,79',Axel Bjornstrom (AIK) Substitution at 79',2024-08-01 02:14:40
12288,691642,10,43382297,79',John Guidetti (AIK) Substitution at 79',2024-08-01 02:14:40
12288,691642,11,43382299,80',Alexander Milosevic (AIK) Yellow Card at 80',2024-08-01 02:14:40
12288,691642,12,43382304,85',Kevin Jensen (Kalmar FF) Substitution at 85',2024-08-01 02:14:40
12288,691642,13,43382306,88',Saku Ylätupa (Kalmar FF) Substitution at 88',2024-08-01 02:14:40
12288,691643,0,43376640,27',Sebastian Holmén (Elfsborg) Yellow Card at 27',2024-10-14 07:06:39
