seasonType,eventId,commentaryOrder,playId,clockDisplayValue,commentaryText,updateDateTime
12886,732185,0,-1,,Lineups are announced and players are warming up.,2025-02-12 05:49:39
12886,732185,1,44677233,,First Half begins.,2025-02-12 05:49:39
12886,732185,2,44677235,1',Foul by João Neves (Paris Saint Germain).,2025-02-13 05:53:09
12886,732185,3,44677235,1',Massadio Haïdara (Brest) wins a free kick in the defensive half.,2025-02-13 05:53:09
12886,732185,4,44677244,7',Foul by Mahdi Camara (Brest).,2025-02-13 05:53:09
12886,732185,5,44677244,7',Nuno Mendes (Paris Saint Germain) wins a free kick in the attacking half.,2025-02-13 05:53:09
12886,732185,6,44677246,8',Hand ball by Bradley Barcola (Paris Saint Germain).,2025-02-13 05:53:09
12886,732185,7,44677253,15',Désiré Doué (Paris Saint Germain) wins a free kick in the attacking half.,2025-02-13 05:53:09
12886,732185,8,44677253,15',Foul by Hugo Magnetti (Brest).,2025-02-13 05:53:09
12886,732185,9,44677260,17',Attempt saved. João Neves (Paris Saint Germain) right footed shot from the centre of the box is saved in the bottom right corner.,2025-02-12 05:49:39
12886,732185,10,44681552,17',Attempt blocked. Ousmane Dembélé (Paris Saint Germain) right footed shot from the centre of the box is blocked. Assisted by João Neves.,2025-02-12 05:49:39
12886,732185,11,-1,17',Penalty conceded by Pierre Lees-Melou (Brest) with a hand ball in the penalty area.,2025-02-13 05:53:09
12886,732185,12,44677264,18',VAR Decision: Penalty Paris Saint Germain.,2025-02-13 05:53:09
12886,732185,13,44677265,21',"Goal! Brest 0, Paris Saint Germain 1. Vitinha (Paris Saint Germain) converts the penalty with a right footed shot to the bottom left corner.",2025-02-13 05:53:09
12886,732185,14,44677272,24',Foul by João Neves (Paris Saint Germain).,2025-02-13 05:53:09
12886,732185,15,44677272,24',Massadio Haïdara (Brest) wins a free kick in the defensive half.,2025-02-13 05:53:09
12886,732185,16,44677280,26',Attempt blocked. Fabián Ruiz (Paris Saint Germain) left footed shot from outside the box is blocked. Assisted by Ousmane Dembélé.,2025-02-13 05:53:09
12886,732185,17,44677278,26',"Corner, Paris Saint Germain. Conceded by Brendan Chardonnet.",2025-02-13 05:53:09
12886,732185,18,44677281,27',Foul by Willian Pacho (Paris Saint Germain).,2025-02-13 05:53:09
12886,732185,19,44677281,27',Mahdi Camara (Brest) wins a free kick in the defensive half.,2025-02-13 05:53:09
12886,732185,20,44677285,29',Attempt missed. Ousmane Dembélé (Paris Saint Germain) left footed shot from the left side of the six yard box is too high. Assisted by Vitinha with a through ball.,2025-02-12 05:49:39
12886,732185,21,44677287,30',"Attempt missed. Bradley Barcola (Paris Saint Germain) right footed shot from the left side of the box is close, but misses the top right corner. Assisted by Ousmane Dembélé.",2025-02-12 05:49:39
12886,732185,22,44677291,33',"Corner, Paris Saint Germain. Conceded by Soumaïla Coulibaly.",2025-02-13 05:53:09
12886,732185,23,44677293,34',"Corner, Brest. Conceded by Willian Pacho.",2025-02-12 05:49:39
12886,732185,24,44677296,35',Attempt blocked. Abdallah Sima (Brest) header from very close range is blocked. Assisted by Kenny Lala with a cross.,2025-02-13 05:53:09
12886,732185,25,44677297,35',Brendan Chardonnet (Brest) wins a free kick on the right wing.,2025-02-13 05:53:09
12886,732185,26,44677297,35',Foul by Désiré Doué (Paris Saint Germain).,2025-02-13 05:53:09
12886,732185,27,44677303,38',"Attempt missed. Bradley Barcola (Paris Saint Germain) right footed shot from the centre of the box is close, but misses to the right. Assisted by Désiré Doué.",2025-02-13 05:53:09
12886,732185,28,-1,39',"Corner, Brest. Conceded by Achraf Hakimi.",2025-02-13 05:53:09
12886,732185,29,44677308,43',"Corner, Brest. Conceded by Fabián Ruiz.",2025-02-13 05:53:09
12886,732185,30,44677311,43',Attempt blocked. Brendan Chardonnet (Brest) header from the centre of the box is blocked. Assisted by Kenny Lala with a cross.,2025-02-13 05:53:09
12886,732185,31,44677314,43',Attempt blocked. Abdallah Sima (Brest) left footed shot from the centre of the box is blocked.,2025-02-13 05:53:09
12886,732185,32,44677315,45',"Goal! Brest 0, Paris Saint Germain 2. Ousmane Dembélé (Paris Saint Germain) left footed shot from the right side of the box to the bottom right corner. Assisted by Achraf Hakimi following a fast break.",2025-02-13 05:53:09
12886,732185,33,-1,45',Fourth official has announced 2 minutes of added time.,2025-02-12 05:49:39
12886,732185,34,44677319,45'+2',Foul by Achraf Hakimi (Paris Saint Germain).,2025-02-12 05:49:39
12886,732185,35,44677319,45'+2',Ludovic Ajorque (Brest) wins a free kick in the attacking half.,2025-02-12 05:49:39
12886,732185,36,44677320,45'+3',Attempt saved. Kenny Lala (Brest) right footed shot from outside the box is saved in the centre of the goal.,2025-02-12 05:49:39
12886,732185,37,44677322,45'+3',"First Half ends, Brest 0, Paris Saint Germain 2.",2025-02-12 05:49:39
12886,732185,38,44677330,45',"Second Half begins Brest 0, Paris Saint Germain 2.",2025-02-12 05:49:39
12886,732185,39,44677335,48',Attempt blocked. Abdallah Sima (Brest) right footed shot from the centre of the box is blocked. Assisted by Massadio Haïdara with a cross.,2025-02-12 05:49:39
12886,732185,40,-1,48',Attempt blocked. Abdallah Sima (Brest) left footed shot from the left side of the box is blocked.,2025-02-12 05:49:39
12886,732185,41,44677337,48',"Corner, Brest. Conceded by Marquinhos.",2025-02-13 05:53:09
12886,732185,42,44677340,49',Attempt blocked. Pierre Lees-Melou (Brest) left footed shot from outside the box is blocked. Assisted by Romain Faivre.,2025-02-12 05:49:39
12886,732185,43,44677345,50',"Offside, Paris Saint Germain. Bradley Barcola is caught offside.",2025-02-13 05:53:09
12886,732185,44,44677341,50',GOAL OVERTURNED BY VAR: Désiré Doué (Paris Saint Germain) scores but the goal is ruled out after a VAR review.,2025-02-12 05:49:39
12886,732185,45,44677343,52',VAR Decision: No Goal Brest 0-2 Paris Saint Germain.,2025-02-13 05:53:09
12886,732185,46,44677351,56',Foul by Vitinha (Paris Saint Germain).,2025-02-13 05:53:09
12886,732185,47,44677351,56',Mahdi Camara (Brest) wins a free kick in the defensive half.,2025-02-13 05:53:09
12886,732185,48,44677356,56',Foul by João Neves (Paris Saint Germain).,2025-02-13 05:53:09
12886,732185,49,44677356,56',Massadio Haïdara (Brest) wins a free kick in the defensive half.,2025-02-13 05:53:09
12886,732185,50,44677359,57',Attempt missed. Hugo Magnetti (Brest) right footed shot from outside the box is high and wide to the right. Assisted by Kenny Lala.,2025-02-12 05:49:39
12886,732185,51,44677361,58',"Attempt missed. Ousmane Dembélé (Paris Saint Germain) right footed shot from the centre of the box is close, but misses to the right. Assisted by João Neves with a through ball.",2025-02-12 05:49:39
12886,732185,52,44677367,60',Désiré Doué (Paris Saint Germain) wins a free kick on the right wing.,2025-02-13 05:53:09
12886,732185,53,44677367,60',Foul by Hugo Magnetti (Brest).,2025-02-13 05:53:09
12886,732185,54,44677371,62',Attempt saved. Bradley Barcola (Paris Saint Germain) right footed shot from the left side of the box is saved in the centre of the goal. Assisted by João Neves.,2025-02-12 05:49:39
12886,732185,55,44677374,63',Attempt blocked. Ousmane Dembélé (Paris Saint Germain) left footed shot from outside the box is blocked. Assisted by Bradley Barcola.,2025-02-12 05:49:39
12886,732185,56,44677375,64',"Substitution, Brest. Edimilson Fernandes replaces Hugo Magnetti.",2025-02-13 05:53:09
12886,732185,57,44677376,64',"Substitution, Brest. Mama Baldé replaces Abdallah Sima.",2025-02-13 05:53:09
12886,732185,58,44677378,66',"Goal! Brest 0, Paris Saint Germain 3. Ousmane Dembélé (Paris Saint Germain) right footed shot from the centre of the box to the centre of the goal.",2025-02-12 05:49:39
12886,732185,59,44677381,67',"Substitution, Paris Saint Germain. Khvicha Kvaratskhelia replaces Désiré Doué.",2025-02-13 05:53:09
12886,732185,60,44677384,68',Attempt saved. Mahdi Camara (Brest) right footed shot from outside the box is saved in the bottom left corner.,2025-02-12 05:49:39
12886,732185,61,44677407,68',Attempt missed. Mama Baldé (Brest) left footed shot from the centre of the box is high and wide to the left.,2025-02-13 05:53:09
12886,732185,62,44677389,69',Hand ball by Marquinhos (Paris Saint Germain).,2025-02-13 05:53:09
12886,732185,63,44677392,70',Foul by Bradley Barcola (Paris Saint Germain).,2025-02-13 05:53:09
12886,732185,64,44677392,70',Massadio Haïdara (Brest) wins a free kick in the attacking half.,2025-02-13 05:53:09
12886,732185,65,44677393,70',Bradley Barcola (Paris Saint Germain) is shown the yellow card for a bad foul.,2025-02-13 05:53:09
12886,732185,66,44677395,71',Attempt blocked. Soumaïla Coulibaly (Brest) left footed shot from the right side of the box is blocked. Assisted by Ludovic Ajorque with a headed pass.,2025-02-12 05:49:39
12886,732185,67,44677400,72',Foul by João Neves (Paris Saint Germain).,2025-02-13 05:53:09
12886,732185,68,44677400,72',Pierre Lees-Melou (Brest) wins a free kick in the defensive half.,2025-02-13 05:53:09
