seasonType,eventId,commentaryOrder,playId,clockDisplayValue,commentaryText,updateDateTime
12665,715880,0,-1,,Lineups are announced and players are warming up.,2024-07-24 11:52:09
12665,715880,1,-1,,First Half begins.,2024-07-24 11:52:09
12665,715880,2,43439235,2',"Goal! Bodø/Glimt 1, Rigas FS 0. August Mikkelsen (Bodø/Glimt) right footed shot from the centre of the box to the high centre of the goal. Assisted by Ulrik Saltnes.",2024-07-24 11:52:09
12665,715880,3,43439236,9',"Substitution, Rigas FS. Cédric Kouadio replaces Emerson Deocleciano.",2024-07-24 11:52:09
12665,715880,4,43439237,18',"Goal! Bodø/Glimt 2, Rigas FS 0. Ulrik Saltnes (Bodø/Glimt) right footed shot from the centre of the box to the centre of the goal.",2024-07-24 11:52:09
12665,715880,5,43439238,40',"Goal! Bodø/Glimt 3, Rigas FS 0. Oscar Kapskarmo (Bodø/Glimt) right footed shot from the centre of the box to the centre of the goal. Assisted by Ulrik Saltnes.",2024-07-24 11:52:09
12665,715880,6,43439239,44',Stefan Panic (Rigas FS) is shown the yellow card for a bad foul.,2024-07-24 11:52:09
12665,715880,7,-1,45'+3',"First Half ends, Bodø/Glimt 3, Rigas FS 0.",2024-07-24 11:52:09
12665,715880,8,-1,45',"Second Half begins Bodø/Glimt 3, Rigas FS 0.",2024-07-24 11:52:09
12665,715880,9,43439244,63',"Substitution, Rigas FS. Darko Lemajic replaces Martins Kigurs.",2024-07-24 11:52:09
12665,715880,10,43439245,67',"Substitution, Bodø/Glimt. Isak Määttä replaces Brice Wembangomo.",2024-07-24 11:52:09
12665,715880,11,43439246,67',"Substitution, Bodø/Glimt. Sondre Fet replaces Håkon Evjen.",2024-07-24 11:52:09
12665,715880,12,43439251,76',"Goal! Bodø/Glimt 4, Rigas FS 0. August Mikkelsen (Bodø/Glimt) right footed shot from the centre of the box to the high centre of the goal. Assisted by Ulrik Saltnes.",2024-07-24 11:52:09
12665,715880,13,43439253,80',"Substitution, Bodø/Glimt. Adam Sørensen replaces Fredrik Bjørkan.",2024-07-24 11:52:09
12665,715880,14,43439252,80',"Substitution, Bodø/Glimt. Andreas Helmersen replaces Oscar Kapskarmo.",2024-07-24 11:52:09
12665,715880,15,43439254,81',"Substitution, Rigas FS. Luka Silagadze replaces Adam Markhiev.",2024-07-24 11:52:09
12665,715880,16,43439255,84',"Substitution, Bodø/Glimt. Jens Petter Hauge replaces August Mikkelsen.",2024-07-24 11:52:09
12665,715880,17,-1,90'+4',"Second Half ends, Bodø/Glimt 4, Rigas FS 0.",2024-07-24 11:52:09
12665,715880,18,-1,,"Match ends, Bodø/Glimt 4, Rigas FS 0.",2024-07-24 11:52:09
12665,715881,0,-1,,Lineups are announced and players are warming up.,2024-08-01 09:12:17
12665,715881,1,-1,,First Half begins.,2024-08-01 09:12:17
12665,715881,2,43479085,14',"Goal! Rigas FS 1, Bodø/Glimt 0. Janis Ikaunieks (Rigas FS) right footed shot from the centre of the box to the centre of the goal. Assisted by Ismaël Diomandé.",2024-08-01 09:12:17
12665,715881,3,43479237,39',Fabrice Ondoa (Rigas FS) is shown the yellow card for a bad foul.,2024-08-01 09:12:17
12665,715881,4,43479247,40',"Goal! Rigas FS 1, Bodø/Glimt 1. Jens Petter Hauge (Bodø/Glimt) converts the penalty with a right footed shot to the centre of the goal.",2024-08-01 09:12:17
12665,715881,5,-1,45'+1',"First Half ends, Rigas FS 1, Bodø/Glimt 1.",2024-08-01 09:12:17
12665,715881,6,-1,45',"Second Half begins Rigas FS 1, Bodø/Glimt 1.",2024-08-01 09:12:17
12665,715881,7,43479387,45',"Substitution, Bodø/Glimt. Isak Määttä replaces August Mikkelsen.",2024-08-01 09:12:17
12665,715881,8,43479386,45',"Substitution, Bodø/Glimt. Kasper Høgh replaces Oscar Kapskarmo.",2024-08-01 09:12:17
