seasonType,eventId,commentaryOrder,playId,clockDisplayValue,commentaryText,updateDateTime
12525,702011,0,43467070,41',Iker Bravo (Spain U19) Goal at 41',2024-07-29 12:05:03
12525,702011,1,43467522,62',Steve Ngoura (France U19) Substitution at 62',2024-07-29 12:05:03
12525,702011,2,43467523,62',Lucas Michel (France U19) Substitution at 62',2024-07-29 12:05:03
12525,702011,3,43467524,62',Senny Mayulu (France U19) Substitution at 62',2024-07-29 12:05:03
12525,702011,4,43467619,68',Assane Diao (Spain U19) Substitution at 68',2024-07-29 12:05:03
12525,702011,5,43467620,68',Jérémy Jacquet (France U19) Own Goal at 68',2024-07-29 12:05:03
12525,702011,6,43467710,73',Mathis Amougou (France U19) Substitution at 73',2024-07-29 12:05:03
12525,702011,7,43467762,76',Yoni Gomis (France U19) Red Card at 76',2024-07-29 12:05:03
12525,702011,8,43467853,81',Mamadou Sarr (France U19) Substitution at 81',2024-07-29 12:05:03
12525,702011,9,43467854,81',Yanis Senhadji (Spain U19) Substitution at 81',2024-07-29 12:05:03
12525,702011,10,43467855,81',Jesús Rodriguez (Spain U19) Substitution at 81',2024-07-29 12:05:03
12524,702010,0,43449522,15',Rasmus Holten (Norway U19) Goal at 15',2024-07-26 11:46:59
12524,702010,1,43449600,39',Emre Uzun (Turkey U19) Yellow Card at 39',2024-07-26 11:46:59
12524,702010,2,43449754,45',Ali Bülbül (Turkey U19) Substitution at 45',2024-07-26 11:46:59
12524,702010,3,43449755,45',Berkay Yilmaz (Turkey U19) Substitution at 45',2024-07-26 11:46:59
12524,702010,4,43449756,45',Emirhan Demircan (Turkey U19) Substitution at 45',2024-07-26 11:46:59
12524,702010,5,43449806,53',Eivind Helland (Norway U19) Yellow Card at 53',2024-07-26 11:46:59
12524,702010,6,43449841,61',Mats Pedersen (Norway U19) Substitution at 61',2024-07-26 11:46:59
12524,702010,7,43449901,70',Bork Bang-Kittilsen (Norway U19) Substitution at 70',2024-07-26 11:46:59
