seasonType,eventId,commentaryOrder,playId,clockDisplayValue,commentaryText,updateDateTime
12898,720609,0,-1,,Lineups are announced and players are warming up.,2024-10-04 05:37:14
12898,720609,1,43903541,,First Half begins.,2024-10-04 05:37:14
12898,720609,2,43903545,2',Foul by Mamadou Sangaré (Rapid Vienna).,2024-10-04 05:37:14
12898,720609,3,43903545,2',Serdar Gürler (Istanbul Basaksehir) wins a free kick on the left wing.,2024-10-04 05:37:14
12898,720609,4,43903548,3',Attempt saved. João Figueiredo (Istanbul Basaksehir) header from the centre of the box is saved in the top left corner. Assisted by Serdar Gürler with a cross.,2024-10-04 05:37:14
12898,720609,5,43903550,4',"Offside, Istanbul Basaksehir. Krzysztof Piatek is caught offside.",2024-10-04 05:37:14
12898,720609,6,43903554,5',Serdar Gürler (Istanbul Basaksehir) hits the bar with a right footed shot from outside the box. Assisted by Miguel Crespo following a fast break.,2024-10-04 05:37:14
12898,720609,7,43903566,9',Attempt blocked. Deniz Türüç (Istanbul Basaksehir) left footed shot from the right side of the box is blocked. Assisted by Berat Özdemir.,2024-10-04 05:37:14
12898,720609,8,43903568,9',"Corner, Istanbul Basaksehir. Conceded by Serge-Philippe Raux-Yao.",2024-10-04 05:37:14
12898,720609,9,43903569,9',Attempt missed. Olivier Kemen (Istanbul Basaksehir) right footed shot from the left side of the box misses to the left. Assisted by Deniz Türüç with a cross following a corner.,2024-10-04 05:37:14
12898,720609,10,43903580,11',Attempt blocked. João Figueiredo (Istanbul Basaksehir) left footed shot from outside the box is blocked. Assisted by Miguel Crespo.,2024-10-04 05:37:14
12898,720609,11,43903583,13',"Offside, Rapid Vienna. Guido Burgstaller is caught offside.",2024-10-04 05:37:14
12898,720609,12,43903592,16',Foul by Bendegúz Bolla (Rapid Vienna).,2024-10-04 05:37:14
12898,720609,13,43903592,16',Olivier Kemen (Istanbul Basaksehir) wins a free kick on the left wing.,2024-10-04 05:37:14
12898,720609,14,43903595,16',Foul by Jerome Opoku (Istanbul Basaksehir).,2024-10-04 05:37:14
12898,720609,15,43903595,16',Lukas Grgic (Rapid Vienna) wins a free kick in the defensive half.,2024-10-04 05:37:14
12898,720609,16,43903597,18',Foul by Dion Beljo (Rapid Vienna).,2024-10-04 05:37:14
12898,720609,17,43903597,18',Ousseynou Ba (Istanbul Basaksehir) wins a free kick in the defensive half.,2024-10-04 05:37:14
12898,720609,18,43903609,18',Attempt saved. Lukas Grgic (Rapid Vienna) left footed shot from the centre of the box is saved in the centre of the goal. Assisted by Dion Beljo.,2024-10-04 05:37:14
12898,720609,19,43903611,18',Deniz Türüç (Istanbul Basaksehir) wins a free kick in the defensive half.,2024-10-04 05:37:14
12898,720609,20,43903611,18',Foul by Lukas Grgic (Rapid Vienna).,2024-10-04 05:37:14
12898,720609,21,43903626,22',Attempt missed. Dion Beljo (Rapid Vienna) right footed shot from the centre of the box is high and wide to the right. Assisted by Matthias Seidl.,2024-10-04 05:37:14
12898,720609,22,43903631,23',"Corner, Rapid Vienna. Conceded by Ousseynou Ba.",2024-10-04 05:37:14
12898,720609,23,43903637,25',Attempt blocked. Olivier Kemen (Istanbul Basaksehir) right footed shot from outside the box is blocked. Assisted by Berat Özdemir.,2024-10-04 05:37:14
12898,720609,24,43903638,25',"Offside, Istanbul Basaksehir. Krzysztof Piatek is caught offside.",2024-10-04 05:37:14
12898,720609,25,43903640,26',"Corner, Rapid Vienna. Conceded by Ousseynou Ba.",2024-10-04 05:37:14
12898,720609,26,-1,29',"Corner, Rapid Vienna. Conceded by Serdar Gürler.",2024-10-04 05:37:14
12898,720609,27,43903648,30',"Offside, Istanbul Basaksehir. Krzysztof Piatek is caught offside.",2024-10-04 05:37:14
12898,720609,28,43903666,31',Foul by Olivier Kemen (Istanbul Basaksehir).,2024-10-04 05:37:14
12898,720609,29,43903666,31',Louis Schaub (Rapid Vienna) wins a free kick in the attacking half.,2024-10-04 05:37:14
12898,720609,30,43903671,36',Foul by Ousseynou Ba (Istanbul Basaksehir).,2024-10-04 05:37:14
12898,720609,31,43903671,36',Guido Burgstaller (Rapid Vienna) wins a free kick in the defensive half.,2024-10-04 05:37:14
12898,720609,32,43903686,37',Foul by Bendegúz Bolla (Rapid Vienna).,2024-10-04 05:37:14
12898,720609,33,43903686,37',João Figueiredo (Istanbul Basaksehir) wins a free kick on the left wing.,2024-10-04 05:37:14
12898,720609,34,43903689,38',Attempt blocked. Krzysztof Piatek (Istanbul Basaksehir) header from the centre of the box is blocked. Assisted by Deniz Türüç with a cross.,2024-10-04 05:37:14
12898,720609,35,43903691,38',Attempt missed. Olivier Kemen (Istanbul Basaksehir) header from the centre of the box misses to the right following a set piece situation.,2024-10-04 05:37:14
12898,720609,36,43903694,39',Attempt saved. Deniz Türüç (Istanbul Basaksehir) left footed shot from outside the box is saved in the centre of the goal. Assisted by Berat Özdemir.,2024-10-04 05:37:14
12898,720609,37,43903697,40',Foul by Serge-Philippe Raux-Yao (Rapid Vienna).,2024-10-04 05:37:14
12898,720609,38,43903697,40',Olivier Kemen (Istanbul Basaksehir) wins a free kick in the attacking half.,2024-10-04 05:37:14
12898,720609,39,43903698,41',Serge-Philippe Raux-Yao (Rapid Vienna) is shown the yellow card for a bad foul.,2024-10-04 05:37:14
12898,720609,40,43903704,42',"Attempt missed. João Figueiredo (Istanbul Basaksehir) header from the centre of the box is close, but misses to the right. Assisted by Deniz Türüç with a cross following a set piece situation.",2024-10-04 05:37:14
12898,720609,41,43903706,43',"Goal! Istanbul Basaksehir 0, Rapid Vienna 1. Louis Schaub (Rapid Vienna) left footed shot from the right side of the box to the bottom left corner. Assisted by Dion Beljo.",2024-10-04 05:37:14
12898,720609,42,-1,45',Fourth official has announced 3 minutes of added time.,2024-10-04 05:37:14
12898,720609,43,43903717,45'+2',"Goal! Istanbul Basaksehir 1, Rapid Vienna 1. Krzysztof Piatek (Istanbul Basaksehir) header from the centre of the box to the bottom left corner. Assisted by Serdar Gürler with a cross.",2024-10-04 05:37:14
