seasonType,eventId,commentaryOrder,playId,clockDisplayValue,commentaryText,updateDateTime
12524,702010,0,43449522,15',Rasmus Holten (Norway U19) Goal at 15',2024-07-26 11:46:59
12524,702010,1,43449600,39',Emre Uzun (Turkey U19) Yellow Card at 39',2024-07-26 11:46:59
12524,702010,2,43449754,45',Ali Bülbül (Turkey U19) Substitution at 45',2024-07-26 11:46:59
12524,702010,3,43449755,45',Berkay Yilmaz (Turkey U19) Substitution at 45',2024-07-26 11:46:59
12524,702010,4,43449756,45',Emirhan Demircan (Turkey U19) Substitution at 45',2024-07-26 11:46:59
12524,702010,5,43449806,53',Eivind Helland (Norway U19) Yellow Card at 53',2024-07-26 11:46:59
12524,702010,6,43449841,61',Mats Pedersen (Norway U19) Substitution at 61',2024-07-26 11:46:59
12524,702010,7,43449901,70',Bork Bang-Kittilsen (Norway U19) Substitution at 70',2024-07-26 11:46:59
12524,702010,8,43449941,77',Berkay Yilmaz (Turkey U19) Yellow Card at 77',2024-07-26 11:46:59
12524,702010,9,43449942,77',Isak Vural (Turkey U19) Substitution at 77',2024-07-26 11:46:59
12524,702010,10,43449960,80',Hakon Rosten (Norway U19) Substitution at 80',2024-07-26 11:46:59
12524,702010,11,43449961,81',Isak Vural (Turkey U19) Goal at 81',2024-07-26 11:46:59
12524,702010,12,43450023,86',Muhammed Arikan (Turkey U19) Yellow Card at 86',2024-07-26 11:46:59
12524,702010,13,43450359,105',Fahri Kerem Ay (Turkey U19) Substitution at 105',2024-07-26 11:46:59
12524,702010,14,43450497,120',Vetle Auklend (Norway U19) Substitution at 120',2024-07-26 11:46:59
12524,702010,15,43450498,120',Julian Gonstad (Norway U19) Substitution at 120',2024-07-26 11:46:59
12524,702010,16,43450552,120',Rasmus Holten (Norway U19) Yellow Card at 120',2024-07-26 11:46:59
12527,702012,0,-1,,Lineups are announced and players are warming up.,2024-07-16 06:18:53
12527,702012,1,43405709,,First Half begins.,2024-07-16 06:18:53
12527,702012,2,43405712,3',Foul by Joel Thompson (Northern Ireland U19).,2024-07-16 06:18:53
12527,702012,3,43405712,3',Hennadii Synchuk (Ukraine U19) wins a free kick on the right wing.,2024-07-16 06:18:53
12527,702012,4,-1,6',Delay in match because of an injury Conor Barr (Northern Ireland U19).,2024-07-16 06:18:53
12527,702012,5,-1,6',Delay in match because of an injury Mykola Oharkov (Ukraine U19).,2024-07-16 06:18:53
12527,702012,6,-1,7',Delay over. They are ready to continue.,2024-07-16 06:18:53
12527,702012,7,43405750,10',Foul by Mykola Oharkov (Ukraine U19).,2024-07-16 06:18:53
12527,702012,8,43405750,10',Kieran Morrison (Northern Ireland U19) wins a free kick on the right wing.,2024-07-16 06:18:53
12527,702012,9,43405763,12',Foul by Samuel Glenfield (Northern Ireland U19).,2024-07-16 06:18:53
12527,702012,10,43405763,12',Vladyslav Krapyvtsov (Ukraine U19) wins a free kick in the defensive half.,2024-07-16 06:18:53
12527,702012,11,43405759,13',Foul by Gallagher Lennon (Northern Ireland U19).,2024-07-16 06:18:53
12527,702012,12,43405759,13',Hennadii Synchuk (Ukraine U19) wins a free kick on the right wing.,2024-07-16 06:18:53
12527,702012,13,43405774,14',Attempt missed. Andrii Matkevych (Ukraine U19) left footed shot from the centre of the box misses to the left. Assisted by Hennadii Synchuk with a cross.,2024-07-16 06:18:53
12527,702012,14,-1,15',Delay in match because of an injury Hennadii Synchuk (Ukraine U19).,2024-07-16 06:18:53
12527,702012,15,-1,15',Delay over. They are ready to continue.,2024-07-16 06:18:53
12527,702012,16,43405782,18',Attempt blocked. Daniil Vashchenko (Ukraine U19) right footed shot from outside the box is blocked.,2024-07-16 06:18:53
12527,702012,17,43405788,21',Foul by Daniil Vashchenko (Ukraine U19).,2024-07-16 06:18:53
12527,702012,18,43405788,21',Samuel Glenfield (Northern Ireland U19) wins a free kick on the left wing.,2024-07-16 06:18:53
12527,702012,19,43405791,22',Attempt missed. Daithí McCallion (Northern Ireland U19) header from the right side of the box misses to the right. Assisted by Lewis Trickett with a cross following a set piece situation.,2024-07-16 06:18:53
12527,702012,20,43405794,24',Foul by Oleksii Husiev (Ukraine U19).,2024-07-16 06:18:53
12527,702012,21,43405794,24',Joel Thompson (Northern Ireland U19) wins a free kick in the defensive half.,2024-07-16 06:18:53
12527,702012,22,-1,24',Delay in match because of an injury Oleksii Husiev (Ukraine U19).,2024-07-16 06:18:53
12527,702012,23,-1,25',Delay over. They are ready to continue.,2024-07-16 06:18:53
12527,702012,24,43405796,25',Attempt saved. Ramik Hadzhiiev (Ukraine U19) left footed shot from outside the box is saved in the bottom right corner.,2024-07-16 06:18:53
12527,702012,25,43405799,26',Foul by Blaine McClure (Northern Ireland U19).,2024-07-16 06:18:53
12527,702012,26,43405799,26',Ramik Hadzhiiev (Ukraine U19) wins a free kick on the right wing.,2024-07-16 06:18:53
12527,702012,27,-1,27',"Corner, Ukraine U19. Conceded by Blaine McClure.",2024-07-16 06:18:53
12527,702012,28,43405806,29',Attempt blocked. Andrii Matkevych (Ukraine U19) right footed shot from outside the box is blocked. Assisted by Viktor Tsukanov.,2024-07-16 06:18:53
12527,702012,29,43405807,29',"Offside, Ukraine U19. Viktor Tsukanov is caught offside.",2024-07-16 06:18:53
12527,702012,30,43405812,30',Attempt saved. Dmytro Bohdanov (Ukraine U19) right footed shot from the right side of the box is saved in the bottom right corner. Assisted by Hennadii Synchuk.,2024-07-16 06:18:53
12527,702012,31,43405820,31',Andrii Matkevych (Ukraine U19) wins a free kick in the defensive half.,2024-07-16 06:18:53
12527,702012,32,43405820,31',Foul by Conor Barr (Northern Ireland U19).,2024-07-16 06:18:53
12527,702012,33,-1,32',"Corner, Ukraine U19. Conceded by Conor Barr.",2024-07-16 06:18:53
12527,702012,34,43405824,33',Dmytro Bohdanov (Ukraine U19) wins a free kick in the attacking half.,2024-07-16 06:18:53
12527,702012,35,43405824,33',Foul by Daithí McCallion (Northern Ireland U19).,2024-07-16 06:18:53
12527,702012,36,43405825,33',Daithí McCallion (Northern Ireland U19) is shown the yellow card for a bad foul.,2024-07-16 06:18:53
12527,702012,37,43405834,34',Attempt blocked. Andrii Matkevych (Ukraine U19) right footed shot from outside the box is blocked.,2024-07-16 06:18:53
12527,702012,38,43405835,34',Attempt blocked. Andrii Matkevych (Ukraine U19) right footed shot from outside the box is blocked.,2024-07-16 06:18:53
12527,702012,39,43405837,34',Attempt blocked. Taras Mykhavko (Ukraine U19) left footed shot from outside the box is blocked. Assisted by Andrii Matkevych.,2024-07-16 06:18:53
12527,702012,40,43405839,35',Daithí McCallion (Northern Ireland U19) wins a free kick in the defensive half.,2024-07-16 06:18:53
12527,702012,41,43405839,35',Foul by Daniil Vashchenko (Ukraine U19).,2024-07-16 06:18:53
12527,702012,42,43405848,37',Blaine McClure (Northern Ireland U19) wins a free kick in the attacking half.,2024-07-16 06:18:53
12527,702012,43,43405848,37',Foul by Ramik Hadzhiiev (Ukraine U19).,2024-07-16 06:18:53
12527,702012,44,43405859,38',"Attempt missed. Hennadii Synchuk (Ukraine U19) left footed shot from the centre of the box is close, but misses to the right. Assisted by Ramik Hadzhiiev.",2024-07-16 06:18:53
12527,702012,45,-1,40',Delay in match (Northern Ireland U19).,2024-07-16 06:18:53
12527,702012,46,-1,40',Delay over. They are ready to continue.,2024-07-16 06:18:53
12527,702012,47,43405874,40',Attempt blocked. Dmytro Bohdanov (Ukraine U19) left footed shot from the left side of the box is blocked. Assisted by Andrii Matkevych.,2024-07-16 06:18:53
12527,702012,48,43405875,40',"Corner, Ukraine U19. Conceded by Gallagher Lennon.",2024-07-16 06:18:53
12527,702012,49,43405880,41',Attempt blocked. Ramik Hadzhiiev (Ukraine U19) left footed shot from outside the box is blocked.,2024-07-16 06:18:53
12527,702012,50,43405889,43',Foul by Daniil Vashchenko (Ukraine U19).,2024-07-16 06:18:53
12527,702012,51,43405889,43',Samuel Glenfield (Northern Ireland U19) wins a free kick in the defensive half.,2024-07-16 06:18:53
12527,702012,52,43405908,45'+1',Attempt blocked. Kieran Morrison (Northern Ireland U19) left footed shot from the centre of the box is blocked. Assisted by Joel Thompson with a cross.,2024-07-16 06:18:53
12527,702012,53,43405909,45'+1',Hand ball by Dmytro Bohdanov (Ukraine U19).,2024-07-16 06:18:53
12527,702012,54,43405911,45'+2',Hand ball by Dmytro Bohdanov (Ukraine U19).,2024-07-16 06:18:53
12527,702012,55,43405918,45'+2',Attempt saved. Braiden Graham (Northern Ireland U19) right footed shot from the centre of the box is saved in the centre of the goal. Assisted by Conor Barr.,2024-07-16 06:18:53
12527,702012,56,43405914,45'+2',"Corner, Northern Ireland U19. Conceded by Vladyslav Krapyvtsov.",2024-07-16 06:18:53
12527,702012,57,43405921,45'+3',Attempt missed. Daithí McCallion (Northern Ireland U19) header from the left side of the six yard box is too high. Assisted by Kieran Morrison with a cross following a corner.,2024-07-16 06:18:53
12527,702012,58,43405923,45'+3',"First Half ends, Northern Ireland U19 0, Ukraine U19 0.",2024-07-16 06:18:53
12527,702012,59,-1,45',"Second Half begins Northern Ireland U19 0, Ukraine U19 0.",2024-07-16 06:18:53
12527,702012,60,43405946,45',"Substitution, Northern Ireland U19. George Goodman replaces Daithí McCallion.",2024-07-16 06:18:53
12527,702012,61,43405953,47',Attempt blocked. Hennadii Synchuk (Ukraine U19) left footed shot from outside the box is blocked. Assisted by Oleksii Husiev.,2024-07-16 06:18:53
12527,702012,62,43405954,47',Foul by Oleksii Husiev (Ukraine U19).,2024-07-16 06:18:53
12527,702012,63,43405954,47',Samuel Glenfield (Northern Ireland U19) wins a free kick on the left wing.,2024-07-16 06:18:53
12527,702012,64,43405958,48',Attempt missed. Daniil Vashchenko (Ukraine U19) right footed shot from outside the box is too high. Assisted by Hennadii Synchuk.,2024-07-16 06:18:53
12527,702012,65,43405960,49',Dmytro Bohdanov (Ukraine U19) wins a free kick in the attacking half.,2024-07-16 06:18:53
12527,702012,66,43405960,49',Foul by Josh Briggs (Northern Ireland U19).,2024-07-16 06:18:53
12527,702012,67,43405970,50',Foul by Andrii Matkevych (Ukraine U19).,2024-07-16 06:18:53
12527,702012,68,43405970,50',Lewis Trickett (Northern Ireland U19) wins a free kick in the defensive half.,2024-07-16 06:18:53
12527,702012,69,43405976,51',"Corner, Northern Ireland U19. Conceded by Maksym Melnychenko.",2024-07-16 06:18:53
12527,702012,70,43405994,55',Attempt saved. Andrii Matkevych (Ukraine U19) right footed shot from outside the box is saved in the bottom left corner. Assisted by Dmytro Bohdanov.,2024-07-16 06:18:53
12527,702012,71,43405996,57',"Offside, Ukraine U19. Andrii Matkevych is caught offside.",2024-07-16 06:18:53
12527,702012,72,43406005,58',Attempt blocked. Samuel Glenfield (Northern Ireland U19) right footed shot from outside the box is blocked. Assisted by Blaine McClure.,2024-07-16 06:18:53
12527,702012,73,43406012,59',Foul by Lewis Trickett (Northern Ireland U19).,2024-07-16 06:18:53
12527,702012,74,43406012,59',Viktor Tsukanov (Ukraine U19) wins a free kick on the left wing.,2024-07-16 06:18:53
12527,702012,75,43406013,60',Lewis Trickett (Northern Ireland U19) is shown the yellow card for a bad foul.,2024-07-16 06:18:53
12527,702012,76,43406016,61',Foul by Blaine McClure (Northern Ireland U19).,2024-07-16 06:18:53
12527,702012,77,43406016,61',Hennadii Synchuk (Ukraine U19) wins a free kick in the attacking half.,2024-07-16 06:18:53
