seasonType,eventId,commentaryOrder,playId,clockDisplayValue,commentaryText,updateDateTime
12659,705106,0,-1,,Lineups are announced and players are warming up.,2024-07-12 04:32:18
12659,705106,1,-1,,First Half begins.,2024-07-12 04:32:18
12659,705106,2,43391241,9',"Goal!  Elfsborg 1, Pafos 0. Besfort Zeneli (Elfsborg) right footed shot from the centre of the box to the high centre of the goal.",2024-07-12 04:32:18
12659,705106,3,43391261,12',Timothy Ouma (Elfsborg) is shown the yellow card for a bad foul.,2024-07-12 04:32:18
12659,705106,4,43391301,26',Matías Melluso (Pafos) is shown the yellow card for a bad foul.,2024-07-12 04:32:18
12659,705106,5,43391346,38',Jairo (Pafos) is shown the yellow card for a bad foul.,2024-07-12 04:32:18
12659,705106,6,-1,45'+3',"First Half ends, Elfsborg 1, Pafos 0.",2024-07-12 04:32:18
12659,705106,7,-1,45',"Second Half begins Elfsborg 1, Pafos 0.",2024-07-12 04:32:18
12659,705106,8,43391454,45',"Substitution, Pafos. Onni Valakari replaces Moustapha Name.",2024-07-12 04:32:18
12659,705106,9,43391529,57',Second yellow card to Matías Melluso (Pafos) for a bad foul.,2024-07-12 04:32:18
12659,705106,10,43391547,59',"Goal!  Elfsborg 2, Pafos 0. Niklas Hult (Elfsborg) right footed shot from the centre of the box to the centre of the goal.",2024-07-12 04:32:18
12659,705106,11,43391544,59',"Penalty missed! Still  Elfsborg 1, Pafos 0. Arbër Zeneli (Elfsborg) hits the left post with a right footed shot.",2024-07-12 04:32:18
12659,705106,12,43391564,60',"Substitution, Pafos. Kostas Pileas replaces Muamer Tankovic.",2024-07-12 04:32:18
12659,705106,13,43391584,65',"Substitution, Elfsborg. Andri Baldursson replaces Timothy Ouma.",2024-07-12 04:32:18
12659,705106,14,43391585,65',"Substitution, Elfsborg. Per Frick replaces Ahmed Qasem.",2024-07-12 04:32:18
12659,705106,15,43391618,71',"Substitution, Elfsborg. Rami Kaib replaces Simon Hedlund.",2024-07-12 04:32:18
12659,705106,16,43391619,72',"Substitution, Elfsborg. Camil Jebara replaces Arbër Zeneli.",2024-07-12 04:32:18
12659,705106,17,43391672,79',"Substitution, Pafos. Jajá replaces Jairo.",2024-07-12 04:32:18
12659,705106,18,43391671,79',"Substitution, Pafos. Marios Ilia replaces João Correia.",2024-07-12 04:32:18
12659,705106,19,43391676,82',"Goal!  Elfsborg 3, Pafos 0. Per Frick (Elfsborg) right footed shot from the centre of the box to the centre of the goal. Assisted by Michael Baidoo.",2024-07-12 04:32:18
12659,705106,20,43391691,83',"Substitution, Elfsborg. Noah Söderberg replaces Besfort Zeneli.",2024-07-12 04:32:18
12659,705106,21,43391786,90'+5',Andri Baldursson (Elfsborg) is shown the yellow card for a bad foul.,2024-07-12 04:32:18
12659,705106,22,-1,90'+6',"Second Half ends, Elfsborg 3, Pafos 0.",2024-07-12 04:32:18
12659,705106,23,-1,,"Match ends, Elfsborg 3, Pafos 0.",2024-07-12 04:32:18
12659,705107,0,-1,,Lineups are announced and players are warming up.,2024-07-12 04:32:18
12659,705107,1,-1,,First Half begins.,2024-07-12 04:32:18
12659,705107,2,43391214,2',Bálint Szabó (Paks) wins a free kick on the left wing.,2024-07-12 04:32:18
12659,705107,3,43391214,2',Foul by Flavius Iacob (Corvinul Hunedoara).,2024-07-12 04:32:18
12659,705107,4,43391217,3',Attempt missed. József Windecker (Paks) header from the centre of the box is too high. Assisted by Balázs Balogh with a cross following a set piece situation.,2024-07-12 04:32:18
12659,705107,5,43391219,3',Denis Hrezdac (Corvinul Hunedoara) wins a free kick in the defensive half.,2024-07-12 04:32:18
12659,705107,6,43391219,3',Foul by Bálint Szabó (Paks).,2024-07-12 04:32:18
12659,705107,7,43391222,4',Foul by János Szabó (Paks).,2024-07-12 04:32:18
12659,705107,8,43391222,4',Marius Lupu (Corvinul Hunedoara) wins a free kick on the right wing.,2024-07-12 04:32:18
12659,705107,9,43391227,6',Foul by Ákos Kinyik (Paks).,2024-07-12 04:32:18
12659,705107,10,43391227,6',Sergiu Bus (Corvinul Hunedoara) wins a free kick in the attacking half.,2024-07-12 04:32:18
12659,705107,11,43391232,7',Attempt missed. Antonio Manolache (Corvinul Hunedoara) right footed shot from the left side of the box misses to the right following a set piece situation.,2024-07-12 04:32:18
12659,705107,12,43391233,7',Attempt missed. Flavius Iacob (Corvinul Hunedoara) left footed shot from outside the box misses to the left.,2024-07-12 04:32:18
12659,705107,13,43391245,8',Flavius Iacob (Corvinul Hunedoara) wins a free kick in the defensive half.,2024-07-12 04:32:18
12659,705107,14,43391245,8',Foul by Bálint Szabó (Paks).,2024-07-12 04:32:18
12659,705107,15,43391237,9',Attempt blocked. Daniel Pîrvulescu (Corvinul Hunedoara) right footed shot from the left side of the box is blocked.,2024-07-12 04:32:18
12659,705107,16,43391239,9',"Corner, Corvinul Hunedoara. Conceded by Ákos Kinyik.",2024-07-12 04:32:18
12659,705107,17,43391240,9',"Goal!  Paks 0, Corvinul Hunedoara 1. Sergiu Bus (Corvinul Hunedoara) right footed shot from the centre of the box to the bottom right corner    following a corner.",2024-07-12 04:32:18
12659,705107,18,43391249,11',Attempt saved. Flavius Iacob (Corvinul Hunedoara) right footed shot from the left side of the box is saved in the bottom left corner. Assisted by Sergiu Bus.,2024-07-12 04:32:18
12659,705107,19,43391262,14',Attempt missed. Attiila Osváth (Paks) right footed shot from the right side of the box misses to the left. Assisted by Bálint Szabó.,2024-07-12 04:32:18
12659,705107,20,43391269,14',Attempt blocked. József Windecker (Paks) right footed shot from the centre of the box is blocked. Assisted by Attiila Osváth.,2024-07-12 04:32:18
12659,705107,21,43391267,14',Attempt blocked. József Windecker (Paks) right footed shot from very close range is blocked.,2024-07-12 04:32:18
12659,705107,22,-1,14',Delay in match   (Paks).,2024-07-12 04:32:18
12659,705107,23,-1,15',Delay over. They are ready to continue.,2024-07-12 04:32:18
12659,705107,24,43391276,17',Alexandru Neacsa (Corvinul Hunedoara) wins a free kick in the defensive half.,2024-07-12 04:32:18
12659,705107,25,43391276,17',Foul by József Windecker (Paks).,2024-07-12 04:32:18
12659,705107,26,43391280,17',"Offside, Paks. Erik Silye is caught offside.",2024-07-12 04:32:18
12659,705107,27,43391285,20',"Offside, Paks. Norbert Könyves is caught offside.",2024-07-12 04:32:18
12659,705107,28,43391291,21',"Corner, Paks. Conceded by Flavius Iacob.",2024-07-12 04:32:18
12659,705107,29,43391293,22',Attiila Osváth (Paks) wins a free kick in the defensive half.,2024-07-12 04:32:18
12659,705107,30,43391293,22',Foul by Antonio Bradu (Corvinul Hunedoara).,2024-07-12 04:32:18
12659,705107,31,-1,23',Delay in match   (Paks).,2024-07-12 04:32:18
12659,705107,32,-1,24',Delay over. They are ready to continue.,2024-07-12 04:32:18
12659,705107,33,43391307,25',Foul by Denis Hrezdac (Corvinul Hunedoara).,2024-07-12 04:32:18
12659,705107,34,43391307,25',József Windecker (Paks) wins a free kick in the defensive half.,2024-07-12 04:32:18
12659,705107,35,43391312,28',Daniel Pîrvulescu (Corvinul Hunedoara) wins a free kick in the defensive half.,2024-07-12 04:32:18
12659,705107,36,43391312,28',Foul by Attiila Osváth (Paks).,2024-07-12 04:32:18
12659,705107,37,43391314,29',Attempt missed. Marius Lupu (Corvinul Hunedoara) right footed shot from the right side of the six yard box misses to the left. Assisted by Daniel Pîrvulescu.,2024-07-12 04:32:18
12659,705107,38,43391322,32',Foul by Ákos Kinyik (Paks).,2024-07-12 04:32:18
12659,705107,39,43391322,32',Sergiu Bus (Corvinul Hunedoara) wins a free kick in the defensive half.,2024-07-12 04:32:18
12659,705107,40,43391323,32',Ákos Kinyik (Paks) is shown the yellow card for a bad foul.,2024-07-12 04:32:18
12659,705107,41,43391330,35',Balázs Balogh (Paks) wins a free kick on the left wing.,2024-07-12 04:32:18
12659,705107,42,43391330,35',Foul by Roger Junio (Corvinul Hunedoara).,2024-07-12 04:32:18
12659,705107,43,43391345,38',"Corner, Paks. Conceded by Viorel Lica.",2024-07-12 04:32:18
12659,705107,44,43391349,39',Attempt missed. Norbert Könyves (Paks) right footed shot from the right side of the box misses to the left. Assisted by Bence Lenzsér following a fast break.,2024-07-12 04:32:18
12659,705107,45,43391352,40',Erik Silye (Paks) wins a free kick in the defensive half.,2024-07-12 04:32:18
12659,705107,46,43391352,40',Foul by Flavius Iacob (Corvinul Hunedoara).,2024-07-12 04:32:18
12659,705107,47,43391361,42',"Corner, Paks. Conceded by Viorel Lica.",2024-07-12 04:32:18
12659,705107,48,43391370,42',Attempt saved. József Windecker (Paks) header from the centre of the box is saved in the bottom right corner. Assisted by Balázs Balogh with a cross.,2024-07-12 04:32:18
12659,705107,49,43391399,43',Alexandru Neacsa (Corvinul Hunedoara) wins a free kick in the defensive half.,2024-07-12 04:32:18
12659,705107,50,43391399,43',Foul by Kristóf Papp (Paks).,2024-07-12 04:32:18
12659,705107,51,-1,43',Delay in match  because of an injury Alexandru Neacsa (Corvinul Hunedoara).,2024-07-12 04:32:18
12659,705107,52,-1,44',Delay over. They are ready to continue.,2024-07-12 04:32:18
12659,705107,53,43391391,45'+2',"Goal!  Paks 0, Corvinul Hunedoara 2. Marius Lupu (Corvinul Hunedoara) right footed shot from the centre of the box to the bottom left corner. Assisted by Daniel Pîrvulescu   following a fast break.",2024-07-12 04:32:18
12659,705107,54,43391421,45'+5',"First Half ends, Paks 0, Corvinul Hunedoara 2.",2024-07-12 04:32:18
12659,705107,55,43391471,45',"Second Half begins Paks 0, Corvinul Hunedoara 2.",2024-07-12 04:32:18
12659,705107,56,43391461,45',"Substitution, Paks. Barna Tóth replaces Erik Silye.",2024-07-12 04:32:18
12659,705107,57,43391462,45',"Substitution, Paks. Zsolt Haraszti replaces Balázs Balogh.",2024-07-12 04:32:18
12659,705107,58,43391475,46',Attempt saved. Sergiu Bus (Corvinul Hunedoara) right footed shot from the centre of the box is saved in the bottom right corner. Assisted by Daniel Pîrvulescu with a cross.,2024-07-12 04:32:18
12659,705107,59,43391488,47',Attempt blocked. Marius Lupu (Corvinul Hunedoara) left footed shot from the right side of the box is blocked. Assisted by Daniel Pîrvulescu.,2024-07-12 04:32:18
12659,705107,60,43391478,47',"Corner, Corvinul Hunedoara. Conceded by Ákos Kinyik.",2024-07-12 04:32:18
12659,705107,61,43391491,47',Attempt missed. Denis Hrezdac (Corvinul Hunedoara) header from the centre of the box misses to the right. Assisted by Daniel Pîrvulescu with a cross following a corner.,2024-07-12 04:32:18
12659,705107,62,43391492,47',Attempt missed. Daniel Pîrvulescu (Corvinul Hunedoara) right footed shot from outside the box is high and wide to the right. Assisted by Denis Hrezdac following a corner.,2024-07-12 04:32:18
12659,705107,63,43391512,51',Attempt missed. Bálint Szabó (Paks) right footed shot from outside the box misses to the right. Assisted by János Szabó.,2024-07-12 04:32:18
12659,705107,64,43391514,51',Foul by József Windecker (Paks).,2024-07-12 04:32:18
12659,705107,65,43391514,51',Sergiu Bus (Corvinul Hunedoara) wins a free kick on the left wing.,2024-07-12 04:32:18
12659,705107,66,43391542,55',Foul by Kristóf Papp (Paks).,2024-07-12 04:32:18
12659,705107,67,43391542,55',Roger Junio (Corvinul Hunedoara) wins a free kick in the defensive half.,2024-07-12 04:32:18
12659,705107,68,43391554,57',"Corner, Corvinul Hunedoara. Conceded by Attiila Osváth.",2024-07-12 04:32:18
12659,705107,69,43391566,58',"Attempt missed. Sergiu Bus (Corvinul Hunedoara) header from the centre of the box is close, but misses to the left. Assisted by Antonio Bradu with a cross following a corner.",2024-07-12 04:32:18
12659,705107,70,43391624,59',Daniel Pîrvulescu (Corvinul Hunedoara) wins a free kick in the defensive half.,2024-07-12 04:32:18
12659,705107,71,43391624,59',Foul by Norbert Könyves (Paks).,2024-07-12 04:32:18
12659,705107,72,43391579,60',Barna Tóth (Paks) wins a free kick in the defensive half.,2024-07-12 04:32:18
12659,705107,73,43391579,60',Foul by Daniel Pîrvulescu (Corvinul Hunedoara).,2024-07-12 04:32:18
12659,705107,74,43391589,62',"Substitution, Paks. Dániel Böde replaces Norbert Könyves.",2024-07-12 04:32:18
12659,705107,75,43391598,63',Attempt missed. Barna Tóth (Paks) header from the centre of the box is high and wide to the left. Assisted by János Szabó with a cross.,2024-07-12 04:32:18
12659,705107,76,-1,64',"Corner, Corvinul Hunedoara. Conceded by Ákos Kinyik.",2024-07-12 04:32:18
12659,705107,77,43391610,67',Attempt saved. Marius Lupu (Corvinul Hunedoara) right footed shot from long range on the right is saved in the bottom right corner. Assisted by Antonio Manolache.,2024-07-12 04:32:18
12659,705107,78,43391856,67',Flavius Iacob (Corvinul Hunedoara) wins a free kick in the defensive half.,2024-07-12 04:32:18
12659,705107,79,43391856,67',Foul by János Szabó (Paks).,2024-07-12 04:32:18
12659,705107,80,-1,67',Delay in match   (Paks).,2024-07-12 04:32:18
12659,705107,81,43391625,69',"Substitution, Paks. Bálint Vécsei replaces József Windecker.",2024-07-12 04:32:18
12659,705107,82,-1,69',Delay over. They are ready to continue.,2024-07-12 04:32:18
12659,705107,83,43391633,72',Foul by Bálint Vécsei (Paks).,2024-07-12 04:32:18
12659,705107,84,43391633,72',Sergiu Bus (Corvinul Hunedoara) wins a free kick in the defensive half.,2024-07-12 04:32:18
12659,705107,85,43391641,72',Bálint Vécsei (Paks) is shown the yellow card for a bad foul.,2024-07-12 04:32:18
12659,705107,86,43391659,75',Denis Hrezdac (Corvinul Hunedoara) wins a free kick in the defensive half.,2024-07-12 04:32:18
12659,705107,87,43391659,75',Foul by Bálint Szabó (Paks).,2024-07-12 04:32:18
12659,705107,88,-1,76',Delay in match  because of an injury Denis Hrezdac (Corvinul Hunedoara).,2024-07-12 04:32:18
12659,705107,89,-1,77',Delay over. They are ready to continue.,2024-07-12 04:32:18
12659,705107,90,43391673,77',VAR Decision: Card upgraded Bálint Szabó (Paks).,2024-07-12 04:32:18
12659,705107,91,43391682,78',Bálint Szabó (Paks) is shown the red card.,2024-07-12 04:32:18
12659,705107,92,43391683,78',"Substitution, Corvinul Hunedoara. Ionut Pop replaces Denis Hrezdac because of an injury.",2024-07-12 04:32:18
12659,705107,93,43391685,79',Alexandru Neacsa (Corvinul Hunedoara) wins a free kick in the defensive half.,2024-07-12 04:32:18
12659,705107,94,43391685,79',Foul by Kristóf Papp (Paks).,2024-07-12 04:32:18
12659,705107,95,-1,80',Attempt blocked. Barna Tóth (Paks) right footed shot from the centre of the box is blocked. Assisted by Dániel Böde with a headed pass.,2024-07-12 04:32:18
12659,705107,96,-1,80',Attempt blocked. Bence Lenzsér (Paks) right footed shot from outside the box is blocked.,2024-07-12 04:32:18
12659,705107,97,43391698,80',Attempt blocked. Bálint Vécsei (Paks) left footed shot from outside the box is blocked.,2024-07-12 04:32:18
12659,705107,98,43391699,81',"Substitution, Paks. Szabolcs Mezei replaces Barna Tóth.",2024-07-12 04:32:18
12659,705107,99,43391722,83',Foul by Sergiu Bus (Corvinul Hunedoara).,2024-07-12 04:32:18
12659,705107,100,43391722,83',Kristóf Papp (Paks) wins a free kick in the defensive half.,2024-07-12 04:32:18
12659,705107,101,43391739,85',"Substitution, Corvinul Hunedoara. Desley Ubbink replaces Daniel Pîrvulescu.",2024-07-12 04:32:18
12659,705107,102,43391741,85',Foul by Viorel Lica (Corvinul Hunedoara).,2024-07-12 04:32:18
12659,705107,103,43391741,85',Szabolcs Mezei (Paks) wins a free kick on the right wing.,2024-07-12 04:32:18
12659,705107,104,43391761,86',Alexandru Neacsa (Corvinul Hunedoara) is shown the yellow card.,2024-07-12 04:32:18
12659,705107,105,43391751,86',"Goal!  Paks 0, Corvinul Hunedoara 3. Marius Lupu (Corvinul Hunedoara) left footed shot from the centre of the box to the top right corner    following a fast break.",2024-07-12 04:32:18
12659,705107,106,43391762,88',Hand ball by Flavius Iacob (Corvinul Hunedoara).,2024-07-12 04:32:18
12659,705107,107,43391806,88',Attempt saved. Zsolt Haraszti (Paks) right footed shot from long range on the left is saved in the bottom left corner.,2024-07-12 04:32:18
12659,705107,108,43391804,89',Foul by Antonio Bradu (Corvinul Hunedoara).,2024-07-12 04:32:18
12659,705107,109,43391804,89',Zsolt Haraszti (Paks) wins a free kick in the defensive half.,2024-07-12 04:32:18
