seasonType,eventId,commentaryOrder,playId,clockDisplayValue,commentaryText,updateDateTime
12428,723586,0,-1,,Lineups are announced and players are warming up.,2024-11-24 16:00:45
12428,723586,1,44266820,,First Half begins.,2024-11-24 16:00:45
12428,723586,2,44267011,3',Attempt saved. Rosemonde Kouassi (Washington Spirit) left footed shot from a difficult angle on the left is saved in the centre of the goal. Assisted by Leicy Santos.,2024-11-28 06:10:04
12428,723586,3,44266855,4',Attempt blocked. Barbra Banda (Orlando Pride) right footed shot from outside the box is blocked.,2024-11-24 16:00:45
12428,723586,4,44266844,4',"Corner, Orlando Pride. Conceded by Paige Metayer.",2024-11-24 16:00:45
12428,723586,5,44266851,6',Foul by Barbra Banda (Orlando Pride).,2024-12-04 06:04:46
12428,723586,6,44266851,6',Hal Hershfelt (Washington Spirit) wins a free kick in the defensive half.,2024-12-04 06:04:46
12428,723586,7,44266865,7',Barbra Banda (Orlando Pride) wins a free kick on the left wing.,2024-12-04 06:04:46
12428,723586,8,44266865,7',Foul by Tara McKeown (Washington Spirit).,2024-12-04 06:04:46
12428,723586,9,-1,8',"Corner, Washington Spirit. Conceded by Kerry Abello.",2024-12-04 06:04:46
12428,723586,10,44266873,8',Attempt blocked. Casey Krueger (Washington Spirit) header from the centre of the box is blocked. Assisted by Makenna Morris with a cross.,2024-11-28 06:10:04
12428,723586,11,44266875,9',Foul by Barbra Banda (Orlando Pride).,2024-12-04 06:04:46
12428,723586,12,44266875,9',Tara McKeown (Washington Spirit) wins a free kick in the defensive half.,2024-12-04 06:04:46
12428,723586,13,44266884,10',Ally Watt (Orlando Pride) wins a free kick in the defensive half.,2024-12-04 06:04:46
12428,723586,14,44266884,10',Foul by Rosemonde Kouassi (Washington Spirit).,2024-12-04 06:04:46
12428,723586,15,-1,11',Delay in match because of an injury Cori Dyke (Orlando Pride).,2024-12-04 06:04:46
12428,723586,16,-1,13',Delay over. They are ready to continue.,2024-12-04 06:04:46
12428,723586,17,44266891,15',Attempt saved. Marta (Orlando Pride) left footed shot from the right side of the box is saved in the bottom right corner. Assisted by Barbra Banda.,2024-12-04 06:04:46
12428,723586,18,44266903,21',Foul by Adriana (Orlando Pride).,2024-12-04 06:04:46
12428,723586,19,44266903,21',Paige Metayer (Washington Spirit) wins a free kick on the right wing.,2024-12-04 06:04:46
12428,723586,20,44266927,21',Attempt blocked. Leicy Santos (Washington Spirit) right footed shot from outside the box is blocked.,2024-12-04 06:04:46
12428,723586,21,44266919,24',Ally Watt (Orlando Pride) wins a free kick in the defensive half.,2024-12-04 06:04:46
12428,723586,22,44266919,24',Foul by Leicy Santos (Washington Spirit).,2024-12-04 06:04:46
12428,723586,23,44266931,27',Foul by Kerry Abello (Orlando Pride).,2024-12-04 06:04:46
12428,723586,24,44266931,27',Trinity Rodman (Washington Spirit) wins a free kick in the attacking half.,2024-12-04 06:04:46
12428,723586,25,44266933,28',Barbra Banda (Orlando Pride) wins a free kick in the attacking half.,2024-12-04 06:04:46
12428,723586,26,44266933,28',Foul by Rosemonde Kouassi (Washington Spirit).,2024-12-04 06:04:46
12428,723586,27,44266937,28',Rosemonde Kouassi (Washington Spirit) is shown the yellow card for a bad foul.,2024-12-04 06:04:46
12428,723586,28,44266995,31',Foul by Kerry Abello (Orlando Pride).,2024-12-04 06:04:46
12428,723586,29,44266995,31',Trinity Rodman (Washington Spirit) wins a free kick in the defensive half.,2024-12-04 06:04:46
12428,723586,30,44266946,31',Kerry Abello (Orlando Pride) is shown the yellow card for a bad foul.,2024-12-04 06:04:46
12428,723586,31,44266950,33',"Attempt missed. Rosemonde Kouassi (Washington Spirit) right footed shot from outside the box is close, but misses to the right. Assisted by Trinity Rodman.",2024-12-04 06:04:46
12428,723586,32,44266964,37',"Goal! Orlando Pride 1, Washington Spirit 0. Barbra Banda (Orlando Pride) left footed shot from the right side of the box to the bottom right corner. Assisted by Angelina.",2024-12-04 06:04:46
12428,723586,33,44266972,39',Foul by Trinity Rodman (Washington Spirit).,2024-12-04 06:04:46
12428,723586,34,44266972,39',Marta (Orlando Pride) wins a free kick on the left wing.,2024-12-04 06:04:46
12428,723586,35,44266976,40',Casey Krueger (Washington Spirit) wins a free kick in the defensive half.,2024-12-04 06:04:46
12428,723586,36,44266976,40',Foul by Ally Watt (Orlando Pride).,2024-12-04 06:04:46
12428,723586,37,44266979,41',Attempt missed. Trinity Rodman (Washington Spirit) header from the centre of the box is high and wide to the right. Assisted by Casey Krueger with a cross.,2024-12-04 06:04:46
12428,723586,38,44266982,42',Angelina (Orlando Pride) wins a free kick in the attacking half.,2024-12-04 06:04:46
12428,723586,39,44266982,42',Foul by Hal Hershfelt (Washington Spirit).,2024-12-04 06:04:46
12428,723586,40,44266985,42',Hal Hershfelt (Washington Spirit) is shown the yellow card for a bad foul.,2024-12-04 06:04:46
12428,723586,41,44266989,43',Attempt saved. Marta (Orlando Pride) right footed shot from a difficult angle on the right is saved in the centre of the goal. Assisted by Cori Dyke.,2024-12-04 06:04:46
12428,723586,42,44266987,43',"Corner, Orlando Pride. Conceded by Aubrey Kingsbury.",2024-12-04 06:04:46
12428,723586,43,44266991,44',Aubrey Kingsbury (Washington Spirit) wins a free kick in the defensive half.,2024-12-04 06:04:46
12428,723586,44,44266991,44',Foul by Ally Watt (Orlando Pride).,2024-12-04 06:04:46
12428,723586,45,44266998,45',"Corner, Washington Spirit. Conceded by Kylie Strom.",2024-12-04 06:04:46
12428,723586,46,44267005,45',Ashley Hatch (Washington Spirit) hits the right post with a header from the centre of the box. Assisted by Makenna Morris with a cross following a corner.,2024-12-04 06:04:46
12428,723586,47,44267006,45',Attempt missed. Tara McKeown (Washington Spirit) right footed shot from very close range is too high following a corner.,2024-12-04 06:04:46
12428,723586,48,-1,45',Fourth official has announced 5 minutes of added time.,2024-12-04 06:04:46
12428,723586,49,44267008,45'+1',Attempt missed. Trinity Rodman (Washington Spirit) right footed shot from outside the box is high and wide to the right. Assisted by Tara McKeown with a headed pass.,2024-12-04 06:04:46
