seasonType,eventId,commentaryOrder,playId,clockDisplayValue,commentaryText,updateDateTime
12476,715041,0,-1,,Lineups are announced and players are warming up.,2024-08-29 05:45:04
12476,715041,1,43640363,,First Half begins.,2024-08-29 05:45:04
12476,715041,2,43640392,1',Erik Thommy (Sporting Kansas City) wins a free kick in the attacking half.,2024-08-29 05:45:04
12476,715041,3,43640392,1',Foul by Callum Chapman-Page (Indy Eleven).,2024-08-29 05:45:04
12476,715041,4,43640365,1',Foul by Aedan Stanley (Indy Eleven).,2024-08-29 05:45:04
12476,715041,5,43640365,1',Johnny Russell (Sporting Kansas City) wins a free kick on the right wing.,2024-08-29 05:45:04
12476,715041,6,43640369,3',"Corner, Sporting Kansas City. Conceded by Ben Ofeimu.",2024-08-29 05:45:04
12476,715041,7,43640370,4',"Offside, Indy Eleven. Douglas Martínez is caught offside.",2024-08-29 05:45:04
12476,715041,8,43640376,8',Augustine Williams (Indy Eleven) wins a free kick on the left wing.,2024-08-29 05:45:04
12476,715041,9,43640376,8',Foul by Dany Rosero (Sporting Kansas City).,2024-08-29 05:45:04
12476,715041,10,43640384,11',Erik Thommy (Sporting Kansas City) hits the bar with a right footed shot from outside the box. Assisted by Alan Pulido.,2024-08-29 05:45:04
12476,715041,11,43640381,14',"Goal! Sporting Kansas City 1, Indy Eleven 0. Johnny Russell (Sporting Kansas City) left footed shot from outside the box to the bottom left corner. Assisted by Jake Davis.",2024-08-29 05:45:04
12476,715041,12,-1,16',Delay in match because of an injury Callum Chapman-Page (Indy Eleven).,2024-08-29 05:45:04
12476,715041,13,-1,17',Delay over. They are ready to continue.,2024-08-29 05:45:04
12476,715041,14,43640393,17',"Substitution, Indy Eleven. James Musa replaces Callum Chapman-Page because of an injury.",2024-08-29 05:45:04
12476,715041,15,43640395,19',Foul by Aodhan Quinn (Indy Eleven).,2024-08-29 05:45:04
12476,715041,16,43640395,19',Rémi Walter (Sporting Kansas City) wins a free kick in the attacking half.,2024-08-29 05:45:04
12476,715041,17,43640396,19',Aodhan Quinn (Indy Eleven) is shown the yellow card for a bad foul.,2024-08-29 05:45:04
12476,715041,18,43640397,21',Erik Thommy (Sporting Kansas City) hits the left post with a right footed shot from outside the box from a direct free kick.,2024-08-29 05:45:04
