seasonType,eventId,keyEventOrder,playId,keyEventTypeId,period,clockValue,clockDisplayValue,scoringPlay,shootout,keyEventText,keyEventShortText,teamId,goalPositionX,goalPositionY,fieldPositionX,fieldPositionY,fieldPosition2X,fieldPosition2Y,participantOrder,athleteId,updateDateTime
12388,723265,1,44206845,76,2,2700,45',0,0,Jonathan Benítez (Talleres) Substitution at 45',Jonathan Benítez Substitution,10161,0.0,0.0,0.0,0.0,0.0,0.0,1,134247.0,2024-11-14 06:20:51
12388,723265,1,44206845,76,2,2700,45',0,0,Jonathan Benítez (Talleres) Substitution at 45',Jonathan Benítez Substitution,10161,0.0,0.0,0.0,0.0,0.0,0.0,2,206622.0,2024-11-14 06:20:51
12388,723265,2,44206865,94,2,3000,50',0,0,Matias Pardo (Atletico Rafaela) Yellow Card at 50',Matias Pardo Yellow Card,9747,0.0,0.0,0.0,0.0,0.0,0.0,1,141788.0,2024-11-14 06:20:51
12388,723265,3,44206873,70,2,3180,53',1,0,Fernando Duré (Talleres) Goal at 53',Fernando Duré Goal,10161,0.0,0.0,0.0,0.0,0.0,0.0,1,378753.0,2024-11-14 06:20:51
12388,723265,5,44206893,76,2,3300,55',0,0,Lucas Albertengo (Atletico Rafaela) Substitution at 55',Lucas Albertengo Substitution,9747,0.0,0.0,0.0,0.0,0.0,0.0,1,172403.0,2024-11-14 06:20:51
12388,723265,4,44206892,76,2,3300,55',0,0,Patricio Vidal (Atletico Rafaela) Substitution at 55',Patricio Vidal Substitution,9747,0.0,0.0,0.0,0.0,0.0,0.0,1,144269.0,2024-11-14 06:20:51
12388,723265,5,44206893,76,2,3300,55',0,0,Lucas Albertengo (Atletico Rafaela) Substitution at 55',Lucas Albertengo Substitution,9747,0.0,0.0,0.0,0.0,0.0,0.0,2,140427.0,2024-11-14 06:20:51
12388,723265,4,44206892,76,2,3300,55',0,0,Patricio Vidal (Atletico Rafaela) Substitution at 55',Patricio Vidal Substitution,9747,0.0,0.0,0.0,0.0,0.0,0.0,2,293356.0,2024-11-14 06:20:51
12388,723265,6,44206894,94,2,3420,57',0,0,Fernando Enrique (Talleres) Yellow Card at 57',Fernando Enrique Yellow Card,10161,0.0,0.0,0.0,0.0,0.0,0.0,1,145091.0,2024-11-14 06:20:51
12388,723265,7,44206909,76,2,3480,58',0,0,Matías Valdivia (Atletico Rafaela) Substitution at 58',Matías Valdivia Substitution,9747,0.0,0.0,0.0,0.0,0.0,0.0,1,263079.0,2024-11-14 06:20:51
12388,723265,7,44206909,76,2,3480,58',0,0,Matías Valdivia (Atletico Rafaela) Substitution at 58',Matías Valdivia Substitution,9747,0.0,0.0,0.0,0.0,0.0,0.0,2,157570.0,2024-11-14 06:20:51
12388,723265,8,44206925,94,2,3900,65',0,0,Nicolás Molina (Talleres) Yellow Card at 65',Nicolás Molina Yellow Card,10161,0.0,0.0,0.0,0.0,0.0,0.0,1,188381.0,2024-11-14 06:20:51
12388,723265,9,44206956,76,2,4260,71',0,0,Jeremías Denis (Talleres) Substitution at 71',Jeremías Denis Substitution,10161,0.0,0.0,0.0,0.0,0.0,0.0,1,312588.0,2024-11-14 06:20:51
12388,723265,9,44206956,76,2,4260,71',0,0,Jeremías Denis (Talleres) Substitution at 71',Jeremías Denis Substitution,10161,0.0,0.0,0.0,0.0,0.0,0.0,2,188381.0,2024-11-14 06:20:51
12388,723265,10,44206957,94,2,4320,72',0,0,Franco Pulicastro (Talleres) Yellow Card at 72',Franco Pulicastro Yellow Card,10161,0.0,0.0,0.0,0.0,0.0,0.0,1,292931.0,2024-11-14 06:20:51
12388,723265,11,44206961,94,2,4380,73',0,0,Kevin Jappert (Atletico Rafaela) Yellow Card at 73',Kevin Jappert Yellow Card,9747,0.0,0.0,0.0,0.0,0.0,0.0,1,341509.0,2024-11-14 06:20:51
12388,723265,12,44206995,70,2,4680,78',1,0,Matias Pardo (Atletico Rafaela) Goal at 78',Matias Pardo Goal,9747,0.0,0.0,0.0,0.0,0.0,0.0,1,141788.0,2024-11-14 06:20:51
12388,723265,13,44207000,94,2,4800,80',0,0,Fernando Duré (Talleres) Yellow Card at 80',Fernando Duré Yellow Card,10161,0.0,0.0,0.0,0.0,0.0,0.0,1,378753.0,2024-11-14 06:20:51
12388,723265,14,44207001,94,2,4860,81',0,0,Juan Galeano (Atletico Rafaela) Yellow Card at 81',Juan Galeano Yellow Card,9747,0.0,0.0,0.0,0.0,0.0,0.0,1,152713.0,2024-11-14 06:20:51
12388,723265,15,44207037,94,2,5220,87',0,0,Nicolás Malvacio (Talleres) Yellow Card at 87',Nicolás Malvacio Yellow Card,10161,0.0,0.0,0.0,0.0,0.0,0.0,1,318334.0,2024-11-14 06:20:51
12388,723265,17,44207084,76,3,5400,90',0,0,Matías Donato (Talleres) Substitution at 90',Matías Donato Substitution,10161,0.0,0.0,0.0,0.0,0.0,0.0,1,283883.0,2024-11-14 06:20:51
12388,723265,16,44207071,94,2,5400,90'+3',0,0,Matías Valdivia (Atletico Rafaela) Yellow Card at 93',Matías Valdivia Yellow Card,9747,0.0,0.0,0.0,0.0,0.0,0.0,1,263079.0,2024-11-14 06:20:51
12388,723265,17,44207084,76,3,5400,90',0,0,Matías Donato (Talleres) Substitution at 90',Matías Donato Substitution,10161,0.0,0.0,0.0,0.0,0.0,0.0,2,265780.0,2024-11-14 06:20:51
12388,723265,18,44207085,70,3,5580,93',1,0,Franco Pulicastro (Talleres) Goal at 93',Franco Pulicastro Goal,10161,0.0,0.0,0.0,0.0,0.0,0.0,1,292931.0,2024-11-14 06:20:51
12388,723265,21,44207088,93,3,5880,98',0,0,Mauro Casoli (Talleres) Red Card at 98',Mauro Casoli Red Card,10161,0.0,0.0,0.0,0.0,0.0,0.0,1,318327.0,2024-11-14 06:20:51
12388,723265,19,44207086,76,3,5880,98',0,0,Valentín Luciani (Atletico Rafaela) Substitution at 98',Valentín Luciani Substitution,9747,0.0,0.0,0.0,0.0,0.0,0.0,1,362798.0,2024-11-14 06:20:51
12388,723265,20,44207087,76,3,5880,98',0,0,Valentino Gandín (Atletico Rafaela) Substitution at 98',Valentino Gandín Substitution,9747,0.0,0.0,0.0,0.0,0.0,0.0,1,395798.0,2024-11-14 06:20:51
12388,723265,20,44207087,76,3,5880,98',0,0,Valentino Gandín (Atletico Rafaela) Substitution at 98',Valentino Gandín Substitution,9747,0.0,0.0,0.0,0.0,0.0,0.0,2,152713.0,2024-11-14 06:20:51
12388,723265,19,44207086,76,3,5880,98',0,0,Valentín Luciani (Atletico Rafaela) Substitution at 98',Valentín Luciani Substitution,9747,0.0,0.0,0.0,0.0,0.0,0.0,2,315709.0,2024-11-14 06:20:51
