seasonType,eventId,keyEventOrder,playId,keyEventTypeId,period,clockValue,clockDisplayValue,scoringPlay,shootout,keyEventText,keyEventShortText,teamId,goalPositionX,goalPositionY,fieldPositionX,fieldPositionY,fieldPosition2X,fieldPosition2Y,participantOrder,athleteId,updateDateTime
12442,719840,1,43644385,80,1,0,,0,0,First Half begins.,,-1,0.0,0.0,0.0,0.0,0.0,0.0,,,2024-08-30 05:42:16
12442,719840,2,43644648,81,1,2700,45'+3',0,0,,,-1,0.0,0.0,0.0,0.0,0.0,0.0,,,2024-08-30 05:42:16
12442,719840,3,43644711,82,2,2700,45',0,0,,,-1,0.0,0.0,0.0,0.0,0.0,0.0,,,2024-08-30 05:42:16
12442,719840,4,43644742,137,2,2972,50',1,0,"Goal! Bahia 0, Flamengo 1. Bruno Henrique (Flamengo) header from the centre of the box to the centre of the goal. Assisted by Nicolás de la Cruz with a cross following a corner.",Bruno Henrique Goal - Header,819,0.0,0.0,0.174,0.482,0.0,0.483,1.0,398641.0,2024-08-30 05:42:16
12442,719840,4,43644742,137,2,2972,50',1,0,"Goal! Bahia 0, Flamengo 1. Bruno Henrique (Flamengo) header from the centre of the box to the centre of the goal. Assisted by Nicolás de la Cruz with a cross following a corner.",Bruno Henrique Goal - Header,819,0.0,0.0,0.174,0.482,0.0,0.483,1.0,379272.0,2024-08-30 05:42:16
12442,719840,4,43644742,137,2,2972,50',1,0,"Goal! Bahia 0, Flamengo 1. Bruno Henrique (Flamengo) header from the centre of the box to the centre of the goal. Assisted by Nicolás de la Cruz with a cross following a corner.",Bruno Henrique Goal - Header,819,0.0,0.0,0.174,0.482,0.0,0.483,1.0,201683.0,2024-08-30 05:42:16
12442,719840,4,43644742,137,2,2972,50',1,0,"Goal! Bahia 0, Flamengo 1. Bruno Henrique (Flamengo) header from the centre of the box to the centre of the goal. Assisted by Nicolás de la Cruz with a cross following a corner.",Bruno Henrique Goal - Header,819,0.0,0.0,0.174,0.482,0.0,0.483,1.0,188485.0,2024-08-30 05:42:16
12442,719840,4,43644742,137,2,2972,50',1,0,"Goal! Bahia 0, Flamengo 1. Bruno Henrique (Flamengo) header from the centre of the box to the centre of the goal. Assisted by Nicolás de la Cruz with a cross following a corner.",Bruno Henrique Goal - Header,819,0.0,0.0,0.174,0.482,0.0,0.483,2.0,251889.0,2024-08-30 05:42:16
12442,719840,5,43644860,76,2,3994,67',0,0,"Substitution, Bahia. Luciano Rodríguez replaces Everaldo.",Luciano Rodríguez Substitution,9967,0.0,0.0,0.0,0.0,0.0,0.0,1.0,118688.0,2024-08-30 05:42:16
12442,719840,5,43644860,76,2,3994,67',0,0,"Substitution, Bahia. Luciano Rodríguez replaces Everaldo.",Luciano Rodríguez Substitution,9967,0.0,0.0,0.0,0.0,0.0,0.0,2.0,359520.0,2024-08-30 05:42:16
12442,719840,5,43644860,76,2,3994,67',0,0,"Substitution, Bahia. Luciano Rodríguez replaces Everaldo.",Luciano Rodríguez Substitution,9967,0.0,0.0,0.0,0.0,0.0,0.0,2.0,167845.0,2024-08-30 05:42:16
