seasonType,eventId,keyEventOrder,playId,keyEventTypeId,period,clockValue,clockDisplayValue,scoringPlay,shootout,keyEventText,keyEventShortText,teamId,goalPositionX,goalPositionY,fieldPositionX,fieldPositionY,fieldPosition2X,fieldPosition2Y,participantOrder,athleteId,updateDateTime
12281,691171,1,42544197,80,1,0,,0,0,First Half begins.,,-1,0.0,0.0,0.0,0.0,0.0,0.0,,,2024-02-29 06:21:56
12281,691171,2,42544269,94,1,694,12',0,0,Jalmaro Calvin (Cavalier Sports Club) is shown the yellow card for a bad foul.,Jalmaro Calvin Yellow Card,18006,0.0,0.0,0.0,0.0,0.0,0.0,1.0,380731.0,2024-02-29 06:21:56
12281,691171,3,42544312,70,1,1114,19',1,0,"Goal!  FC Cincinnati 1, Cavalier Sports Club 0. Alvas Powell (FC Cincinnati) right footed shot from very close range to the bottom right corner. Assisted by Bret Halsey.",Alvas Powell Goal,18267,0.0,0.0,0.038,0.516,0.0,0.523,1.0,159296.0,2024-02-29 06:21:56
12281,691171,3,42544312,70,1,1114,19',1,0,"Goal!  FC Cincinnati 1, Cavalier Sports Club 0. Alvas Powell (FC Cincinnati) right footed shot from very close range to the bottom right corner. Assisted by Bret Halsey.",Alvas Powell Goal,18267,0.0,0.0,0.038,0.516,0.0,0.523,2.0,294215.0,2024-02-29 06:21:56
12281,691171,4,42544451,70,1,1999,34',1,0,"Goal!  FC Cincinnati 2, Cavalier Sports Club 0. Aaron Boupendza (FC Cincinnati) left footed shot from outside the box to the top right corner. Assisted by Gerardo Valenzuela.",Aaron-Salem Boupendza Goal,18267,0.0,0.0,0.45,0.607,0.0,0.529,1.0,260212.0,2024-02-29 06:21:56
12281,691171,4,42544451,70,1,1999,34',1,0,"Goal!  FC Cincinnati 2, Cavalier Sports Club 0. Aaron Boupendza (FC Cincinnati) left footed shot from outside the box to the top right corner. Assisted by Gerardo Valenzuela.",Aaron-Salem Boupendza Goal,18267,0.0,0.0,0.45,0.607,0.0,0.529,2.0,362895.0,2024-02-29 06:21:56
12281,691171,5,42544619,81,1,2700,45'+3',0,0,,,-1,0.0,0.0,0.0,0.0,0.0,0.0,,,2024-02-29 06:21:56
12281,691171,8,42544733,82,2,2700,45',0,0,,,-1,0.0,0.0,0.0,0.0,0.0,0.0,,,2024-02-29 06:21:56
12281,691171,9,42544756,76,2,2700,45',0,0,"Substitution, FC Cincinnati. Stiven Jimenez replaces Obinna Nwobodo.",Stiven Jimenez Substitution,18267,0.0,0.0,0.0,0.0,0.0,0.0,1.0,353751.0,2024-02-29 06:21:56
12281,691171,7,42544728,76,2,2700,45',0,0,"Substitution, FC Cincinnati. London Aghedo replaces Matt Miazga.",London Aghedo Substitution,18267,0.0,0.0,0.0,0.0,0.0,0.0,1.0,363194.0,2024-02-29 06:21:56
12281,691171,10,42544778,76,2,2700,45',0,0,"Substitution, Cavalier Sports Club. Kwayne Thompson replaces Gadial Irving.",Kwayne Thompson Substitution,18006,0.0,0.0,0.0,0.0,0.0,0.0,1.0,380743.0,2024-02-29 06:21:56
12281,691171,6,42544727,76,2,2700,45',0,0,"Substitution, FC Cincinnati. Isaiah Foster replaces Ian Murphy.",Isaiah Foster Substitution,18267,0.0,0.0,0.0,0.0,0.0,0.0,1.0,336999.0,2024-02-29 06:21:56
12281,691171,9,42544756,76,2,2700,45',0,0,"Substitution, FC Cincinnati. Stiven Jimenez replaces Obinna Nwobodo.",Stiven Jimenez Substitution,18267,0.0,0.0,0.0,0.0,0.0,0.0,2.0,275106.0,2024-02-29 06:21:56
12281,691171,10,42544778,76,2,2700,45',0,0,"Substitution, Cavalier Sports Club. Kwayne Thompson replaces Gadial Irving.",Kwayne Thompson Substitution,18006,0.0,0.0,0.0,0.0,0.0,0.0,2.0,380737.0,2024-02-29 06:21:56
12281,691171,7,42544728,76,2,2700,45',0,0,"Substitution, FC Cincinnati. London Aghedo replaces Matt Miazga.",London Aghedo Substitution,18267,0.0,0.0,0.0,0.0,0.0,0.0,2.0,187273.0,2024-02-29 06:21:56
12281,691171,6,42544727,76,2,2700,45',0,0,"Substitution, FC Cincinnati. Isaiah Foster replaces Ian Murphy.",Isaiah Foster Substitution,18267,0.0,0.0,0.0,0.0,0.0,0.0,2.0,296216.0,2024-02-29 06:21:56
