seasonType,eventId,keyEventOrder,playId,keyEventTypeId,period,clockValue,clockDisplayValue,scoringPlay,shootout,keyEventText,keyEventShortText,teamId,goalPositionX,goalPositionY,fieldPositionX,fieldPositionY,fieldPosition2X,fieldPosition2Y,participantOrder,athleteId,updateDateTime
12497,719874,1,43630296,80,1,0,,0,0,,,-1,0.0,0.0,0.0,0.0,0.0,0.0,,,2024-08-27 05:40:01
12497,719874,2,43630431,94,1,625,11',0,0,Rudy Camacho (Columbus Crew) is shown the yellow card for a bad foul.,Rudy Camacho Yellow Card,183,0.0,0.0,0.0,0.0,0.0,0.0,1.0,152660.0,2024-08-27 05:40:01
12497,719874,3,43630661,94,1,2155,36',0,0,Eduard Atuesta (Los Angeles Football Club) is shown the yellow card for a bad foul.,Eduard Atuesta Yellow Card,18966,0.0,0.0,0.0,0.0,0.0,0.0,1.0,241473.0,2024-08-27 05:40:01
12497,719874,4,43630738,137,1,2670,45',1,0,"Goal! Columbus Crew 1, Los Angeles Football Club 0. Cucho Hernández (Columbus Crew) header from very close range to the top right corner. Assisted by Mohamed Farsi following a corner.",Cucho Hernández Goal - Header,183,0.0,0.0,0.114,0.481,0.0,0.529,1.0,336809.0,2024-08-27 05:40:01
12497,719874,4,43630738,137,1,2670,45',1,0,"Goal! Columbus Crew 1, Los Angeles Football Club 0. Cucho Hernández (Columbus Crew) header from very close range to the top right corner. Assisted by Mohamed Farsi following a corner.",Cucho Hernández Goal - Header,183,0.0,0.0,0.114,0.481,0.0,0.529,2.0,317021.0,2024-08-27 05:40:01
12497,719874,7,43630921,82,2,2700,45',0,0,,,-1,0.0,0.0,0.0,0.0,0.0,0.0,,,2024-08-27 05:40:01
12497,719874,5,43630766,81,1,2700,45'+3',0,0,"First Half ends, Columbus Crew 1, Los Angeles Football Club 0.",,-1,0.0,0.0,0.0,0.0,0.0,0.0,,,2024-08-27 05:40:01
12497,719874,6,43630920,76,2,2700,45',0,0,"Substitution, Los Angeles Football Club. Lewis O'Brien replaces Eduard Atuesta.",Lewis O'Brien Substitution,18966,0.0,0.0,0.0,0.0,0.0,0.0,1.0,269288.0,2024-08-27 05:40:01
12497,719874,6,43630920,76,2,2700,45',0,0,"Substitution, Los Angeles Football Club. Lewis O'Brien replaces Eduard Atuesta.",Lewis O'Brien Substitution,18966,0.0,0.0,0.0,0.0,0.0,0.0,2.0,241473.0,2024-08-27 05:40:01
12497,719874,8,43631002,94,2,2932,49',0,0,Maxime Chanot (Los Angeles Football Club) is shown the yellow card for a bad foul.,Maxime Chanot Yellow Card,18966,0.0,0.0,0.0,0.0,0.0,0.0,1.0,127512.0,2024-08-27 05:40:01
12497,719874,9,43631027,76,2,3080,52',0,0,"Substitution, Los Angeles Football Club. Eddie Segura replaces Jesús Murillo because of an injury.",Eddie Segura Substitution,18966,0.0,0.0,0.0,0.0,0.0,0.0,1.0,199904.0,2024-08-27 05:40:01
12497,719874,9,43631027,76,2,3080,52',0,0,"Substitution, Los Angeles Football Club. Eddie Segura replaces Jesús Murillo because of an injury.",Eddie Segura Substitution,18966,0.0,0.0,0.0,0.0,0.0,0.0,2.0,197050.0,2024-08-27 05:40:01
12497,719874,10,43631067,137,2,3380,57',1,0,"Goal! Columbus Crew 1, Los Angeles Football Club 1. Olivier Giroud (Los Angeles Football Club) header from very close range to the bottom right corner. Assisted by Mateusz Bogusz with a cross following a corner.",Olivier Giroud Goal - Header,18966,0.0,0.0,0.142,0.544,0.0,0.537,1.0,88965.0,2024-08-30 05:42:16
12497,719874,10,43631067,137,2,3380,57',1,0,"Goal! Columbus Crew 1, Los Angeles Football Club 1. Olivier Giroud (Los Angeles Football Club) header from very close range to the bottom right corner. Assisted by Mateusz Bogusz with a cross following a corner.",Olivier Giroud Goal - Header,18966,0.0,0.0,0.142,0.544,0.0,0.537,2.0,287841.0,2024-08-30 05:42:16
12497,719874,11,43631139,76,2,3759,63',0,0,"Substitution, Los Angeles Football Club. Timothy Tillman replaces Ilie Sánchez.",Timothy Tillman Substitution,18966,0.0,0.0,0.0,0.0,0.0,0.0,1.0,231192.0,2024-08-27 05:40:01
12497,719874,11,43631139,76,2,3759,63',0,0,"Substitution, Los Angeles Football Club. Timothy Tillman replaces Ilie Sánchez.",Timothy Tillman Substitution,18966,0.0,0.0,0.0,0.0,0.0,0.0,2.0,150185.0,2024-08-27 05:40:01
12497,719874,12,43631140,76,2,3771,63',0,0,"Substitution, Los Angeles Football Club. Cristian Olivera replaces Mateusz Bogusz.",Cristian Olivera Substitution,18966,0.0,0.0,0.0,0.0,0.0,0.0,1.0,124439.0,2024-08-27 05:40:01
12497,719874,12,43631140,76,2,3771,63',0,0,"Substitution, Los Angeles Football Club. Cristian Olivera replaces Mateusz Bogusz.",Cristian Olivera Substitution,18966,0.0,0.0,0.0,0.0,0.0,0.0,2.0,287841.0,2024-08-27 05:40:01
12497,719874,13,43631213,76,2,4439,74',0,0,"Substitution, Columbus Crew. Jacen Russell-Rowe replaces Christian Ramirez.",Jacen Russell-Rowe Substitution,183,0.0,0.0,0.0,0.0,0.0,0.0,1.0,297121.0,2024-08-27 05:40:01
12497,719874,13,43631213,76,2,4439,74',0,0,"Substitution, Columbus Crew. Jacen Russell-Rowe replaces Christian Ramirez.",Jacen Russell-Rowe Substitution,183,0.0,0.0,0.0,0.0,0.0,0.0,2.0,216966.0,2024-08-27 05:40:01
12497,719874,13,43631213,76,2,4439,74',0,0,"Substitution, Columbus Crew. Jacen Russell-Rowe replaces Christian Ramirez.",Jacen Russell-Rowe Substitution,183,0.0,0.0,0.0,0.0,0.0,0.0,2.0,235061.0,2024-08-27 05:40:01
12497,719874,14,43631214,76,2,4453,75',0,0,"Substitution, Columbus Crew. Yevhen Cheberko replaces Rudy Camacho.",Yevhen Cheberko Substitution,183,0.0,0.0,0.0,0.0,0.0,0.0,1.0,264469.0,2024-08-27 05:40:01
12497,719874,14,43631214,76,2,4453,75',0,0,"Substitution, Columbus Crew. Yevhen Cheberko replaces Rudy Camacho.",Yevhen Cheberko Substitution,183,0.0,0.0,0.0,0.0,0.0,0.0,2.0,152660.0,2024-08-27 05:40:01
12497,719874,15,43631250,76,2,4650,78',0,0,"Substitution, Los Angeles Football Club. Kei Kamara replaces Olivier Giroud because of an injury.",Kei Kamara Substitution,18966,0.0,0.0,0.0,0.0,0.0,0.0,1.0,75574.0,2024-08-27 05:40:01
