seasonType,eventId,keyEventOrder,playId,keyEventTypeId,period,clockValue,clockDisplayValue,scoringPlay,shootout,keyEventText,keyEventShortText,teamId,goalPositionX,goalPositionY,fieldPositionX,fieldPositionY,fieldPosition2X,fieldPosition2Y,participantOrder,athleteId,updateDateTime
12713,707623,1,43513841,80,1,0,,0,0,,,-1,0.0,0.0,0.0,0.0,0.0,0.0,,,2024-08-10 09:35:51
12713,707623,2,43513926,94,1,641,11',0,0,Tom Barkhuizen (Derby County) is shown the yellow card for a bad foul.,Tom Barkhuizen Yellow Card,374,0.0,0.0,0.0,0.0,0.0,0.0,1.0,151701.0,2024-08-10 09:35:51
12713,707623,3,43514012,70,1,1130,19',1,0,"Goal! Blackburn Rovers 1, Derby County 0. Tyrhys Dolan (Blackburn Rovers) right footed shot from the centre of the box to the top right corner.",Tyrhys Dolan Goal,365,0.0,0.0,0.134,0.48,0.0,0.529,1.0,306520.0,2024-08-10 09:35:51
12713,707623,4,43514419,81,1,2700,45'+1',0,0,,,-1,0.0,0.0,0.0,0.0,0.0,0.0,,,2024-08-10 09:35:51
12713,707623,5,43514614,82,2,2700,45',0,0,"Second Half begins Blackburn Rovers 1, Derby County 0.",,-1,0.0,0.0,0.0,0.0,0.0,0.0,,,2024-08-10 09:35:51
12713,707623,6,43514788,76,2,3839,64',0,0,"Substitution, Blackburn Rovers. Andreas Weimann replaces Ryan Hedges.",Andreas Weimann Substitution,365,0.0,0.0,0.0,0.0,0.0,0.0,1.0,138905.0,2024-08-11 09:18:13
12713,707623,6,43514788,76,2,3839,64',0,0,"Substitution, Blackburn Rovers. Andreas Weimann replaces Ryan Hedges.",Andreas Weimann Substitution,365,0.0,0.0,0.0,0.0,0.0,0.0,2.0,192991.0,2024-08-11 09:18:13
12713,707623,7,43514789,76,2,3890,65',0,0,"Substitution, Blackburn Rovers. Sammie Szmodics replaces Joe Rankin-Costello.",Sammie Szmodics Substitution,365,0.0,0.0,0.0,0.0,0.0,0.0,1.0,223547.0,2024-08-10 09:35:51
12713,707623,7,43514789,76,2,3890,65',0,0,"Substitution, Blackburn Rovers. Sammie Szmodics replaces Joe Rankin-Costello.",Sammie Szmodics Substitution,365,0.0,0.0,0.0,0.0,0.0,0.0,2.0,243354.0,2024-08-10 09:35:51
12713,707623,8,43514790,76,2,3892,65',0,0,"Substitution, Blackburn Rovers. Yuki Ohashi replaces Makhtar Gueye.",Yuki Ohashi Substitution,365,0.0,0.0,0.0,0.0,0.0,0.0,1.0,283613.0,2024-08-10 09:35:51
12713,707623,8,43514790,76,2,3892,65',0,0,"Substitution, Blackburn Rovers. Yuki Ohashi replaces Makhtar Gueye.",Yuki Ohashi Substitution,365,0.0,0.0,0.0,0.0,0.0,0.0,2.0,277384.0,2024-08-10 09:35:51
12713,707623,9,43514791,76,2,3911,66',0,0,"Substitution, Derby County. James Collins replaces Tom Barkhuizen because of an injury.",James Collins Substitution,374,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5527.0,2024-08-11 09:18:13
12713,707623,9,43514791,76,2,3911,66',0,0,"Substitution, Derby County. James Collins replaces Tom Barkhuizen because of an injury.",James Collins Substitution,374,0.0,0.0,0.0,0.0,0.0,0.0,1.0,374784.0,2024-08-11 09:18:13
12713,707623,9,43514791,76,2,3911,66',0,0,"Substitution, Derby County. James Collins replaces Tom Barkhuizen because of an injury.",James Collins Substitution,374,0.0,0.0,0.0,0.0,0.0,0.0,1.0,368322.0,2024-08-11 09:18:13
12713,707623,9,43514791,76,2,3911,66',0,0,"Substitution, Derby County. James Collins replaces Tom Barkhuizen because of an injury.",James Collins Substitution,374,0.0,0.0,0.0,0.0,0.0,0.0,1.0,322604.0,2024-08-11 09:18:13
12713,707623,9,43514791,76,2,3911,66',0,0,"Substitution, Derby County. James Collins replaces Tom Barkhuizen because of an injury.",James Collins Substitution,374,0.0,0.0,0.0,0.0,0.0,0.0,1.0,303678.0,2024-08-11 09:18:13
12713,707623,9,43514791,76,2,3911,66',0,0,"Substitution, Derby County. James Collins replaces Tom Barkhuizen because of an injury.",James Collins Substitution,374,0.0,0.0,0.0,0.0,0.0,0.0,2.0,151701.0,2024-08-11 09:18:13
