seasonType,eventId,keyEventOrder,playId,keyEventTypeId,period,clockValue,clockDisplayValue,scoringPlay,shootout,keyEventText,keyEventShortText,teamId,goalPositionX,goalPositionY,fieldPositionX,fieldPositionY,fieldPosition2X,fieldPosition2Y,participantOrder,athleteId,updateDateTime
12488,699832,1,43512855,80,1,0,,0,0,First Half begins.,,-1,0.0,0.0,0.0,0.0,0.0,0.0,,,2024-08-10 09:35:51
12488,699832,2,43512887,70,1,657,11',1,0,"Goal! France U23 1, Spain U23 0. Enzo Millot (France U23) left footed shot from the right side of the box to the bottom left corner.",Enzo Millot Goal,20947,0.0,0.0,0.184,0.755,0.0,0.471,1.0,297158.0,2024-08-10 09:35:51
12488,699832,3,43512902,70,1,1031,18',1,0,"Goal! France U23 1, Spain U23 1. Fermín López (Spain U23) right footed shot from the centre of the box to the bottom left corner. Assisted by Álex Baena with a through ball.",Fermín López Goal,18220,0.0,0.0,0.25,0.538,0.0,0.474,1.0,354334.0,2024-08-11 09:18:13
12488,699832,3,43512902,70,1,1031,18',1,0,"Goal! France U23 1, Spain U23 1. Fermín López (Spain U23) right footed shot from the centre of the box to the bottom left corner. Assisted by Álex Baena with a through ball.",Fermín López Goal,18220,0.0,0.0,0.25,0.538,0.0,0.474,2.0,297373.0,2024-08-11 09:18:13
12488,699832,4,43512938,70,1,1471,25',1,0,"Goal! France U23 1, Spain U23 2. Fermín López (Spain U23) left footed shot from very close range to the centre of the goal.",Fermín López Goal,18220,0.0,0.0,0.046,0.515,0.0,0.517,1.0,354334.0,2024-08-11 09:18:13
12488,699832,5,43512947,138,1,1663,28',1,0,"Goal! France U23 1, Spain U23 3. Álex Baena (Spain U23) from a free kick with a right footed shot to the high centre of the goal.",Álex Baena Goal - Free-kick,18220,0.0,0.0,0.436,0.258,0.0,0.482,1.0,297373.0,2024-08-11 09:18:13
12488,699832,6,43512986,94,1,2148,36',0,0,Manu Koné (France U23) is shown the yellow card.,Manu Koné Yellow Card,20947,0.0,0.0,0.0,0.0,0.0,0.0,1.0,285226.0,2024-08-10 09:35:51
12488,699832,8,43513083,81,1,2700,45'+8',0,0,"First Half ends, France U23 1, Spain U23 3.",,-1,0.0,0.0,0.0,0.0,0.0,0.0,,,2024-08-10 09:35:51
12488,699832,9,43513114,82,2,2700,45',0,0,,,-1,0.0,0.0,0.0,0.0,0.0,0.0,,,2024-08-10 09:35:51
12488,699832,7,43513075,94,1,2700,45'+5',0,0,Loïc Badé (France U23) is shown the yellow card for a bad foul.,Loïc Badé Yellow Card,20947,0.0,0.0,0.0,0.0,0.0,0.0,1.0,300410.0,2024-08-10 09:35:51
12488,699832,10,43513149,76,2,3083,52',0,0,"Substitution, France U23. Maghnes Akliouche replaces Joris Chotard.",Maghnes Akliouche Substitution,20947,0.0,0.0,0.0,0.0,0.0,0.0,1.0,329690.0,2024-08-11 09:18:13
12488,699832,10,43513149,76,2,3083,52',0,0,"Substitution, France U23. Maghnes Akliouche replaces Joris Chotard.",Maghnes Akliouche Substitution,20947,0.0,0.0,0.0,0.0,0.0,0.0,2.0,291850.0,2024-08-11 09:18:13
12488,699832,11,43513150,76,2,3098,52',0,0,"Substitution, France U23. Arnaud Kalimuendo replaces Alexandre Lacazette.",Arnaud Kalimuendo Substitution,20947,0.0,0.0,0.0,0.0,0.0,0.0,1.0,296321.0,2024-08-10 09:35:51
12488,699832,11,43513150,76,2,3098,52',0,0,"Substitution, France U23. Arnaud Kalimuendo replaces Alexandre Lacazette.",Arnaud Kalimuendo Substitution,20947,0.0,0.0,0.0,0.0,0.0,0.0,2.0,131752.0,2024-08-10 09:35:51
12488,699832,12,43513275,76,2,4335,73',0,0,"Substitution, Spain U23. Juanlu Sánchez replaces Marc Pubill.",Juanlu Sanchez Substitution,18220,0.0,0.0,0.0,0.0,0.0,0.0,1.0,303804.0,2024-08-11 09:18:13
12488,699832,12,43513275,76,2,4335,73',0,0,"Substitution, Spain U23. Juanlu Sánchez replaces Marc Pubill.",Juanlu Sanchez Substitution,18220,0.0,0.0,0.0,0.0,0.0,0.0,2.0,332613.0,2024-08-11 09:18:13
12488,699832,13,43513274,76,2,4345,73',0,0,"Substitution, Spain U23. Adrián Bernabé replaces Fermín López.",Adrián Bernabé Substitution,18220,0.0,0.0,0.0,0.0,0.0,0.0,1.0,276653.0,2024-08-11 09:18:13
12488,699832,13,43513274,76,2,4345,73',0,0,"Substitution, Spain U23. Adrián Bernabé replaces Fermín López.",Adrián Bernabé Substitution,18220,0.0,0.0,0.0,0.0,0.0,0.0,2.0,354334.0,2024-08-11 09:18:13
12488,699832,14,43513283,94,2,4557,76',0,0,Adrián Bernabé (Spain U23) is shown the yellow card for a bad foul.,Adrián Bernabé Yellow Card,18220,0.0,0.0,0.0,0.0,0.0,0.0,1.0,276653.0,2024-08-10 09:35:51
12488,699832,15,43513296,76,2,4626,78',0,0,"Substitution, France U23. Désiré Doué replaces Enzo Millot.",Désiré Doué Substitution,20947,0.0,0.0,0.0,0.0,0.0,0.0,1.0,336388.0,2024-08-10 09:35:51
12488,699832,15,43513296,76,2,4626,78',0,0,"Substitution, France U23. Désiré Doué replaces Enzo Millot.",Désiré Doué Substitution,20947,0.0,0.0,0.0,0.0,0.0,0.0,2.0,297158.0,2024-08-10 09:35:51
12488,699832,16,43513299,94,2,4653,78',0,0,Álex Baena (Spain U23) is shown the yellow card for a bad foul.,Álex Baena Yellow Card,18220,0.0,0.0,0.0,0.0,0.0,0.0,1.0,297373.0,2024-08-10 09:35:51
12488,699832,17,43513301,70,2,4696,79',1,0,"Goal! France U23 2, Spain U23 3. Maghnes Akliouche (France U23) left footed shot from the centre of the box to the top left corner. Assisted by Michael Olise with a cross following a set piece situation.",Maghnes Akliouche Goal,20947,0.0,0.0,0.158,0.568,0.0,0.458,1.0,329690.0,2024-08-11 09:18:13
12488,699832,17,43513301,70,2,4696,79',1,0,"Goal! France U23 2, Spain U23 3. Maghnes Akliouche (France U23) left footed shot from the centre of the box to the top left corner. Assisted by Michael Olise with a cross following a set piece situation.",Maghnes Akliouche Goal,20947,0.0,0.0,0.158,0.568,0.0,0.458,2.0,286831.0,2024-08-11 09:18:13
12488,699832,18,43513318,76,2,4945,83',0,0,"Substitution, Spain U23. Beñat Turrientes replaces Álex Baena.",Beñat Turrientes Substitution,18220,0.0,0.0,0.0,0.0,0.0,0.0,1.0,297371.0,2024-08-10 09:35:51
12488,699832,18,43513318,76,2,4945,83',0,0,"Substitution, Spain U23. Beñat Turrientes replaces Álex Baena.",Beñat Turrientes Substitution,18220,0.0,0.0,0.0,0.0,0.0,0.0,2.0,297373.0,2024-08-10 09:35:51
12488,699832,19,43513319,76,2,4957,83',0,0,"Substitution, Spain U23. Sergio Camello replaces Abel Ruiz.",Sergio Camello Substitution,18220,0.0,0.0,0.0,0.0,0.0,0.0,1.0,276652.0,2024-08-10 09:35:51
12488,699832,19,43513319,76,2,4957,83',0,0,"Substitution, Spain U23. Sergio Camello replaces Abel Ruiz.",Sergio Camello Substitution,18220,0.0,0.0,0.0,0.0,0.0,0.0,2.0,261613.0,2024-08-10 09:35:51
12488,699832,20,43513372,76,2,5260,88',0,0,"Substitution, Spain U23. Jon Pacheco replaces Aimar Oroz.",Jon Pacheco Substitution,18220,0.0,0.0,0.0,0.0,0.0,0.0,1.0,297359.0,2024-08-10 09:35:51
12488,699832,20,43513372,76,2,5260,88',0,0,"Substitution, Spain U23. Jon Pacheco replaces Aimar Oroz.",Jon Pacheco Substitution,18220,0.0,0.0,0.0,0.0,0.0,0.0,2.0,288760.0,2024-08-10 09:35:51
12488,699832,23,43513418,83,2,5400,90'+9',0,0,"Second Half ends, France U23 3, Spain U23 3.",,-1,0.0,0.0,0.0,0.0,0.0,0.0,,,2024-08-10 09:35:51
12488,699832,25,43513458,84,3,5400,90',0,0,"First Half Extra Time begins France U23 3, Spain U23 3.",,-1,0.0,0.0,0.0,0.0,0.0,0.0,,,2024-08-10 09:35:51
12488,699832,24,43513457,76,3,5400,90',0,0,"Substitution, France U23. Bradley Locko replaces Adrien Truffert.",Bradley Locko Substitution,20947,0.0,0.0,0.0,0.0,0.0,0.0,1.0,324572.0,2024-08-10 09:35:51
12488,699832,22,43513382,98,2,5400,90'+3',1,0,"Goal! France U23 3, Spain U23 3. Jean-Philippe Mateta (France U23) converts the penalty with a right footed shot to the centre of the goal.",Jean-Philippe Mateta Penalty - S,20947,0.0,0.0,0.23,0.5,0.0,0.484,1.0,241187.0,2024-08-10 09:35:51
