seasonType,eventId,keyEventOrder,playId,keyEventTypeId,period,clockValue,clockDisplayValue,scoringPlay,shootout,keyEventText,keyEventShortText,teamId,goalPositionX,goalPositionY,fieldPositionX,fieldPositionY,fieldPosition2X,fieldPosition2Y,participantOrder,athleteId,updateDateTime
12653,707092,1,43994674,97,1,180,3',1,0,Jocelyn Travers (United States U17) Own Goal at 3',Jocelyn Travers Own Goal,21572,0.0,0.0,0.0,0.0,0.0,0.0,1,386673,2024-10-17 05:19:12
12653,707092,2,43994760,70,1,1320,22',1,0,Melanie Barcenas (United States U17) Goal at 22',Melanie Barcenas Goal,21565,0.0,0.0,0.0,0.0,0.0,0.0,1,360902,2024-10-17 05:19:12
12653,707092,3,43994804,94,1,2160,36',0,0,Irune Dorado (Spain U17) Yellow Card at 36',Irune Dorado Yellow Card,21572,0.0,0.0,0.0,0.0,0.0,0.0,1,386682,2024-10-17 05:19:12
12653,707092,4,43994886,76,2,3780,63',0,0,Maddie Padelski (United States U17) Substitution at 63',Maddie Padelski Substitution,21565,0.0,0.0,0.0,0.0,0.0,0.0,1,388042,2024-10-17 05:19:12
12653,707092,4,43994886,76,2,3780,63',0,0,Maddie Padelski (United States U17) Substitution at 63',Maddie Padelski Substitution,21565,0.0,0.0,0.0,0.0,0.0,0.0,2,360902,2024-10-17 05:19:12
12653,707092,6,43994889,76,2,3900,65',0,0,Noa Ortega (Spain U17) Substitution at 65',Noa Ortega Substitution,21572,0.0,0.0,0.0,0.0,0.0,0.0,1,386637,2024-10-17 05:19:12
12653,707092,5,43994887,76,2,3900,65',0,0,Claudia De La Cuerda (Spain U17) Substitution at 65',Claudia De La Cuerda Substitutio,21572,0.0,0.0,0.0,0.0,0.0,0.0,1,386735,2024-10-17 05:19:12
12653,707092,5,43994887,76,2,3900,65',0,0,Claudia De La Cuerda (Spain U17) Substitution at 65',Claudia De La Cuerda Substitutio,21572,0.0,0.0,0.0,0.0,0.0,0.0,2,371637,2024-10-17 05:19:12
12653,707092,6,43994889,76,2,3900,65',0,0,Noa Ortega (Spain U17) Substitution at 65',Noa Ortega Substitution,21572,0.0,0.0,0.0,0.0,0.0,0.0,2,386635,2024-10-17 05:19:12
12653,707092,7,43994891,70,2,4200,70',1,0,Noa Ortega (Spain U17) Goal at 70',Noa Ortega Goal,21572,0.0,0.0,0.0,0.0,0.0,0.0,1,386637,2024-10-17 05:19:12
12653,707092,9,43994893,76,2,4320,72',0,0,Mary Long (United States U17) Substitution at 72',Mary Long Substitution,21565,0.0,0.0,0.0,0.0,0.0,0.0,1,388041,2024-10-17 05:19:12
12653,707092,8,43994892,76,2,4320,72',0,0,Emma Moreno (Spain U17) Substitution at 72',Emma Moreno Substitution,21572,0.0,0.0,0.0,0.0,0.0,0.0,1,386681,2024-10-17 05:19:12
12653,707092,10,43994894,76,2,4320,72',0,0,Micayla Johnson (United States U17) Substitution at 72',Micayla Johnson Substitution,21565,0.0,0.0,0.0,0.0,0.0,0.0,1,388040,2024-10-17 05:19:12
12653,707092,8,43994892,76,2,4320,72',0,0,Emma Moreno (Spain U17) Substitution at 72',Emma Moreno Substitution,21572,0.0,0.0,0.0,0.0,0.0,0.0,2,386634,2024-10-17 05:19:12
12653,707092,9,43994893,76,2,4320,72',0,0,Mary Long (United States U17) Substitution at 72',Mary Long Substitution,21565,0.0,0.0,0.0,0.0,0.0,0.0,2,382797,2024-10-17 05:19:12
12653,707092,10,43994894,76,2,4320,72',0,0,Micayla Johnson (United States U17) Substitution at 72',Micayla Johnson Substitution,21565,0.0,0.0,0.0,0.0,0.0,0.0,2,386675,2024-10-17 05:19:12
12653,707092,11,43994919,70,2,4980,83',1,0,Alba Cerrato (Spain U17) Goal at 83',Alba Cerrato Goal,21572,0.0,0.0,0.0,0.0,0.0,0.0,1,350313,2024-10-17 05:19:12
12653,707092,12,43994922,76,2,5040,84',0,0,Katie Scott (United States U17) Substitution at 84',Katie Scott Substitution,21565,0.0,0.0,0.0,0.0,0.0,0.0,1,386623,2024-10-17 05:19:12
