seasonType,eventId,keyEventOrder,playId,keyEventTypeId,period,clockValue,clockDisplayValue,scoringPlay,shootout,keyEventText,keyEventShortText,teamId,goalPositionX,goalPositionY,fieldPositionX,fieldPositionY,fieldPosition2X,fieldPosition2Y,participantOrder,athleteId,updateDateTime
12611,720722,1,44101989,80,1,0,,0,0,,,-1,0.0,0.0,0.0,0.0,0.0,0.0,,,2024-10-31 05:23:32
12611,720722,2,44102035,94,1,40,1',0,0,Stefanos Tzimas (1. FC Nürnberg) is shown the yellow card for a bad foul.,Stefanos Tzimas Yellow Card,269,0.0,0.0,0.0,0.0,0.0,0.0,1.0,357165.0,2024-10-31 05:23:32
12611,720722,3,44102684,70,1,1586,27',1,0,"Goal! TSG Hoffenheim 1, 1. FC Nürnberg 0. Haris Tabakovic (TSG Hoffenheim) right footed shot from very close range to the centre of the goal following a corner.",Haris Tabakovic Goal,7911,0.0,0.0,0.04,0.467,0.0,0.495,1.0,184869.0,2024-10-31 05:23:32
12611,720722,4,44102790,94,1,1776,30',0,0,Umut Tohumcu (TSG Hoffenheim) is shown the yellow card for a bad foul.,Umut Tohumcu Yellow Card,7911,0.0,0.0,0.0,0.0,0.0,0.0,1.0,340683.0,2024-10-31 05:23:32
12611,720722,5,44102921,94,1,2018,34',0,0,Julian Justvan (1. FC Nürnberg) is shown the yellow card for a bad foul.,Julian Justvan Yellow Card,269,0.0,0.0,0.0,0.0,0.0,0.0,1.0,303746.0,2024-10-31 05:23:32
12611,720722,6,44103079,94,1,2190,37',0,0,Anton Stach (TSG Hoffenheim) is shown the yellow card.,Anton Stach Yellow Card,7911,0.0,0.0,0.0,0.0,0.0,0.0,1.0,304802.0,2024-10-31 05:23:32
12611,720722,7,44103415,81,1,2700,45'+3',0,0,"First Half ends, TSG Hoffenheim 1, 1. FC Nürnberg 0.",,-1,0.0,0.0,0.0,0.0,0.0,0.0,,,2024-10-31 05:23:32
12611,720722,8,44103691,82,2,2700,45',0,0,"Second Half begins TSG Hoffenheim 1, 1. FC Nürnberg 0.",,-1,0.0,0.0,0.0,0.0,0.0,0.0,,,2024-10-31 05:23:32
12611,720722,9,44103763,70,2,2816,47',1,0,"Goal! TSG Hoffenheim 1, 1. FC Nürnberg 1. Mahir Emreli (1. FC Nürnberg) right footed shot from the centre of the box to the bottom left corner. Assisted by Julian Justvan with a through ball.",Mahir Emreli Goal,269,0.0,0.0,0.226,0.571,0.0,0.473,1.0,226974.0,2024-10-31 05:23:32
12611,720722,9,44103763,70,2,2816,47',1,0,"Goal! TSG Hoffenheim 1, 1. FC Nürnberg 1. Mahir Emreli (1. FC Nürnberg) right footed shot from the centre of the box to the bottom left corner. Assisted by Julian Justvan with a through ball.",Mahir Emreli Goal,269,0.0,0.0,0.226,0.571,0.0,0.473,2.0,303746.0,2024-10-31 05:23:32
12611,720722,10,44104245,76,2,3703,62',0,0,"Substitution, TSG Hoffenheim. Andrej Kramaric replaces Marius Bülter.",Andrej Kramaric Substitution,7911,0.0,0.0,0.0,0.0,0.0,0.0,1.0,139520.0,2024-10-31 05:23:32
12611,720722,10,44104245,76,2,3703,62',0,0,"Substitution, TSG Hoffenheim. Andrej Kramaric replaces Marius Bülter.",Andrej Kramaric Substitution,7911,0.0,0.0,0.0,0.0,0.0,0.0,2.0,275797.0,2024-10-31 05:23:32
12611,720722,11,44104514,76,2,4179,70',0,0,"Substitution, 1. FC Nürnberg. Lukas Schleimer replaces Stefanos Tzimas.",Lukas Schleimer Substitution,269,0.0,0.0,0.0,0.0,0.0,0.0,1.0,296287.0,2024-10-31 05:23:32
12611,720722,11,44104514,76,2,4179,70',0,0,"Substitution, 1. FC Nürnberg. Lukas Schleimer replaces Stefanos Tzimas.",Lukas Schleimer Substitution,269,0.0,0.0,0.0,0.0,0.0,0.0,2.0,357165.0,2024-10-31 05:23:32
12611,720722,12,44104544,137,2,4250,71',1,0,"Goal! TSG Hoffenheim 2, 1. FC Nürnberg 1. Arthur Chaves (TSG Hoffenheim) header from the right side of the six yard box to the bottom left corner. Assisted by Umut Tohumcu with a cross following a corner.",Arthur Chaves Goal - Header,7911,0.0,0.0,0.058,0.577,0.0,0.464,1.0,319530.0,2024-10-31 05:23:32
12611,720722,12,44104544,137,2,4250,71',1,0,"Goal! TSG Hoffenheim 2, 1. FC Nürnberg 1. Arthur Chaves (TSG Hoffenheim) header from the right side of the six yard box to the bottom left corner. Assisted by Umut Tohumcu with a cross following a corner.",Arthur Chaves Goal - Header,7911,0.0,0.0,0.058,0.577,0.0,0.464,2.0,340683.0,2024-10-31 05:23:32
12611,720722,13,44104610,76,2,4318,72',0,0,"Substitution, TSG Hoffenheim. Tom Bischof replaces Florian Grillitsch.",Tom Bischof Substitution,7911,0.0,0.0,0.0,0.0,0.0,0.0,1.0,324660.0,2024-10-31 05:23:32
12611,720722,13,44104610,76,2,4318,72',0,0,"Substitution, TSG Hoffenheim. Tom Bischof replaces Florian Grillitsch.",Tom Bischof Substitution,7911,0.0,0.0,0.0,0.0,0.0,0.0,2.0,219304.0,2024-10-31 05:23:32
12611,720722,14,44104611,76,2,4327,73',0,0,"Substitution, TSG Hoffenheim. Mërgim Berisha replaces Adam Hlozek.",Mergim Berisha Substitution,7911,0.0,0.0,0.0,0.0,0.0,0.0,1.0,251413.0,2024-10-31 05:23:32
12611,720722,14,44104611,76,2,4327,73',0,0,"Substitution, TSG Hoffenheim. Mërgim Berisha replaces Adam Hlozek.",Mergim Berisha Substitution,7911,0.0,0.0,0.0,0.0,0.0,0.0,2.0,292169.0,2024-10-31 05:23:32
12611,720722,15,44104935,76,2,4869,82',0,0,"Substitution, 1. FC Nürnberg. Rafael Lubach replaces Mahir Emreli.",Rafael Lubach Substitution,269,0.0,0.0,0.0,0.0,0.0,0.0,1.0,365787.0,2024-10-31 05:23:32
