seasonType,eventId,keyEventOrder,playId,keyEventTypeId,period,clockValue,clockDisplayValue,scoringPlay,shootout,keyEventText,keyEventShortText,teamId,goalPositionX,goalPositionY,fieldPositionX,fieldPositionY,fieldPosition2X,fieldPosition2Y,participantOrder,athleteId,updateDateTime
12621,703190,1,43567946,70,1,660,11',1,0,Victor Boniface (Bayer Leverkusen) Goal at 11',Victor Boniface Goal,131,0.0,0.0,0.0,0.0,0.0,0.0,1,287276.0,2024-08-18 05:56:02
12621,703190,2,43568028,70,1,900,15',1,0,Enzo Millot (VfB Stuttgart) Goal at 15',Enzo Millot Goal,134,0.0,0.0,0.0,0.0,0.0,0.0,1,297158.0,2024-08-18 05:56:02
12621,703190,3,43568385,93,1,2220,37',0,0,Martin Terrier (Bayer Leverkusen) Red Card at 37',Martin Terrier Red Card,131,0.0,0.0,0.0,0.0,0.0,0.0,1,241662.0,2024-08-18 05:56:02
12621,703190,4,43568456,76,1,2460,41',0,0,Jonathan Tah (Bayer Leverkusen) Substitution at 41',Jonathan Tah Substitution,131,0.0,0.0,0.0,0.0,0.0,0.0,1,188052.0,2024-08-18 05:56:02
12621,703190,4,43568456,76,1,2460,41',0,0,Jonathan Tah (Bayer Leverkusen) Substitution at 41',Jonathan Tah Substitution,131,0.0,0.0,0.0,0.0,0.0,0.0,2,287276.0,2024-08-18 05:56:02
12621,703190,5,43568524,94,1,2640,44',0,0,Angelo Stiller (VfB Stuttgart) Yellow Card at 44',Angelo Stiller Yellow Card,134,0.0,0.0,0.0,0.0,0.0,0.0,1,290232.0,2024-08-18 05:56:02
12621,703190,6,43569296,94,2,3600,60',0,0,Granit Xhaka (Bayer Leverkusen) Yellow Card at 60',Granit Xhaka Yellow Card,131,0.0,0.0,0.0,0.0,0.0,0.0,1,149981.0,2024-08-18 05:56:02
12621,703190,7,43569365,76,2,3720,62',0,0,Deniz Undav (VfB Stuttgart) Substitution at 62',Deniz Undav Substitution,134,0.0,0.0,0.0,0.0,0.0,0.0,1,273300.0,2024-08-18 05:56:02
12621,703190,7,43569365,76,2,3720,62',0,0,Deniz Undav (VfB Stuttgart) Substitution at 62',Deniz Undav Substitution,134,0.0,0.0,0.0,0.0,0.0,0.0,2,290232.0,2024-08-18 05:56:02
12621,703190,9,43569367,76,2,3780,63',0,0,Silas Katompa Mvumpa (VfB Stuttgart) Substitution at 63',Silas Katompa Mvumpa Substitutio,134,0.0,0.0,0.0,0.0,0.0,0.0,1,,2024-08-18 05:56:02
12621,703190,8,43569366,76,2,3780,63',0,0,Frans Krätzig (VfB Stuttgart) Substitution at 63',Frans Krätzig Substitution,134,0.0,0.0,0.0,0.0,0.0,0.0,1,346749.0,2024-08-18 05:56:02
