seasonType,eventId,keyEventOrder,playId,keyEventTypeId,period,clockValue,clockDisplayValue,scoringPlay,shootout,keyEventText,keyEventShortText,teamId,goalPositionX,goalPositionY,fieldPositionX,fieldPositionY,fieldPosition2X,fieldPosition2Y,participantOrder,athleteId,updateDateTime
12637,723706,1,44276963,80,1,0,,0,0,,,-1,0.0,0.0,0.0,0.0,0.0,0.0,,,2024-11-25 16:11:09
12637,723706,2,44276968,70,1,225,4',1,0,"Goal! Club Tijuana 1, Atlas 0. Raúl Zúñiga (Club Tijuana) right footed shot from the centre of the box to the centre of the goal.",Raúl Zúñiga Goal,10125,0.0,0.0,0.194,0.589,0.0,0.49,1.0,290853.0,2024-11-28 06:09:52
12637,723706,3,44276995,70,1,1169,20',1,0,"Goal! Club Tijuana 2, Atlas 0. Raúl Zúñiga (Club Tijuana) right footed shot from very close range to the top left corner. Assisted by Alejandro Gómez.",Raúl Zúñiga Goal,10125,0.0,0.0,0.096,0.467,0.0,0.466,1.0,290853.0,2024-11-28 06:09:52
12637,723706,3,44276995,70,1,1169,20',1,0,"Goal! Club Tijuana 2, Atlas 0. Raúl Zúñiga (Club Tijuana) right footed shot from very close range to the top left corner. Assisted by Alejandro Gómez.",Raúl Zúñiga Goal,10125,0.0,0.0,0.096,0.467,0.0,0.466,2.0,206158.0,2024-11-28 06:09:52
12637,723706,4,44277037,76,1,2256,38',0,0,"Substitution, Atlas. Mateo García replaces Adrián Mora.",Mateo García Substitution,216,0.0,0.0,0.0,0.0,0.0,0.0,1.0,378770.0,2024-11-25 16:11:09
12637,723706,4,44277037,76,1,2256,38',0,0,"Substitution, Atlas. Mateo García replaces Adrián Mora.",Mateo García Substitution,216,0.0,0.0,0.0,0.0,0.0,0.0,1.0,354775.0,2024-11-25 16:11:09
12637,723706,4,44277037,76,1,2256,38',0,0,"Substitution, Atlas. Mateo García replaces Adrián Mora.",Mateo García Substitution,216,0.0,0.0,0.0,0.0,0.0,0.0,1.0,279930.0,2024-11-25 16:11:09
12637,723706,4,44277037,76,1,2256,38',0,0,"Substitution, Atlas. Mateo García replaces Adrián Mora.",Mateo García Substitution,216,0.0,0.0,0.0,0.0,0.0,0.0,1.0,205539.0,2024-11-25 16:11:09
12637,723706,4,44277037,76,1,2256,38',0,0,"Substitution, Atlas. Mateo García replaces Adrián Mora.",Mateo García Substitution,216,0.0,0.0,0.0,0.0,0.0,0.0,2.0,270210.0,2024-11-25 16:11:09
12637,723706,6,44277058,82,2,2700,45',0,0,"Second Half begins Club Tijuana 2, Atlas 0.",,-1,0.0,0.0,0.0,0.0,0.0,0.0,,,2024-11-25 16:11:09
12637,723706,5,44277055,81,1,2700,45'+3',0,0,"First Half ends, Club Tijuana 2, Atlas 0.",,-1,0.0,0.0,0.0,0.0,0.0,0.0,,,2024-11-25 16:11:09
12637,723706,7,44277059,76,2,2700,45',0,0,"Substitution, Club Tijuana. Rafael Fernández replaces Kevin Balanta.",Rafael Fernández Substitution,10125,0.0,0.0,0.0,0.0,0.0,0.0,1.0,178142.0,2024-11-25 16:11:09
12637,723706,7,44277059,76,2,2700,45',0,0,"Substitution, Club Tijuana. Rafael Fernández replaces Kevin Balanta.",Rafael Fernández Substitution,10125,0.0,0.0,0.0,0.0,0.0,0.0,2.0,211943.0,2024-11-25 16:11:09
12637,723706,8,44277078,94,2,3345,56',0,0,Kevin Castañeda (Club Tijuana) is shown the yellow card.,Kevin Castañeda Yellow Card,10125,0.0,0.0,0.0,0.0,0.0,0.0,1.0,276398.0,2024-11-25 16:11:09
12637,723706,9,44277086,76,2,3560,60',0,0,"Substitution, Club Tijuana. Efraín Álvarez replaces Jesus Vega.",Efrain Álvarez Substitution,10125,0.0,0.0,0.0,0.0,0.0,0.0,1.0,260173.0,2024-11-28 06:09:52
12637,723706,9,44277086,76,2,3560,60',0,0,"Substitution, Club Tijuana. Efraín Álvarez replaces Jesus Vega.",Efrain Álvarez Substitution,10125,0.0,0.0,0.0,0.0,0.0,0.0,2.0,189834.0,2024-11-28 06:09:52
12637,723706,10,44277082,76,2,3592,60',0,0,"Substitution, Club Tijuana. Christian Rivera replaces Joe Corona.",Christian Rivera Substitution,10125,0.0,0.0,0.0,0.0,0.0,0.0,1.0,233978.0,2024-11-28 06:09:52
12637,723706,10,44277082,76,2,3592,60',0,0,"Substitution, Club Tijuana. Christian Rivera replaces Joe Corona.",Christian Rivera Substitution,10125,0.0,0.0,0.0,0.0,0.0,0.0,2.0,151993.0,2024-11-28 06:09:52
12637,723706,11,44277083,76,2,3597,60',0,0,"Substitution, Club Tijuana. Iván Tona replaces Alejandro Gómez.",Iván Tona Substitution,10125,0.0,0.0,0.0,0.0,0.0,0.0,1.0,284241.0,2024-11-25 16:11:09
12637,723706,11,44277083,76,2,3597,60',0,0,"Substitution, Club Tijuana. Iván Tona replaces Alejandro Gómez.",Iván Tona Substitution,10125,0.0,0.0,0.0,0.0,0.0,0.0,2.0,206158.0,2024-11-25 16:11:09
12637,723706,12,44277095,94,2,3885,65',0,0,Aldo Rocha (Atlas) is shown the yellow card for a bad foul.,Aldo Rocha Yellow Card,216,0.0,0.0,0.0,0.0,0.0,0.0,1.0,178839.0,2024-11-25 16:11:09
12637,723706,13,44277103,76,2,4154,70',0,0,"Substitution, Atlas. Uros Djurdjevic replaces Eduardo Aguirre.",Uros Djurdjevic Substitution,216,0.0,0.0,0.0,0.0,0.0,0.0,1.0,195220.0,2024-11-25 16:11:09
12637,723706,13,44277103,76,2,4154,70',0,0,"Substitution, Atlas. Uros Djurdjevic replaces Eduardo Aguirre.",Uros Djurdjevic Substitution,216,0.0,0.0,0.0,0.0,0.0,0.0,2.0,228358.0,2024-11-25 16:11:09
12637,723706,14,44277104,76,2,4160,70',0,0,"Substitution, Club Tijuana. Eduardo Armenta replaces Raúl Zúñiga.",Eduardo Armenta Substitution,10125,0.0,0.0,0.0,0.0,0.0,0.0,1.0,286080.0,2024-11-25 16:11:09
12637,723706,14,44277104,76,2,4160,70',0,0,"Substitution, Club Tijuana. Eduardo Armenta replaces Raúl Zúñiga.",Eduardo Armenta Substitution,10125,0.0,0.0,0.0,0.0,0.0,0.0,2.0,290853.0,2024-11-25 16:11:09
12637,723706,15,44277105,76,2,4179,70',0,0,"Substitution, Atlas. Leonardo Flores replaces Jeremy Márquez.",Leonardo Flores Substitution,216,0.0,0.0,0.0,0.0,0.0,0.0,1.0,201060.0,2024-11-25 16:11:09
12637,723706,15,44277105,76,2,4179,70',0,0,"Substitution, Atlas. Leonardo Flores replaces Jeremy Márquez.",Leonardo Flores Substitution,216,0.0,0.0,0.0,0.0,0.0,0.0,2.0,285862.0,2024-11-25 16:11:09
12637,723706,16,44277139,70,2,5030,84',1,0,"Goal! Club Tijuana 3, Atlas 0. Kevin Castañeda (Club Tijuana) left footed shot from the centre of the box to the bottom right corner. Assisted by Diego Barbosa.",Kevin Castañeda Goal,10125,0.0,0.0,0.246,0.483,0.0,0.525,1.0,276398.0,2024-11-28 06:09:52
