seasonType,eventId,keyEventOrder,playId,keyEventTypeId,period,clockValue,clockDisplayValue,scoringPlay,shootout,keyEventText,keyEventShortText,teamId,goalPositionX,goalPositionY,fieldPositionX,fieldPositionY,fieldPosition2X,fieldPosition2Y,participantOrder,athleteId,updateDateTime
12677,705512,1,43496160,70,1,540,9',1,0,Noa Lang (PSV Eindhoven) Goal at 9',Noa Lang Goal,148,0.0,0.0,0.0,0.0,0.0,0.0,1,255344,2024-08-05 09:30:40
12677,705512,2,43496165,94,1,540,9',0,0,Timon Wellenreuther (Feyenoord Rotterdam) Yellow Card at 9',Timon Wellenreuther Yellow Card,142,0.0,0.0,0.0,0.0,0.0,0.0,1,182424,2024-08-05 09:30:40
12677,705512,3,43496223,98,1,1740,29',1,0,Santiago Giménez (Feyenoord Rotterdam) Penalty - Scored at 29',Santiago Giménez Penalty - Score,142,0.0,0.0,0.0,0.0,0.0,0.0,1,260775,2024-08-05 09:30:40
12677,705512,4,43496240,70,1,1980,33',1,0,Bart Nieuwkoop (Feyenoord Rotterdam) Goal at 33',Bart Nieuwkoop Goal,142,0.0,0.0,0.0,0.0,0.0,0.0,1,215172,2024-08-05 09:30:40
12677,705512,5,43496272,94,1,2640,44',0,0,Santiago Giménez (Feyenoord Rotterdam) Yellow Card at 44',Santiago Giménez Yellow Card,142,0.0,0.0,0.0,0.0,0.0,0.0,1,260775,2024-08-05 09:30:40
12677,705512,7,43496283,94,1,2700,45'+4',0,0,Noa Lang (PSV Eindhoven) Yellow Card at 49',Noa Lang Yellow Card,148,0.0,0.0,0.0,0.0,0.0,0.0,1,255344,2024-08-05 09:30:40
12677,705512,6,43496278,94,1,2700,45'+1',0,0,Ramiz Zerrouki (Feyenoord Rotterdam) Yellow Card at 46',Ramiz Zerrouki Yellow Card,142,0.0,0.0,0.0,0.0,0.0,0.0,1,290517,2024-08-05 09:30:40
12677,705512,8,43496308,70,2,2880,48',1,0,Luuk de Jong (PSV Eindhoven) Goal at 48',Luuk de Jong Goal,148,0.0,0.0,0.0,0.0,0.0,0.0,1,127420,2024-08-05 09:30:40
12677,705512,9,43496313,94,2,3180,53',0,0,Walter Benítez (PSV Eindhoven) Yellow Card at 53',Walter Benítez Yellow Card,148,0.0,0.0,0.0,0.0,0.0,0.0,1,195738,2024-08-05 09:30:40
12677,705512,10,43496314,98,2,3240,54',1,0,Santiago Giménez (Feyenoord Rotterdam) Penalty - Scored at 54',Santiago Giménez Penalty - Score,142,0.0,0.0,0.0,0.0,0.0,0.0,1,260775,2024-08-05 09:30:40
