seasonType,eventId,keyEventOrder,playId,keyEventTypeId,period,clockValue,clockDisplayValue,scoringPlay,shootout,keyEventText,keyEventShortText,teamId,goalPositionX,goalPositionY,fieldPositionX,fieldPositionY,fieldPosition2X,fieldPosition2Y,participantOrder,athleteId,updateDateTime
12946,721617,1,43954465,80,1,0,,0,0,,,-1,0.0,0.0,0.0,0.0,0.0,0.0,,,2024-10-10 05:49:00
12946,721617,2,43954584,137,1,1989,34',1,0,"Goal! Lyon Féminines 1, Galatasaray Women 0. Kadidiatou Diani (Lyon Féminines) header from the centre of the box to the bottom right corner. Assisted by Tabitha Chawinga with a cross.",Kadidiatou Diani Goal - Header,19256,0.0,0.0,0.18,0.504,0.0,0.542,1.0,219121.0,2024-10-10 05:49:00
12946,721617,2,43954584,137,1,1989,34',1,0,"Goal! Lyon Féminines 1, Galatasaray Women 0. Kadidiatou Diani (Lyon Féminines) header from the centre of the box to the bottom right corner. Assisted by Tabitha Chawinga with a cross.",Kadidiatou Diani Goal - Header,19256,0.0,0.0,0.18,0.504,0.0,0.542,2.0,373811.0,2024-10-10 05:49:00
12946,721617,3,43954635,137,1,2684,45',1,0,"Goal! Lyon Féminines 2, Galatasaray Women 0. Vanessa Gilles (Lyon Féminines) header from very close range to the top right corner. Assisted by Tabitha Chawinga with a cross following a corner.",Vanessa Gilles Goal - Header,19256,0.0,0.0,0.074,0.504,0.0,0.533,1.0,209687.0,2024-10-10 05:49:00
12946,721617,3,43954635,137,1,2684,45',1,0,"Goal! Lyon Féminines 2, Galatasaray Women 0. Vanessa Gilles (Lyon Féminines) header from very close range to the top right corner. Assisted by Tabitha Chawinga with a cross following a corner.",Vanessa Gilles Goal - Header,19256,0.0,0.0,0.074,0.504,0.0,0.533,2.0,373811.0,2024-10-10 05:49:00
12946,721617,4,43954646,81,1,2700,45'+2',0,0,,,-1,0.0,0.0,0.0,0.0,0.0,0.0,,,2024-10-10 05:49:00
12946,721617,5,43954651,82,2,2700,45',0,0,"Second Half begins Lyon Féminines 2, Galatasaray Women 0.",,-1,0.0,0.0,0.0,0.0,0.0,0.0,,,2024-10-10 05:49:00
12946,721617,6,43954716,76,2,3638,61',0,0,"Substitution, Lyon Féminines. Amel Majri replaces Tabitha Chawinga.",Amel Majri Substitution,19256,0.0,0.0,0.0,0.0,0.0,0.0,1.0,219116.0,2024-10-10 05:49:00
12946,721617,6,43954716,76,2,3638,61',0,0,"Substitution, Lyon Féminines. Amel Majri replaces Tabitha Chawinga.",Amel Majri Substitution,19256,0.0,0.0,0.0,0.0,0.0,0.0,2.0,373811.0,2024-10-10 05:49:00
12946,721617,7,43954745,76,2,3999,67',0,0,"Substitution, Galatasaray Women. Hapsatou Diallo replaces Catalina Usme.",Hapsatou Diallo Substitution,22406,0.0,0.0,0.0,0.0,0.0,0.0,1.0,370335.0,2024-10-10 05:49:00
