seasonType,eventId,teamId,homeAway,winner,formation,active,starter,jersey,athleteId,athleteDisplayName,position,formationPlace,subbedIn,subbedInForAthleteId,subbedInForAthleteJersey,subInAthleteId,subInClockValue,subInDisplayClock,subbedOut,subbedOutForAthleteId,subbedOutForAthleteJersey,subOutAthleteId,subOutClockValue,subOutDisplayClock,updateTime
12249,690702,2029,home,0.0,3-4-2-1,1,1,21,198983,Weverton,Goalkeeper,1,0,0.0,-1.0,,,,0,0.0,-1.0,,,,2024-10-14 01:54:08
12249,690702,2029,home,0.0,3-4-2-1,1,1,12,178927,Mayke,Right Midfielder,2,0,0.0,-1.0,,,,1,301544.0,25.0,301544.0,4878.0,82',2024-10-14 01:54:08
12249,690702,2029,home,0.0,3-4-2-1,1,1,22,254007,Joaquín Piquerez,Left Midfielder,3,0,0.0,-1.0,,,,0,0.0,-1.0,,,,2024-10-14 01:54:08
12249,690702,2029,home,0.0,3-4-2-1,1,1,26,252609,Murilo,Center Left Defender,4,0,0.0,-1.0,,,,0,0.0,-1.0,,,,2024-10-14 01:54:08
12249,690702,2029,home,0.0,3-4-2-1,1,1,15,118395,Gustavo Gómez,Center Defender,5,0,0.0,-1.0,,,,0,0.0,-1.0,,,,2024-10-14 01:54:08
12249,690702,2029,home,0.0,3-4-2-1,1,1,2,185994,Marcos Rocha,Center Right Defender,6,0,0.0,-1.0,,,,0,0.0,-1.0,,,,2024-10-14 01:54:08
12249,690702,2029,home,0.0,3-4-2-1,1,1,27,301520,Richard Rios,Center Right Midfielder,7,0,0.0,-1.0,,,,1,286406.0,5.0,286406.0,4891.0,82',2024-10-14 01:54:08
12249,690702,2029,home,0.0,3-4-2-1,1,1,8,201660,Zé Rafael,Center Left Midfielder,8,0,0.0,-1.0,,,,1,361429.0,31.0,361429.0,5209.0,87',2024-10-14 01:54:08
12249,690702,2029,home,0.0,3-4-2-1,1,1,42,311743,José López,Forward,9,0,0.0,-1.0,,,,1,332353.0,40.0,332353.0,3693.0,62',2024-10-14 01:54:08
12249,690702,2029,home,0.0,3-4-2-1,1,1,23,236321,Raphael Veiga,Center Right Forward,10,0,0.0,-1.0,,,,0,0.0,-1.0,,,,2024-10-14 01:54:08
12249,690702,2029,home,0.0,3-4-2-1,1,1,10,236314,Rony,Center Left Forward,11,0,0.0,-1.0,,,,0,0.0,-1.0,,,,2024-10-14 01:54:08
12249,690702,2029,home,0.0,3-4-2-1,1,0,16,95558,Caio Paulista,Substitute,0,0,0.0,-1.0,,,,0,0.0,-1.0,,,,2024-10-14 01:54:08
12249,690702,2029,home,0.0,3-4-2-1,1,0,35,307934,Fabinho,Substitute,0,0,0.0,-1.0,,,,0,0.0,-1.0,,,,2024-10-14 01:54:08
12249,690702,2029,home,0.0,3-4-2-1,1,0,13,158275,Luan,Substitute,0,0,0.0,-1.0,,,,0,0.0,-1.0,,,,2024-10-14 01:54:08
12249,690702,2029,home,0.0,3-4-2-1,1,0,31,361429,Luis Guilherme,Substitute,0,1,201660.0,8.0,201660.0,5209.0,87',0,0.0,-1.0,,,,2024-10-14 01:54:08
12249,690702,2029,home,0.0,3-4-2-1,1,0,40,332353,Jhonatan,Substitute,0,1,311743.0,42.0,311743.0,3693.0,62',0,0.0,-1.0,,,,2024-10-14 01:54:08
12249,690702,2029,home,0.0,3-4-2-1,1,0,14,201622,Marcelo Lomba,Substitute,0,0,0.0,-1.0,,,,0,0.0,-1.0,,,,2024-10-14 01:54:08
12249,690702,2029,home,0.0,3-4-2-1,1,0,19,236324,Breno,Substitute,0,0,0.0,-1.0,,,,0,0.0,-1.0,,,,2024-10-14 01:54:08
12249,690702,2029,home,0.0,3-4-2-1,1,0,34,332351,Kaiky Naves,Substitute,0,0,0.0,-1.0,,,,0,0.0,-1.0,,,,2024-10-14 01:54:08
12249,690702,2029,home,0.0,3-4-2-1,1,0,5,286406,Aníbal Moreno,Substitute,0,1,301520.0,27.0,301520.0,4891.0,82',0,0.0,-1.0,,,,2024-10-14 01:54:08
12249,690702,2029,home,0.0,3-4-2-1,1,0,32,289899,Gustavo,Substitute,0,0,0.0,-1.0,,,,0,0.0,-1.0,,,,2024-10-14 01:54:08
12249,690702,2029,home,0.0,3-4-2-1,1,0,25,301544,Gabriel Menino,Substitute,0,1,178927.0,12.0,178927.0,4878.0,82',0,0.0,-1.0,,,,2024-10-14 01:54:08
12249,690702,2029,home,0.0,3-4-2-1,1,0,6,307933,Vanderlan,Substitute,0,0,0.0,-1.0,,,,0,0.0,-1.0,,,,2024-10-14 01:54:08
12249,690702,2026,away,1.0,4-2-3-1,1,1,23,199013,Rafael,Goalkeeper,1,0,0.0,-1.0,,,,0,0.0,-1.0,,,,2024-10-14 01:54:08
12249,690702,2026,away,1.0,4-2-3-1,1,1,13,69155,Rafinha,Right Back,2,0,0.0,-1.0,,,,1,334787.0,30.0,334787.0,3544.0,60',2024-10-14 01:54:08
