seasonType,eventId,teamId,homeAway,winner,formation,active,starter,jersey,athleteId,athleteDisplayName,position,formationPlace,subbedIn,subbedInForAthleteId,subbedInForAthleteJersey,subInAthleteId,subInClockValue,subInDisplayClock,subbedOut,subbedOutForAthleteId,subbedOutForAthleteJersey,subOutAthleteId,subOutClockValue,subOutDisplayClock,updateTime
12874,719211,20861,home,0,4-1-4-1,1,1,99,298085,Muhriddin Hasanov,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12874,719211,20861,home,0,4-1-4-1,1,1,5,370830,Sodiqjon Qurbonov,Right Back,2,0,0,-1,,,,1,168561,19,168561.0,5400.0,90'+6',2024-10-14 01:54:08
12874,719211,20861,home,0,4-1-4-1,1,1,28,322275,Keita Suzuki,Left Back,3,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12874,719211,20861,home,0,4-1-4-1,1,1,80,392170,Murilo Souza,Defensive Midfielder,4,0,0,-1,,,,1,305750,45,305750.0,5040.0,84',2024-10-14 01:54:08
12874,719211,20861,home,0,4-1-4-1,1,1,21,258211,Oleksiy Larin,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12874,719211,20861,home,0,4-1-4-1,1,1,6,205560,Amirbek Dzhuraboev,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12874,719211,20861,home,0,4-1-4-1,1,1,44,228627,Matthew Millar,Right Midfielder,7,0,0,-1,,,,1,208520,9,208520.0,4680.0,78',2024-10-14 01:54:08
12874,719211,20861,home,0,4-1-4-1,1,1,10,156518,Aliser Dzhalilov,Center Right Midfielder,8,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12874,719211,20861,home,0,4-1-4-1,1,1,77,298098,Rustam Soirov,Forward,9,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12874,719211,20861,home,0,4-1-4-1,1,1,17,289101,Ehson Panshanbe,Center Left Midfielder,10,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12874,719211,20861,home,0,4-1-4-1,1,1,11,283973,Mabatshoev Shervoni,Left Midfielder,11,0,0,-1,,,,1,165993,63,165993.0,4740.0,79',2024-10-14 01:54:08
12874,719211,20861,home,0,4-1-4-1,1,0,3,230140,Tabrez Islomov,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12874,719211,20861,home,0,4-1-4-1,1,0,1,313506,Nikola Stosic,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12874,719211,20861,home,0,4-1-4-1,1,0,45,305750,Dimitar Mitkov,Substitute,0,1,392170,80,392170.0,5040.0,84',0,0,-1,,,,2024-10-14 01:54:08
12874,719211,20861,home,0,4-1-4-1,1,0,72,363110,Mekhron Madaminov,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12874,719211,20861,home,0,4-1-4-1,1,0,9,208520,Francesco Margiotta,Substitute,0,1,228627,44,228627.0,4680.0,78',0,0,-1,,,,2024-10-14 01:54:08
12874,719211,20861,home,0,4-1-4-1,1,0,19,168561,Akhtam Nazarov,Substitute,0,1,370830,5,370830.0,5400.0,90'+6',0,0,-1,,,,2024-10-14 01:54:08
12874,719211,20861,home,0,4-1-4-1,1,0,96,289483,Darko lliski,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12874,719211,20861,home,0,4-1-4-1,1,0,18,376702,Ruslan Khailoev,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12874,719211,20861,home,0,4-1-4-1,1,0,63,165993,Manuchekhr Dzhalilov,Substitute,0,1,283973,11,283973.0,4740.0,79',0,0,-1,,,,2024-10-14 01:54:08
12874,719211,8371,away,1,4-4-2,1,1,1,337352,Khaled Tawhid,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12874,719211,8371,away,1,4-4-2,1,1,19,253352,Khaled Ebraheim,Right Back,2,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12874,719211,8371,away,1,4-4-2,1,1,44,355243,David Petrovic,Left Back,3,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12874,719211,8371,away,1,4-4-2,1,1,16,276579,Darko Nejasmic,Center Right Midfielder,4,0,0,-1,,,,1,195244,10,195244.0,4140.0,69',2024-10-14 01:54:08
12874,719211,8371,away,1,4-4-2,1,1,4,210166,Shahin Abdulrahman,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12874,719211,8371,away,1,4-4-2,1,1,5,344476,Maro Katinic,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12874,719211,8371,away,1,4-4-2,1,1,30,228521,Ousmane Camara,Right Midfielder,7,0,0,-1,,,,1,315625,27,315625.0,5400.0,90',2024-10-14 01:54:08
