seasonType,eventId,teamId,homeAway,winner,formation,active,starter,jersey,athleteId,athleteDisplayName,position,formationPlace,subbedIn,subbedInForAthleteId,subbedInForAthleteJersey,subInAthleteId,subInClockValue,subInDisplayClock,subbedOut,subbedOutForAthleteId,subbedOutForAthleteJersey,subOutAthleteId,subOutClockValue,subOutDisplayClock,updateTime
12336,720317,5,home,1,4-2-3-1,1,1,12,335580,Leandro Brey,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2024-10-25 05:15:37
12336,720317,5,home,1,4-2-3-1,1,1,17,181709,Luis Advíncula,Right Back,2,0,0,-1,,,,0,0,-1,,,,2024-10-25 05:15:37
12336,720317,5,home,1,4-2-3-1,1,1,23,290542,Lautaro Blanco,Left Back,3,0,0,-1,,,,1,219270,3,219270.0,2700.0,45',2024-10-25 05:15:37
12336,720317,5,home,1,4-2-3-1,1,1,21,310476,Ignacio Miramon,Left Midfielder,4,0,0,-1,,,,1,189952,4,189952.0,4140.0,69',2024-10-25 05:15:37
12336,720317,5,home,1,4-2-3-1,1,1,38,363218,Aaron Anselmino,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2024-10-25 05:15:37
12336,720317,5,home,1,4-2-3-1,1,1,6,129426,Marcos Rojo,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2024-10-25 05:15:37
12336,720317,5,home,1,4-2-3-1,1,1,7,297051,Exequiel Zeballos,Attacking Midfielder Right,7,0,0,-1,,,,1,310767,9,310767.0,4140.0,69',2024-10-25 05:15:37
12336,720317,5,home,1,4-2-3-1,1,1,30,256199,Tomás Belmonte,Right Midfielder,8,0,0,-1,,,,0,0,-1,,,,2024-10-25 05:15:37
12336,720317,5,home,1,4-2-3-1,1,1,10,95469,Edinson Cavani,Forward,9,0,0,-1,,,,1,172427,8,172427.0,3540.0,59',2024-10-25 05:15:37
12336,720317,5,home,1,4-2-3-1,1,1,16,260812,Miguel Merentiel,Attacking Midfielder,10,0,0,-1,,,,0,0,-1,,,,2024-10-25 05:15:37
12336,720317,5,home,1,4-2-3-1,1,1,33,309131,Brian Aguirre,Attacking Midfielder Left,11,0,0,-1,,,,1,290593,22,290593.0,2700.0,45',2024-10-25 05:15:37
12336,720317,5,home,1,4-2-3-1,1,0,1,125298,Sergio Romero,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-25 05:15:37
12336,720317,5,home,1,4-2-3-1,1,0,47,351815,Jabes Saralegui,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-25 05:15:37
12336,720317,5,home,1,4-2-3-1,1,0,9,310767,Milton Gimenez,Substitute,0,1,297051,7,297051.0,4140.0,69',0,0,-1,,,,2024-10-25 05:15:37
12336,720317,5,home,1,4-2-3-1,1,0,36,297056,Cristian Medina,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-25 05:15:37
12336,720317,5,home,1,4-2-3-1,1,0,22,290593,Kevin Zenón,Substitute,0,1,309131,33,309131.0,2700.0,45',0,0,-1,,,,2024-10-25 05:15:37
12336,720317,5,home,1,4-2-3-1,1,0,19,288697,Agustín Martegani,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-25 05:15:37
12336,720317,5,home,1,4-2-3-1,1,0,24,285026,Juan Barinaga,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-25 05:15:37
12336,720317,5,home,1,4-2-3-1,1,0,3,219270,Marcelo Saracchi,Substitute,0,1,290542,23,290542.0,2700.0,45',0,0,-1,,,,2024-10-25 05:15:37
12336,720317,5,home,1,4-2-3-1,1,0,20,195689,Juan Edgardo Ramírez,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-25 05:15:37
12336,720317,5,home,1,4-2-3-1,1,0,4,189952,Jorge Figal,Substitute,0,1,310476,21,310476.0,4140.0,69',0,0,-1,,,,2024-10-25 05:15:37
12336,720317,5,home,1,4-2-3-1,1,0,8,172427,Guillermo Fernández,Substitute,0,1,95469,10,95469.0,3540.0,59',0,0,-1,,,,2024-10-25 05:15:37
12336,720317,5,home,1,4-2-3-1,1,0,2,144317,Cristian Lema,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-25 05:15:37
12336,720317,9,away,0,4-3-3,1,1,13,213108,Marcos Ledesma,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2024-10-25 05:15:37
12336,720317,9,away,0,4-3-3,1,1,15,270997,Juan Pintado,Right Back,2,0,0,-1,,,,0,0,-1,,,,2024-10-25 05:15:37
12336,720317,9,away,0,4-3-3,1,1,3,298577,Rodrigo Gallo,Left Back,3,0,0,-1,,,,1,307469,26,307469.0,3780.0,63',2024-10-25 05:15:37
12336,720317,9,away,0,4-3-3,1,1,6,288736,Martín Fernández,Center Midfielder,4,0,0,-1,,,,0,0,-1,,,,2024-10-25 05:15:37
12336,720317,9,away,0,4-3-3,1,1,4,234348,Leonardo Morales,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2024-10-25 05:15:37
12336,720317,9,away,0,4-3-3,1,1,21,171796,Enzo Martínez,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2024-10-25 05:15:37
12336,720317,9,away,0,4-3-3,1,1,19,130004,Lucas Castro,Right Midfielder,7,0,0,-1,,,,1,301991,36,301991.0,5280.0,88',2024-10-25 05:15:37
12336,720317,9,away,0,4-3-3,1,1,16,136511,Augusto Max,Left Midfielder,8,0,0,-1,,,,1,119493,10,119493.0,3540.0,59',2024-10-25 05:15:37
12336,720317,9,away,0,4-3-3,1,1,30,116395,Rodrigo Castillo,Forward,9,0,0,-1,,,,0,0,-1,,,,2024-10-25 05:15:37
12336,720317,9,away,0,4-3-3,1,1,9,359827,Matías Abaldo,Right Forward,10,0,0,-1,,,,1,163064,11,163064.0,3540.0,59',2024-10-25 05:15:37
