seasonType,eventId,teamId,homeAway,winner,formation,active,starter,jersey,athleteId,athleteDisplayName,position,formationPlace,subbedIn,subbedInForAthleteId,subbedInForAthleteJersey,subInAthleteId,subInClockValue,subInDisplayClock,subbedOut,subbedOutForAthleteId,subbedOutForAthleteJersey,subOutAthleteId,subOutClockValue,subOutDisplayClock,updateTime
12338,702058,10162,home,1,4-3-3,1,1,1,292024,Juan Rago,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12338,702058,10162,home,1,4-3-3,1,1,4,269820,Agustín Sosa,Right Back,2,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12338,702058,10162,home,1,4-3-3,1,1,3,188942,Rodrigo Mazur,Left Back,3,0,0,-1,,,,1,287502,14,287502.0,5235.0,88',2024-10-14 01:54:08
12338,702058,10162,home,1,4-3-3,1,1,11,214027,Hernan Da Campo,Center Midfielder,4,0,0,-1,,,,1,205521,18,205521.0,4520.0,76',2024-10-14 01:54:08
12338,702058,10162,home,1,4-3-3,1,1,2,290428,Jorge Scolari,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12338,702058,10162,home,1,4-3-3,1,1,6,131868,Juan Pablo Segovia,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12338,702058,10162,home,1,4-3-3,1,1,5,384053,Lucas Richarte,Right Midfielder,7,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12338,702058,10162,home,1,4-3-3,1,1,8,292132,Emanuel Ibáñez,Left Midfielder,8,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12338,702058,10162,home,1,4-3-3,1,1,9,283612,Marcos Arturia,Forward,9,0,0,-1,,,,1,381223,19,381223.0,5235.0,88',2024-10-14 01:54:08
12338,702058,10162,home,1,4-3-3,1,1,7,185736,Lucas Baldunciel,Right Forward,10,0,0,-1,,,,1,317313,15,317313.0,4260.0,71',2024-10-14 01:54:08
12338,702058,10162,home,1,4-3-3,1,1,10,379769,Julián Mavilla,Left Forward,11,0,0,-1,,,,1,211656,16,211656.0,4258.0,71',2024-10-14 01:54:08
12338,702058,10162,home,1,4-3-3,1,0,20,335514,Juan Gabriel Frías,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12338,702058,10162,home,1,4-3-3,1,0,22,154399,Juan Imbert,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12338,702058,10162,home,1,4-3-3,1,0,13,178183,Leandro Lugarzo,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12338,702058,10162,home,1,4-3-3,1,0,18,205521,Luis López,Substitute,0,1,214027,11,214027.0,4520.0,76',0,0,-1,,,,2024-10-14 01:54:08
12338,702058,10162,home,1,4-3-3,1,0,16,211656,Francisco Ilarregui,Substitute,0,1,379769,10,379769.0,4258.0,71',0,0,-1,,,,2024-10-14 01:54:08
12338,702058,10162,home,1,4-3-3,1,0,19,381223,Franco Camejo,Substitute,0,1,283612,9,283612.0,5235.0,88',0,0,-1,,,,2024-10-14 01:54:08
12338,702058,10162,home,1,4-3-3,1,0,12,380091,Valentin Diaz,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12338,702058,10162,home,1,4-3-3,1,0,14,287502,Pedro Souto,Substitute,0,1,188942,3,188942.0,5235.0,88',0,0,-1,,,,2024-10-14 01:54:08
12338,702058,10162,home,1,4-3-3,1,0,21,379770,Leandro Lucero,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12338,702058,10162,home,1,4-3-3,1,0,15,317313,Fernando Martínez,Substitute,0,1,185736,7,185736.0,4260.0,71',0,0,-1,,,,2024-10-14 01:54:08
12338,702058,10162,home,1,4-3-3,1,0,17,358118,Facundo Krüger,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12338,702058,16,away,0,4-3-1-2,1,1,1,118577,Franco Armani,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12338,702058,16,away,0,4-3-1-2,1,1,15,286389,Marcelo Herrera,Right Back,2,0,0,-1,,,,1,253486,27,253486.0,3980.0,67',2024-10-14 01:54:08
12338,702058,16,away,0,4-3-1-2,1,1,20,135867,Milton Casco,Left Back,3,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
