seasonType,eventId,teamId,homeAway,winner,formation,active,starter,jersey,athleteId,athleteDisplayName,position,formationPlace,subbedIn,subbedInForAthleteId,subbedInForAthleteJersey,subInAthleteId,subInClockValue,subInDisplayClock,subbedOut,subbedOutForAthleteId,subbedOutForAthleteJersey,subOutAthleteId,subOutClockValue,subOutDisplayClock,updateTime
12743,710523,21846,home,0,5-3-2,1,1,1,252449,Jakob Meierhofer,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12743,710523,21846,home,0,5-3-2,1,1,21,193223,Michael Lang,Right Back,2,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12743,710523,21846,home,0,5-3-2,1,1,27,214594,Benjamin Rosenberger,Left Back,3,0,0,-1,,,,1,267053,14,267053.0,3900.0,65',2024-10-14 06:59:34
12743,710523,21846,home,0,5-3-2,1,1,15,358619,Lukas Graf,Center Left Defender,4,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12743,710523,21846,home,0,5-3-2,1,1,5,157503,Petar Filipovic,Center Defender,5,0,0,-1,,,,1,358621,19,358621.0,4380.0,73',2024-10-14 06:59:34
12743,710523,21846,home,0,5-3-2,1,1,30,320942,Milos Jovicic,Center Right Defender,6,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12743,710523,21846,home,0,5-3-2,1,1,10,334828,Christian Lichtenberger,Center Right Midfielder,7,0,0,-1,,,,1,260120,24,260120.0,3900.0,65',2024-10-14 06:59:34
12743,710523,21846,home,0,5-3-2,1,1,13,99587,Marco Perchtold,Center Midfielder,8,0,0,-1,,,,1,274922,18,274922.0,4980.0,83',2024-10-14 06:59:34
12743,710523,21846,home,0,5-3-2,1,1,28,258893,Dominik Frieser,Center Left Forward,9,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12743,710523,21846,home,0,5-3-2,1,1,12,331088,Romeo Vucic,Center Right Forward,10,0,0,-1,,,,1,263096,99,263096.0,4440.0,74',2024-10-14 06:59:34
12743,710523,21846,home,0,5-3-2,1,1,7,274920,Murat Satin,Center Left Midfielder,11,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12743,710523,21846,home,0,5-3-2,1,0,18,274922,Atsushi Zaizen,Substitute,0,1,99587,13,99587.0,4980.0,83',0,0,-1,,,,2024-10-14 06:59:34
12743,710523,21846,home,0,5-3-2,1,0,24,260120,Dennis Dressel,Substitute,0,1,334828,10,334828.0,3900.0,65',0,0,-1,,,,2024-10-14 06:59:34
12743,710523,21846,home,0,5-3-2,1,0,99,263096,Michael Cheukoua,Substitute,0,1,331088,12,331088.0,4440.0,74',0,0,-1,,,,2024-10-14 06:59:34
12743,710523,21846,home,0,5-3-2,1,0,14,267053,Jacob Italiano,Substitute,0,1,214594,27,214594.0,3900.0,65',0,0,-1,,,,2024-10-14 06:59:34
12743,710523,21846,home,0,5-3-2,1,0,11,305001,Tio Cipot,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12743,710523,21846,home,0,5-3-2,1,0,19,358621,Marco Gantschnig,Substitute,0,1,157503,5,157503.0,4380.0,73',0,0,-1,,,,2024-10-14 06:59:34
12743,710523,21846,home,0,5-3-2,1,0,33,386865,Juri Kirchmayr,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12743,710523,2790,away,1,4-3-3,1,1,1,161825,Janis Blaswich,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12743,710523,2790,away,1,4-3-3,1,1,70,308979,Amar Dedic,Right Back,2,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12743,710523,2790,away,1,4-3-3,1,1,3,260005,Aleksa Terzic,Left Back,3,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12743,710523,2790,away,1,4-3-3,1,1,15,321098,Mamady Diambou,Center Midfielder,4,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12743,710523,2790,away,1,4-3-3,1,1,6,329484,Samson Baidoo,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12743,710523,2790,away,1,4-3-3,1,1,4,365320,Hendry Blank,Center Left Defender,6,0,0,-1,,,,1,316280,91,316280.0,4740.0,79',2024-10-14 06:59:34
12743,710523,2790,away,1,4-3-3,1,1,7,284835,Nicolás Capaldo,Right Midfielder,7,0,0,-1,,,,1,290401,18,290401.0,3960.0,66',2024-10-14 06:59:34
12743,710523,2790,away,1,4-3-3,1,1,14,304011,Maurits Kjaergaard,Left Midfielder,8,0,0,-1,,,,1,303338,27,303338.0,4740.0,79',2024-10-14 06:59:34
12743,710523,2790,away,1,4-3-3,1,1,19,326475,Karim Konaté,Forward,9,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12743,710523,2790,away,1,4-3-3,1,1,28,338854,Adam Daghim,Right Forward,10,0,0,-1,,,,1,350646,49,350646.0,5100.0,85',2024-10-14 06:59:34
12743,710523,2790,away,1,4-3-3,1,1,45,329486,Nene Dorgeles,Left Forward,11,0,0,-1,,,,1,342136,21,342136.0,3960.0,66',2024-10-14 06:59:34
12743,710523,2790,away,1,4-3-3,1,0,49,350646,Moussa Yeo,Substitute,0,1,338854,28,338854.0,5100.0,85',0,0,-1,,,,2024-10-14 06:59:34
12743,710523,2790,away,1,4-3-3,1,0,18,290401,Mads Bidstrup,Substitute,0,1,284835,7,284835.0,3960.0,66',0,0,-1,,,,2024-10-14 06:59:34
12743,710523,2790,away,1,4-3-3,1,0,2,292199,Ignace van der Brempt,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12743,710523,2790,away,1,4-3-3,1,0,91,316280,Kamil Piatkowski,Substitute,0,1,365320,4,365320.0,4740.0,79',0,0,-1,,,,2024-10-14 06:59:34
12743,710523,2790,away,1,4-3-3,1,0,41,329464,Jonas Krumrey,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12743,710523,2790,away,1,4-3-3,1,0,21,342136,Petar Ratkov,Substitute,0,1,329486,45,329486.0,3960.0,66',0,0,-1,,,,2024-10-14 06:59:34
12743,710523,2790,away,1,4-3-3,1,0,27,303338,Lucas Gourna Douath,Substitute,0,1,304011,14,304011.0,4740.0,79',0,0,-1,,,,2024-10-14 06:59:34
12743,710524,4405,home,0,4-4-2,1,1,1,159929,Dejan Stojanovic,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12743,710524,4405,home,0,4-4-2,1,1,25,238904,Sandro Ingolitsch,Right Back,2,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12743,710524,4405,home,0,4-4-2,1,1,29,364589,Mohamed Ouédraogo,Left Back,3,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12743,710524,4405,home,0,4-4-2,1,1,23,223171,Lukas Jäger,Center Right Midfielder,4,0,0,-1,,,,1,380113,11,380113.0,4020.0,67',2024-10-14 06:59:34
12743,710524,4405,home,0,4-4-2,1,1,5,217327,Lukas Gugganig,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12743,710524,4405,home,0,4-4-2,1,1,15,283951,Paul-Friedrich Koller,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12743,710524,4405,home,0,4-4-2,1,1,8,220713,Mike-Steven Bähre,Right Midfielder,7,0,0,-1,,,,1,306828,7,306828.0,3720.0,62',2024-10-14 06:59:34
12743,710524,4405,home,0,4-4-2,1,1,6,259133,Vesel Demaku,Center Left Midfielder,8,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12743,710524,4405,home,0,4-4-2,1,1,17,321075,Oliver Strunz,Center Left Forward,9,0,0,-1,,,,1,386589,4,386589.0,4680.0,78',2024-10-14 06:59:34
12743,710524,4405,home,0,4-4-2,1,1,14,334175,Lukas Fridrikas,Center Right Forward,10,0,0,-1,,,,1,237066,20,237066.0,3720.0,62',2024-10-14 06:59:34
