seasonType,eventId,teamId,homeAway,winner,formation,active,starter,jersey,athleteId,athleteDisplayName,position,formationPlace,subbedIn,subbedInForAthleteId,subbedInForAthleteJersey,subInAthleteId,subInClockValue,subInDisplayClock,subbedOut,subbedOutForAthleteId,subbedOutForAthleteJersey,subOutAthleteId,subOutClockValue,subOutDisplayClock,updateTime
12643,703674,570,home,0,4-2-3-1,1,1,22,99829,Simon Mignolet,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12643,703674,570,home,0,4-2-3-1,1,1,55,301327,Maxim De Cuyper,Right Back,2,0,0,-1,,,,1,288481,21,288481.0,4020.0,67',2024-10-14 06:59:34
12643,703674,570,home,0,4-2-3-1,1,1,65,363068,Joaquin Seys,Left Back,3,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12643,703674,570,home,0,4-2-3-1,1,1,15,320882,Raphael Onyedika,Left Midfielder,4,0,0,-1,,,,1,279904,9,279904.0,2700.0,45',2024-10-14 06:59:34
12643,703674,570,home,0,4-2-3-1,1,1,44,191222,Brandon Mechele,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12643,703674,570,home,0,4-2-3-1,1,1,2,300111,Zaid Romero,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12643,703674,570,home,0,4-2-3-1,1,1,32,319368,Antonio Nusa,Attacking Midfielder Right,7,0,0,-1,,,,1,259707,7,259707.0,4800.0,80',2024-10-14 06:59:34
12643,703674,570,home,0,4-2-3-1,1,1,10,255261,Hugo Vetlesen,Right Midfielder,8,0,0,-1,,,,1,183094,27,,,,2024-10-14 06:59:34
12643,703674,570,home,0,4-2-3-1,1,1,19,238183,Gustaf Nilsson,Forward,9,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12643,703674,570,home,0,4-2-3-1,1,1,20,193849,Hans Vanaken,Attacking Midfielder,10,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12643,703674,570,home,0,4-2-3-1,1,1,8,303793,Christos Tzolis,Attacking Midfielder Left,11,0,0,-1,,,,1,310023,41,310023.0,4080.0,68',2024-10-14 06:59:34
12643,703674,570,home,0,4-2-3-1,1,0,27,183094,Casper Hojer Nielsen,Substitute,0,1,255261,10,255261.0,4800.0,80',0,0,-1,,,,2024-10-14 06:59:34
12643,703674,570,home,0,4-2-3-1,1,0,17,360422,Romeo Vermant,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12643,703674,570,home,0,4-2-3-1,1,0,58,351301,Jorne Spileers,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12643,703674,570,home,0,4-2-3-1,1,0,30,303973,Ardon Jashari,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12643,703674,570,home,0,4-2-3-1,1,0,41,310023,Hugo Siquet,Substitute,0,1,303793,8,303793.0,4080.0,68',0,0,-1,,,,2024-10-14 06:59:34
12643,703674,570,home,0,4-2-3-1,1,0,29,202101,Nordin Jackers,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12643,703674,570,home,0,4-2-3-1,1,0,7,259707,Andreas Skov Olsen,Substitute,0,1,319368,32,319368.0,4800.0,80',0,0,-1,,,,2024-10-14 06:59:34
12643,703674,570,home,0,4-2-3-1,1,0,21,288481,Michal Skoras,Substitute,0,1,301327,55,301327.0,4020.0,67',0,0,-1,,,,2024-10-14 06:59:34
12643,703674,570,home,0,4-2-3-1,1,0,9,279904,Ferran Jutglà,Substitute,0,1,320882,15,320882.0,2700.0,45',0,0,-1,,,,2024-10-14 06:59:34
