seasonType,eventId,teamId,homeAway,winner,formation,active,starter,jersey,athleteId,athleteDisplayName,position,formationPlace,subbedIn,subbedInForAthleteId,subbedInForAthleteJersey,subInAthleteId,subInClockValue,subInDisplayClock,subbedOut,subbedOutForAthleteId,subbedOutForAthleteJersey,subOutAthleteId,subOutClockValue,subOutDisplayClock,updateTime
12493,699905,21888,home,0,4-4-2,1,1,1,207432,Edson Mardden,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12493,699905,21888,home,0,4-4-2,1,1,2,138983,Patric,Right Back,2,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12493,699905,21888,home,0,4-4-2,1,1,6,198603,Fabiano,Left Back,3,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12493,699905,21888,home,0,4-4-2,1,1,8,208647,Diego Torres,Center Right Midfielder,4,0,0,-1,,,,1,270207,23,270207.0,3529.0,59',2024-10-14 01:54:08
12493,699905,21888,home,0,4-4-2,1,1,3,307600,Alexis Alvariño,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12493,699905,21888,home,0,4-4-2,1,1,4,289013,Diogo Silva,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12493,699905,21888,home,0,4-4-2,1,1,5,194600,Jorge Roa,Right Midfielder,7,0,0,-1,,,,1,384044,18,384044.0,2700.0,45',2024-10-14 01:54:08
12493,699905,21888,home,0,4-4-2,1,1,17,217131,Xavier,Center Left Midfielder,8,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12493,699905,21888,home,0,4-4-2,1,1,19,200673,William Barbio,Center Left Forward,9,0,0,-1,,,,1,362448,9,362448.0,4038.0,68',2024-10-14 01:54:08
12493,699905,21888,home,0,4-4-2,1,1,99,16562,Sassá,Center Right Forward,10,0,0,-1,,,,1,86473,7,86473.0,4653.0,78',2024-10-14 01:54:08
12493,699905,21888,home,0,4-4-2,1,1,11,314567,Igor,Left Midfielder,11,0,0,-1,,,,1,301592,22,301592.0,3540.0,59',2024-10-14 01:54:08
12493,699905,21888,home,0,4-4-2,1,0,14,216424,Thiago Spice,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12493,699905,21888,home,0,4-4-2,1,0,16,233362,Renan Castro,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12493,699905,21888,home,0,4-4-2,1,0,22,301592,Ênio,Substitute,0,1,314567,11,314567.0,3540.0,59',0,0,-1,,,,2024-10-14 01:54:08
12493,699905,21888,home,0,4-4-2,1,0,20,349017,Pará,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12493,699905,21888,home,0,4-4-2,1,0,13,201681,Ezequiel,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12493,699905,21888,home,0,4-4-2,1,0,21,357720,Cauan Barros,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12493,699905,21888,home,0,4-4-2,1,0,15,270195,Miranda,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12493,699905,21888,home,0,4-4-2,1,0,7,86473,Jô,Substitute,0,1,16562,99,16562.0,4653.0,78',0,0,-1,,,,2024-10-14 01:54:08
12493,699905,21888,home,0,4-4-2,1,0,12,99364,Marcos Miranda,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12493,699905,21888,home,0,4-4-2,1,0,9,362448,Bruno Lopes,Substitute,0,1,200673,19,200673.0,4038.0,68',0,0,-1,,,,2024-10-14 01:54:08
12493,699905,21888,home,0,4-4-2,1,0,18,384044,Judá Aguiar Da Silva,Substitute,0,1,194600,5,194600.0,2700.0,45',0,0,-1,,,,2024-10-14 01:54:08
12493,699905,21888,home,0,4-4-2,1,0,23,270207,Matheus Santos,Substitute,0,1,208647,8,208647.0,3529.0,59',0,0,-1,,,,2024-10-14 01:54:08
12493,699905,7635,away,1,4-4-2,1,1,22,222635,Caíque,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12493,699905,7635,away,1,4-4-2,1,1,54,376489,Pedro Lima,Right Back,2,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12493,699905,7635,away,1,4-4-2,1,1,6,318253,Filipinho,Left Back,3,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12493,699905,7635,away,1,4-4-2,1,1,8,276300,Fabricio Domínguez,Center Right Midfielder,4,0,0,-1,,,,1,113818,7,,,,2024-10-14 01:54:08
12493,699905,7635,away,1,4-4-2,1,1,12,233464,Alisson Cassiano,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12493,699905,7635,away,1,4-4-2,1,1,40,143962,Luciano Castan,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12493,699905,7635,away,1,4-4-2,1,1,30,339844,Chrystian,Right Midfielder,7,0,0,-1,,,,1,201880,27,201880.0,2700.0,45',2024-10-14 01:54:08
