seasonType,eventId,teamId,homeAway,winner,formation,active,starter,jersey,athleteId,athleteDisplayName,position,formationPlace,subbedIn,subbedInForAthleteId,subbedInForAthleteJersey,subInAthleteId,subInClockValue,subInDisplayClock,subbedOut,subbedOutForAthleteId,subbedOutForAthleteJersey,subOutAthleteId,subOutClockValue,subOutDisplayClock,updateTime
12226,699730,3445,home,0,4-2-3-1,1,1,1,158382,Fábio,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12226,699730,3445,home,0,4-2-3-1,1,1,23,271557,Guga,Right Back,2,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12226,699730,3445,home,0,4-2-3-1,1,1,6,187032,Diogo Barbosa,Left Back,3,0,0,-1,,,,1,77641,12,77641.0,2700.0,45',2024-10-14 01:54:08
12226,699730,3445,home,0,4-2-3-1,1,1,20,74906,Renato Augusto,Left Midfielder,4,0,0,-1,,,,1,198968,26,198968.0,3846.0,65',2024-10-14 01:54:08
12226,699730,3445,home,0,4-2-3-1,1,1,29,188143,Thiago Santos,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12226,699730,3445,home,0,4-2-3-1,1,1,30,48735,Felipe Melo,Center Left Defender,6,0,0,-1,,,,1,196842,25,196842.0,4981.0,84',2024-10-14 01:54:08
12226,699730,3445,home,0,4-2-3-1,1,1,11,203693,Keno,Attacking Midfielder Right,7,0,0,-1,,,,1,333936,18,333936.0,4972.0,83',2024-10-14 01:54:08
12226,699730,3445,home,0,4-2-3-1,1,1,8,307946,Martinelli,Right Midfielder,8,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12226,699730,3445,home,0,4-2-3-1,1,1,14,165749,Germán Cano,Forward,9,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12226,699730,3445,home,0,4-2-3-1,1,1,10,175902,Ganso,Attacking Midfielder,10,0,0,-1,,,,1,222955,45,222955.0,2900.0,49',2024-10-14 01:54:08
12226,699730,3445,home,0,4-2-3-1,1,1,21,239566,Jhon Arias,Attacking Midfielder Left,11,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12226,699730,3445,home,0,4-2-3-1,1,0,17,380447,Jan Lucumí,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12226,699730,3445,home,0,4-2-3-1,1,0,9,312741,John Kennedy,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12226,699730,3445,home,0,4-2-3-1,1,0,5,336386,Alexsander,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12226,699730,3445,home,0,4-2-3-1,1,0,45,222955,Lima,Substitute,0,1,175902,10,175902.0,2900.0,49',0,0,-1,,,,2024-10-14 01:54:08
12226,699730,3445,home,0,4-2-3-1,1,0,80,207912,David Terans,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12226,699730,3445,home,0,4-2-3-1,1,0,26,198968,Manoel,Substitute,0,1,74906,20,74906.0,3846.0,65',0,0,-1,,,,2024-10-14 01:54:08
12226,699730,3445,home,0,4-2-3-1,1,0,25,196842,Antônio Carlos,Substitute,0,1,48735,30,48735.0,4981.0,84',0,0,-1,,,,2024-10-14 01:54:08
12226,699730,3445,home,0,4-2-3-1,1,0,77,297070,Marquinhos,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12226,699730,3445,home,0,4-2-3-1,1,0,27,182301,Felipe Alves,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12226,699730,3445,home,0,4-2-3-1,1,0,13,315455,Felipe De Andrade Vieira,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12226,699730,3445,home,0,4-2-3-1,1,0,18,333936,Lelê,Substitute,0,1,203693,11,203693.0,4972.0,83',0,0,-1,,,,2024-10-14 01:54:08
12226,699730,3445,home,0,4-2-3-1,1,0,12,77641,Marcelo,Substitute,0,1,187032,6,187032.0,2700.0,45',0,0,-1,,,,2024-10-14 01:54:08
12226,699730,819,away,1,4-3-3,1,1,1,215388,Agustín Rossi,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12226,699730,819,away,1,4-3-3,1,1,2,188368,Gullermo Varela,Right Back,2,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12226,699730,819,away,1,4-3-3,1,1,6,203077,Ayrton Lucas ,Left Back,3,0,0,-1,,,,1,254032,17,254032.0,2904.0,49',2024-10-14 01:54:08
12226,699730,819,away,1,4-3-3,1,1,5,202533,Erick Pulgar,Center Midfielder,4,0,0,-1,,,,1,322658,48,322658.0,4230.0,71',2024-10-14 01:54:08
12226,699730,819,away,1,4-3-3,1,1,15,236111,Fabrício Bruno,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12226,699730,819,away,1,4-3-3,1,1,4,145405,Léo Pereira,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12226,699730,819,away,1,4-3-3,1,1,18,251889,Nicolás de la Cruz,Right Midfielder,7,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12226,699730,819,away,1,4-3-3,1,1,14,179767,Giorgian de Arrascaeta,Left Midfielder,8,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12226,699730,819,away,1,4-3-3,1,1,9,235017,Pedro,Forward,9,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12226,699730,819,away,1,4-3-3,1,1,7,234765,Luiz Araújo,Right Forward,10,0,0,-1,,,,1,201683,27,201683.0,4230.0,71',2024-10-14 01:54:08
12226,699730,819,away,1,4-3-3,1,1,11,198940,Everton,Left Forward,11,0,0,-1,,,,1,334382,29,334382.0,5113.0,86',2024-10-14 01:54:08
12226,699730,819,away,1,4-3-3,1,0,29,334382,Victor Hugo,Substitute,0,1,198940,11,198940.0,5113.0,86',0,0,-1,,,,2024-10-14 01:54:08
12226,699730,819,away,1,4-3-3,1,0,49,343843,Dyogo,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12226,699730,819,away,1,4-3-3,1,0,23,98398,David Luiz,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12226,699730,819,away,1,4-3-3,1,0,27,201683,Bruno Henrique,Substitute,0,1,234765,7,234765.0,4230.0,71',0,0,-1,,,,2024-10-14 01:54:08
12226,699730,819,away,1,4-3-3,1,0,21,223437,Allan,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12226,699730,819,away,1,4-3-3,1,0,3,252316,Léo Ortiz,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12226,699730,819,away,1,4-3-3,1,0,17,254032,Matías Viña,Substitute,0,1,203077,6,,,,0,0,-1,,,,2024-10-14 01:54:08
12226,699730,819,away,1,4-3-3,1,0,25,315201,Matheus Cunha,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12226,699730,819,away,1,4-3-3,1,0,26,318061,Werton,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12226,699730,819,away,1,4-3-3,1,0,48,322658,Igor,Substitute,0,1,202533,5,202533.0,4230.0,71',0,0,-1,,,,2024-10-14 01:54:08
12226,699730,819,away,1,4-3-3,1,0,33,329267,Cleiton,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12226,699730,819,away,1,4-3-3,1,0,40,334379,Matheus Gonçalves,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12226,699731,819,home,0,4-4-2,1,1,1,215388,Agustín Rossi,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12226,699731,819,home,0,4-4-2,1,1,2,188368,Gullermo Varela,Right Back,2,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12226,699731,819,home,0,4-4-2,1,1,6,203077,Ayrton Lucas,Left Back,3,0,0,-1,,,,1,254032,17,254032.0,3679.0,62',2024-10-14 01:54:08
12226,699731,819,home,0,4-4-2,1,1,18,251889,Nicolás de la Cruz,Center Right Midfielder,4,0,0,-1,,,,1,223437,21,223437.0,4864.0,82',2024-10-14 01:54:08
12226,699731,819,home,0,4-4-2,1,1,15,236111,Fabrício Bruno,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12226,699731,819,home,0,4-4-2,1,1,4,145405,Léo Pereira,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12226,699731,819,home,0,4-4-2,1,1,7,234765,Luiz Araújo,Right Midfielder,7,0,0,-1,,,,1,201683,27,201683.0,2700.0,45',2024-10-14 01:54:08
12226,699731,819,home,0,4-4-2,1,1,5,202533,Erick Pulgar,Center Left Midfielder,8,0,0,-1,,,,1,322658,48,322658.0,3971.0,67',2024-10-14 01:54:08
12226,699731,819,home,0,4-4-2,1,1,14,179767,Giorgian de Arrascaeta,Center Left Forward,9,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12226,699731,819,home,0,4-4-2,1,1,9,235017,Pedro,Center Right Forward,10,0,0,-1,,,,1,334382,29,334382.0,4871.0,82',2024-10-14 01:54:08
12226,699731,819,home,0,4-4-2,1,1,11,198940,Everton,Left Midfielder,11,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12226,699731,819,home,0,4-4-2,1,0,27,201683,Bruno Henrique,Substitute,0,1,234765,7,234765.0,2700.0,45',0,0,-1,,,,2024-10-14 01:54:08
12226,699731,819,home,0,4-4-2,1,0,29,334382,Victor Hugo,Substitute,0,1,235017,9,235017.0,4871.0,82',0,0,-1,,,,2024-10-14 01:54:08
12226,699731,819,home,0,4-4-2,1,0,20,334379,Matheus Gonçalves,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12226,699731,819,home,0,4-4-2,1,0,43,332354,Wesley França,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12226,699731,819,home,0,4-4-2,1,0,33,329267,Cleiton,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12226,699731,819,home,0,4-4-2,1,0,48,322658,Igor,Substitute,0,1,202533,5,202533.0,3971.0,67',0,0,-1,,,,2024-10-14 01:54:08
12226,699731,819,home,0,4-4-2,1,0,25,315201,Matheus Cunha,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12226,699731,819,home,0,4-4-2,1,0,17,254032,Matías Viña,Substitute,0,1,203077,6,203077.0,3679.0,62',0,0,-1,,,,2024-10-14 01:54:08
12226,699731,819,home,0,4-4-2,1,0,3,252316,Léo Ortiz,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12226,699731,819,home,0,4-4-2,1,0,23,98398,David Luiz,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12226,699731,819,home,0,4-4-2,1,0,10,182522,Gabriel Barbosa,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12226,699731,819,home,0,4-4-2,1,0,21,223437,Allan,Substitute,0,1,251889,18,251889.0,4864.0,82',0,0,-1,,,,2024-10-14 01:54:08
12226,699731,3445,away,0,4-2-2-2,1,1,1,158382,Fábio,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12226,699731,3445,away,0,4-2-2-2,1,1,77,297070,Marquinhos,Right Back,2,0,0,-1,,,,1,380447,17,380447.0,4356.0,73',2024-10-14 01:54:08
12226,699731,3445,away,0,4-2-2-2,1,1,12,77641,Marcelo,Left Back,3,0,0,-1,,,,1,187032,6,187032.0,4706.0,79',2024-10-14 01:54:08
12226,699731,3445,away,0,4-2-2-2,1,1,45,222955,Lima,Center Right Midfielder,4,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12226,699731,3445,away,0,4-2-2-2,1,1,26,198968,Manoel,Center Right Defender,5,0,0,-1,,,,1,336386,5,336386.0,4363.0,73',2024-10-14 01:54:08
12226,699731,3445,away,0,4-2-2-2,1,1,8,307946,Martinelli,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
