seasonType,eventId,teamId,homeAway,winner,formation,active,starter,jersey,athleteId,athleteDisplayName,position,formationPlace,subbedIn,subbedInForAthleteId,subbedInForAthleteJersey,subInAthleteId,subInClockValue,subInDisplayClock,subbedOut,subbedOutForAthleteId,subbedOutForAthleteJersey,subOutAthleteId,subOutClockValue,subOutDisplayClock,updateTime
12444,702024,3395,home,1,3-4-3,1,1,23,202304,Tadeu,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12444,702024,3395,home,1,3-4-3,1,1,20,285276,Jackson,Right Midfielder,2,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12444,702024,3395,home,1,3-4-3,1,1,6,198942,Sander,Left Midfielder,3,0,0,-1,,,,1,348309,18,348309.0,4170.0,70',2024-10-14 01:54:08
12444,702024,3395,home,1,3-4-3,1,1,4,94120,David Braz,Center Left Defender,4,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12444,702024,3395,home,1,3-4-3,1,1,19,188141,Edson,Center Defender,5,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12444,702024,3395,home,1,3-4-3,1,1,14,277436,Lucas Ribeiro,Center Right Defender,6,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12444,702024,3395,home,1,3-4-3,1,1,77,203880,Marcão Silva,Center Right Midfielder,7,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12444,702024,3395,home,1,3-4-3,1,1,8,216090,Rafael Gava,Center Left Midfielder,8,0,0,-1,,,,1,125848,5,125848.0,3642.0,61',2024-10-14 01:54:08
12444,702024,3395,home,1,3-4-3,1,1,33,203165,Thiago Galhardo,Forward,9,0,0,-1,,,,1,334246,70,,,,2024-10-14 01:54:08
12444,702024,3395,home,1,3-4-3,1,1,31,105131,Welliton,Center Right Forward,10,0,0,-1,,,,1,94225,88,94225.0,3631.0,61',2024-10-14 01:54:08
12444,702024,3395,home,1,3-4-3,1,1,7,334241,Paulo Baya,Center Left Forward,11,0,0,-1,,,,1,301191,17,301191.0,5104.0,86',2024-10-14 01:54:08
12444,702024,3395,home,1,3-4-3,1,0,18,348309,Breno Herculano,Substitute,0,1,198942,6,,,,0,0,-1,,,,2024-10-14 01:54:08
12444,702024,3395,home,1,3-4-3,1,0,3,337018,Yan,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12444,702024,3395,home,1,3-4-3,1,0,70,334246,Nathan,Substitute,0,1,203165,33,203165.0,5122.0,86',0,0,-1,,,,2024-10-14 01:54:08
12444,702024,3395,home,1,3-4-3,1,0,17,301191,Pedrinho,Substitute,0,1,334241,7,334241.0,5104.0,86',0,0,-1,,,,2024-10-14 01:54:08
12444,702024,3395,home,1,3-4-3,1,0,2,285884,Douglas Borel,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12444,702024,3395,home,1,3-4-3,1,0,88,94225,Luiz Henrique,Substitute,0,1,105131,31,105131.0,3631.0,61',0,0,-1,,,,2024-10-14 01:54:08
12444,702024,3395,home,1,3-4-3,1,0,21,261322,Jhonny Lucas,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12444,702024,3395,home,1,3-4-3,1,0,1,216847,Thiago Rodrigues,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12444,702024,3395,home,1,3-4-3,1,0,12,216369,Cris Silva,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12444,702024,3395,home,1,3-4-3,1,0,34,183619,Sidimar,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12444,702024,3395,home,1,3-4-3,1,0,11,137551,Iván Torres,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12444,702024,3395,home,1,3-4-3,1,0,5,125848,Wellington,Substitute,0,1,216090,8,216090.0,3642.0,61',0,0,-1,,,,2024-10-14 01:54:08
12444,702024,17313,away,0,5-4-1,1,1,1,196851,Walter,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12444,702024,17313,away,0,5-4-1,1,1,2,280678,Matheus Alexandre,Right Back,2,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12444,702024,17313,away,0,5-4-1,1,1,23,269915,Ramon,Left Back,3,0,0,-1,,,,1,327806,63,327806.0,5060.0,85',2024-10-14 01:54:08
12444,702024,17313,away,0,5-4-1,1,1,33,194566,Alan Empereur,Center Left Defender,4,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12444,702024,17313,away,0,5-4-1,1,1,34,200943,Bruno Alves,Center Defender,5,0,0,-1,,,,1,234713,18,234713.0,3650.0,61',2024-10-14 01:54:08
12444,702024,17313,away,0,5-4-1,1,1,44,338674,Gabriel Knesowitsch,Center Right Defender,6,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12444,702024,17313,away,0,5-4-1,1,1,22,306512,Derik Lacerda,Right Midfielder,7,0,0,-1,,,,1,222200,97,222200.0,4646.0,78',2024-10-14 01:54:08
12444,702024,17313,away,0,5-4-1,1,1,88,201942,Fernando Sobral,Center Right Midfielder,8,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12444,702024,17313,away,0,5-4-1,1,1,9,287035,Isidro Pitta,Forward,9,0,0,-1,,,,1,345885,11,345885.0,5055.0,85',2024-10-14 01:54:08
12444,702024,17313,away,0,5-4-1,1,1,27,325101,Denilson,Center Left Midfielder,10,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12444,702024,17313,away,0,5-4-1,1,1,25,198389,Clayson,Left Midfielder,11,0,0,-1,,,,1,198610,7,198610.0,4634.0,78',2024-10-14 01:54:08
12444,702024,17313,away,0,5-4-1,1,0,14,198595,Mateus,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12444,702024,17313,away,0,5-4-1,1,0,4,157743,Marllon,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12444,702024,17313,away,0,5-4-1,1,0,21,346901,Railan Reis Ferreira,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12444,702024,17313,away,0,5-4-1,1,0,11,345885,Eliel,Substitute,0,1,287035,9,287035.0,5055.0,85',0,0,-1,,,,2024-10-14 01:54:08
12444,702024,17313,away,0,5-4-1,1,0,19,335536,Luciano Giménez,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12444,702024,17313,away,0,5-4-1,1,0,63,327806,Juan Pablo,Substitute,0,1,269915,23,269915.0,5060.0,85',0,0,-1,,,,2024-10-14 01:54:08
12444,702024,17313,away,0,5-4-1,1,0,3,289788,Allyson,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12444,702024,17313,away,0,5-4-1,1,0,30,235996,Lucas Mineiro,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12444,702024,17313,away,0,5-4-1,1,0,18,234713,Lucas Fernandes,Substitute,0,1,200943,34,200943.0,3650.0,61',0,0,-1,,,,2024-10-14 01:54:08
12444,702024,17313,away,0,5-4-1,1,0,97,222200,André Luis,Substitute,0,1,306512,22,306512.0,4646.0,78',0,0,-1,,,,2024-10-14 01:54:08
12444,702024,17313,away,0,5-4-1,1,0,7,198610,Jonathan Cafú,Substitute,0,1,198389,25,198389.0,4634.0,78',0,0,-1,,,,2024-10-14 01:54:08
12444,702025,6272,home,0,4-4-2,1,1,1,203685,João Ricardo,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12444,702025,6272,home,0,4-4-2,1,1,2,200826,Tinga,Right Back,2,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12444,702025,6272,home,0,4-4-2,1,1,36,272437,Felipe Jonatan,Left Back,3,0,0,-1,,,,1,236283,6,236283.0,5126.0,86',2024-10-14 01:54:08
12444,702025,6272,home,0,4-4-2,1,1,17,201793,José Welison,Center Right Midfielder,4,0,0,-1,,,,1,336622,35,336622.0,5137.0,86',2024-10-14 01:54:08
12444,702025,6272,home,0,4-4-2,1,1,19,200206,Emanuel Britez,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12444,702025,6272,home,0,4-4-2,1,1,4,95849,Titi,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12444,702025,6272,home,0,4-4-2,1,1,22,186832,Yago Pikachu,Right Midfielder,7,0,0,-1,,,,1,198392,11,198392.0,4024.0,68',2024-10-14 01:54:08
12444,702025,6272,home,0,4-4-2,1,1,16,233217,Matheus Rossetto,Center Left Midfielder,8,0,0,-1,,,,1,318207,77,318207.0,4041.0,68',2024-10-14 01:54:08
12444,702025,6272,home,0,4-4-2,1,1,39,285040,Imanol Machuca,Center Left Forward,9,0,0,-1,,,,1,304365,21,304365.0,4395.0,74',2024-10-14 01:54:08
12444,702025,6272,home,0,4-4-2,1,1,9,195743,Juan Martín Lucero,Center Right Forward,10,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12444,702025,6272,home,0,4-4-2,1,1,7,215771,Tomás Pochettino,Left Midfielder,11,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12444,702025,6272,home,0,4-4-2,1,0,21,304365,Moisés ,Substitute,0,1,285040,39,285040.0,4395.0,74',0,0,-1,,,,2024-10-14 01:54:08
12444,702025,6272,home,0,4-4-2,1,0,8,218649,Leandro Martinez,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12444,702025,6272,home,0,4-4-2,1,0,23,153754,Santos,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12444,702025,6272,home,0,4-4-2,1,0,11,198392,Marinho ,Substitute,0,1,186832,22,186832.0,4024.0,68',0,0,-1,,,,2024-10-14 01:54:08
12444,702025,6272,home,0,4-4-2,1,0,37,359193,Kauan,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12444,702025,6272,home,0,4-4-2,1,0,35,336622,Hércules ,Substitute,0,1,201793,17,201793.0,5137.0,86',0,0,-1,,,,2024-10-14 01:54:08
12444,702025,6272,home,0,4-4-2,1,0,77,318207,Kervin Andrade,Substitute,0,1,233217,16,233217.0,4041.0,68',0,0,-1,,,,2024-10-14 01:54:08
12444,702025,6272,home,0,4-4-2,1,0,18,215818,Luquinhas,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12444,702025,6272,home,0,4-4-2,1,0,32,216846,Pedro Rocha,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12444,702025,6272,home,0,4-4-2,1,0,6,236283,Bruno Pacheco,Substitute,0,1,272437,36,272437.0,5126.0,86',0,0,-1,,,,2024-10-14 01:54:08
12444,702025,6272,home,0,4-4-2,1,0,20,249088,Dudu,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12444,702025,6272,home,0,4-4-2,1,0,28,269653,Pedro Augusto,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12444,702025,3454,away,0,3-4-3,1,1,1,205464,Léo Jardim,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12444,702025,3454,away,0,3-4-3,1,1,96,234842,Paulo Henrique,Right Midfielder,2,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12444,702025,3454,away,0,3-4-3,1,1,6,287862,Lucas Piton,Left Midfielder,3,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12444,702025,3454,away,0,3-4-3,1,1,3,200660,Léo,Center Left Defender,4,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
